	genome_id	resistant_phenotype
79820	1304917.4	0
81799	1304920.3	1
82281	1304924.3	0
82847	1328382.3	0
82875	1328383.3	1
82885	1328384.3	0
82902	1328385.3	0
82918	1328386.3	1
82933	1328387.3	1
83053	1438717.3	1
83197	1438727.3	0
83245	1438730.3	0
83562	1438749.3	0
83579	1438750.3	1
83630	1438753.3	1
83647	1438754.3	0
83680	1438756.3	0
83696	1438757.3	1
83745	1438760.3	1
83845	1438766.3	0
83862	1438767.3	0
83896	1438769.3	0
83930	1438771.3	0
84136	1284797.4	0
84241	573.13031	0
84260	573.13032	0
84279	573.13033	0
84317	573.13035	0
84337	573.13036	0
84356	573.13037	1
84376	573.13038	0
84396	573.13039	1
84435	573.13041	1
84474	573.13043	0
84493	573.13044	1
84531	573.13046	0
84550	573.13047	0
84570	573.13048	0
84608	573.13050	0
84687	573.13054	0
84707	573.13055	0
84727	573.13056	0
84747	573.13057	0
84786	573.13059	0
84806	573.13060	0
84826	573.13061	0
84846	573.13062	0
84865	573.13063	0
84885	573.13064	0
84964	573.13068	1
84983	573.13069	1
85003	573.13070	0
85062	573.13073	0
85081	573.13074	0
85101	573.13075	0
85139	573.13077	0
85178	573.13080	0
85197	573.13081	0
85217	573.13082	0
85296	573.13086	0
85315	573.13087	0
85394	573.13091	0
85432	573.13093	0
85452	573.13094	0
85471	573.13095	0
85511	573.13097	0
85531	573.13098	0
85551	573.13099	0
85570	573.13100	0
85590	573.13101	0
85609	573.13102	0
85628	573.13103	0
85648	573.13104	0
85687	573.13106	0
85706	573.13107	0
85746	573.13109	0
85784	573.13111	0
85803	573.13112	0
85823	573.13113	0
85842	573.13114	0
85862	573.13115	0
85882	573.13116	0
85901	573.13117	0
85920	573.13118	0
85960	573.13120	0
85980	573.13121	0
86019	573.13123	0
86038	573.13124	0
86057	573.13125	0
86077	573.13126	0
86115	573.13128	0
86135	573.13129	0
86155	573.13130	0
86174	573.13131	0
86233	573.13134	0
86253	573.13135	0
86273	573.13136	0
86293	573.13137	0
86312	573.13138	1
86351	573.13140	0
86371	573.13141	0
86410	573.13143	1
86430	573.13144	0
86489	573.13147	0
86509	573.13148	0
86528	573.13149	0
86548	573.13150	0
86567	573.13151	0
86586	573.13152	0
86683	573.13159	0
86703	573.13160	0
86742	573.13162	0
86779	573.13164	0
86799	573.13165	0
86818	573.13166	0
86837	573.13167	1
86856	573.13168	0
86875	573.13169	0
86895	573.13170	0
86913	573.13171	0
86932	573.13172	0
86952	573.13173	0
86972	573.13174	0
87051	573.13178	0
87129	573.13182	0
87149	573.13183	0
87169	573.13185	0
87189	573.13186	0
87208	573.13187	0
87285	573.13192	0
87324	573.13194	0
87344	573.13195	0
87364	573.13196	0
87404	573.13198	0
87423	573.13199	0
87442	573.13200	0
87462	573.13201	1
87520	573.13204	0
87617	573.13209	0
87713	573.13214	0
87751	573.13216	0
87867	573.13222	0
87886	573.13223	0
87906	573.13224	0
87945	573.13226	0
88024	573.13230	0
88044	573.13231	0
88064	573.13232	0
88197	573.13239	1
88234	573.13241	0
88254	573.13242	0
88274	573.13243	0
88293	573.13244	0
88312	573.13245	0
88331	573.13246	0
88408	573.13250	0
88428	573.13251	0
88448	573.13252	1
88468	573.13253	0
88488	573.13254	0
88507	573.13255	0
88526	573.13256	0
88566	573.13258	0
88586	573.13259	0
88605	573.13260	0
88645	573.13262	0
88663	573.13263	0
88683	573.13264	0
88703	573.13265	0
88723	573.13266	0
88762	573.13268	0
88781	573.13269	0
88800	573.13270	0
88897	573.13275	0
88917	573.13276	0
88956	573.13278	0
88976	573.13279	0
89035	573.13282	0
89055	573.13283	0
89075	573.13284	0
89094	573.13285	0
89114	573.13286	0
89133	573.13287	0
89153	573.13288	1
89173	573.13289	0
89232	573.13292	0
89272	573.13294	0
89292	573.13295	0
89311	573.13296	0
89330	573.13297	0
89349	573.13298	0
89409	573.13301	0
89429	573.13302	0
89448	573.13303	1
89468	573.13304	0
89488	573.13305	0
89508	573.13306	0
89527	573.13307	1
89547	573.13308	0
89566	573.13309	0
89585	573.13310	0
89605	573.13311	0
89625	573.13312	0
89644	573.13313	0
89663	573.13314	0
89682	573.13315	0
89702	573.13316	0
89722	573.13317	0
89742	573.13318	0
89761	573.13319	0
89780	573.13321	0
89800	573.13322	1
89820	573.13323	0
89859	573.13324	0
89878	573.13326	0
89915	573.13328	0
89935	573.13329	0
89953	573.13330	0
89972	573.13331	0
89992	573.13332	0
90012	573.13333	0
90032	573.13334	0
90052	573.13335	0
90072	573.13336	0
90091	573.13338	0
90111	573.13340	0
90189	573.13344	0
90306	573.13350	0
90421	573.13356	0
90440	573.13357	0
90499	573.13360	0
90576	573.13364	0
90615	573.13366	0
90654	573.13368	0
90693	573.13370	0
90751	573.13373	0
90771	573.13374	0
90790	573.13375	0
90809	573.13376	0
90829	573.13377	0
90982	573.13385	0
91135	573.13393	0
91291	573.13401	0
91310	573.13403	0
91388	573.13406	0
91504	573.13413	0
91524	573.13414	0
91544	573.13416	0
91564	573.13415	0
91662	573.13424	0
91701	573.13425	0
91873	573.13434	0
91911	573.13436	0
91990	573.13441	0
92029	573.13443	0
92244	573.13454	0
92282	573.13456	0
92301	573.13457	0
92321	573.13458	0
92339	573.13459	0
92359	573.13460	0
92398	573.13462	0
92417	573.13463	0
92437	573.13464	0
92457	573.13465	0
92477	573.13466	0
92496	573.13467	0
92534	573.13469	0
92553	573.13470	0
92572	573.13471	0
92591	573.13472	0
92611	573.13473	0
92630	573.13474	0
92649	573.13475	0
92669	573.13476	0
92688	573.13477	0
92708	573.13478	1
92728	573.13479	0
92748	573.13480	0
92768	573.13481	0
92788	573.13482	0
92808	573.13483	0
92828	573.13484	0
92847	573.13485	0
92867	573.13486	0
92887	573.13487	0
92907	573.13488	0
92927	573.13489	0
92946	573.13490	0
92985	573.13492	0
93004	573.13493	0
93043	573.13495	0
93063	573.13496	0
93082	573.13497	0
93120	573.13499	0
93140	573.13500	0
93218	573.13504	0
93258	573.13506	0
93277	573.13507	0
93296	573.13508	0
93315	573.13509	0
93334	573.13510	0
93353	573.13511	0
93373	573.13512	0
93393	573.13513	0
93411	573.13514	0
93430	573.13515	0
93450	573.13516	0
93469	573.13517	0
93508	573.13519	0
93527	573.13520	0
93547	573.13521	0
93566	573.13522	0
93605	573.13524	0
93643	573.13526	0
93663	573.13527	0
93683	573.13528	0
93722	573.13530	0
93760	573.13532	0
93780	573.13533	0
93800	573.13534	0
93819	573.13535	0
93839	573.13537	0
93858	573.13538	0
93877	573.13539	0
93897	573.13540	0
93936	573.13542	0
93975	573.13544	0
93995	573.13545	0
94033	573.13547	0
94053	573.13548	0
94073	573.13549	0
94092	573.13550	0
94132	573.13552	0
94152	573.13553	1
94172	573.13554	0
94192	573.13555	0
94212	573.13556	0
94231	573.13557	0
94251	573.13558	0
94289	573.13560	0
94309	573.13561	0
94328	573.13562	0
94367	573.13564	0
94387	573.13565	1
94407	573.13566	0
94427	573.13567	0
94446	573.13568	0
94465	573.13569	0
94485	573.13570	0
94525	573.13572	0
94564	573.13574	0
94583	573.13575	0
94603	573.13576	0
94622	573.13577	0
94661	573.13579	0
94681	573.13580	0
94701	573.13581	0
94721	573.13582	0
94799	573.13586	0
94818	573.13587	0
94837	573.13588	0
94856	573.13589	0
94875	573.13590	0
94894	573.13591	0
94913	573.13592	0
94953	573.13594	0
94973	573.13595	0
94993	573.13596	0
95050	573.13599	0
95088	573.13601	0
95107	573.13602	0
95126	573.13603	0
95145	573.13604	0
95184	573.13606	0
95203	573.13607	0
95222	573.13608	0
95241	573.13609	0
95261	573.13610	0
95280	573.13611	0
95300	573.13612	0
95320	573.13613	0
95339	573.13614	0
95358	573.13615	0
95378	573.13616	0
95398	573.13617	0
95418	573.13618	0
95437	573.13619	0
95457	573.13620	0
95477	573.13621	0
95553	573.13625	0
95573	573.13626	0
95592	573.13627	0
95611	573.13628	0
95650	573.13630	0
95669	573.13631	0
95707	573.13633	0
95727	573.13634	0
95766	573.13636	0
95785	573.13637	0
95805	573.13638	0
95824	573.13639	0
95842	573.13640	0
95862	573.13641	0
95882	573.13642	0
95940	573.13645	0
95959	573.13646	0
95979	573.13647	0
96039	573.13650	0
96058	573.13651	0
96076	573.13652	0
96095	573.13653	1
96154	573.13656	0
96192	573.13658	0
96211	573.13659	0
96231	573.13660	0
96250	573.13661	0
96290	573.13663	0
96310	573.13664	0
96329	573.13665	0
96348	573.13666	0
96368	573.13667	0
96387	573.13668	0
96407	573.13669	0
96445	573.13671	0
96465	573.13672	0
96484	573.13673	0
96504	573.13674	0
96523	573.13675	0
96562	573.13677	0
96580	573.13678	0
96599	573.13679	0
96637	573.13681	0
96656	573.13682	1
96676	573.13683	0
96696	573.13684	1
96716	573.13685	0
96736	573.13686	0
96756	573.13687	0
96774	573.13688	0
96792	573.13689	0
96852	573.13692	0
96872	573.13693	0
96891	573.13694	0
96910	573.13695	0
96929	573.13696	0
96968	573.13698	0
97007	573.13700	0
97026	573.13701	0
97045	573.13702	0
97064	573.13703	0
97144	573.13707	1
97164	573.13708	0
97184	573.13709	0
97203	573.13710	0
97242	573.13712	0
97261	573.13713	0
97281	573.13714	0
97321	573.13716	0
97341	573.13717	0
97361	573.13718	0
97381	573.13719	0
97401	573.13720	0
97457	573.13723	0
97536	573.13727	0
97555	573.13728	0
97574	573.13729	0
97593	573.13730	0
97612	573.13731	0
97691	573.13735	0
97709	573.13736	0
97728	573.13737	0
97746	573.13738	0
97766	573.13739	0
97786	573.13740	0
97824	573.13742	0
