	genome_id	resistant_phenotype
79825	1304917.4	1
81804	1304920.3	1
82286	1304924.3	1
82855	1328382.3	0
82879	1328383.3	1
82893	1328384.3	0
82909	1328385.3	0
82926	1328386.3	1
82937	1328387.3	1
83061	1438717.3	1
83141	1438723.3	1
83157	1438724.3	1
83205	1438727.3	1
83253	1438730.3	1
83269	1438731.3	1
83335	1438735.3	1
83369	1438737.3	1
83485	1438744.3	1
83519	1438746.3	1
83570	1438749.3	1
83587	1438750.3	1
83638	1438753.3	1
83655	1438754.3	1
83671	1438755.3	1
83688	1438756.3	1
83704	1438757.3	1
83753	1438760.3	1
83785	1438762.3	1
83819	1438764.3	1
83836	1438765.3	1
83853	1438766.3	1
83870	1438767.3	1
83904	1438769.3	1
83938	1438771.3	1
83955	1438772.3	1
83972	1438773.3	1
84021	1438776.3	1
84072	1438779.3	1
84141	1284797.4	0
84251	573.13031	1
84289	573.13033	1
84327	573.13035	1
84347	573.13036	1
84366	573.13037	1
84406	573.13039	1
84445	573.13041	1
84464	573.13042	1
84483	573.13043	1
84503	573.13044	1
84522	573.13045	1
84541	573.13046	0
84560	573.13047	1
84580	573.13048	1
84618	573.13050	0
84697	573.13054	1
84717	573.13055	1
84737	573.13056	1
84757	573.13057	0
84796	573.13059	1
84816	573.13060	1
84836	573.13061	1
84856	573.13062	1
84875	573.13063	1
84895	573.13064	1
84934	573.13066	1
84954	573.13067	1
84974	573.13068	1
84993	573.13069	1
85013	573.13070	1
85072	573.13073	1
85091	573.13074	0
85111	573.13075	1
85130	573.13076	1
85149	573.13077	1
85169	573.13079	1
85188	573.13080	1
85207	573.13081	0
85227	573.13082	1
85246	573.13083	1
85266	573.13084	1
85286	573.13085	1
85306	573.13086	1
85325	573.13087	1
85403	573.13091	1
85442	573.13093	1
85462	573.13094	1
85481	573.13095	1
85501	573.13096	1
85521	573.13097	1
85541	573.13098	1
85561	573.13099	1
85580	573.13100	0
85600	573.13101	1
85619	573.13102	0
85638	573.13103	0
85658	573.13104	0
85678	573.13105	1
85697	573.13106	1
85716	573.13107	1
85756	573.13109	1
85775	573.13110	1
85794	573.13111	1
85813	573.13112	1
85833	573.13113	1
85852	573.13114	1
85872	573.13115	1
85892	573.13116	1
85911	573.13117	1
85930	573.13118	0
85950	573.13119	1
85970	573.13120	1
85990	573.13121	1
86029	573.13123	0
86048	573.13124	1
86067	573.13125	1
86087	573.13126	1
86106	573.13127	1
86125	573.13128	1
86145	573.13129	0
86165	573.13130	1
86184	573.13131	1
86243	573.13134	0
86263	573.13135	1
86283	573.13136	1
86303	573.13137	0
86322	573.13138	1
86342	573.13139	1
86361	573.13140	1
86381	573.13141	0
86420	573.13143	1
86440	573.13144	1
86460	573.13145	1
86499	573.13147	1
86519	573.13148	1
86538	573.13149	1
86558	573.13150	1
86577	573.13151	1
86596	573.13152	1
86635	573.13156	1
86654	573.13157	1
86693	573.13159	1
86713	573.13160	1
86752	573.13162	1
86770	573.13163	1
86789	573.13164	1
86809	573.13165	1
86828	573.13166	1
86847	573.13167	1
86866	573.13168	1
86885	573.13169	1
86904	573.13170	1
86923	573.13171	1
86942	573.13172	1
86962	573.13173	1
86982	573.13174	1
87021	573.13176	1
87061	573.13178	1
87139	573.13182	1
87159	573.13183	1
87179	573.13185	1
87199	573.13186	1
87218	573.13187	1
87295	573.13192	1
87334	573.13194	1
87354	573.13195	1
87374	573.13196	1
87414	573.13198	0
87433	573.13199	0
87452	573.13200	1
87472	573.13201	1
87530	573.13204	1
87627	573.13209	1
87723	573.13214	1
87761	573.13216	1
87819	573.13219	1
87857	573.13221	1
87877	573.13222	1
87896	573.13223	1
87916	573.13224	1
87954	573.13226	1
87974	573.13227	1
87994	573.13228	1
88034	573.13230	1
88054	573.13231	1
88073	573.13232	1
88206	573.13239	1
88264	573.13242	1
88284	573.13243	1
88303	573.13244	1
88322	573.13245	1
88341	573.13246	1
88418	573.13250	1
88438	573.13251	1
88458	573.13252	1
88478	573.13253	1
88498	573.13254	1
88517	573.13255	1
88536	573.13256	1
88576	573.13258	1
88596	573.13259	1
88615	573.13260	1
88635	573.13261	1
88654	573.13262	1
88673	573.13263	1
88693	573.13264	1
88713	573.13265	1
88733	573.13266	1
88772	573.13268	1
88791	573.13269	1
88810	573.13270	1
88907	573.13275	0
88927	573.13276	1
88966	573.13278	1
88986	573.13279	0
89045	573.13282	1
89065	573.13283	1
89085	573.13284	1
89104	573.13285	1
89124	573.13286	0
89143	573.13287	1
89163	573.13288	1
89183	573.13289	1
89222	573.13291	1
89242	573.13292	1
89282	573.13294	1
89302	573.13295	1
89321	573.13296	1
89340	573.13297	1
89359	573.13298	1
89419	573.13301	1
89439	573.13302	1
89458	573.13303	1
89478	573.13304	1
89498	573.13305	1
89518	573.13306	1
89537	573.13307	1
89557	573.13308	1
89576	573.13309	1
89595	573.13310	1
89615	573.13311	1
89635	573.13312	1
89654	573.13313	1
89673	573.13314	1
89692	573.13315	1
89712	573.13316	1
89732	573.13317	1
89752	573.13318	1
89771	573.13319	1
89790	573.13321	1
89810	573.13322	1
89830	573.13323	1
89869	573.13324	1
89888	573.13326	1
89925	573.13328	1
89945	573.13329	1
89963	573.13330	1
89982	573.13331	1
90022	573.13333	1
90042	573.13334	1
90062	573.13335	1
90082	573.13336	1
90101	573.13338	1
90121	573.13340	1
90140	573.13341	1
90159	573.13343	1
90179	573.13342	1
90199	573.13344	1
90316	573.13350	1
90431	573.13356	1
90450	573.13357	1
90509	573.13360	1
90586	573.13364	1
90625	573.13366	0
90664	573.13368	1
90703	573.13370	0
90761	573.13373	1
90781	573.13374	1
90800	573.13375	1
90819	573.13376	1
90838	573.13377	1
90992	573.13385	1
91145	573.13393	1
91301	573.13401	0
91320	573.13403	0
91339	573.13402	1
91398	573.13406	1
91514	573.13413	1
91534	573.13414	1
91554	573.13416	1
91573	573.13415	1
91672	573.13424	1
91711	573.13425	1
91883	573.13434	1
91921	573.13436	1
91999	573.13441	1
92254	573.13454	1
92292	573.13456	0
92311	573.13457	1
92330	573.13458	1
92349	573.13459	1
92369	573.13460	1
92408	573.13462	1
