	genome_id	resistant_phenotype
82817	1328399.3	0
84257	573.13031	1
84276	573.13032	1
84295	573.13033	1
84334	573.13035	1
84353	573.13036	1
84373	573.13037	0
84393	573.13038	1
84413	573.13039	0
84451	573.13041	0
84471	573.13042	0
84490	573.13043	1
84509	573.13044	0
84528	573.13045	0
84547	573.13046	0
84567	573.13047	1
84587	573.13048	0
84625	573.13050	1
84704	573.13054	1
84724	573.13055	1
84744	573.13056	1
84764	573.13057	0
84803	573.13059	1
84823	573.13060	1
84843	573.13061	1
84862	573.13062	1
84902	573.13064	1
84941	573.13066	0
84961	573.13067	1
84980	573.13068	0
85000	573.13069	0
85020	573.13070	0
85078	573.13073	1
85098	573.13074	0
85117	573.13075	0
85136	573.13076	1
85156	573.13077	1
85175	573.13079	0
85194	573.13080	1
85214	573.13081	1
85233	573.13082	1
85253	573.13083	0
85273	573.13084	1
85293	573.13085	0
85312	573.13086	1
85332	573.13087	1
85409	573.13091	0
85449	573.13093	1
85468	573.13094	1
85488	573.13095	1
85508	573.13096	0
85528	573.13097	0
85548	573.13098	1
85567	573.13099	1
85587	573.13100	1
85625	573.13102	1
85645	573.13103	1
85665	573.13104	0
85703	573.13106	0
85723	573.13107	0
85762	573.13109	0
85781	573.13110	0
85800	573.13111	0
85820	573.13112	1
85839	573.13113	0
85859	573.13114	1
85879	573.13115	1
85898	573.13116	1
85917	573.13117	1
85937	573.13118	0
85957	573.13119	1
85977	573.13120	1
85997	573.13121	1
86035	573.13123	0
86074	573.13125	0
86093	573.13126	0
86112	573.13127	0
86132	573.13128	1
86152	573.13129	1
86171	573.13130	1
86191	573.13131	0
86250	573.13134	1
86270	573.13135	0
86290	573.13136	0
86309	573.13137	1
86329	573.13138	0
86348	573.13139	1
86368	573.13140	1
86387	573.13141	1
86427	573.13143	1
86447	573.13144	1
86466	573.13145	0
86506	573.13147	1
86525	573.13148	0
86545	573.13149	1
86564	573.13150	1
86583	573.13151	1
86603	573.13152	0
86641	573.13156	0
86661	573.13157	0
86700	573.13159	1
86720	573.13160	1
86757	573.13162	1
86776	573.13163	0
86796	573.13164	0
86815	573.13165	1
86834	573.13166	1
86853	573.13167	1
86872	573.13168	1
86892	573.13169	0
86910	573.13170	1
86929	573.13171	0
86949	573.13172	1
86969	573.13173	1
86988	573.13174	1
87028	573.13176	0
87068	573.13178	1
87166	573.13183	0
87186	573.13185	0
87205	573.13186	1
87225	573.13187	1
87301	573.13192	0
87341	573.13194	0
87361	573.13195	0
87381	573.13196	1
87420	573.13198	0
87439	573.13199	0
87478	573.13201	0
87537	573.13204	1
87634	573.13209	1
87729	573.13214	1
87767	573.13216	1
87825	573.13219	0
87864	573.13221	0
87883	573.13222	1
87903	573.13223	1
87922	573.13224	0
87961	573.13226	1
87981	573.13227	1
88001	573.13228	0
88061	573.13231	0
88212	573.13239	1
88251	573.13241	0
88271	573.13242	1
88290	573.13243	1
88309	573.13244	1
88328	573.13245	1
88347	573.13246	0
88425	573.13250	1
88465	573.13252	0
88485	573.13253	0
88504	573.13254	0
88523	573.13255	0
88543	573.13256	0
88583	573.13258	1
88602	573.13259	0
88622	573.13260	1
88642	573.13261	0
88680	573.13263	1
88700	573.13264	1
88720	573.13265	1
88739	573.13266	0
88797	573.13269	1
88817	573.13270	0
88914	573.13275	0
88934	573.13276	1
88993	573.13279	0
89052	573.13282	1
89072	573.13283	0
89091	573.13284	1
89111	573.13285	0
89130	573.13286	1
89150	573.13287	1
89170	573.13288	0
89189	573.13289	0
89229	573.13291	1
89249	573.13292	0
89289	573.13294	1
89308	573.13295	1
89366	573.13298	1
89426	573.13301	1
89445	573.13302	1
89465	573.13303	0
89485	573.13304	1
89505	573.13305	1
89524	573.13306	1
89544	573.13307	0
89563	573.13308	1
89582	573.13309	0
89602	573.13310	1
89622	573.13311	1
89641	573.13312	1
89660	573.13313	1
89679	573.13314	1
89699	573.13315	1
89719	573.13316	0
89739	573.13317	1
89758	573.13318	1
89777	573.13319	1
89797	573.13321	1
89817	573.13322	0
89837	573.13323	0
89875	573.13324	0
89894	573.13326	1
89932	573.13328	1
89950	573.13329	0
89969	573.13330	0
89989	573.13331	1
90009	573.13332	1
90029	573.13333	1
90049	573.13334	0
90069	573.13335	1
90088	573.13336	0
90108	573.13338	1
90127	573.13340	1
90166	573.13343	1
90186	573.13342	1
90205	573.13344	1
90323	573.13350	1
90437	573.13356	1
90457	573.13357	1
90515	573.13360	0
90593	573.13364	1
90632	573.13366	1
90671	573.13368	0
90710	573.13370	0
90768	573.13373	1
90787	573.13374	1
90806	573.13375	1
90826	573.13376	0
90845	573.13377	1
90998	573.13385	1
91152	573.13393	1
91307	573.13401	1
91346	573.13402	0
91521	573.13413	1
91541	573.13414	1
91561	573.13416	1
91580	573.13415	0
91679	573.13424	1
91889	573.13434	1
91928	573.13436	0
92006	573.13441	1
92045	573.13443	1
92260	573.13454	1
92298	573.13456	1
92318	573.13457	0
92336	573.13458	0
92356	573.13459	1
92375	573.13460	0
92414	573.13462	1
92434	573.13463	0
92454	573.13464	0
92474	573.13465	1
92493	573.13466	1
92512	573.13467	0
92531	573.13468	0
92550	573.13469	0
92588	573.13471	1
92608	573.13472	1
92627	573.13473	0
92646	573.13474	1
92666	573.13475	1
92685	573.13476	1
92705	573.13477	0
92745	573.13479	1
92765	573.13480	1
92785	573.13481	1
92805	573.13482	1
92844	573.13484	0
92884	573.13486	1
92904	573.13487	1
92924	573.13488	0
92943	573.13489	0
92963	573.13490	0
92982	573.13491	0
93021	573.13493	1
93040	573.13494	0
93060	573.13495	1
93079	573.13496	1
93098	573.13497	0
93137	573.13499	0
93157	573.13500	1
93196	573.13502	0
93215	573.13503	1
93235	573.13504	0
93274	573.13506	1
93293	573.13507	0
93312	573.13508	1
93331	573.13509	1
93350	573.13510	0
93370	573.13511	1
93390	573.13512	0
93408	573.13513	0
93427	573.13514	1
