	genome_id	resistant_phenotype
79839	1304917.4	1
81818	1304920.3	1
82300	1304924.3	1
84258	573.13031	1
84277	573.13032	1
84296	573.13033	0
84335	573.13035	1
84354	573.13036	1
84374	573.13037	1
84394	573.13038	1
84414	573.13039	1
84452	573.13041	1
84472	573.13042	1
84491	573.13043	1
84510	573.13044	1
84529	573.13045	1
84548	573.13046	0
84745	573.13056	0
84765	573.13057	0
84824	573.13060	0
84844	573.13061	0
84863	573.13062	0
84883	573.13063	0
84942	573.13066	1
84962	573.13067	1
84981	573.13068	1
85001	573.13069	1
85021	573.13070	1
85079	573.13073	0
85099	573.13074	1
85118	573.13075	0
85137	573.13076	1
85157	573.13077	0
85176	573.13079	1
85195	573.13080	1
85215	573.13081	0
85254	573.13083	1
85274	573.13084	1
85294	573.13085	1
85333	573.13087	0
85410	573.13091	1
85469	573.13094	1
85509	573.13096	1
85529	573.13097	0
85549	573.13098	1
85568	573.13099	1
85607	573.13101	1
85626	573.13102	1
85666	573.13104	0
85685	573.13105	1
85704	573.13106	0
85724	573.13107	1
85782	573.13110	1
85821	573.13112	1
85840	573.13113	0
85880	573.13115	1
85938	573.13118	0
85958	573.13119	1
85978	573.13120	0
85998	573.13121	0
86036	573.13123	0
86055	573.13124	1
86075	573.13125	0
86094	573.13126	1
86113	573.13127	1
86153	573.13129	0
86172	573.13130	1
86192	573.13131	1
86251	573.13134	0
86291	573.13136	0
86310	573.13137	0
86330	573.13138	1
86349	573.13139	1
86369	573.13140	1
86388	573.13141	0
86428	573.13143	1
86467	573.13145	1
86526	573.13148	0
86584	573.13151	1
86604	573.13152	0
86642	573.13156	1
86662	573.13157	1
86701	573.13159	1
86721	573.13160	0
86777	573.13163	1
86816	573.13165	1
86854	573.13167	1
86893	573.13169	1
86930	573.13171	1
86950	573.13172	0
86989	573.13174	0
87029	573.13176	1
87069	573.13178	0
87147	573.13182	0
87187	573.13185	0
87206	573.13186	0
87342	573.13194	1
87362	573.13195	0
87382	573.13196	0
87421	573.13198	0
87440	573.13199	0
87460	573.13200	0
87479	573.13201	1
87538	573.13204	1
87635	573.13209	0
87730	573.13214	0
87768	573.13216	1
87826	573.13219	1
87865	573.13221	1
87904	573.13223	0
87923	573.13224	0
87962	573.13226	1
87982	573.13227	1
88002	573.13228	1
88042	573.13230	0
88062	573.13231	0
88080	573.13232	1
88213	573.13239	1
88252	573.13241	0
88272	573.13242	0
88446	573.13251	1
88466	573.13252	1
88486	573.13253	0
88505	573.13254	1
88524	573.13255	1
88544	573.13256	1
88584	573.13258	1
88623	573.13260	0
88643	573.13261	1
88681	573.13263	0
88701	573.13264	0
88721	573.13265	0
88740	573.13266	0
88779	573.13268	0
88798	573.13269	1
88915	573.13275	0
88974	573.13278	0
89131	573.13286	0
89151	573.13287	1
89171	573.13288	1
89190	573.13289	0
89230	573.13291	1
89250	573.13292	0
89290	573.13294	0
89367	573.13298	1
89427	573.13301	1
89466	573.13303	1
89486	573.13304	1
89506	573.13305	0
89545	573.13307	1
89564	573.13308	1
89603	573.13310	1
89623	573.13311	0
89700	573.13315	0
89740	573.13317	0
89759	573.13318	1
89778	573.13319	1
89798	573.13321	0
89818	573.13322	1
89838	573.13323	0
89876	573.13324	0
