	genome_id	resistant_phenotype
133445	1438833.3	0
133944	1773.2485	1
133960	1773.2486	1
133983	1773.2487	0
133991	1773.287	0
134001	1773.2488	0
134014	1773.2491	0
134022	1773.2490	1
134030	1773.2492	0
134038	1773.2494	1
134059	1773.2495	0
134241	1773.2513	0
134249	1773.2514	0
134257	1773.2515	0
134265	1773.275	0
134280	1773.2517	0
134288	1773.331	0
134298	1773.2518	0
134320	1773.2519	1
134376	1773.314	0
135401	1773.2540	0
135409	1773.2541	0
135439	1773.2545	0
135621	1773.2569	0
135643	1438835.3	0
135668	1773.2573	0
135767	1773.2581	1
137745	1773.2588	0
137783	1773.2591	0
141259	1773.2601	0
141279	1773.2602	1
141287	1773.2603	1
141295	1773.2604	0
141303	1773.344	0
141313	1773.2605	0
141331	1773.2606	1
141339	1773.2607	1
141351	1773.2608	0
145135	1438837.3	0
145142	1438838.3	0
152199	1773.2638	0
152207	1773.2639	0
152219	1773.2640	0
152227	1773.2641	0
152631	1438842.3	0
153213	1438843.3	0
153263	1438844.3	1
153274	1438845.3	0
153301	1438846.3	0
153312	1438847.3	0
153324	1438848.3	0
153331	1438849.3	1
153383	1438854.3	0
153390	1773.2679	0
153437	1773.2685	0
153445	1773.2686	1
153604	1438856.3	0
153681	1438858.3	0
153688	1438859.3	1
153709	1438862.3	0
153831	1773.2702	0
153839	1773.2703	0
153860	1773.2705	0
153868	1773.2706	0
153888	1773.2707	0
154153	1773.2717	0
154182	1773.2720	1
154194	1773.2721	0
154232	1773.2724	0
154240	1773.335	0
154254	1773.2725	0
154262	1773.2726	0
154274	1773.2727	0
154286	1773.2728	1
154298	1773.2729	0
154310	1773.2730	0
154322	1773.2731	1
154338	1773.2733	1
154457	1438863.3	1
154475	1438865.3	0
154671	1438868.3	0
154678	1438869.3	1
154685	1438870.3	0
155078	1773.2782	0
155086	1773.2783	0
155094	1773.2784	0
155102	1438871.3	0
155109	1773.2785	1
155117	1773.2786	0
155125	1773.2787	0
155141	1773.2789	0
155189	1438872.3	0
155196	1773.2796	0
155204	1773.2797	0
155220	1773.2799	0
155228	1773.2800	0
155246	1773.2803	0
155321	1773.2807	1
155446	1773.354	0
155668	1438874.3	0
155813	1773.2867	0
155821	1773.2868	0
155829	1773.2869	0
155841	1773.2870	0
155849	1773.2871	0
155857	1773.2872	0
155865	1773.2873	0
155873	1773.304	1
155984	1773.2889	1
155997	1773.2890	0
156005	1773.342	0
156621	1773.2931	1
156730	1773.2943	0
156785	1773.2947	0
156801	1773.2949	1
156809	1773.2950	1
156817	1773.2951	0
156825	1773.2952	0
156851	1773.278	0
156861	1773.2956	0
156869	1773.2957	0
157939	1773.3066	0
158430	1773.3103	0
158438	1773.3104	0
158553	1773.3115	1
158731	1773.3141	0
158744	1773.3143	1
158828	1773.3151	0
158836	1773.3152	1
158849	1773.3154	0
158857	1773.3155	0
158865	1773.3156	0
158873	1773.3157	1
158881	1773.3158	1
158902	1773.3161	1
158937	1773.3166	1
158963	1773.3168	0
158971	1773.3171	0
158979	1773.352	0
159048	1773.281	0
159073	1773.318	0
159090	1773.284	1
159100	1773.3185	1
159112	1773.3186	0
159120	1773.3187	1
159140	1773.3188	0
159148	1773.3189	0
159244	1773.3193	1
159293	1773.3194	0
159317	1773.3195	0
159335	1773.3198	1
159343	1773.370	0
159385	1773.3200	0
159416	1773.3204	0
159468	1773.3211	0
159476	1773.3212	1
159484	1773.3213	0
159512	1773.3218	1
159540	1773.3223	0
159561	1773.372	0
159599	1773.3229	0
159607	1773.325	0
159639	1773.3233	1
159662	1773.3236	0
159923	1773.277	0
159959	1773.308	0
160320	1773.326	0
160330	1773.3294	0
160338	1773.3295	0
160350	1773.3296	1
160376	1773.3301	0
160388	1773.3302	1
160535	1773.3319	0
160542	1773.3320	0
160550	1773.3321	1
160558	1773.3322	1
160566	1773.3323	0
160574	1773.3324	0
160582	1773.3325	0
160590	1773.3326	0
160598	1773.3327	1
160606	1773.3328	0
160614	1773.3329	0
160622	1773.3330	0
160630	1773.3331	0
160841	1773.3355	0
160849	1773.3357	0
160857	1773.3358	0
160865	1773.3359	1
160873	1773.3360	0
160885	1773.3361	0
160893	1773.367	0
160903	1773.3362	1
160911	1773.3363	0
161018	1773.3376	0
161026	1773.3377	0
161047	1773.3380	0
161055	1773.3381	0
161063	1773.3382	0
161076	1773.3384	1
161103	1773.3387	0
161129	1773.3391	0
161137	1773.3392	0
161145	1773.3393	0
161153	1773.3394	0
161172	1773.3396	0
161180	1773.3397	0
161188	1773.3398	0
161196	1773.3399	0
161204	1773.3400	1
161482	1773.305	1
161492	1773.3429	1
161504	1773.3430	0
161512	1773.319	0
161522	1773.3431	0
161538	1773.3433	0
161550	1773.3434	0
161563	1773.3436	0
161571	1773.3437	0
161966	1773.271	1
161976	1773.3490	1
161984	1773.3491	0
161992	1773.3492	0
162000	1773.3493	0
162016	1773.297	0
162026	1773.3495	0
162042	1773.3497	0
162333	1773.3519	0
162346	1773.3521	0
162354	1773.3522	0
162362	1773.3523	0
162370	1773.3524	1
162378	1773.3525	1
162386	1773.3526	0
162394	1773.3527	0
162402	1773.3528	1
162418	1773.3529	0
162426	1773.3530	0
164791	1773.3532	0
164952	1773.3570	0
165333	1773.3660	0
165445	1773.3683	0
165538	1773.3704	0
165555	1773.3708	0
165819	1773.3770	0
165870	1773.3781	0
165969	1773.3805	0
166537	1773.5538	0
166703	1773.3976	0
166837	1773.4005	0
166895	1773.4017	0
166942	1773.4026	0
166953	1773.4027	0
167017	1773.4038	0
167049	1773.4045	0
167074	1773.4049	1
167109	1773.4056	1
167159	1773.4066	0
167224	1773.4080	0
167255	1773.4086	0
167288	1773.4092	0
167323	1773.4099	0
167349	1773.4104	0
167428	1773.4121	0
167463	1773.4128	0
167542	1773.4145	0
167563	1773.4148	0
167630	1773.4163	0
167640	1773.4164	0
167655	1773.4166	0
167687	1773.4172	0
167748	1773.4183	0
167758	1773.4184	0
167775	1773.4187	0
167791	1773.4189	0
167845	1773.4199	0
167885	1773.4201	0
168066	1773.5572	0
168380	1773.4228	0
168405	1773.5615	0
168623	1773.5639	0
168718	1773.5651	1
168802	1773.4258	0
169484	1773.4398	0
170046	1773.4535	0
170305	1773.4598	0
170369	1773.4612	0
170394	1773.4616	0
170410	1773.4618	0
170420	1773.4619	0
170454	1773.4625	0
170465	1773.4626	0
170474	1773.4627	0
170484	1773.4628	0
170503	1773.4631	0
170570	1773.4644	0
170635	1773.4658	0
170682	1773.4667	0
170708	1773.4671	0
170738	1773.4676	1
170748	1773.4677	0
170758	1773.4678	0
170772	1773.4680	0
170828	1773.4691	0
170852	1773.4695	0
170866	1773.4697	1
170877	1773.4698	0
170926	1773.4707	0
170941	1773.4709	0
171048	1773.4734	0
171145	1773.4756	0
171348	1773.4805	0
171477	1773.4836	0
171530	1773.4844	0
174972	1773.4990	0
175665	1773.18703	0
175671	1773.18716	0
175677	1773.18713	0
175683	1773.18710	0
175689	1773.18711	0
175695	1773.18373	1
175705	1773.18375	1
175715	1773.18377	1
175725	1773.18378	1
175735	1773.18383	1
175745	1773.18386	1
175755	1773.18384	1
175765	1773.18385	1
175775	1773.18379	1
175785	1773.18382	1
175795	1773.18381	1
175805	1773.18380	1
175825	1773.18388	1
175835	1773.18389	1
175845	1773.18392	1
175855	1773.18391	1
175875	1773.18398	1
175885	1773.18394	1
175895	1773.18393	1
175905	1773.18395	1
175915	1773.18397	1
175925	1773.18396	1
175935	1773.18399	1
175955	1773.18403	1
175965	1773.18401	1
175995	1773.18406	1
176015	1773.18402	1
176025	1773.18408	1
176035	1773.18410	1
176045	1773.18409	1
176055	1773.18411	1
176147	1773.18687	0
176153	1773.18693	0
176169	1773.18692	0
176175	1773.18695	0
176181	1773.18696	0
176187	1773.18697	0
176193	1773.18707	0
176199	1773.18706	0
176205	1773.18701	0
176211	1773.18698	0
176215	1773.18717	0
176221	1773.18699	1
176227	1773.18700	0
176669	1773.18465	0
176681	1773.18464	0
176688	1773.18459	0
176705	1773.18476	0
176712	1773.18470	0
176724	1773.18469	0
176731	1773.18467	1
176740	1773.18472	0
176747	1773.18473	1
176754	1773.18477	0
176758	1773.18471	0
176765	1773.18485	0
176774	1773.18487	0
176781	1773.18483	0
176788	1773.18484	0
176792	1773.18481	0
176801	1773.18486	1
176808	1773.18482	0
176817	1773.18480	0
176821	1773.18478	0
176828	1773.18479	1
176835	1773.18488	0
176842	1773.18498	0
176849	1773.18495	0
176864	1773.18490	0
176868	1773.18496	0
176878	1773.18493	0
176887	1773.18494	0
176891	1773.18492	1
176895	1773.18489	0
176907	1773.18499	0
176914	1773.18497	0
176926	1773.18508	0
176933	1773.18509	0
176940	1773.18510	0
176951	1773.18502	0
176963	1773.18505	0
176970	1773.18506	1
176977	1773.18501	0
176989	1773.18503	0
176997	1773.18504	0
177007	1773.18500	0
177017	1773.18507	0
177024	1773.18521	1
177035	1773.18513	0
177046	1773.18514	0
177053	1773.18515	0
177065	1773.18512	0
177077	1773.18520	0
177089	1773.18519	0
177100	1773.18518	0
177120	1773.18516	0
177127	1773.18511	0
177138	1773.18528	0
177144	1773.18526	1
177151	1773.18523	1
177163	1773.18524	0
177175	1773.18525	0
177189	1773.18522	0
177196	1773.18532	1
177203	1773.18531	0
177215	1773.18530	0
177222	1773.18529	0
177231	1773.18539	0
177243	1773.18534	0
177250	1773.18543	1
177257	1773.18535	0
177269	1773.18536	0
177288	1773.18540	0
177297	1773.18538	0
177309	1773.18537	1
177316	1773.18533	1
177323	1773.18549	1
177342	1773.18548	0
177351	1773.18546	0
177361	1773.18550	0
177373	1773.18544	1
177380	1773.18547	0
177394	1773.18552	0
177413	1773.18554	0
177425	1773.18564	0
177439	1773.18558	0
177515	1773.20376	0
177524	1773.20380	0
177543	1773.20375	0
177557	1773.20389	0
177563	1773.20383	0
177569	1773.20385	0
177575	1773.20387	0
177588	1773.20382	0
177600	1773.20390	1
177609	1773.20401	0
177618	1773.20400	0
177627	1773.20399	0
177633	1773.20394	0
177639	1773.20393	0
177645	1773.20392	0
177664	1773.20412	0
177677	1773.20408	0
177683	1773.20403	0
177689	1773.20406	0
177695	1773.20407	0
177709	1773.20404	0
177741	1773.20416	0
177747	1773.20419	0
177753	1773.20418	0
177773	1773.20423	1
177858	1773.20437	1
177864	1773.20438	0
177870	1773.20439	1
177883	1773.20452	0
177895	1773.20453	0
177901	1773.20455	1
177921	1773.20456	0
177944	1773.20462	1
177950	1773.20461	1
177956	1773.20458	1
177962	1773.20466	0
177968	1773.20467	1
177974	1773.20463	0
177985	1773.20464	0
177988	1773.20468	1
177994	1773.20474	0
178003	1773.20471	0
178014	1773.20470	1
178020	1773.20469	0
178026	1773.20476	1
178035	1773.20475	0
178041	1773.20479	1
178047	1773.20478	1
178053	1773.20482	0
178064	1773.20487	0
178070	1773.20480	0
178083	1773.20484	0
178089	1773.20483	0
178095	1773.20485	0
178101	1773.20490	0
178151	1773.20510	0
178162	1773.20502	0
178177	1773.20506	1
178187	1773.20504	0
178193	1773.20511	1
178199	1773.20512	1
178205	1773.20509	1
178211	1773.20521	1
178220	1773.20518	0
178231	1773.20519	0
178237	1773.20516	1
178240	1773.20514	0
178499	1773.18412	0
178511	1773.18420	0
178523	1773.18419	0
178535	1773.18415	1
178557	1773.18418	0
178569	1773.18417	0
178581	1773.18413	0
178593	1773.18416	0
178605	1773.18414	1
178617	1773.18424	0
178634	1773.18428	0
178651	1773.18427	0
178668	1773.18430	0
178679	1773.18429	0
178716	1773.18442	0
178728	1773.18443	0
178755	1773.18438	1
178767	1773.18437	1
178780	1773.18440	0
178792	1773.18444	1
178809	1773.18445	0
178821	1773.18449	1
178848	1773.18452	1
178859	1773.18448	1
178870	1773.18453	0
178882	1773.18455	1
178897	1773.18466	1
178913	1773.18458	0
178925	1773.18456	0
178937	1773.18457	0
178949	1773.18460	1
178960	1773.18462	0
178972	1773.18461	1
179029	1773.18280	0
179037	1773.18284	0
179045	1773.18287	1
179053	1773.18281	0
179061	1773.18282	0
179069	1773.18289	0
179077	1773.18288	0
179085	1773.18290	1
179093	1773.18297	0
179101	1773.18298	0
179109	1773.18294	0
179117	1773.18293	0
179129	1773.18295	0
179137	1773.18296	0
179145	1773.18291	0
179153	1773.18300	0
179161	1773.18299	0
179169	1773.18301	0
179177	1773.18312	0
179185	1773.18307	0
179193	1773.18306	1
179201	1773.18304	0
179209	1773.18305	0
179217	1773.18308	0
179225	1773.18303	0
179233	1773.18302	0
179241	1773.18309	0
179249	1773.18311	0
179257	1773.18310	0
179265	1773.18321	1
179273	1773.18318	0
179289	1773.18323	0
179297	1773.18320	0
179305	1773.18322	0
179313	1773.18316	0
179321	1773.18314	0
179329	1773.18313	0
179337	1773.18315	0
179345	1773.18319	0
179353	1773.18332	0
179361	1773.18331	0
179369	1773.18330	1
179377	1773.18329	0
179385	1773.18325	0
179393	1773.18324	0
179409	1773.18327	0
179417	1773.18326	0
179425	1773.18334	0
179433	1773.18333	0
179441	1773.18335	0
179449	1773.18338	0
179457	1773.18342	0
179465	1773.18341	0
179481	1773.18345	0
179489	1773.18336	0
179497	1773.18337	0
179505	1773.18340	0
179513	1773.18339	0
179521	1773.18343	0
179529	1773.18347	0
179537	1773.18351	0
179545	1773.18353	0
179553	1773.18352	0
179561	1773.18348	0
179569	1773.18346	0
179577	1773.18350	0
179585	1773.18349	0
179593	1773.18354	0
179601	1773.18355	0
179609	1773.18356	0
179617	1773.18365	0
179625	1773.18364	0
179633	1773.18363	0
179645	1773.18362	0
179653	1773.18359	0
179661	1773.18357	0
179669	1773.18361	0
179685	1773.18367	1
179701	1773.18376	0
179709	1773.18371	0
179717	1773.18370	1
179725	1773.18369	0
179733	1773.18368	0
179741	1773.18374	1
179749	1773.18372	0
179757	1773.18563	0
179767	1773.18565	0
179787	1773.18560	1
179794	1773.18557	0
179802	1773.18556	0
179812	1773.18573	0
179820	1773.18569	0
179827	1773.18570	0
179834	1773.18567	0
179841	1773.18566	1
179849	1773.18568	1
179857	1773.18574	0
179866	1773.18575	0
179873	1773.18571	0
179880	1773.18572	0
179890	1773.18576	0
179902	1773.18583	1
179914	1773.18578	0
179921	1773.18579	1
179928	1773.18587	1
179940	1773.18586	0
179947	1773.18577	1
179959	1773.18580	0
179966	1773.18581	0
182778	1773.18207	1
182817	1773.18190	1
182856	1773.18203	0
182882	1773.18222	1
182895	1773.18220	1
182908	1773.18215	1
182934	1773.18221	1
182960	1773.18217	1
182986	1773.18234	1
182999	1773.18224	1
183025	1773.18208	1
183051	1773.18230	1
183064	1773.18226	1
183103	1773.18192	1
183142	1773.18232	1
183155	1773.18241	1
183168	1773.18238	1
183207	1773.18237	1
183298	1773.18248	0
183363	1773.18257	1
183428	1773.18258	1
183441	1773.18265	1
183454	1773.18260	1
183467	1773.18285	1
183480	1773.18259	1
183558	1773.18275	1
183571	1773.18286	1
183610	1773.18276	1
183623	1773.18274	1
183688	1773.18279	1
183714	1773.18169	1
183740	1773.18187	1
183766	1773.18162	1
183779	1773.18167	1
183805	1773.18179	1
183818	1773.18182	1
183831	1773.18164	1
183857	1773.18165	1
183870	1773.18170	1
183883	1773.18166	1
183896	1773.18184	1
183909	1773.18160	1
183935	1773.18171	1
183961	1773.18172	0
183974	1773.18174	1
183987	1773.18163	1
184013	1773.18176	1
184039	1773.18178	0
184052	1773.18181	1
184065	1773.18188	1
184078	1773.18180	1
184091	1773.18183	1
184104	1773.18202	1
184117	1773.18191	1
184182	1773.18198	1
184195	1773.18204	1
184234	1773.18261	1
184260	1773.18199	1
185887	1773.21693	0
185894	1773.20933	0
185901	1773.20934	0
185908	1773.20935	0
185915	1773.20936	0
185922	1773.20938	0
185929	1773.20937	0
185936	1773.20939	0
185943	1773.20940	0
185950	1773.20941	0
185957	1773.20942	0
185964	1773.20943	0
185971	1773.20944	0
185978	1773.20945	0
185984	1773.20946	0
185991	1773.20947	0
185998	1773.20948	0
186005	1773.20949	0
186011	1773.20950	0
186016	1773.20951	0
186022	1773.20952	0
186029	1773.20954	0
186035	1773.20953	0
186042	1773.20957	0
186048	1773.20956	0
186055	1773.20955	0
186062	1773.20959	0
186068	1773.20960	0
186075	1773.20958	0
186082	1773.20961	0
186089	1773.20962	0
186096	1773.20963	0
186103	1773.20968	0
186110	1773.20966	0
186117	1773.20965	0
186123	1773.20964	0
186129	1773.20972	0
186136	1773.20974	0
186143	1773.20973	0
186150	1773.20969	0
186157	1773.20970	0
186163	1773.20971	0
186169	1773.20967	0
186175	1773.20975	0
186181	1773.20982	0
186187	1773.20983	0
186194	1773.20976	0
186200	1773.20977	0
186206	1773.20979	0
186212	1773.20978	0
186219	1773.20980	0
186226	1773.20981	0
186230	1773.20985	0
186237	1773.20984	0
186243	1773.20986	0
186249	1773.20988	0
186253	1773.20987	0
186260	1773.20989	0
186267	1773.20994	0
186274	1773.20996	0
186280	1773.20995	0
186287	1773.20993	0
186294	1773.20991	0
186301	1773.20992	0
186308	1773.20990	0
186315	1773.21003	0
186322	1773.20998	0
186328	1773.20997	0
186335	1773.21007	0
186340	1773.21005	0
186345	1773.21002	0
186351	1773.21000	0
186365	1773.21006	0
186371	1773.21001	0
186378	1773.21004	0
186385	1773.21008	0
186391	1773.21010	0
186397	1773.21009	0
186404	1773.21014	0
186411	1773.21013	0
186416	1773.21011	0
186423	1773.21012	0
186430	1773.21015	0
186437	1773.21016	0
186444	1773.21017	0
186451	1773.21018	0
186458	1773.21023	0
186465	1773.21024	0
186472	1773.21021	0
186479	1773.21022	0
186486	1773.21019	0
186493	1773.21020	0
186500	1773.21025	0
186506	1773.21026	0
186513	1773.21027	0
186520	1773.21028	0
186527	1773.21029	0
186533	1773.21030	0
186540	1773.21033	0
186546	1773.21032	0
186552	1773.21031	0
186558	1773.21034	0
186565	1773.21035	0
186572	1773.21038	0
186579	1773.21039	0
186585	1773.21036	0
186590	1773.21037	0
186596	1773.21041	0
186602	1773.21040	0
186608	1773.21042	0
186615	1773.21043	0
186622	1773.21044	0
186629	1773.21046	0
186636	1773.21045	0
186643	1773.21047	0
186649	1773.21048	0
186656	1773.21049	0
186663	1773.21050	0
186670	1773.21051	0
186677	1773.21053	0
186684	1773.21052	0
186691	1773.21054	0
186698	1773.21055	0
186705	1773.21056	0
186712	1773.21696	0
186719	1773.21058	0
186724	1773.21057	0
186730	1773.21694	0
186737	1773.21061	0
186744	1773.21062	0
186750	1773.21063	0
186757	1773.21704	0
186761	1773.21702	0
186766	1773.21701	0
186771	1773.21695	0
186778	1773.21700	0
186785	1773.21699	0
186791	1773.21698	0
186798	1773.21071	0
186805	1773.21697	0
186809	1773.21068	0
186816	1773.21703	0
186821	1773.21705	1
186824	1773.21706	1
186827	1773.21711	0
186833	1773.21712	0
186836	1773.21713	0
186839	1773.21709	0
186845	1773.21708	0
186858	1773.21707	0
186861	1773.21710	0
186866	1773.21715	0
186870	1773.21714	0
186876	1773.21726	0
186882	1773.21716	0
186889	1773.21718	0
186896	1773.21719	0
186900	1773.21722	0
186907	1773.21720	0
186913	1773.21721	0
186916	1773.21717	0
186923	1773.21723	0
186930	1773.21724	0
186937	1773.21725	0
186943	1773.21727	0
186947	1773.21730	0
186952	1773.21729	0
186962	1773.21728	0
186968	1773.21733	0
186972	1773.21105	0
186979	1773.21734	0
186986	1773.21735	0
186992	1773.21732	0
186996	1773.21731	0
188872	1773.4991	0
188882	1773.4992	0
188892	1773.4993	0
188902	1773.4994	0
188912	1773.4995	0
188922	1773.4996	0
188932	1773.4997	0
188952	1773.4999	0
188961	1773.5000	0
188971	1773.5001	0
188981	1773.5002	0
188991	1773.5003	0
189001	1773.5004	0
189909	1773.5006	0
189919	1773.5007	0
189929	1773.5008	0
190019	1400870.3	1
190035	1400871.3	1
190051	1400872.3	1
190067	1417008.3	1
190083	1400873.3	1
190099	1400874.3	1
190115	1400875.3	1
190131	1417009.3	1
190148	1400877.3	0
190164	1417010.3	0
190180	1400879.3	0
190196	1400880.3	1
190212	1400881.3	1
190228	1400882.3	1
190244	1417011.3	1
190260	1400883.3	1
190276	1417012.3	0
190292	1400884.3	0
190308	1400885.3	0
190324	1400886.3	0
190340	1417013.3	1
190356	1400887.3	1
190388	1400889.3	1
190420	1417015.3	0
190437	1417016.3	0
190453	1417017.3	1
190469	1417018.3	1
190485	1400891.3	1
190502	1417019.3	1
190518	1400893.3	0
190534	1417020.3	0
190550	1400894.3	0
190566	1417021.3	0
190582	1400895.3	0
190599	1400897.3	0
190616	1400898.3	0
190633	1400899.3	0
190650	1400902.3	0
190667	1400904.3	0
190684	1400907.3	0
190700	1400908.3	0
190717	1400909.3	0
190733	1417023.3	1
190750	1400911.3	0
190767	1400912.3	0
190784	1417026.3	1
190801	1417027.3	1
190818	1400914.3	1
190835	1400915.3	0
190852	1400916.3	1
190868	1400918.3	1
190885	1400920.3	1
190902	1400921.3	0
190919	1400922.3	1
190936	1400923.3	1
190953	1417028.3	1
190970	1417029.3	1
191004	1400925.3	0
191021	1400926.3	0
191038	1417030.3	0
191055	1417031.3	0
191072	1400927.3	0
191089	1400928.3	1
191106	1400929.3	0
191123	1400930.3	0
191140	1400931.3	0
191157	1400932.3	1
191174	1400933.3	1
191191	1400934.4	0
191208	1400935.3	1
191225	1400936.3	0
191242	1400937.3	1
191259	1400938.3	0
191276	1400939.3	0
191293	1400940.3	1
191310	1400941.3	1
191354	1773.5009	0
192216	1354160.3	0
192300	1354130.3	0
192324	1354132.3	0
192368	1354120.3	0
192436	1354112.3	0
192770	1773.5011	0
192780	1773.5012	0
192790	1773.5013	0
195368	1455283.3	0
195378	1455284.3	0
195388	1455285.3	0
195398	1455286.3	0
195408	1455287.3	0
195418	1455288.3	1
195428	1455289.3	1
195438	1455290.3	1
195448	1455291.3	0
195458	1455292.3	1
195467	1455293.3	0
