	genome_id	resistant_phenotype
226168	1402497.3	0
226186	1447529.3	0
226195	1447530.3	0
226204	1447531.3	0
226213	1447532.3	0
226222	1447533.3	0
226231	1447534.3	0
226240	1447535.3	0
226249	1447536.3	0
226267	1402485.3	0
227980	1402542.3	0
227989	1402543.3	0
228016	1402546.3	0
228034	1402548.3	0
228043	1402549.3	0
228052	1402550.3	0
228061	1402551.3	0
228106	1402556.3	0
228115	1402557.3	0
228124	1402558.3	1
228133	1402559.3	0
228142	1402560.3	0
228151	1402561.3	0
228160	1402562.3	0
228169	1402563.3	0
228187	1402565.3	0
228196	1402566.3	0
228214	1447538.3	0
228223	1447539.3	0
228232	1447540.3	0
228241	1447541.3	0
228259	1447544.3	0
228268	1418235.3	0
228277	1418236.3	0
228286	1418237.3	0
228295	1418238.3	0
228304	1418239.3	0
228322	1418241.3	0
228331	1418242.3	0
228340	1418243.3	0
228349	1418244.3	0
228358	1418245.3	0
228367	1418246.3	0
228376	1402501.3	0
228385	1402502.3	0
228394	1402503.3	0
228412	1402506.3	0
228421	1402507.3	1
228430	1402508.3	0
228439	1402509.3	0
228448	1402510.3	0
228466	1402512.3	0
228475	1402513.3	0
228493	1402515.3	0
228502	1402516.3	0
228511	1402517.3	0
228520	1402518.3	0
228529	1402519.3	0
228538	1402520.3	0
228547	1402521.3	0
228556	1402522.3	0
228565	1402523.3	0
228574	1402524.3	0
228583	1402525.3	0
228592	1402526.3	0
228601	1402527.3	0
228628	1402530.3	0
228637	1402531.3	0
228646	1402532.3	0
228673	1402535.3	0
228682	1402536.3	0
228700	1402538.3	0
228709	1402539.3	0
228727	1402572.3	0
228736	1402573.3	0
228745	1402574.3	0
228754	1402575.3	0
228763	1402576.3	0
228772	1402577.3	0
228799	1402489.3	0
228808	1402490.3	0
228817	1402491.3	1
228835	1402495.3	0
228844	1402567.3	0
228853	1402568.3	0
228862	1402569.3	0
228871	1402570.3	0
228880	1402571.3	0
228889	1402487.3	0
228898	1402486.3	0
228937	1418247.3	0
228991	1402492.3	0
229088	287.8493	0
229099	287.8494	0
229110	287.8495	1
229132	287.8497	0
229218	287.8499	1
229229	287.8500	0
229256	287.8501	1
229275	287.8502	0
229286	287.8503	0
229318	287.8506	0
229389	287.8507	1
229475	287.8509	1
229535	287.5752	1
229578	287.2978	0
229631	287.2979	0
229655	287.5778	0
229670	287.2975	1
229684	287.2972	1
229698	287.2976	1
229736	287.5959	1
229806	287.5704	1
229822	287.6331	0
229854	287.5686	1
229934	287.5702	0
229950	287.5685	0
229980	287.5746	1
229995	287.5955	0
230025	287.6329	1
230070	287.6326	0
230100	287.5973	0
230115	287.5971	1
230167	287.5956	0
230173	287.12562	0
230181	287.12774	0
230185	287.12773	0
230189	287.12775	0
230193	287.12776	0
230197	287.12777	1
230201	287.12779	1
230205	287.12780	0
230209	287.12778	1
230213	287.12782	0
230217	287.12781	0
230221	287.12783	1
230225	287.12786	1
230229	287.12785	1
230233	287.12784	1
230237	287.12787	0
230241	287.12790	0
230245	287.12791	1
230249	287.12794	0
230253	287.12795	1
230257	287.12796	1
230261	287.12792	0
230265	287.12793	0
230269	287.12788	0
230273	287.12789	0
230277	287.12797	0
230281	287.12800	0
230285	287.12799	0
230289	287.12801	1
230293	287.12798	1
230297	287.12803	1
230301	287.12805	1
230305	287.12804	0
230309	287.12802	0
230313	287.12806	0
230317	287.12808	0
230321	287.12807	0
230325	287.12809	0
230329	287.12812	0
230333	287.12811	1
230337	287.12810	0
230341	287.12818	0
230345	287.12816	0
230349	287.12815	0
230353	287.12819	0
230357	287.12817	0
230361	287.12814	1
230365	287.12813	0
230369	287.12821	0
230373	287.12822	1
230377	287.12820	0
230381	287.12823	1
230385	287.12825	0
230389	287.12829	0
230393	287.12827	0
230397	287.12830	0
230401	287.12826	0
230405	287.12828	1
230409	287.12824	1
230413	287.12831	1
230417	287.12833	0
230421	287.12835	0
230425	287.12839	0
230429	287.12834	1
230433	287.12832	0
230437	287.12441	1
230441	287.12443	0
230445	287.12442	1
230449	287.12444	0
230453	287.12440	1
230457	287.12446	0
230461	287.12445	0
230465	287.12453	0
230469	287.12455	0
230473	287.12451	0
230477	287.12452	1
230481	287.12449	0
230485	287.12450	1
230493	287.12454	0
230497	287.12447	0
230501	287.12464	0
230505	287.12466	0
230509	287.12465	0
230513	287.12457	0
230517	287.12456	0
230521	287.12463	0
230525	287.12459	1
230529	287.12458	0
230533	287.12460	0
230537	287.12462	0
230541	287.12461	0
230545	287.12474	0
230549	287.12473	0
230553	287.12472	0
230557	287.12476	1
230561	287.12477	1
230565	287.12838	0
230569	287.12475	0
230573	287.12469	0
230577	287.12470	0
230581	287.12467	0
230585	287.12841	0
230589	287.12837	1
230593	287.12836	1
230597	287.12840	0
230601	287.12846	1
230605	287.12847	1
230609	287.12848	0
230613	287.12471	1
230617	287.12468	0
230621	287.12480	0
230625	287.12479	0
230629	287.12482	0
230633	287.12481	0
230637	287.12478	0
230641	287.12484	1
230645	287.12483	0
230649	287.12488	0
230653	287.12487	0
230661	287.12485	0
230665	287.12498	1
230669	287.12495	0
230673	287.12499	0
230677	287.12496	0
230681	287.12497	0
230685	287.12489	0
230689	287.12493	1
230693	287.12491	1
230697	287.12492	0
230701	287.12490	0
230705	287.12494	0
230709	287.12509	0
230713	287.12510	1
230717	287.12508	1
