	genome_id	resistant_phenotype
234041	28901.13275	1
234055	28901.13325	1
234069	28901.13333	1
234083	28901.13339	1
234097	28901.13347	1
234111	28901.13364	1
234125	28901.13303	1
234139	28901.13372	1
234153	28901.13387	1
234167	28901.13394	1
234181	28901.13276	1
234195	28901.13283	1
234209	28901.13298	1
234223	28901.13278	1
234237	28901.13297	0
234251	28901.13304	1
234265	28901.13310	1
234279	28901.13279	1
234293	28901.13287	1
234307	28901.13309	1
234335	28901.13330	1
234363	28901.13343	1
234461	28901.13318	1
234517	28901.13314	0
234531	28901.13327	1
234545	28901.13382	1
234559	28901.13317	1
234573	28901.13324	0
234587	28901.13381	1
234618	28901.13389	0
234632	28901.13388	1
234646	28901.13371	0
234660	28901.13406	0
234674	28901.13392	0
234688	28901.13367	0
234702	28901.13396	0
234723	28901.13332	0
234866	28901.8199	0
234873	28901.13405	1
234887	28901.13338	1
234901	28901.13341	1
234915	28901.13342	1
234929	28901.13350	0
234943	28901.13351	1
234957	28901.13410	0
234971	28901.13348	1
234999	28901.13349	1
235013	28901.13280	1
235027	28901.13284	1
235041	28901.13344	1
235055	28901.13345	1
235069	28901.13365	1
235083	28901.13292	1
235097	28901.13307	1
235111	28901.13291	1
235125	28901.13352	1
235139	28901.13293	1
235153	28901.13355	1
235167	28901.13290	1
235181	28901.13346	1
235222	28901.13354	1
235236	28901.13357	1
235306	28901.13358	1
235487	28901.8200	1
235502	28901.8201	0
235516	28901.8202	0
235544	28901.8204	0
235558	28901.8205	1
235572	28901.8206	1
235600	28901.8208	1
235614	28901.8209	0
235628	28901.8210	0
235642	28901.8211	1
235656	28901.8212	0
235670	28901.8213	1
235684	28901.8214	1
235698	28901.8215	0
235712	28901.8216	0
235726	28901.8217	0
235740	28901.8218	1
235754	28901.8219	0
235768	28901.8220	1
235782	28901.8221	0
235824	28901.8224	1
235838	28901.8225	1
235852	28901.8226	0
235866	28901.8227	0
235880	28901.8228	0
235894	28901.8229	0
235908	28901.8230	0
235922	28901.8231	1
235936	28901.8232	0
235964	28901.8234	0
235978	28901.8235	0
235992	28901.8236	1
236006	28901.8237	0
236020	28901.8238	1
236048	28901.8240	0
236062	28901.8241	1
236076	28901.8242	0
236090	28901.8243	1
236104	28901.8244	1
236118	28901.8245	0
236132	28901.8246	0
236146	28901.8247	0
236160	28901.8248	0
236174	28901.8249	0
236202	28901.8251	0
236216	28901.8252	1
236230	28901.8253	1
236244	28901.8254	1
236258	28901.8255	1
236272	28901.8256	0
236286	28901.8257	0
236300	28901.8258	0
236314	28901.8259	1
236328	28901.8260	0
236342	28901.8261	0
236356	28901.8262	0
236370	28901.8263	1
236384	28901.8264	0
236398	28901.8265	1
236412	28901.8266	0
236426	28901.8267	0
236440	28901.8268	1
236454	28901.8269	0
236468	28901.8270	0
236482	28901.8271	1
236496	28901.8272	1
236510	28901.8273	1
236524	28901.8274	0
236538	28901.8275	1
236552	28901.8276	1
236580	28901.8278	0
236594	28901.8279	0
236622	28901.8281	1
236636	28901.8282	0
236650	28901.8283	0
236664	28901.8284	0
236678	28901.8285	1
236692	28901.8286	0
236720	28901.8288	1
236734	28901.8289	0
236748	28901.8290	1
236762	28901.8291	0
236776	28901.8292	0
236790	28901.8293	0
236804	28901.8294	1
236818	28901.8295	0
236832	28901.8296	0
236846	28901.8297	0
236860	28901.8298	1
236874	28901.8299	1
236888	28901.8300	1
236902	28901.8301	1
236916	28901.8302	1
236930	28901.8303	0
236944	28901.8304	0
236958	28901.8305	0
236972	28901.8306	1
237000	28901.8308	1
237028	28901.8310	0
237042	28901.8311	1
237056	28901.8312	1
237070	28901.8313	1
237084	28901.8314	0
237112	28901.8316	0
237126	28901.8317	1
237168	28901.8320	0
237182	28901.8321	0
237196	28901.8322	0
237210	28901.8323	0
237224	28901.8324	1
237238	28901.8325	0
237252	28901.8326	0
237266	28901.8327	0
237280	28901.8328	0
237294	28901.8329	1
237308	28901.8330	1
237336	28901.8332	1
237350	28901.8333	0
237364	28901.8334	1
237378	28901.8335	1
237392	28901.8336	0
237406	28901.8337	0
237420	28901.8338	0
237434	28901.8339	0
237448	28901.8340	0
237462	28901.8341	1
237476	28901.8342	0
237490	28901.8343	0
237504	28901.8344	1
237546	28901.8347	1
237560	28901.8348	1
237574	28901.8349	0
237588	28901.8350	0
237602	28901.8351	0
237616	28901.8352	1
237630	28901.8353	0
237644	28901.8354	0
237658	28901.8355	0
237672	28901.8356	1
237700	28901.8358	1
237714	28901.8359	1
237728	28901.8360	1
237742	28901.8361	0
237756	28901.8362	0
237770	28901.8363	1
237784	28901.8364	1
237798	28901.8365	1
237812	28901.8366	1
237826	28901.8367	0
237840	28901.8368	0
237854	28901.8369	1
237868	28901.8370	0
237882	28901.8371	1
237896	28901.8372	1
237910	28901.8373	0
237924	28901.8374	0
237938	28901.8375	0
237952	28901.8376	0
237966	28901.8378	0
237980	28901.8377	0
237994	28901.8379	0
238034	28901.8381	0
238048	28901.8382	0
238062	28901.8383	1
238076	28901.8384	0
238090	28901.8385	0
238104	28901.8386	0
238118	28901.8387	0
238146	28901.8389	0
238160	28901.8390	1
238202	28901.8393	1
238216	28901.8394	1
238230	28901.8395	0
238244	28901.8396	0
238258	28901.8397	1
238272	28901.8398	0
238286	28901.8399	0
238312	28901.8400	1
238326	28901.8401	1
238340	28901.8402	1
238354	28901.8403	1
238368	28901.8404	1
238382	28901.8405	1
238396	28901.8406	1
238410	28901.8407	0
238424	28901.8408	0
238438	28901.8409	0
238452	28901.8410	0
238466	28901.8411	1
238494	28901.8413	1
238522	28901.8415	0
238536	28901.8416	0
238550	28901.8417	1
238592	28901.8420	1
238606	28901.8421	0
238620	28901.8422	1
238634	28901.8423	0
238648	28901.8424	1
238662	28901.8425	0
238690	28901.8427	1
238704	28901.8428	1
238731	28901.8429	0
238750	28901.13362	1
238764	28901.13411	1
238778	28901.3870	0
238792	28901.13397	1
238805	28901.8430	0
238808	28901.13356	0
238839	28901.13399	1
238853	28901.13400	0
238867	28901.13320	1
238895	28901.13402	0
238909	28901.13379	0
238923	28901.13315	1
238937	28901.13378	0
238951	28901.13377	0
238965	28901.13277	0
238979	28901.13376	0
238993	28901.13374	0
239007	28901.13373	0
239038	28901.13383	0
239052	28901.13366	1
239083	28901.13288	0
239098	28901.13391	0
239112	28901.13390	0
239126	28901.13403	0
239140	28901.13408	0
239308	28901.13281	1
239322	28901.13311	1
239459	28901.8432	1
239565	28901.8433	0
239569	28901.8434	1
239580	28901.8435	0
239785	28901.1897	1
239857	28901.1851	1
240001	28901.1874	0
240037	28901.1873	0
240226	28901.793	1
240240	28901.794	1
240282	28901.761	0
240310	28901.797	1
240324	28901.798	0
240338	28901.799	0
240366	28901.763	0
240380	28901.801	1
240394	28901.802	1
240408	28901.760	1
240422	28901.764	0
240436	28901.803	1
240450	28901.765	1
240478	28901.805	1
240506	28901.806	0
240534	28901.766	0
240562	28901.809	0
240618	28901.813	0
240660	28901.815	0
240674	28901.769	1
240688	28901.816	1
240730	28901.818	0
240744	28901.819	1
240758	28901.771	0
240772	28901.820	0
240786	28901.772	0
240800	28901.773	1
240828	28901.774	1
240842	28901.775	1
240856	28901.822	1
240884	28901.776	1
240898	28901.824	0
240912	28901.825	1
240940	28901.826	0
240954	28901.827	1
240968	28901.828	0
240982	28901.829	0
240996	28901.830	0
241024	28901.859	0
241038	28901.831	0
241066	28901.832	0
241080	28901.779	0
241108	28901.833	0
241122	28901.780	1
241136	28901.834	0
241150	28901.835	1
241178	28901.855	1
241192	28901.862	0
241206	28901.837	1
241234	28901.861	1
241248	28901.782	0
241276	28901.839	1
241374	28901.842	0
241430	28901.844	1
241444	28901.845	0
241458	28901.846	0
241486	28901.847	1
241500	28901.849	0
241584	28901.850	1
241598	28901.851	1
241612	28901.863	0
241640	28901.852	0
241654	28901.853	0
241668	28901.854	0
241682	28901.8436	0
241727	28901.8439	0
241742	28901.8440	0
241757	28901.8441	0
241787	28901.8443	0
241832	28901.8446	0
241907	28901.8451	0
241922	28901.8452	1
241937	28901.8453	0
241967	28901.8455	0
241981	28901.8456	0
241996	28901.8457	0
242011	28901.8458	0
242055	28901.8461	1
242085	28901.8463	1
242115	28901.8465	1
242130	28901.8466	1
242175	28901.8469	0
242190	28901.8470	1
242205	28901.8471	0
242250	28901.8474	0
242280	28901.8476	0
242310	28901.8478	0
242339	28901.8480	0
242354	28901.8481	0
242369	28901.8482	0
242414	28901.8485	1
242429	28901.8486	1
242444	28901.8487	0
242459	28901.8488	1
242474	28901.8489	0
242489	28901.8490	0
242504	28901.8491	0
242518	28901.8493	0
242533	28901.8492	0
242548	28901.8494	1
242563	28901.8495	1
242578	28901.8496	0
242592	28901.8497	0
242607	28901.8498	0
242622	28901.8499	1
242637	28901.8500	1
242652	28901.8501	1
242667	28901.8502	0
242682	28901.8503	0
242697	28901.8504	1
242742	28901.8507	1
242757	28901.8508	1
242787	28901.8510	0
242802	28901.8511	0
242817	28901.8512	0
242847	28901.8514	1
242862	28901.8515	0
242877	28901.8516	0
242907	28901.8518	0
242921	28901.8519	1
242936	28901.8520	0
242966	28901.8522	1
242981	28901.8523	0
242996	28901.8524	0
243011	28901.8525	0
243101	28901.8531	0
243115	28901.8532	0
243130	28901.8533	0
243144	28901.8534	1
243174	28901.8536	0
243189	28901.8537	1
243219	28901.8539	1
243234	28901.8540	1
243263	28901.8542	1
243278	28901.8543	0
243292	28901.8544	0
243322	28901.8546	0
243455	28901.8555	1
243470	28901.8556	0
243484	28901.8557	0
243499	28901.8558	0
243514	28901.8559	0
243529	28901.8560	1
243544	28901.8561	1
243558	28901.8562	0
243572	28901.8563	0
243587	28901.8564	0
243602	28901.8565	0
243617	28901.8566	0
243632	28901.8567	0
243647	28901.8568	0
243721	28901.8573	1
243736	28901.8574	0
243766	28901.8576	1
243795	28901.8578	0
243840	28901.8581	0
243855	28901.8582	1
243885	28901.8584	1
243899	28901.8585	0
243914	28901.8586	0
243944	28901.8588	1
243958	28901.8589	1
243988	28901.8591	1
244033	28901.8594	1
244048	28901.8595	1
244063	28901.8596	1
244078	28901.8597	0
244108	28901.8599	0
244138	28901.8601	0
244167	28901.8603	0
244272	28901.8610	0
244287	28901.8611	1
244317	28901.8613	0
244332	28901.8614	0
244347	28901.8615	0
244362	28901.8616	0
244377	28901.8617	1
244392	28901.8618	0
244406	28901.8619	1
244420	28901.8620	0
244510	28901.8626	0
244585	28901.8631	0
244600	28901.8632	1
244615	28901.8633	1
244630	28901.8634	1
244690	28901.8638	0
244705	28901.8639	0
244720	28901.8640	0
244750	28901.8642	1
244780	28901.8644	0
244795	28901.8645	0
244825	28901.8647	0
244870	28901.8650	0
244900	28901.8652	0
244915	28901.8653	0
244945	28901.8655	0
244960	28901.8656	0
244975	28901.8657	0
245005	28901.8659	0
245020	28901.8660	0
245035	28901.8661	0
245050	28901.8662	0
245064	28901.8664	0
245078	28901.8663	0
245108	28901.8666	0
245123	28901.8667	0
245153	28901.8669	0
245168	28901.8671	0
245183	28901.8670	0
245213	28901.8673	0
245228	28901.8674	1
245243	28901.8675	0
245258	28901.8676	1
245273	28901.8677	1
245303	28901.8679	0
245318	28901.8680	1
245363	28901.8683	1
245377	28901.8684	1
245407	28901.8686	0
245422	28901.8687	0
245452	28901.8689	0
245467	28901.8690	0
245482	28901.8691	1
245512	28901.8693	0
245527	28901.8694	0
245542	28901.8695	0
245557	28901.8696	1
245572	28901.8697	1
245587	28901.8698	1
245617	28901.8700	1
245632	28901.8701	0
245647	28901.8702	0
245662	28901.8703	0
245692	28901.8705	0
245707	28901.8706	0
245767	28901.8710	0
245827	28901.8714	0
245842	28901.8715	1
245872	28901.8717	1
245932	28901.8721	0
245947	28901.8722	0
245962	28901.8723	0
245977	28901.8724	0
245992	28901.8725	0
246007	28901.8726	0
246037	28901.8727	0
246067	28901.8730	0
246082	28901.8731	0
246097	28901.8732	0
246112	28901.8733	0
246127	28901.8734	0
246142	28901.8735	0
246217	28901.8740	0
246292	28901.8745	0
246337	28901.8748	0
246412	28901.8753	0
246442	28901.8755	0
246472	28901.8757	0
246532	28901.8761	1
246547	28901.8762	1
246607	28901.8766	1
246652	28901.8769	0
246682	28901.8771	0
246697	28901.8772	0
246742	28901.8775	0
246757	28901.8776	1
246772	28901.8777	0
246802	28901.8779	0
246907	28901.8786	1
246922	28901.8787	0
246981	28901.8790	1
246996	28901.8791	0
247011	28901.8792	0
247056	28901.8795	0
247101	28901.8798	1
247116	28901.8799	1
247131	28901.8800	0
247146	28901.8801	0
247161	28901.8802	0
247191	28901.8804	0
247206	28901.8805	0
247236	28901.8807	0
247251	28901.8808	0
247281	28901.8810	0
247296	28901.8811	0
247311	28901.8812	1
247326	28901.8813	0
247371	28901.8816	0
247461	28901.8822	1
247506	28901.8825	1
247536	28901.8827	0
247551	28901.8828	1
247565	28901.8829	0
247580	28901.8830	0
247595	28901.8831	0
247610	28901.8832	1
247625	28901.8833	0
247640	28901.8834	0
247655	28901.8835	0
247670	28901.8836	0
247685	28901.8837	1
247715	28901.8839	0
247775	28901.8843	0
247790	28901.8844	0
247805	28901.8845	0
247820	28901.8846	0
247850	28901.8848	0
247895	28901.8851	0
247910	28901.8852	1
247940	28901.8854	1
247955	28901.8855	0
247970	28901.8856	1
247985	28901.8857	0
248000	28901.8858	1
248015	28901.8859	1
248030	28901.8860	0
248045	28901.8861	1
248060	28901.8862	0
248090	28901.8864	0
248105	28901.8865	0
248120	28901.8866	1
