	genome_id	resistant_phenotype
317641	760876.3	0
317646	760864.3	0
317651	760873.3	0
317656	760868.3	0
317661	760871.3	0
317666	760866.3	0
317671	760862.3	0
317676	760863.3	0
317682	760869.3	0
317687	760872.3	0
317693	760867.3	0
317748	1069625.3	0
317754	760742.3	0
317771	1069626.3	0
317789	760745.3	0
317801	1069624.3	0
317813	760746.3	0
317824	1069627.3	0
317836	760748.3	0
317848	760749.3	0
317860	1069623.3	0
317873	760750.3	0
317886	760754.3	0
317900	760755.3	0
317915	760756.3	0
317929	760758.3	0
317942	1069628.3	0
317957	760760.3	0
318002	760765.3	1
318030	760767.3	0
318075	760771.3	0
318150	760775.3	0
318165	760776.3	0
318178	760777.3	0
318217	760780.3	0
318273	760785.3	0
318326	760788.3	0
318339	886289.3	0
318352	760791.3	0
318365	760792.3	0
318393	760794.3	0
318438	760798.3	1
318453	760799.3	0
318469	760800.3	0
318485	760801.3	0
318501	760802.3	0
318531	760804.3	0
318546	760805.3	0
318561	760806.3	1
318609	760810.3	0
318689	760815.3	0
318705	760816.3	0
318721	760817.3	0
318737	760818.3	0
318753	760819.3	0
318769	760820.3	0
318849	760825.3	0
318881	760827.3	0
318897	760828.3	0
318913	760829.3	0
318929	760830.3	0
318945	760831.3	0
318977	760833.3	0
318993	760834.3	0
319009	760835.3	0
319025	760837.3	0
319056	760838.3	0
319088	760840.3	0
319104	760841.3	0
319120	760842.3	1
319136	760843.3	0
319152	760844.3	1
319168	760845.3	0
319184	760846.3	0
319216	760848.3	0
319232	760861.3	0
319248	760850.3	0
319264	760851.3	0
319280	760852.3	0
319312	760855.3	0
319344	760858.3	0
319360	1105115.3	0
319392	1105116.3	0
319408	1105117.3	0
319424	1105118.3	0
319440	1105121.3	0
319488	1131627.3	0
319504	1105120.3	0
319536	1131629.3	0
319549	760888.3	1
319556	760887.3	1
319599	1313.6941	0
319644	1313.6947	0
319806	1313.7001	0
319822	1313.7002	0
319877	1313.7009	0
319892	1313.7010	0
319907	1313.7011	0
319922	1313.7012	0
319937	1313.7013	0
319952	1313.7015	0
319967	1313.7016	0
319997	1313.7018	0
320012	1313.7019	0
320027	1313.7020	0
320042	1313.7021	0
320104	1313.6447	1
320110	1313.6279	1
320137	1313.6121	1
320149	1313.6326	1
320184	1313.6159	0
320186	1313.6144	0
320190	1313.5530	0
320192	1313.5781	0
320198	1313.6257	0
320206	1313.6066	0
320208	1313.6232	0
320216	1313.6222	0
320218	1313.6133	0
320220	1313.6282	0
320222	1313.5793	0
320226	1313.6748	0
320228	1313.6015	0
320232	1313.5656	0
320238	1313.5903	0
320248	1313.5582	0
320250	1313.6434	0
320252	1313.5539	0
320264	1313.6052	0
320266	1313.6203	0
320270	1313.6409	0
320272	1313.6743	0
320278	1313.6262	0
320286	1313.5564	0
320288	1313.6156	0
320294	1313.6734	0
320300	1313.5703	0
320310	1313.6374	0
320312	1313.6390	0
320314	1313.6727	0
320316	1313.6001	0
320318	1313.6288	0
320328	1313.5758	0
320334	1313.6113	0
320338	1313.5696	0
320354	1313.5484	0
320360	1313.5942	0
320362	1313.5877	0
320368	1313.17135	0
320385	1313.17136	0
320402	1313.17137	0
320419	1313.17138	0
320487	1313.17142	0
320504	1313.17143	0
320555	1313.17146	0
320592	1313.17148	0
320609	1313.17149	0
320626	1313.17150	0
320643	1313.17151	0
320660	1313.17152	0
320677	1313.17153	0
320694	1313.17154	0
320728	1313.17156	0
320745	1313.17157	0
320765	1313.17158	0
320782	1313.17159	0
320799	1313.17160	0
320816	1313.17161	0
320833	1313.17162	0
320850	1313.17163	0
320884	1313.17165	0
320901	1313.17166	0
320918	1313.17167	0
320935	1313.17168	0
320952	1313.17169	0
320969	1313.17170	1
320986	1313.17171	0
321006	1313.17172	0
321023	1313.17173	0
321040	1313.17174	0
321057	1313.17175	0
321074	1313.17176	0
321091	1313.17177	0
321128	1313.17179	0
321145	1313.17180	0
321162	1313.17181	0
321179	1313.17182	0
321196	1313.17183	0
321213	1313.17184	0
321230	1313.17185	0
321247	1313.17186	0
321264	1313.17187	0
321281	1313.17188	0
321298	1313.17189	0
321315	1313.17190	0
321332	1313.17191	0
321349	1313.17192	0
321366	1313.17193	0
321383	1313.17194	0
321400	1313.17195	0
321434	1313.17197	0
321451	1313.17198	0
321468	1313.17199	0
321485	1313.17200	0
321519	1313.17201	0
321536	1313.17203	0
321553	1313.17204	0
321570	1313.17205	0
321587	1313.17206	0
321655	1313.17210	0
321672	1313.17211	0
321706	1313.17213	0
321723	1313.17214	0
321740	1313.17215	0
321757	1313.17216	0
321774	1313.17217	0
321791	1313.17218	0
321808	1313.17219	0
321825	1313.17220	0
321859	1313.17222	0
321876	1313.17223	0
321910	1313.17225	0
321944	1313.17227	0
321961	1313.17228	0
321978	1313.17229	1
321995	1313.17230	0
322012	1313.17231	0
322025	1313.17702	0
322030	1313.17710	0
322035	1313.17706	0
322040	1313.17709	0
322045	1313.8496	0
322050	1313.8378	0
322065	1313.8503	0
322070	1313.8504	0
322075	1313.8505	0
322080	1313.8594	0
322085	1313.8595	0
322090	1313.7669	0
322095	1313.8389	0
322100	1313.8231	0
322105	1313.8489	0
322110	1313.8380	0
322115	1313.8491	0
322120	1313.8492	0
322125	1313.8534	0
322130	1313.8232	0
322135	1313.8381	0
322140	1313.8233	0
322145	1313.8383	0
322150	1313.8234	0
322155	1313.8235	0
322160	1313.8384	0
322165	1313.8236	0
322170	1313.8302	0
322175	1313.8237	0
322180	1313.8303	0
322185	1313.9228	0
322190	1313.8684	0
322195	1313.9318	0
322205	1313.9359	0
322210	1313.8703	0
322215	1313.8704	0
322220	1313.8850	0
322225	1313.8851	0
322230	1313.8918	0
322235	1313.8767	0
322240	1313.8706	0
322245	1313.9137	0
322250	1313.9048	0
322255	1313.8705	0
322260	1313.8707	0
322265	1313.9189	1
322270	1313.9160	0
322275	1313.8685	0
322280	1313.8686	0
322285	1313.9190	0
322290	1313.8938	0
322295	1313.8789	0
322300	1313.8852	0
322305	1313.9324	0
322310	1313.8961	0
322325	1313.9049	0
322330	1313.8688	0
322335	1313.9209	0
322340	1313.9356	0
322345	1313.8823	0
322350	1313.8824	0
322355	1313.9110	0
322360	1313.8666	0
322365	1313.9302	1
322370	1313.8998	0
322375	1313.8721	0
322385	1313.9429	0
322390	1313.8981	1
322395	1313.9361	0
322400	1313.8644	0
322405	1313.8793	0
322410	1313.8794	0
322415	1313.8623	0
322420	1313.8897	0
322425	1313.8962	0
322430	1313.8825	0
322435	1313.9124	0
322440	1313.9268	0
322445	1313.9269	0
322450	1313.8826	0
322455	1313.9068	1
322460	1313.9270	0
322465	1313.9125	0
322470	1313.9126	0
322475	1313.9069	0
322480	1313.9320	0
322485	1313.8999	0
322490	1313.8689	0
322495	1313.8667	0
322500	1313.8835	0
322505	1313.8722	0
322510	1313.9271	0
322515	1313.8854	0
322520	1313.8879	0
322525	1313.9345	0
322530	1313.8769	1
322535	1313.9363	0
322540	1313.9093	0
322545	1313.9094	0
322550	1313.8645	0
322555	1313.9346	0
322560	1313.8743	0
322570	1313.9095	0
322575	1313.9096	0
322580	1313.8646	0
322585	1313.9097	0
322590	1313.8885	0
322595	1313.8624	0
322600	1313.9235	0
322605	1313.8827	0
322610	1313.9079	0
322615	1313.8856	0
322620	1313.8857	0
322625	1313.9245	0
322630	1313.9304	1
322635	1313.9212	0
322640	1313.9305	0
322645	1313.9246	0
322650	1313.9213	0
322655	1313.9128	0
322660	1313.8606	0
322665	1313.8886	0
322670	1313.9303	0
322675	1313.9313	0
322680	1313.9362	0
322685	1313.8806	0
322690	1313.8807	0
322695	1313.8607	0
322700	1313.8608	0
322705	1313.9325	0
322710	1313.9326	0
322715	1313.8828	0
322720	1313.8625	0
322725	1313.9272	0
322730	1313.9193	0
322735	1313.9274	0
322740	1313.8668	0
322745	1313.9152	0
322750	1313.9080	0
322755	1313.8898	0
322760	1313.8899	0
322765	1313.9194	0
322770	1313.9021	0
322775	1313.8723	0
322780	1313.8758	0
322785	1313.9022	0
322790	1313.8919	0
322795	1313.9364	0
322800	1313.8940	0
322805	1313.9195	1
322810	1313.8626	0
322820	1313.9161	0
322825	1313.9131	0
322830	1313.17712	0
322835	1313.9130	0
322840	1313.9214	0
322845	1313.9196	0
322850	1313.9236	0
322855	1313.8808	0
322860	1313.9297	0
322865	1313.9306	0
322878	1313.8982	0
322883	1313.8920	0
322888	1313.9197	0
