	genome_id	resistant_phenotype
317642	760876.3	1
317647	760864.3	0
317652	760873.3	1
317657	760868.3	1
317662	760871.3	1
317667	760866.3	0
317672	760862.3	0
317677	760863.3	0
317683	760869.3	1
317688	760872.3	1
317694	760867.3	1
317711	760878.3	1
317721	760879.3	1
317731	760880.3	1
317741	760881.3	1
317749	1069625.3	1
317755	760742.3	1
317772	1069626.3	1
317791	760745.3	1
317803	1069624.3	1
317815	760746.3	1
317826	1069627.3	1
317838	760748.3	1
317850	760749.3	1
317862	1069623.3	1
317875	760750.3	0
317888	760754.3	1
317902	760755.3	1
317917	760756.3	0
317931	760758.3	1
317944	1069628.3	1
317959	760760.3	0
318004	760765.3	1
318032	760767.3	0
318077	760771.3	1
318152	760775.3	0
318167	760776.3	1
318180	760777.3	0
318219	760780.3	1
318275	760785.3	1
318328	760788.3	1
318341	886289.3	1
318354	760791.3	1
318367	760792.3	1
318395	760794.3	1
318440	760798.3	1
318455	760799.3	1
318471	760800.3	1
318487	760801.3	1
318503	760802.3	1
318533	760804.3	0
318548	760805.3	0
318563	760806.3	1
318611	760810.3	1
318691	760815.3	1
318707	760816.3	1
318723	760817.3	1
318739	760818.3	0
318755	760819.3	0
318771	760820.3	1
318851	760825.3	1
318883	760827.3	1
318899	760828.3	1
318915	760829.3	1
318931	760830.3	1
318947	760831.3	1
318979	760833.3	0
318995	760834.3	1
319011	760835.3	0
319027	760837.3	1
319042	760860.3	0
319058	760838.3	1
319090	760840.3	1
319106	760841.3	1
319122	760842.3	1
319138	760843.3	1
319154	760844.3	1
319170	760845.3	1
319186	760846.3	1
319218	760848.3	1
319234	760861.3	0
319250	760850.3	0
319266	760851.3	1
319282	760852.3	1
319314	760855.3	1
319346	760858.3	1
319362	1105115.3	1
319394	1105116.3	1
319410	1105117.3	1
319426	1105118.3	1
319442	1105121.3	1
319490	1131627.3	1
319506	1105120.3	1
319538	1131629.3	1
319551	760888.3	0
319558	760887.3	1
319602	1313.6941	0
319647	1313.6947	0
319809	1313.7001	1
319826	1313.7002	1
319880	1313.7009	0
319895	1313.7010	0
319910	1313.7011	0
319925	1313.7012	0
319940	1313.7013	1
319955	1313.7015	0
319970	1313.7016	1
320000	1313.7018	1
320015	1313.7019	0
320030	1313.7020	0
320045	1313.7021	0
320105	1313.6447	1
320111	1313.6279	1
320138	1313.6121	1
320150	1313.6326	1
320371	1313.17135	0
320388	1313.17136	0
320405	1313.17137	1
320422	1313.17138	1
320490	1313.17142	0
320507	1313.17143	0
320558	1313.17146	0
320595	1313.17148	0
320612	1313.17149	0
320629	1313.17150	1
320646	1313.17151	0
320663	1313.17152	0
320680	1313.17153	0
320697	1313.17154	0
320731	1313.17156	0
320748	1313.17157	0
320768	1313.17158	0
320785	1313.17159	0
320802	1313.17160	0
320819	1313.17161	0
320836	1313.17162	0
320853	1313.17163	0
320887	1313.17165	0
320904	1313.17166	1
320921	1313.17167	1
320938	1313.17168	0
320955	1313.17169	0
