	genome_id	resistant_phenotype
317643	760876.3	1
317648	760864.3	1
317653	760873.3	1
317658	760868.3	1
317663	760871.3	1
317668	760866.3	1
317673	760862.3	1
317680	760865.3	1
317684	760869.3	1
317689	760872.3	1
317695	760867.3	1
317714	760878.3	1
317724	760879.3	0
317734	760880.3	1
317744	760881.3	0
317750	1069625.3	1
317757	760742.3	0
317774	1069626.3	1
317806	1069624.3	1
317853	760749.3	1
317865	1069623.3	1
317891	760754.3	0
317905	760755.3	0
317920	760756.3	0
317947	1069628.3	1
317962	760760.3	0
318007	760765.3	1
318035	760767.3	0
318080	760771.3	1
318155	760775.3	0
318171	760776.3	1
318184	760777.3	1
318345	886289.3	1
318371	760792.3	1
318399	760794.3	0
318444	760798.3	0
318459	760799.3	1
318475	760800.3	0
318491	760801.3	1
318507	760802.3	1
318537	760804.3	1
318552	760805.3	1
318567	760806.3	0
318615	760810.3	0
318695	760815.3	1
318711	760816.3	1
318743	760818.3	1
318759	760819.3	0
318775	760820.3	1
318855	760825.3	1
318887	760827.3	1
318951	760831.3	1
318983	760833.3	0
318999	760834.3	1
319015	760835.3	0
319031	760837.3	1
319046	760860.3	0
319110	760841.3	0
319126	760842.3	0
319142	760843.3	1
319158	760844.3	1
319174	760845.3	1
319190	760846.3	0
319238	760861.3	0
319254	760850.3	0
319270	760851.3	1
319286	760852.3	0
319318	760855.3	1
319398	1105116.3	1
319414	1105117.3	0
319430	1105118.3	1
319446	1105121.3	1
319494	1131627.3	0
319542	1131629.3	0
319552	760888.3	0
319559	760887.3	1
319606	1313.6941	0
319651	1313.6947	0
319813	1313.7001	0
319832	1313.7002	0
319884	1313.7009	0
319899	1313.7010	0
319914	1313.7011	0
319929	1313.7012	0
319944	1313.7013	0
319959	1313.7015	0
319974	1313.7016	1
320004	1313.7018	1
320019	1313.7019	0
320034	1313.7020	0
320049	1313.7021	0
320375	1313.17135	0
320392	1313.17136	0
320426	1313.17138	1
320494	1313.17142	0
320511	1313.17143	0
320562	1313.17146	0
320599	1313.17148	0
320616	1313.17149	0
320633	1313.17150	0
320650	1313.17151	0
320667	1313.17152	0
320684	1313.17153	0
320701	1313.17154	0
320735	1313.17156	0
320752	1313.17157	0
320772	1313.17158	0
320789	1313.17159	0
320806	1313.17160	0
320823	1313.17161	0
320840	1313.17162	0
320857	1313.17163	0
320891	1313.17165	0
320908	1313.17166	0
320925	1313.17167	0
320942	1313.17168	0
320959	1313.17169	0
320976	1313.17170	0
320993	1313.17171	0
321013	1313.17172	0
321030	1313.17173	0
321047	1313.17174	0
321064	1313.17175	0
321081	1313.17176	0
321098	1313.17177	0
321135	1313.17179	0
321152	1313.17180	0
321169	1313.17181	0
321186	1313.17182	0
321203	1313.17183	0
321220	1313.17184	0
321237	1313.17185	0
321254	1313.17186	0
321271	1313.17187	0
321288	1313.17188	0
321305	1313.17189	0
321322	1313.17190	0
321339	1313.17191	0
321356	1313.17192	0
321373	1313.17193	0
321390	1313.17194	0
321407	1313.17195	0
321441	1313.17197	0
321458	1313.17198	0
321475	1313.17199	0
321492	1313.17200	0
321526	1313.17201	0
321543	1313.17203	0
321560	1313.17204	0
321577	1313.17205	0
321594	1313.17206	0
321662	1313.17210	0
321679	1313.17211	0
321713	1313.17213	0
321730	1313.17214	0
321747	1313.17215	0
321764	1313.17216	0
321781	1313.17217	0
321798	1313.17218	0
321815	1313.17219	0
321832	1313.17220	0
321866	1313.17222	0
321883	1313.17223	0
321917	1313.17225	0
321951	1313.17227	0
321968	1313.17228	0
321985	1313.17229	0
322002	1313.17230	0
322019	1313.17231	0
322028	1313.17702	0
322033	1313.17710	0
322038	1313.17706	0
322043	1313.17709	1
322048	1313.8496	1
322053	1313.8378	1
322068	1313.8503	1
322073	1313.8504	0
322078	1313.8505	0
322083	1313.8594	1
322088	1313.8595	0
322093	1313.7669	1
322098	1313.8389	1
322103	1313.8231	0
322108	1313.8489	0
322113	1313.8380	1
322118	1313.8491	0
322123	1313.8492	1
322128	1313.8534	0
322133	1313.8232	0
322138	1313.8381	1
322143	1313.8233	0
322148	1313.8383	0
322153	1313.8234	1
322158	1313.8235	1
322163	1313.8384	0
322168	1313.8236	0
322173	1313.8302	1
322178	1313.8237	1
322183	1313.8303	1
322188	1313.9228	1
322193	1313.8684	0
322198	1313.9318	1
322208	1313.9359	0
322213	1313.8703	0
322218	1313.8704	1
322223	1313.8850	1
322228	1313.8851	1
322233	1313.8918	0
322238	1313.8767	1
322243	1313.8706	0
322248	1313.9137	0
322253	1313.9048	0
322258	1313.8705	0
322263	1313.8707	1
322268	1313.9189	1
322273	1313.9160	1
322278	1313.8685	0
322283	1313.8686	0
322288	1313.9190	1
322293	1313.8938	1
322298	1313.8789	1
322303	1313.8852	1
322308	1313.9324	0
322313	1313.8961	0
322328	1313.9049	0
322333	1313.8688	1
322338	1313.9209	0
322343	1313.9356	0
322348	1313.8823	0
322353	1313.8824	0
322358	1313.9110	0
322363	1313.8666	0
322368	1313.9302	1
322373	1313.8998	0
322378	1313.8721	0
322388	1313.9429	1
322393	1313.8981	0
322398	1313.9361	0
322403	1313.8644	1
322408	1313.8793	1
322413	1313.8794	0
322418	1313.8623	0
322423	1313.8897	1
322428	1313.8962	1
322433	1313.8825	0
322438	1313.9124	0
322443	1313.9268	0
322448	1313.9269	1
322453	1313.8826	0
322458	1313.9068	1
322463	1313.9270	0
322468	1313.9125	0
322473	1313.9126	0
322478	1313.9069	1
322483	1313.9320	0
322488	1313.8999	1
322493	1313.8689	1
322498	1313.8667	0
322503	1313.8835	0
322508	1313.8722	1
322513	1313.9271	1
322518	1313.8854	0
322523	1313.8879	1
322528	1313.9345	1
322533	1313.8769	1
322538	1313.9363	0
322543	1313.9093	1
322548	1313.9094	0
322553	1313.8645	1
322558	1313.9346	1
322563	1313.8743	0
322573	1313.9095	1
322578	1313.9096	0
322583	1313.8646	0
322588	1313.9097	0
322593	1313.8885	1
322598	1313.8624	0
322603	1313.9235	0
322608	1313.8827	0
322613	1313.9079	1
322618	1313.8856	0
322623	1313.8857	1
322628	1313.9245	0
322633	1313.9304	0
322638	1313.9212	0
322643	1313.9305	0
322648	1313.9246	1
322653	1313.9213	1
322658	1313.9128	0
322663	1313.8606	0
322668	1313.8886	1
322673	1313.9303	0
322678	1313.9313	1
322683	1313.9362	0
322688	1313.8806	1
322693	1313.8807	1
322698	1313.8607	0
322703	1313.8608	1
322708	1313.9325	1
322713	1313.9326	0
322718	1313.8828	0
322723	1313.8625	1
322728	1313.9272	1
322733	1313.9193	1
322738	1313.9274	1
322743	1313.8668	0
322748	1313.9152	1
322753	1313.9080	1
322758	1313.8898	1
322763	1313.8899	0
322768	1313.9194	1
322773	1313.9021	1
322778	1313.8723	0
322783	1313.8758	0
322788	1313.9022	0
322793	1313.8919	0
322798	1313.9364	1
322803	1313.8940	1
322808	1313.9195	1
322813	1313.8626	0
322823	1313.9161	0
322828	1313.9131	0
322833	1313.17712	0
322838	1313.9130	0
322843	1313.9214	1
322848	1313.9196	1
322853	1313.9236	1
322858	1313.8808	0
322863	1313.9297	0
322868	1313.9306	1
322872	1313.17721	1
322881	1313.8982	1
322886	1313.8920	0
322891	1313.9197	1
322896	1313.8922	1
322901	1313.8963	0
322906	1313.8983	1
322911	1313.8725	0
322916	1313.8726	1
322921	1313.8598	0
322926	1313.9176	1
322936	1313.8810	1
322941	1313.8811	1
322946	1313.9023	1
322951	1313.9348	1
322961	1313.8770	0
322966	1313.9276	1
322976	1313.9308	1
322981	1313.9229	0
322986	1313.8964	1
322991	1313.9112	0
322996	1313.9227	1
323006	1313.8609	0
323011	1313.9215	1
323016	1313.9089	1
323021	1313.9071	1
323026	1313.9051	1
323031	1313.9177	0
323041	1313.8859	0
323046	1313.8985	1
323051	1313.9052	0
323056	1313.9113	1
323061	1313.9090	0
323066	1313.8627	1
323071	1313.8628	1
323076	1313.9024	0
323081	1313.9000	0
323086	1313.8900	0
323091	1313.9237	0
323096	1313.9034	0
323101	1313.9070	0
323106	1313.9098	1
323111	1313.9099	0
323116	1313.8629	0
323126	1313.8772	0
323131	1313.8901	0
323136	1313.8744	0
323141	1313.9140	0
323146	1313.9309	0
323151	1313.8670	0
323156	1313.8708	0
323161	1313.9144	0
323166	1313.9310	0
323171	1313.8773	0
323176	1313.9179	0
323181	1313.8599	0
323186	1313.9199	0
323191	1313.9216	0
323196	1313.9247	0
323201	1313.8610	0
323206	1313.8611	0
323211	1313.8612	0
323216	1313.8613	0
323221	1313.8709	0
323226	1313.9349	0
323231	1313.9015	0
323236	1313.8880	0
323241	1313.8630	0
323246	1313.8761	0
323251	1313.8796	0
323256	1313.9053	0
323261	1313.9072	0
323266	1313.9329	0
323271	1313.9073	1
323276	1313.9054	1
323281	1313.9370	0
323286	1313.9330	0
323291	1313.8888	0
323296	1313.8925	1
323301	1313.9001	0
323311	1313.9114	1
323316	1313.9115	0
323321	1313.9116	1
323326	1313.9163	0
323331	1313.9217	1
323336	1313.9180	0
323341	1313.8648	0
323346	1313.9166	0
323351	1313.8614	1
323356	1313.9165	0
323361	1313.9167	0
323366	1313.8860	1
323370	1313.8986	1
323375	1313.8987	1
323380	1313.9025	0
323390	1313.9168	0
323395	1313.9218	0
323400	1313.8813	1
323405	1313.9432	1
323410	1313.8868	0
323415	1313.9331	0
323420	1313.8942	0
323425	1313.9433	0
323430	1313.8941	0
323435	1313.8615	0
323440	1313.8902	0
323445	1313.9434	1
323450	1313.9046	0
323455	1313.9117	1
323460	1313.8988	1
323465	1313.8869	1
323470	1313.8989	0
323475	1313.9277	0
323480	1313.9278	1
323485	1313.8926	1
323490	1313.8870	0
323495	1313.9035	0
323500	1313.8631	1
323505	1313.9181	0
323510	1313.9322	0
323515	1313.9154	0
323520	1313.8830	0
323525	1313.9435	0
323530	1313.9219	0
323535	1313.9155	0
323545	1313.8649	1
323555	1313.9372	0
323560	1313.9431	0
323565	1313.9333	0
323570	1313.9334	0
323575	1313.9373	0
323580	1313.8889	0
323585	1313.9335	0
323590	1313.8890	1
323595	1313.9118	0
323600	1313.9036	0
323605	1313.9037	1
323610	1313.9119	0
323615	1313.9038	1
323620	1313.9336	1
323625	1313.9230	0
323630	1313.9120	0
323635	1313.8728	1
323640	1313.9200	0
323645	1313.9201	1
323650	1313.8915	0
323655	1313.9182	1
323660	1313.9002	0
323665	1313.9132	1
323670	1313.9039	0
323675	1313.9040	1
323680	1313.9220	1
323685	1313.9337	1
323690	1313.9081	1
323695	1313.9231	1
323700	1313.9323	0
323705	1313.9311	1
323710	1313.9338	0
323715	1313.9312	0
323720	1313.8945	1
323725	1313.9260	0
323730	1313.8946	0
323735	1313.8798	0
323740	1313.8729	0
323745	1313.9017	0
323750	1313.8873	0
323758	1313.17731	1
323790	1313.17233	0
323807	1313.17234	0
323826	1313.17235	0
323860	1313.17237	0
323894	1313.17239	0
323928	1313.17241	0
323996	1313.17245	0
324073	1313.17249	0
324107	1313.17251	0
324124	1313.17252	0
324141	1313.17253	0
324158	1313.17254	0
324175	1313.17255	0
324209	1313.17257	0
324229	1313.17258	0
324263	1313.17260	0
324280	1313.17261	0
324297	1313.17262	0
324314	1313.17263	0
324331	1313.17264	0
324348	1313.17265	0
324365	1313.17266	0
324382	1313.17267	0
324399	1313.17268	0
324416	1313.17269	0
324433	1313.17270	0
324450	1313.17271	0
324467	1313.17272	0
324484	1313.17273	0
324504	1313.17274	0
324523	1313.17275	0
324557	1313.17277	0
324574	1313.17278	0
324591	1313.17279	0
324608	1313.17280	0
324625	1313.17281	0
324642	1313.17282	0
324659	1313.17283	0
324693	1313.17285	0
324727	1313.17287	0
324744	1313.17288	0
324764	1313.17289	0
324781	1313.17290	0
324798	1313.17291	0
324832	1313.17293	0
324866	1313.17295	0
324883	1313.17296	0
324900	1313.17297	0
324934	1313.17299	0
324951	1313.17300	0
324968	1313.17301	0
324985	1313.17302	0
325002	1313.17303	0
325019	1313.17304	0
325070	1313.17306	0
325087	1313.17308	0
325104	1313.17309	0
325127	1313.17310	0
325171	1313.17311	0
325321	1313.18343	1
325327	1313.18412	1
325330	1313.18430	1
325334	1313.18523	1
325339	1313.18563	1
325343	1313.18620	1
325349	1313.18628	1
325354	1313.18702	1
325358	1313.18708	1
325368	1313.18735	1
325373	1313.18760	1
325377	1313.18787	1
325381	1313.18839	1
325386	1313.18854	1
325391	1313.18867	1
325394	1313.18878	1
325397	1313.18957	1
325402	1313.19021	1
325407	1313.19071	1
325412	1313.19091	1
325416	1313.19103	1
325421	1313.19150	0
325425	1313.19161	1
325429	1313.19264	1
325434	1313.19281	1
325439	1313.19404	1
325446	1313.19441	1
325451	1313.19469	1
325456	1313.19566	1
325461	1313.19615	1
325471	1313.19644	1
325476	1313.19674	1
325480	1313.19768	1
325484	1313.19769	1
325488	1313.19776	1
325492	1313.19802	1
325496	1313.19855	1
325500	1313.19894	1
325505	1313.19991	1
325507	1313.19993	1
325509	1313.20044	1
325511	1313.20152	1
325513	1313.20155	1
325515	1313.20157	1
325517	1313.20159	0
325521	1313.20160	1
325524	1313.20173	0
325526	1313.20174	1
325528	1313.20186	1
325532	1313.20205	1
325537	1313.20211	1
325542	1313.20220	1
325547	1313.20233	1
325552	1313.20323	1
325557	1313.20484	1
325562	1313.20522	1
325567	1313.20602	1
325572	1313.20603	1
325577	1313.20634	1
325582	1313.20638	1
325587	1313.20701	1
325596	1313.20792	1
325601	1313.20867	1
325606	1313.20870	1
325611	1313.20881	1
325616	1313.20886	1
325621	1313.21003	1
325624	1313.21065	0
325626	1313.18340	1
325629	1313.18344	1
325633	1313.18353	1
325637	1313.18358	1
325641	1313.18360	1
325645	1313.18394	1
325649	1313.18401	1
325653	1313.18442	1
325657	1313.18446	1
325662	1313.18465	1
325666	1313.18482	1
325670	1313.18535	1
325674	1313.18567	1
325678	1313.18575	1
325682	1313.18586	1
325686	1313.18672	1
325690	1313.18680	1
325694	1313.18723	1
325698	1313.18763	1
325702	1313.18793	1
325705	1313.18812	1
325710	1313.18817	1
325714	1313.18866	1
325718	1313.18880	1
325722	1313.18897	1
325726	1313.18912	1
325730	1313.18925	1
325735	1313.18933	1
325740	1313.18984	1
325744	1313.19008	1
325749	1313.19029	1
325752	1313.19035	1
325757	1313.19106	1
325762	1313.19109	1
325767	1313.19115	1
325772	1313.19117	1
325776	1313.19118	1
325780	1313.19119	1
325785	1313.19124	1
325789	1313.19155	1
325794	1313.19199	1
325798	1313.19221	1
325803	1313.19224	1
325807	1313.19265	0
325812	1313.19283	1
325816	1313.19321	1
325821	1313.19323	1
325826	1313.19331	1
325830	1313.19387	1
325835	1313.19395	1
325840	1313.19443	1
325845	1313.19445	1
325850	1313.19464	1
325855	1313.19522	1
325859	1313.19537	1
325864	1313.19558	1
325869	1313.19652	1
325874	1313.19658	1
325878	1313.19691	1
325883	1313.19693	1
325888	1313.19703	1
325891	1313.19734	1
325895	1313.19780	1
325899	1313.19784	1
325903	1313.19785	1
325906	1313.19814	1
325910	1313.19837	1
325914	1313.19850	1
325918	1313.19869	1
325922	1313.19879	1
325926	1313.19885	1
325930	1313.19892	1
325934	1313.19896	1
325938	1313.19904	1
325943	1313.20064	0
325946	1313.20156	1
325950	1313.20199	1
325955	1313.20237	1
325960	1313.20327	1
325965	1313.20610	1
325970	1313.20632	1
325975	1313.20644	1
325980	1313.20681	1
325985	1313.20710	1
325990	1313.20774	1
325995	1313.20821	1
326000	1313.20832	1
326005	1313.20990	1
326010	1313.21027	1
326015	1313.21126	1
326019	1313.21134	1
326022	1313.20058	1
326026	1313.20589	1
326031	1313.21089	1
326036	1313.18606	0
326040	1313.18498	1
326046	1313.18685	0
326052	1313.18917	0
326057	1313.18923	0
326061	1313.18965	0
326064	1313.19089	0
326067	1313.19107	0
326072	1313.19158	0
326076	1313.19360	0
326093	1313.20013	1
326110	1313.20067	1
326115	1313.20176	1
326120	1313.20210	1
326133	1313.20236	1
326138	1313.20238	1
326147	1313.20255	0
326161	1313.20336	1
326199	1313.20519	1
326232	1313.20804	1
326237	1313.20873	0
326254	1313.21069	0
326259	1313.21114	0
326264	1313.18510	0
326269	1313.20043	1
326272	1313.18348	1
326274	1313.19397	1
326278	1313.19667	1
326281	1313.19857	1
326285	1313.20675	1
326290	1313.20960	1
326294	1313.18858	0
326299	1313.19096	0
326304	1313.19207	0
326310	1313.20712	0
326315	1313.21099	0
326321	1313.20230	1
326326	1313.20955	1
326331	1313.21122	0
326336	1313.18693	0
326341	1313.19496	0
326346	1313.19849	0
326351	1313.20225	0
326356	1313.20860	0
326361	1313.20878	0
326367	1313.18890	0
326372	1313.19286	0
326377	1313.19631	0
326382	1313.19908	0
326385	1313.19999	0
326388	1313.20073	0
326393	1313.20114	0
326396	1313.20141	0
326398	1313.20143	0
326400	1313.20188	1
326404	1313.20213	0
326413	1313.20242	0
326426	1313.20569	0
326431	1313.20571	0
326436	1313.20595	0
326441	1313.20855	0
326446	1313.20864	0
326451	1313.20879	0
326466	1313.19357	0
326470	1313.19406	0
326477	1313.19454	1
326492	1313.18538	1
326496	1313.18553	0
326501	1313.18660	0
326505	1313.18709	0
326508	1313.18717	1
326512	1313.18784	0
326515	1313.18788	0
326519	1313.18850	0
326528	1313.18974	0
326532	1313.18983	0
326537	1313.19014	0
326542	1313.19019	0
