	genome_id	resistant_phenotype
317644	760876.3	0
317649	760864.3	0
317654	760873.3	1
317659	760868.3	1
317664	760871.3	1
317669	760866.3	0
317674	760862.3	0
317679	760863.3	0
317685	760869.3	1
317690	760872.3	1
317696	760867.3	1
317715	760878.3	1
317725	760879.3	0
317735	760880.3	0
317745	760881.3	0
317751	1069625.3	0
317759	760742.3	0
317776	1069626.3	1
317797	760745.3	0
317809	1069624.3	0
317821	760746.3	0
317832	1069627.3	0
317844	760748.3	1
317856	760749.3	0
317868	1069623.3	0
317881	760750.3	1
317894	760754.3	0
317908	760755.3	0
317923	760756.3	0
317937	760758.3	0
317950	1069628.3	1
317965	760760.3	0
318010	760765.3	1
318038	760767.3	0
318083	760771.3	1
318158	760775.3	0
318172	760776.3	0
318185	760777.3	0
318224	760780.3	0
318280	760785.3	0
318333	760788.3	0
318346	886289.3	0
318359	760791.3	0
318372	760792.3	0
318402	760794.3	0
318447	760798.3	1
318462	760799.3	1
318478	760800.3	1
318494	760801.3	1
318510	760802.3	0
318540	760804.3	0
318555	760805.3	0
318570	760806.3	1
318618	760810.3	0
318698	760815.3	0
318714	760816.3	0
318730	760817.3	0
318746	760818.3	0
318762	760819.3	0
318778	760820.3	0
318858	760825.3	0
318890	760827.3	0
318906	760828.3	0
318922	760829.3	1
318938	760830.3	1
318954	760831.3	1
318986	760833.3	0
319002	760834.3	0
319018	760835.3	0
319034	760837.3	0
319049	760860.3	0
319065	760838.3	0
319097	760840.3	1
319113	760841.3	0
319129	760842.3	1
319145	760843.3	1
319161	760844.3	1
319177	760845.3	0
319193	760846.3	0
319225	760848.3	1
319241	760861.3	0
319257	760850.3	0
319273	760851.3	1
319289	760852.3	0
319321	760855.3	1
319353	760858.3	1
319369	1105115.3	0
319401	1105116.3	0
319417	1105117.3	0
319433	1105118.3	0
319449	1105121.3	1
319497	1131627.3	1
319513	1105120.3	0
319545	1131629.3	0
319553	760888.3	0
319560	760887.3	0
319609	1313.6941	0
319816	1313.7001	0
319836	1313.7002	0
320106	1313.6447	1
320112	1313.6279	1
320139	1313.6121	1
320151	1313.6326	1
320187	1313.6144	1
320191	1313.5530	1
320193	1313.5781	1
320199	1313.6257	1
320207	1313.6066	1
320209	1313.6232	1
320217	1313.6222	1
320219	1313.6133	1
320221	1313.6282	1
320223	1313.5793	1
320227	1313.6748	1
320229	1313.6015	1
320233	1313.5656	1
320239	1313.5903	1
320249	1313.5582	1
320251	1313.6434	1
320253	1313.5539	1
320271	1313.6409	1
320273	1313.6743	1
320279	1313.6262	1
320287	1313.5564	1
320289	1313.6156	1
320295	1313.6734	1
320301	1313.5703	1
320311	1313.6374	1
320313	1313.6390	1
320315	1313.6727	1
320317	1313.6001	1
320319	1313.6288	1
320329	1313.5758	1
320335	1313.6113	1
320339	1313.5696	1
320355	1313.5484	1
320361	1313.5942	1
320363	1313.5877	1
320378	1313.17135	0
320395	1313.17136	0
320412	1313.17137	1
320429	1313.17138	1
320497	1313.17142	0
320514	1313.17143	0
320565	1313.17146	0
320602	1313.17148	0
320619	1313.17149	0
320636	1313.17150	0
320653	1313.17151	0
320670	1313.17152	0
320687	1313.17153	0
320704	1313.17154	0
320738	1313.17156	0
320755	1313.17157	0
320775	1313.17158	0
320792	1313.17159	0
320809	1313.17160	0
320826	1313.17161	0
320843	1313.17162	0
320860	1313.17163	0
320894	1313.17165	0
320911	1313.17166	0
320928	1313.17167	0
320945	1313.17168	0
320962	1313.17169	0
320979	1313.17170	1
320996	1313.17171	0
321016	1313.17172	0
321033	1313.17173	0
321050	1313.17174	0
321067	1313.17175	0
321084	1313.17176	0
321101	1313.17177	0
321138	1313.17179	0
321155	1313.17180	0
321172	1313.17181	0
321189	1313.17182	0
321206	1313.17183	0
321223	1313.17184	0
321240	1313.17185	0
321257	1313.17186	0
321274	1313.17187	0
321291	1313.17188	0
321308	1313.17189	0
321325	1313.17190	0
321342	1313.17191	0
321359	1313.17192	0
321376	1313.17193	0
321393	1313.17194	0
321410	1313.17195	0
321444	1313.17197	0
321461	1313.17198	0
321478	1313.17199	0
321495	1313.17200	0
321529	1313.17201	0
321546	1313.17203	0
321563	1313.17204	0
321580	1313.17205	0
321665	1313.17210	0
321682	1313.17211	0
321716	1313.17213	0
321733	1313.17214	0
321750	1313.17215	0
321767	1313.17216	0
321784	1313.17217	0
321801	1313.17218	0
321818	1313.17219	0
321835	1313.17220	0
321869	1313.17222	0
321886	1313.17223	0
321920	1313.17225	0
321954	1313.17227	0
321971	1313.17228	0
321988	1313.17229	1
322005	1313.17230	0
322022	1313.17231	0
322029	1313.17702	0
322034	1313.17710	0
322039	1313.17706	0
322044	1313.17709	1
322049	1313.8496	1
322054	1313.8378	1
322069	1313.8503	0
322074	1313.8504	0
322079	1313.8505	0
322084	1313.8594	1
322089	1313.8595	0
322094	1313.7669	1
322099	1313.8389	0
322104	1313.8231	0
322109	1313.8489	0
322114	1313.8380	1
322119	1313.8491	0
322124	1313.8492	0
322129	1313.8534	0
322134	1313.8232	0
322139	1313.8381	1
322144	1313.8233	0
322149	1313.8383	0
322154	1313.8234	1
322159	1313.8235	1
322164	1313.8384	0
322169	1313.8236	0
322174	1313.8302	1
322179	1313.8237	0
322184	1313.8303	0
322189	1313.9228	1
322194	1313.8684	0
322199	1313.9318	1
322209	1313.9359	0
322214	1313.8703	0
322219	1313.8704	1
322224	1313.8850	0
322229	1313.8851	1
322234	1313.8918	0
322239	1313.8767	1
322244	1313.8706	0
322249	1313.9137	0
322254	1313.9048	0
322259	1313.8705	0
322264	1313.8707	0
322269	1313.9189	1
322274	1313.9160	0
322279	1313.8685	0
322284	1313.8686	0
322289	1313.9190	1
322294	1313.8938	1
322299	1313.8789	1
322304	1313.8852	1
322309	1313.9324	0
322314	1313.8961	0
322329	1313.9049	0
322334	1313.8688	1
322339	1313.9209	0
322344	1313.9356	0
322349	1313.8823	0
322354	1313.8824	0
322359	1313.9110	0
322364	1313.8666	0
322369	1313.9302	1
322374	1313.8998	0
322379	1313.8721	0
322389	1313.9429	0
322394	1313.8981	0
322399	1313.9361	0
322404	1313.8644	1
322409	1313.8793	0
322414	1313.8794	0
322419	1313.8623	0
322424	1313.8897	1
322429	1313.8962	1
322434	1313.8825	0
322439	1313.9124	0
322444	1313.9268	0
322449	1313.9269	0
322454	1313.8826	0
322459	1313.9068	1
322464	1313.9270	0
322469	1313.9125	0
322474	1313.9126	0
322479	1313.9069	0
322484	1313.9320	0
322489	1313.8999	1
322494	1313.8689	0
322499	1313.8667	0
322504	1313.8835	0
322509	1313.8722	0
322514	1313.9271	1
322524	1313.8879	1
322529	1313.9345	1
322554	1313.8645	1
322594	1313.8885	1
322614	1313.9079	1
322634	1313.9304	1
322654	1313.9213	1
322669	1313.8886	1
322694	1313.8807	1
322709	1313.9325	1
322724	1313.8625	1
322729	1313.9272	1
322734	1313.9193	1
322739	1313.9274	1
322759	1313.8898	1
322774	1313.9021	1
322799	1313.9364	1
322804	1313.8940	1
322809	1313.9195	1
322834	1313.17712	0
322844	1313.9214	1
322854	1313.9236	1
322869	1313.9306	1
322882	1313.8982	1
322917	1313.8726	1
322927	1313.9176	1
322937	1313.8810	1
322942	1313.8811	1
322952	1313.9348	1
322982	1313.9229	1
322987	1313.8964	1
323012	1313.9215	1
323017	1313.9089	1
323027	1313.9051	1
323057	1313.9113	1
323072	1313.8628	1
323082	1313.9000	0
323087	1313.8900	0
323092	1313.9237	0
323097	1313.9034	0
323102	1313.9070	0
323107	1313.9098	0
323112	1313.9099	0
323117	1313.8629	0
323127	1313.8772	0
323132	1313.8901	0
323137	1313.8744	0
323142	1313.9140	0
323147	1313.9309	0
323152	1313.8670	0
323157	1313.8708	0
323162	1313.9144	0
323167	1313.9310	0
323172	1313.8773	0
323177	1313.9179	0
323182	1313.8599	0
323187	1313.9199	0
323192	1313.9216	0
323197	1313.9247	0
323202	1313.8610	0
323207	1313.8611	0
323212	1313.8612	0
323217	1313.8613	0
323222	1313.8709	0
323227	1313.9349	0
323232	1313.9015	0
323237	1313.8880	0
323242	1313.8630	0
323247	1313.8761	0
323252	1313.8796	0
323257	1313.9053	0
323262	1313.9072	0
323267	1313.9329	0
323272	1313.9073	0
323277	1313.9054	0
323282	1313.9370	0
323287	1313.9330	0
323292	1313.8888	0
323297	1313.8925	1
323302	1313.9001	0
323312	1313.9114	1
323317	1313.9115	1
323322	1313.9116	1
323327	1313.9163	0
323332	1313.9217	0
323337	1313.9180	0
323342	1313.8648	0
323347	1313.9166	0
323352	1313.8614	0
323357	1313.9165	0
323362	1313.9167	0
323371	1313.8986	0
323376	1313.8987	1
323381	1313.9025	0
323391	1313.9168	0
323396	1313.9218	0
323401	1313.8813	1
323406	1313.9432	1
323411	1313.8868	0
323416	1313.9331	0
323421	1313.8942	0
323426	1313.9433	0
323431	1313.8941	0
323436	1313.8615	0
323441	1313.8902	0
323446	1313.9434	0
323451	1313.9046	0
323456	1313.9117	0
323461	1313.8988	1
323466	1313.8869	0
323471	1313.8989	0
323476	1313.9277	0
323481	1313.9278	1
323486	1313.8926	1
323491	1313.8870	0
323496	1313.9035	0
323501	1313.8631	1
323506	1313.9181	0
323511	1313.9322	0
323516	1313.9154	0
323521	1313.8830	0
323526	1313.9435	0
323531	1313.9219	0
323536	1313.9155	0
323546	1313.8649	0
323561	1313.9431	0
323566	1313.9333	0
323571	1313.9334	0
323576	1313.9373	0
323581	1313.8889	0
323586	1313.9335	0
323591	1313.8890	0
323596	1313.9118	0
323601	1313.9036	0
323606	1313.9037	1
323611	1313.9119	0
323616	1313.9038	1
323621	1313.9336	1
323626	1313.9230	0
323631	1313.9120	0
323636	1313.8728	1
323641	1313.9200	0
323646	1313.9201	1
323651	1313.8915	0
323656	1313.9182	0
323661	1313.9002	0
323666	1313.9132	0
323671	1313.9039	0
323676	1313.9040	1
323681	1313.9220	0
323686	1313.9337	1
323691	1313.9081	0
323696	1313.9231	0
323701	1313.9323	0
323706	1313.9311	0
323711	1313.9338	0
323716	1313.9312	0
