	genome_id	resistant_phenotype
76921	1328398.3	1
76923	1328404.3	1
76926	1328405.3	1
76930	1328406.3	1
76933	1328409.3	1
76937	1328411.3	1
76943	1328399.3	1
76952	1328423.3	1
76955	1328424.3	1
76965	1400162.3	1
76966	1328401.3	1
78375	573.13031	1
78413	573.13033	0
78471	573.13036	1
78510	573.13038	1
78665	573.13046	1
78684	573.13047	1
78742	573.13050	1
78821	573.13054	1
78920	573.13059	0
78960	573.13061	1
78980	573.13062	0
78999	573.13063	1
79019	573.13064	1
79215	573.13074	1
79273	573.13077	0
79312	573.13080	1
79586	573.13094	1
79605	573.13095	1
79685	573.13099	1
79724	573.13101	0
79743	573.13102	1
79782	573.13104	0
79821	573.13106	1
79840	573.13107	1
79957	573.13113	0
80054	573.13118	1
80094	573.13120	1
80153	573.13123	1
80172	573.13124	1
80191	573.13125	0
80211	573.13126	1
80249	573.13128	0
80387	573.13135	1
80427	573.13137	0
80466	573.13139	1
80505	573.13141	0
80564	573.13144	1
80662	573.13149	1
80682	573.13150	1
80701	573.13151	0
80837	573.13160	0
80876	573.13162	1
80933	573.13165	1
81009	573.13169	1
81047	573.13171	1
81066	573.13172	0
81106	573.13174	1
81185	573.13178	1
81263	573.13182	0
81303	573.13185	0
81323	573.13186	1
81342	573.13187	1
81458	573.13194	0
81478	573.13195	0
81498	573.13196	1
81654	573.13204	1
81885	573.13216	1
82138	573.13229	1
82427	573.13244	1
82465	573.13246	1
82542	573.13250	1
82562	573.13251	0
82622	573.13254	1
82759	573.13261	1
82817	573.13264	0
82837	573.13265	1
82896	573.13268	0
82915	573.13269	1
82934	573.13270	1
83051	573.13276	0
83110	573.13279	1
83209	573.13284	1
83228	573.13285	0
83248	573.13286	0
83287	573.13288	1
83346	573.13291	0
83445	573.13296	0
83464	573.13297	0
83483	573.13298	1
83543	573.13301	1
83602	573.13304	1
83622	573.13305	0
83642	573.13306	1
83681	573.13308	1
83700	573.13309	1
83797	573.13314	1
83816	573.13315	1
83836	573.13316	1
83856	573.13317	1
83895	573.13319	1
83914	573.13321	0
84049	573.13328	0
84106	573.13331	1
84186	573.13335	1
84323	573.13344	1
84788	573.13368	1
86591	573.13465	0
86611	573.13466	1
86668	573.13469	1
86706	573.13471	1
86725	573.13472	1
86745	573.13473	1
86764	573.13474	1
86803	573.13476	1
86862	573.13479	1
86902	573.13481	0
86981	573.13485	1
87001	573.13486	1
87021	573.13487	1
87041	573.13488	1
87138	573.13493	1
87158	573.13494	1
87177	573.13495	0
87197	573.13496	1
87216	573.13497	1
87254	573.13499	1
87274	573.13500	1
87352	573.13504	1
87411	573.13507	1
87430	573.13508	0
87449	573.13509	1
87487	573.13511	0
87507	573.13512	0
87545	573.13514	1
87642	573.13519	0
87681	573.13521	1
87700	573.13522	0
87777	573.13526	1
87914	573.13533	1
87992	573.13538	1
88011	573.13539	1
88031	573.13540	1
88070	573.13542	1
88109	573.13544	1
88187	573.13548	0
88207	573.13549	1
88306	573.13554	1
88326	573.13555	0
88346	573.13556	1
88365	573.13557	0
88385	573.13558	1
88423	573.13560	1
88443	573.13561	1
88580	573.13568	1
88619	573.13570	0
88659	573.13572	1
88717	573.13575	0
88756	573.13577	1
88795	573.13579	1
88815	573.13580	1
88835	573.13581	0
88875	573.13583	1
88933	573.13586	1
88990	573.13589	1
89028	573.13591	1
89087	573.13594	1
89146	573.13597	1
89184	573.13599	1
89375	573.13609	1
89395	573.13610	1
89454	573.13613	1
89571	573.13619	1
89591	573.13620	1
89611	573.13621	1
89687	573.13625	1
89707	573.13626	0
89726	573.13627	0
89745	573.13628	1
89784	573.13630	1
89803	573.13631	1
89841	573.13633	1
89900	573.13636	1
89939	573.13638	1
89976	573.13640	1
89996	573.13641	1
90016	573.13642	1
90093	573.13646	1
90173	573.13650	1
90210	573.13652	1
90288	573.13656	0
90306	573.13657	0
90326	573.13658	0
90424	573.13663	0
90444	573.13664	0
90482	573.13666	1
90502	573.13667	1
90541	573.13669	1
90599	573.13672	1
90638	573.13674	1
90657	573.13675	1
90714	573.13678	1
90889	573.13687	1
91025	573.13694	1
91044	573.13695	0
91063	573.13696	1
91141	573.13700	0
91160	573.13701	1
91179	573.13702	1
91298	573.13708	1
91318	573.13709	1
91337	573.13710	1
91376	573.13712	1
91395	573.13713	0
91415	573.13714	1
91455	573.13716	1
91475	573.13717	1
91495	573.13718	1
91515	573.13719	0
91535	573.13720	1
91591	573.13723	1
91650	573.13726	1
91670	573.13727	1
91727	573.13730	1
91746	573.13731	0
91825	573.13735	0
91900	573.13739	0
92053	573.13747	0
92113	573.13750	1
92192	573.13754	0
92252	573.13757	0
92271	573.13758	1
92310	573.13760	0
92350	573.13762	1
92389	573.13764	0
92428	573.13766	1
92547	573.13772	1
92586	573.13774	1
92626	573.13777	1
92645	573.13778	1
92665	573.13779	1
92821	573.13787	1
92917	573.13792	1
92957	573.13794	1
92995	573.13796	1
93092	573.13801	1
93149	573.13804	0
93168	573.13805	1
93206	573.13807	1
93263	573.13810	1
93321	573.13813	1
93400	573.13817	1
93419	573.13818	1
93458	573.13820	1
93478	573.13821	1
93517	573.13823	1
93556	573.13825	1
93575	573.13826	1
93673	573.13831	1
93693	573.13832	1
93732	573.13834	0
93810	573.13839	1
93886	573.13843	1
93906	573.13844	0
93925	573.13845	0
93983	573.13848	1
94080	573.13853	0
94156	573.13857	1
94176	573.13858	1
94196	573.13859	1
94274	573.13863	1
94294	573.13864	1
94313	573.13865	0
94333	573.13866	1
94353	573.13867	1
94410	573.13870	1
94469	573.13873	1
94488	573.13874	1
94603	573.13880	1
94642	573.13882	1
94661	573.13884	1
94817	573.13891	0
94934	573.13897	1
94972	573.13899	0
95011	573.13901	1
95051	573.13903	1
95129	573.13907	1
95168	573.13909	1
95225	573.13912	1
95303	573.13916	1
95341	573.13918	1
95418	573.13922	1
95494	573.13926	1
95514	573.13927	1
95533	573.13928	0
95552	573.13929	1
95571	573.13930	1
95643	573.13934	1
95662	573.13935	1
95718	573.13938	1
95737	573.13939	1
95774	573.13941	1
95832	573.13944	0
95851	573.13945	1
96026	573.13954	0
96061	573.13956	0
96079	573.13957	1
96117	573.13959	0
96269	573.13967	0
96307	573.13969	1
96326	573.13970	1
96346	573.13971	1
96366	573.13972	1
