	genome_id	resistant_phenotype
76981	1328382.3	0
77019	1328384.3	0
77035	1328385.3	0
77052	1328386.3	1
77187	1438717.3	1
77267	1438723.3	1
77283	1438724.3	1
77379	1438730.3	1
77495	1438737.3	1
77645	1438746.3	1
77696	1438749.3	1
77781	1438754.3	1
77797	1438755.3	1
77814	1438756.3	1
77830	1438757.3	1
77911	1438762.3	1
77945	1438764.3	1
77962	1438765.3	1
77996	1438767.3	1
78030	1438769.3	1
78064	1438771.3	1
78081	1438772.3	1
78098	1438773.3	1
78147	1438776.3	1
78376	573.13031	0
78394	573.13032	0
78414	573.13033	1
78452	573.13035	1
78472	573.13036	0
78511	573.13038	0
78608	573.13043	1
78666	573.13046	0
78685	573.13047	0
78743	573.13050	0
78822	573.13054	1
78862	573.13056	1
78921	573.13059	0
78961	573.13061	1
78981	573.13062	1
79000	573.13063	1
79020	573.13064	1
79216	573.13074	0
79274	573.13077	0
79313	573.13080	0
79411	573.13085	0
79450	573.13087	1
79528	573.13091	0
79587	573.13094	1
79606	573.13095	1
79686	573.13099	0
79705	573.13100	0
79725	573.13101	1
79744	573.13102	0
79763	573.13103	0
79783	573.13104	0
79822	573.13106	0
79841	573.13107	0
79958	573.13113	1
79997	573.13115	0
80017	573.13116	0
80055	573.13118	0
80095	573.13120	1
80154	573.13123	0
80173	573.13124	0
80192	573.13125	0
80212	573.13126	0
80250	573.13128	1
80270	573.13129	0
80368	573.13134	0
80428	573.13137	0
80467	573.13139	1
80506	573.13141	1
80663	573.13149	0
80683	573.13150	0
80702	573.13151	1
80838	573.13160	1
80877	573.13162	1
80934	573.13165	1
80953	573.13166	0
80972	573.13167	1
80991	573.13168	0
81010	573.13169	1
81029	573.13170	0
81048	573.13171	0
81067	573.13172	1
81107	573.13174	1
81186	573.13178	1
81264	573.13182	1
81304	573.13185	1
81324	573.13186	1
81343	573.13187	1
81459	573.13194	1
81479	573.13195	1
81499	573.13196	1
81558	573.13199	0
81655	573.13204	0
82079	573.13226	1
82099	573.13227	1
82139	573.13229	0
82198	573.13232	1
82331	573.13239	1
82389	573.13242	1
82428	573.13244	0
82466	573.13246	0
82543	573.13250	1
82563	573.13251	1
82623	573.13254	0
82760	573.13261	1
82779	573.13262	0
82798	573.13263	1
82818	573.13264	1
82838	573.13265	1
82897	573.13268	1
82935	573.13270	0
83052	573.13276	1
83111	573.13279	0
83210	573.13284	0
83229	573.13285	1
83249	573.13286	0
83288	573.13288	1
83347	573.13291	1
83427	573.13295	0
83446	573.13296	0
83484	573.13298	0
83544	573.13301	0
83564	573.13302	1
83603	573.13304	0
83623	573.13305	1
83643	573.13306	0
83682	573.13308	0
83701	573.13309	0
83779	573.13313	0
83798	573.13314	0
83817	573.13315	1
83837	573.13316	0
83857	573.13317	0
83896	573.13319	0
83915	573.13321	0
84050	573.13328	0
84070	573.13329	0
84107	573.13331	0
84127	573.13332	0
84187	573.13335	0
84324	573.13344	0
86572	573.13464	0
86612	573.13466	1
86630	573.13467	0
86669	573.13469	0
86707	573.13471	0
86726	573.13472	0
86746	573.13473	0
86765	573.13474	1
86804	573.13476	1
86863	573.13479	0
86883	573.13480	0
87002	573.13486	0
87022	573.13487	1
87042	573.13488	0
87120	573.13492	1
87139	573.13493	1
87159	573.13494	0
87178	573.13495	1
87198	573.13496	0
87217	573.13497	0
87255	573.13499	0
87275	573.13500	0
87353	573.13504	0
87412	573.13507	0
87431	573.13508	0
87450	573.13509	0
87488	573.13511	0
87508	573.13512	1
87527	573.13513	1
87546	573.13514	0
87584	573.13516	1
87643	573.13519	1
87682	573.13521	0
87701	573.13522	1
87778	573.13526	1
87798	573.13527	0
87915	573.13533	0
87934	573.13534	1
87973	573.13537	1
88012	573.13539	1
88032	573.13540	1
88110	573.13544	1
88129	573.13545	0
88188	573.13548	1
88208	573.13549	1
88307	573.13554	0
88347	573.13556	0
88366	573.13557	1
88386	573.13558	0
88424	573.13560	0
88444	573.13561	1
88562	573.13567	0
88581	573.13568	0
88620	573.13570	0
88660	573.13572	0
88718	573.13575	1
88738	573.13576	1
88757	573.13577	1
88796	573.13579	1
88836	573.13581	0
88876	573.13583	1
88934	573.13586	0
88991	573.13589	0
89009	573.13590	0
89029	573.13591	1
89088	573.13594	0
89147	573.13597	1
89185	573.13599	0
89318	573.13606	1
89337	573.13607	0
89376	573.13609	1
89396	573.13610	0
89415	573.13611	0
89455	573.13613	0
89553	573.13618	0
89592	573.13620	0
89612	573.13621	1
89688	573.13625	0
89708	573.13626	1
89727	573.13627	0
89823	573.13632	0
89842	573.13633	0
89920	573.13637	0
89940	573.13638	0
89958	573.13639	0
89977	573.13640	1
89997	573.13641	0
90017	573.13642	1
90094	573.13646	1
90114	573.13647	0
90174	573.13650	0
90192	573.13651	1
90211	573.13652	1
90289	573.13656	1
90307	573.13657	1
90327	573.13658	1
90425	573.13663	0
90445	573.13664	1
90483	573.13666	1
90503	573.13667	0
90542	573.13669	0
90580	573.13671	0
90600	573.13672	0
90639	573.13674	0
90658	573.13675	0
90696	573.13677	0
90715	573.13678	0
90890	573.13687	0
90908	573.13688	1
91026	573.13694	0
91045	573.13695	1
91064	573.13696	1
91142	573.13700	1
91161	573.13701	0
91180	573.13702	0
91199	573.13703	0
91299	573.13708	0
91319	573.13709	1
91377	573.13712	1
91396	573.13713	0
91416	573.13714	0
91456	573.13716	0
91476	573.13717	0
91496	573.13718	0
91536	573.13720	0
91592	573.13723	0
91651	573.13726	0
91671	573.13727	1
91728	573.13730	0
91747	573.13731	1
91826	573.13735	0
91901	573.13739	0
91996	573.13744	0
92015	573.13745	0
92114	573.13750	1
92193	573.13754	1
92253	573.13757	1
92272	573.13758	0
92311	573.13760	1
92351	573.13762	0
92390	573.13764	0
92448	573.13767	0
92548	573.13772	0
92587	573.13774	0
92627	573.13777	1
92646	573.13778	1
92666	573.13779	0
92822	573.13787	0
92860	573.13789	1
92918	573.13792	0
92958	573.13794	0
92996	573.13796	1
93112	573.13802	0
93150	573.13804	1
93207	573.13807	1
93361	573.13815	0
93401	573.13817	0
93420	573.13818	0
93518	573.13823	0
93557	573.13825	0
93576	573.13826	1
93674	573.13831	1
93694	573.13832	0
93733	573.13834	1
93771	573.13836	1
93811	573.13839	0
93848	573.13841	0
93887	573.13843	0
93907	573.13844	1
93926	573.13845	1
93984	573.13848	0
94081	573.13853	0
94157	573.13857	0
94177	573.13858	1
94197	573.13859	0
94275	573.13863	1
94295	573.13864	1
94314	573.13865	1
94334	573.13866	1
94354	573.13867	1
