	genome_id	resistant_phenotype
76984	1328382.3	0
77008	1328383.3	1
77022	1328384.3	0
77038	1328385.3	0
77055	1328386.3	1
77066	1328387.3	1
77190	1438717.3	1
77270	1438723.3	1
77286	1438724.3	1
77382	1438730.3	1
77498	1438737.3	1
77648	1438746.3	1
77699	1438749.3	1
77784	1438754.3	1
77800	1438755.3	1
77817	1438756.3	1
77833	1438757.3	1
77914	1438762.3	1
77948	1438764.3	1
77965	1438765.3	1
77999	1438767.3	1
78033	1438769.3	1
78067	1438771.3	1
78084	1438772.3	1
78101	1438773.3	1
78150	1438776.3	1
78380	573.13031	1
78418	573.13033	1
78456	573.13035	1
78476	573.13036	1
78574	573.13041	1
78612	573.13043	1
78670	573.13046	0
78689	573.13047	1
78747	573.13050	0
78826	573.13054	1
78866	573.13056	1
78925	573.13059	1
78965	573.13061	1
78985	573.13062	1
79004	573.13063	1
79024	573.13064	1
79220	573.13074	0
79278	573.13077	1
79317	573.13080	1
79415	573.13085	1
79454	573.13087	1
79532	573.13091	1
79591	573.13094	1
79610	573.13095	1
79690	573.13099	1
79709	573.13100	0
79729	573.13101	1
79748	573.13102	0
79767	573.13103	0
79787	573.13104	0
79826	573.13106	1
79845	573.13107	1
79962	573.13113	1
80001	573.13115	1
80021	573.13116	1
80040	573.13117	1
80059	573.13118	0
80099	573.13120	1
80158	573.13123	0
80177	573.13124	1
80196	573.13125	1
80216	573.13126	1
80254	573.13128	1
80274	573.13129	0
80372	573.13134	0
80392	573.13135	1
80432	573.13137	0
80471	573.13139	1
80510	573.13141	0
80569	573.13144	1
80667	573.13149	1
80687	573.13150	1
80706	573.13151	1
80842	573.13160	1
80881	573.13162	1
80938	573.13165	1
80957	573.13166	1
80976	573.13167	1
80995	573.13168	1
81014	573.13169	1
81033	573.13170	1
81052	573.13171	1
81071	573.13172	1
81111	573.13174	1
81190	573.13178	1
81268	573.13182	1
81308	573.13185	1
81328	573.13186	1
81347	573.13187	1
81463	573.13194	1
81483	573.13195	1
81503	573.13196	1
81562	573.13199	0
81659	573.13204	1
81890	573.13216	1
82083	573.13226	1
82103	573.13227	1
82202	573.13232	1
82335	573.13239	1
82393	573.13242	1
82432	573.13244	1
82470	573.13246	1
82547	573.13250	1
82567	573.13251	1
82627	573.13254	1
82764	573.13261	1
82783	573.13262	1
82802	573.13263	1
82822	573.13264	1
82842	573.13265	1
82901	573.13268	1
82920	573.13269	1
82939	573.13270	1
83056	573.13276	1
83115	573.13279	0
83214	573.13284	1
83233	573.13285	1
83253	573.13286	0
83292	573.13288	1
83351	573.13291	1
83431	573.13295	1
83450	573.13296	1
83469	573.13297	1
83488	573.13298	1
83548	573.13301	1
83568	573.13302	1
83607	573.13304	1
83627	573.13305	1
83647	573.13306	1
83686	573.13308	1
83705	573.13309	1
83783	573.13313	1
83802	573.13314	1
83821	573.13315	1
83841	573.13316	1
83861	573.13317	1
83900	573.13319	1
83919	573.13321	1
84054	573.13328	1
84074	573.13329	1
84111	573.13331	1
84191	573.13335	1
84328	573.13344	1
84793	573.13368	1
86576	573.13464	1
86596	573.13465	1
86616	573.13466	1
86634	573.13467	1
86673	573.13469	1
86711	573.13471	1
86730	573.13472	1
86750	573.13473	1
86769	573.13474	1
86808	573.13476	1
86867	573.13479	1
86887	573.13480	0
86907	573.13481	1
86986	573.13485	1
87006	573.13486	1
87026	573.13487	1
87046	573.13488	1
87124	573.13492	1
87143	573.13493	1
87163	573.13494	1
87182	573.13495	1
87202	573.13496	1
87221	573.13497	1
87259	573.13499	1
87279	573.13500	1
87357	573.13504	1
87416	573.13507	1
87435	573.13508	0
87454	573.13509	1
87492	573.13511	0
87512	573.13512	1
87531	573.13513	1
87550	573.13514	0
87588	573.13516	1
87647	573.13519	1
87686	573.13521	0
87705	573.13522	1
87782	573.13526	1
87802	573.13527	0
87919	573.13533	1
87938	573.13534	1
87977	573.13537	1
87997	573.13538	1
88016	573.13539	1
88036	573.13540	1
88055	573.13541	1
88075	573.13542	1
88114	573.13544	1
88133	573.13545	1
88192	573.13548	1
88212	573.13549	1
88331	573.13555	1
88351	573.13556	0
88370	573.13557	1
88390	573.13558	1
88428	573.13560	1
88448	573.13561	1
88566	573.13567	1
88585	573.13568	1
88664	573.13572	1
88722	573.13575	1
88742	573.13576	0
88761	573.13577	1
88800	573.13579	1
88820	573.13580	1
88840	573.13581	1
88860	573.13582	1
88880	573.13583	1
88938	573.13586	1
88995	573.13589	1
89013	573.13590	1
89033	573.13591	0
89092	573.13594	1
89151	573.13597	1
89189	573.13599	1
89322	573.13606	1
89341	573.13607	1
89380	573.13609	1
89400	573.13610	1
89419	573.13611	1
89459	573.13613	1
89576	573.13619	1
89596	573.13620	1
89616	573.13621	1
89692	573.13625	1
89712	573.13626	1
89731	573.13627	0
89750	573.13628	1
89789	573.13630	1
89808	573.13631	1
89827	573.13632	1
89846	573.13633	1
89905	573.13636	1
89924	573.13637	0
89944	573.13638	1
89962	573.13639	0
89981	573.13640	1
90001	573.13641	1
90021	573.13642	0
90098	573.13646	1
90118	573.13647	1
90178	573.13650	1
90196	573.13651	0
90215	573.13652	1
90293	573.13656	1
90311	573.13657	1
90331	573.13658	1
90429	573.13663	0
90449	573.13664	0
90487	573.13666	1
90507	573.13667	1
90546	573.13669	1
90584	573.13671	0
90604	573.13672	0
90643	573.13674	1
90662	573.13675	1
90700	573.13677	1
90719	573.13678	1
90894	573.13687	1
90912	573.13688	1
91030	573.13694	1
91049	573.13695	1
91068	573.13696	1
91146	573.13700	1
91165	573.13701	0
91184	573.13702	1
91303	573.13708	1
91323	573.13709	1
91342	573.13710	1
91381	573.13712	1
91400	573.13713	1
91420	573.13714	1
91460	573.13716	1
91480	573.13717	1
91500	573.13718	1
91520	573.13719	0
91540	573.13720	1
91596	573.13723	1
91655	573.13726	0
91675	573.13727	1
91732	573.13730	0
91751	573.13731	1
91905	573.13739	0
92000	573.13744	1
92019	573.13745	0
92058	573.13747	1
92118	573.13750	1
92197	573.13754	1
92257	573.13757	1
92276	573.13758	1
92315	573.13760	1
92355	573.13762	1
92433	573.13766	1
92552	573.13772	1
92591	573.13774	1
92631	573.13777	1
92650	573.13778	1
92670	573.13779	1
92826	573.13787	1
92864	573.13789	1
92922	573.13792	1
92962	573.13794	1
93000	573.13796	1
93097	573.13801	0
93116	573.13802	1
93135	573.13803	1
93154	573.13804	1
93172	573.13805	1
93211	573.13807	1
93267	573.13810	1
93326	573.13813	1
93365	573.13815	1
93405	573.13817	1
93424	573.13818	1
93463	573.13820	1
93483	573.13821	1
93522	573.13823	1
93561	573.13825	1
93580	573.13826	1
93678	573.13831	1
93698	573.13832	1
93737	573.13834	0
93775	573.13836	1
93815	573.13839	1
93852	573.13841	1
93911	573.13844	0
93930	573.13845	0
93988	573.13848	1
94066	573.13851	1
94085	573.13853	0
94161	573.13857	1
94181	573.13858	1
94201	573.13859	1
94279	573.13863	1
94299	573.13864	1
94318	573.13865	1
94338	573.13866	1
94358	573.13867	1
94415	573.13870	0
94474	573.13873	1
94493	573.13874	0
94608	573.13880	1
94647	573.13882	1
94666	573.13884	1
94685	573.13883	1
94724	573.13886	1
94919	573.13896	1
94939	573.13897	0
94977	573.13899	1
94997	573.13900	1
95016	573.13901	1
95056	573.13903	1
95133	573.13907	1
95173	573.13909	1
95230	573.13912	1
95308	573.13916	1
95345	573.13918	1
95423	573.13922	1
95499	573.13926	1
95519	573.13927	1
95538	573.13928	0
95557	573.13929	1
95576	573.13930	1
95648	573.13934	1
95666	573.13935	0
95723	573.13938	1
95742	573.13939	1
95760	573.13940	1
95778	573.13941	1
