	genome_id	resistant_phenotype
76942	1328415.3	1
76985	1328382.3	0
77010	1328383.3	1
77024	1328384.3	0
77040	1328385.3	0
77056	1328386.3	0
77067	1328387.3	0
77192	1438717.3	1
77384	1438730.3	1
77500	1438737.3	0
77786	1438754.3	1
77835	1438757.3	1
78001	1438767.3	0
78381	573.13031	1
78399	573.13032	1
78419	573.13033	1
78457	573.13035	1
78477	573.13036	1
78516	573.13038	1
78613	573.13043	1
78671	573.13046	0
78690	573.13047	0
78748	573.13050	0
78827	573.13054	1
78867	573.13056	1
78926	573.13059	0
78966	573.13061	1
78986	573.13062	1
79005	573.13063	0
79025	573.13064	0
79221	573.13074	1
79318	573.13080	1
79416	573.13085	0
79455	573.13087	1
79533	573.13091	1
79592	573.13094	1
79611	573.13095	1
79691	573.13099	0
79710	573.13100	1
79730	573.13101	0
79749	573.13102	0
79768	573.13103	1
79788	573.13104	0
79827	573.13106	0
79846	573.13107	1
79963	573.13113	0
80002	573.13115	1
80022	573.13116	0
80041	573.13117	1
80060	573.13118	0
80100	573.13120	0
80159	573.13123	0
80178	573.13124	1
80197	573.13125	0
80217	573.13126	1
80255	573.13128	0
80275	573.13129	0
80373	573.13134	1
80393	573.13135	1
80433	573.13137	0
80472	573.13139	1
80511	573.13141	0
80570	573.13144	0
80668	573.13149	0
80688	573.13150	1
80707	573.13151	1
80843	573.13160	1
80882	573.13162	1
80939	573.13165	1
80958	573.13166	0
80977	573.13167	1
80996	573.13168	0
81015	573.13169	0
81034	573.13170	0
81053	573.13171	1
81072	573.13172	0
81112	573.13174	0
81191	573.13178	1
81269	573.13182	0
81309	573.13185	0
81329	573.13186	0
81348	573.13187	1
81464	573.13194	1
81484	573.13195	1
81504	573.13196	1
81563	573.13199	0
81660	573.13204	1
81891	573.13216	1
82084	573.13226	1
82104	573.13227	1
82144	573.13229	0
82203	573.13232	0
82336	573.13239	1
82394	573.13242	0
82433	573.13244	0
82471	573.13246	1
82548	573.13250	1
82568	573.13251	1
82628	573.13254	1
82765	573.13261	0
82784	573.13262	1
82803	573.13263	1
82823	573.13264	0
82843	573.13265	1
82902	573.13268	1
82921	573.13269	1
82940	573.13270	1
83057	573.13276	1
83116	573.13279	1
83215	573.13284	1
83234	573.13285	1
83254	573.13286	1
83293	573.13288	0
83352	573.13291	1
83432	573.13295	1
83489	573.13298	1
83549	573.13301	1
83569	573.13302	0
83608	573.13304	1
83628	573.13305	1
83648	573.13306	1
83687	573.13308	1
83706	573.13309	0
83784	573.13313	1
83803	573.13314	1
83822	573.13315	1
83842	573.13316	1
83862	573.13317	0
83901	573.13319	1
83920	573.13321	0
84055	573.13328	1
84075	573.13329	0
84112	573.13331	1
84132	573.13332	1
84192	573.13335	1
84329	573.13344	0
84794	573.13368	0
86577	573.13464	0
86597	573.13465	0
86617	573.13466	1
86635	573.13467	1
86674	573.13469	1
86712	573.13471	1
86731	573.13472	1
86751	573.13473	1
86770	573.13474	1
86809	573.13476	1
86868	573.13479	0
86888	573.13480	0
86908	573.13481	1
87007	573.13486	0
87027	573.13487	0
87047	573.13488	0
87144	573.13493	1
87164	573.13494	0
87183	573.13495	1
87203	573.13496	1
87222	573.13497	1
87260	573.13499	1
87280	573.13500	0
87358	573.13504	0
87417	573.13507	0
87436	573.13508	0
87455	573.13509	0
87493	573.13511	0
87513	573.13512	1
87532	573.13513	1
87551	573.13514	0
