	genome_id	resistant_phenotype
77011	1328383.3	1
77025	1328384.3	0
77041	1328385.3	0
77057	1328386.3	1
77193	1438717.3	1
77273	1438723.3	1
77289	1438724.3	1
77385	1438730.3	1
77501	1438737.3	1
77651	1438746.3	1
77702	1438749.3	1
77787	1438754.3	1
77803	1438755.3	1
77820	1438756.3	1
77836	1438757.3	1
77917	1438762.3	1
77951	1438764.3	1
77968	1438765.3	1
78002	1438767.3	1
78036	1438769.3	1
78070	1438771.3	1
78087	1438772.3	1
78104	1438773.3	1
78153	1438776.3	1
78382	573.13031	0
78400	573.13032	0
78420	573.13033	0
78458	573.13035	0
78478	573.13036	0
78517	573.13038	0
78576	573.13041	0
78614	573.13043	0
78672	573.13046	1
78691	573.13047	0
78749	573.13050	0
78828	573.13054	0
78868	573.13056	0
78927	573.13059	0
78967	573.13061	0
78987	573.13062	1
79006	573.13063	1
79026	573.13064	0
79222	573.13074	0
79280	573.13077	0
79319	573.13080	0
79417	573.13085	0
79456	573.13087	0
79534	573.13091	0
79593	573.13094	0
79612	573.13095	1
79692	573.13099	0
79711	573.13100	0
79731	573.13101	0
79750	573.13102	0
79769	573.13103	0
79789	573.13104	0
79828	573.13106	0
79847	573.13107	0
79964	573.13113	1
80003	573.13115	0
80023	573.13116	0
80042	573.13117	0
80061	573.13118	0
80101	573.13120	0
80160	573.13123	1
80179	573.13124	0
80198	573.13125	0
80218	573.13126	0
80256	573.13128	0
80276	573.13129	0
80374	573.13134	0
80394	573.13135	0
80434	573.13137	0
80473	573.13139	1
80512	573.13141	0
80571	573.13144	0
80669	573.13149	0
80689	573.13150	0
80708	573.13151	0
80844	573.13160	0
80940	573.13165	0
80959	573.13166	0
80978	573.13167	1
80997	573.13168	0
81016	573.13169	1
81035	573.13170	0
81054	573.13171	0
81073	573.13172	1
81113	573.13174	1
81192	573.13178	1
81270	573.13182	1
81310	573.13185	0
81330	573.13186	1
81349	573.13187	0
81465	573.13194	0
81485	573.13195	1
81505	573.13196	0
81564	573.13199	0
81661	573.13204	0
81892	573.13216	0
82085	573.13226	0
82105	573.13227	0
82145	573.13229	0
82204	573.13232	0
82337	573.13239	0
82395	573.13242	0
82434	573.13244	0
82472	573.13246	0
82549	573.13250	0
82569	573.13251	1
82629	573.13254	0
82766	573.13261	0
82785	573.13262	0
82804	573.13263	0
82824	573.13264	0
82844	573.13265	0
82903	573.13268	0
82922	573.13269	0
