	genome_id	resistant_phenotype
153102	1773.3171	0
153730	1773.3229	0
156157	1773.3495	0
160834	1773.3976	0
160968	1773.4005	0
161026	1773.4017	0
161073	1773.4026	0
161083	1773.4027	0
161205	1773.4049	1
161240	1773.4056	1
161290	1773.4066	0
161355	1773.4080	0
161386	1773.4086	0
161419	1773.4092	0
161454	1773.4099	0
161480	1773.4104	0
161559	1773.4121	0
161594	1773.4128	0
161673	1773.4145	0
161694	1773.4148	0
161761	1773.4163	0
161771	1773.4164	0
161786	1773.4166	0
161818	1773.4172	0
161879	1773.4183	0
161889	1773.4184	0
161922	1773.4189	0
163615	1773.4398	0
164959	1773.4691	0
164983	1773.4695	0
164997	1773.4697	1
165008	1773.4698	0
165057	1773.4707	0
165072	1773.4709	0
165179	1773.4734	0
165276	1773.4756	0
165479	1773.4805	0
165608	1773.4836	0
186346	1354160.3	0
186430	1354130.3	0
186454	1354132.3	0
186498	1354120.3	0
186566	1354112.3	0
189508	1455284.3	0
189518	1455285.3	0
189538	1455287.3	0
189548	1455288.3	1
189558	1455289.3	1
189568	1455290.3	1
189578	1455291.3	0
189588	1455292.3	0
189597	1455293.3	0
189607	1455294.3	1
189617	1455295.3	1
189627	1455302.3	0
189637	1455305.3	0
189657	1455308.3	0
189677	1455312.3	1
189702	1455266.3	1
189712	1455268.3	0
189722	1455269.3	0
189732	1455270.3	0
189752	1455274.3	0
189767	1455276.3	0
189777	1455278.3	1
191724	1422029.3	0
191728	1422030.3	1
191744	1421928.3	0
192012	1422100.3	1
192020	1422104.3	0
192054	1421937.3	0
192079	1421945.3	0
192088	1421947.3	1
192103	1421951.3	0
192120	1421956.3	0
192127	1421957.3	0
192142	1421962.3	0
192153	1421966.3	0
192162	1421968.3	0
192348	1324218.3	0
192366	1324219.3	0
192384	1324220.3	0
192393	1324221.3	1
192402	1324222.3	0
192420	1324223.3	0
192429	1324224.3	0
192447	1267355.3	0
192464	1324225.3	0
192473	1324226.3	0
192482	1324227.3	0
192491	1324228.3	0
192500	1324229.3	0
192518	1324230.3	0
192527	1324231.3	1
192536	1324232.3	0
192554	1267356.3	1
192572	1324233.3	0
192590	1324234.4	0
192608	1267357.3	0
192617	1267358.3	0
192635	1324235.3	0
192653	1267359.3	0
192671	1324236.3	1
192672	1324236.3	0
192688	1324237.3	1
192706	1267360.3	0
192715	1324238.3	0
192732	1324239.3	0
192741	1324240.3	0
192750	1324241.3	0
192768	1324242.3	0
192777	1267361.3	0
192786	1324243.3	1
192804	1324244.3	0
192822	1324245.3	0
192840	1324246.3	0
192858	1324247.3	0
192867	1324248.3	0
192885	1324249.3	0
192894	1324250.3	1
192912	1324251.3	1
192930	1324252.3	0
192939	1324253.3	0
