	genome_id	resistant_phenotype
220290	1402497.3	0
220299	1447528.3	0
220317	1447530.3	0
220326	1447531.3	0
220335	1447532.3	0
220389	1402485.3	0
220521	287.1220	0
220595	287.1204	1
220617	287.1199	0
220621	287.1198	1
220638	287.1193	0
220649	287.1190	0
220656	287.1188	1
220670	287.1184	1
220675	287.1183	0
220974	287.1116	0
220992	287.1112	0
220997	287.1111	1
221006	287.1109	1
221011	287.1108	1
221016	287.1107	0
221100	287.1089	0
221105	287.1088	1
221173	287.1072	1
221263	287.1052	0
221356	287.1031	0
221370	287.1028	0
221375	287.1027	1
221401	287.1021	0
221473	287.1004	1
221543	287.988	0
221560	287.984	0
221610	287.972	1
221707	287.934	1
221729	287.929	1
221734	287.928	0
221739	287.927	0
221764	287.921	0
221801	287.913	1
221838	287.905	0
221906	287.889	1
221915	287.887	0
221928	287.884	0
221933	287.883	1
221947	287.880	0
222102	1402542.3	0
222111	1402543.3	0
222138	1402546.3	0
222174	1402550.3	0
222183	1402551.3	0
222228	1402556.3	0
222237	1402557.3	0
222246	1402558.3	0
222255	1402559.3	0
222264	1402560.3	0
222273	1402561.3	0
222282	1402562.3	0
222309	1402565.3	0
222318	1402566.3	0
222336	1447538.3	0
222345	1447539.3	0
222354	1447540.3	0
222363	1447541.3	0
222381	1447544.3	0
222390	1418235.3	0
222399	1418236.3	0
222408	1418237.3	0
222417	1418238.3	0
222426	1418239.3	0
222444	1418241.3	0
222462	1418243.3	0
222471	1418244.3	0
222480	1418245.3	0
222489	1418246.3	0
222498	1402501.3	1
222516	1402503.3	0
222525	1402504.3	0
222552	1402508.3	0
222561	1402509.3	0
222570	1402510.3	0
222588	1402512.3	0
222597	1402513.3	0
222606	1402514.3	0
222624	1402516.3	0
222633	1402517.3	0
222651	1402519.3	0
222660	1402520.3	0
222669	1402521.3	0
222678	1402522.3	0
222687	1402523.3	0
222696	1402524.3	0
222705	1402525.3	0
222714	1402526.3	0
222723	1402527.3	0
222750	1402530.3	0
222768	1402532.3	0
222795	1402535.3	0
222804	1402536.3	0
222822	1402538.3	0
222831	1402539.3	0
222849	1402572.3	0
222858	1402573.3	0
222867	1402574.3	0
222876	1402575.3	0
222885	1402576.3	0
222894	1402577.3	0
222921	1402489.3	0
222930	1402490.3	0
