	genome_id	resistant_phenotype
232907	28901.3870	0
233914	28901.1897	1
233986	28901.1851	1
234130	28901.1874	0
234166	28901.1873	0
234355	28901.793	1
234369	28901.794	1
234411	28901.761	0
234439	28901.797	1
234453	28901.798	0
234467	28901.799	0
234495	28901.763	0
234509	28901.801	1
234523	28901.802	1
234537	28901.760	1
234551	28901.764	0
234565	28901.803	1
234579	28901.765	1
234607	28901.805	1
234635	28901.806	0
234663	28901.766	0
234691	28901.809	0
234747	28901.813	0
234789	28901.815	0
234803	28901.769	1
234817	28901.816	1
234859	28901.818	0
234873	28901.819	1
234887	28901.771	0
234901	28901.820	0
234915	28901.772	0
234929	28901.773	1
234957	28901.774	1
234971	28901.775	1
234985	28901.822	1
235013	28901.776	1
235027	28901.824	0
235041	28901.825	1
235069	28901.826	0
235083	28901.827	1
235097	28901.828	0
235111	28901.829	0
235125	28901.830	0
235153	28901.859	0
235167	28901.831	0
235195	28901.832	0
235209	28901.779	0
235237	28901.833	0
235251	28901.780	1
235265	28901.834	0
235279	28901.835	1
235307	28901.855	1
235321	28901.862	0
235335	28901.837	1
235363	28901.861	1
235377	28901.782	0
235405	28901.839	1
235503	28901.842	0
235559	28901.844	1
235573	28901.845	0
235587	28901.846	0
235615	28901.847	1
235629	28901.849	0
235713	28901.850	1
235727	28901.851	1
235741	28901.863	0
235769	28901.852	0
235783	28901.853	0
235797	28901.854	0
247577	28901.3242	1
248109	28901.1609	1
248128	28901.2717	0
248326	58095.14	0
248340	58095.15	1
248354	58095.17	0
248382	58095.16	1
248396	58095.9	0
248410	58095.10	0
248438	211968.7	1
248452	211968.3	0
248466	211968.4	1
248494	211968.6	0
248522	58712.70	0
248536	58712.71	0
248550	58712.72	0
248564	58712.73	0
248578	58712.74	0
248592	58712.75	0
248620	58712.76	0
248634	58712.77	0
248648	58712.83	0
248676	58712.79	0
248690	58712.80	1
248718	58712.87	0
248732	58712.84	0
248760	58712.89	0
248774	58712.90	0
248788	58712.85	0
248830	58712.60	0
248858	58712.59	0
248886	58712.94	0
248900	58712.95	0
248914	58712.96	0
248928	58712.97	1
248942	58712.81	0
248998	58712.66	0
249012	58712.67	0
249026	58712.68	0
249040	58712.62	0
249054	58712.69	0
249068	58712.9	0
249082	58712.8	1
249096	58712.10	0
249110	58712.3	0
249138	58712.5	0
249152	58096.44	0
249166	28142.8	0
249180	28142.9	1
249222	58097.44	0
249236	149391.32	0
249250	149391.33	0
249264	149391.34	0
249278	149391.35	0
249292	149391.36	0
249306	149391.22	0
249320	149391.37	0
249334	149391.38	0
249348	149391.45	1
249362	149391.39	0
249376	149391.40	0
249390	149391.41	0
249404	149391.46	0
249418	149391.42	1
249432	149391.43	0
249446	149391.44	0
249488	149391.21	0
249502	149391.47	0
249516	149391.48	1
249530	149391.23	0
249544	149391.25	0
249558	149391.24	1
249572	149391.26	1
249586	149391.27	0
249600	149391.28	0
249614	149391.29	0
249628	149391.30	0
249642	149391.31	0
249670	149391.6	0
249698	149391.4	0
249712	149387.8	0
249726	149387.5	0
249740	149387.6	0
249754	149387.7	1
249782	134047.3	0
249796	1160739.3	0
249810	340188.42	0
249838	340188.40	0
249852	340188.41	0
249866	486990.7	0
249880	486990.8	0
249894	486990.9	0
249936	28144.35	0
249950	28144.36	0
249978	28144.27	0
249992	28144.24	0
250020	28144.26	0
250048	98360.48	0
250062	98360.50	1
250076	98360.49	1
250090	98360.39	1
250104	98360.40	1
250118	98360.41	1
250132	98360.42	1
250146	98360.43	1
250174	98360.98	1
250186	98360.90	1
250198	98360.91	1
