	genome_id	resistant_phenotype
274931	1413350.3	0
274932	1413351.3	0
274951	1413344.3	1
274952	1413345.3	1
274953	1413352.3	1
274954	1413353.3	1
274955	1413346.3	1
274956	1413347.3	1
274957	1413348.3	0
274958	1413597.3	1
274959	1413598.3	0
274960	1413599.3	1
274961	1413600.3	1
274986	1413349.3	1
275067	1413423.3	1
275068	1413418.3	1
275069	1413419.3	1
275070	1413420.3	1
275071	1413421.3	1
275072	1413422.3	1
275073	1413424.3	1
275074	1413425.3	1
275075	1413426.3	1
275076	1413427.3	1
275077	1413428.3	1
275078	1413429.3	1
275079	1413430.3	1
275080	1413431.3	1
275081	1413432.3	1
275082	1413433.3	1
275083	1413434.3	1
275084	1413435.3	1
275085	1413436.3	1
275086	1413437.3	1
275097	1413587.3	1
275098	1413588.3	1
275099	1413354.3	0
275100	1413491.3	0
275109	1413416.3	1
275150	1413394.3	1
275151	1413401.3	1
275194	1413402.3	1
275195	1413405.3	1
275196	1413387.3	1
275197	1413333.3	1
275222	1413519.3	1
275223	1413514.3	1
275224	1413328.3	1
275225	1413516.3	1
275226	1413515.3	1
275227	1413517.3	1
275228	1413518.3	1
275229	1413329.3	1
275230	1413524.3	1
275231	1413523.3	1
275232	1413521.3	1
275233	1413522.3	1
275248	1413334.3	1
275249	1413336.3	1
275250	1413337.3	1
275251	1413338.3	1
275252	1413339.3	1
275253	1413340.3	1
275254	1413341.3	1
275255	1413438.3	1
275256	1413342.3	1
275257	1413414.3	0
275258	1413415.3	0
275301	1413406.3	1
275372	1413589.3	0
275373	1413590.3	0
275378	1413592.3	1
275379	1413591.3	1
275380	1413593.3	0
275381	1413594.3	0
275382	1413595.3	1
275383	1413596.3	1
275416	1413388.3	1
275417	1413384.3	1
275418	1413410.3	1
275419	1413411.3	1
275420	1413407.3	1
275421	1413412.3	1
275422	1413408.3	1
275423	1413409.3	1
275424	1413413.3	1
275425	1413343.3	1
275426	1413385.3	1
275427	1413327.3	0
275428	1413395.3	1
275429	1413396.3	1
275430	1413324.3	1
275431	1413325.3	1
275436	1413397.3	0
275437	1413398.3	0
275438	1413389.3	1
275439	1413390.3	1
275440	1413392.3	1
275441	1413393.3	1
275442	1413391.3	1
275443	1413399.3	1
275444	1413400.3	0
275445	1413586.3	1
275474	1413383.3	1
275480	1280.8699	1
275491	1280.8698	1
275502	1280.8701	1
275513	1280.8700	1
275524	1280.8697	1
275535	1280.9408	1
275546	1280.9409	1
275568	1280.9411	1
275579	1280.7377	1
275590	1280.7408	1
275601	1280.9412	1
275612	1280.7411	1
275623	1280.7413	1
275634	1280.8718	1
275645	1280.8736	1
275656	1280.8735	1
275667	1280.8738	1
275678	1280.8737	1
275689	1280.9413	1
275700	1280.8739	1
275711	1280.8379	1
275722	1280.9414	1
275733	1280.8456	1
275744	1280.8457	1
275755	1280.9415	1
275766	1280.9416	1
275777	1280.9417	1
275788	1280.8389	1
275799	1280.8388	1
275810	1280.9418	1
275821	1280.9419	1
275832	1280.8385	1
275843	1280.8392	1
275854	1280.9420	1
275865	1280.8569	1
275876	1280.8568	1
275887	1280.8566	1
275898	1280.8567	1
275909	1280.8564	1
275920	1280.8565	1
275931	1280.8521	1
275942	1280.8520	1
275953	1280.8522	1
275964	1280.8519	1
275975	1280.8518	1
275986	1280.8517	1
275997	1280.9421	1
276008	1280.9422	1
276019	1280.9423	1
276030	1280.8733	1
276041	1280.9424	1
276062	1280.8790	0
276073	1280.8791	0
276084	1280.9425	0
276095	1280.9427	0
276106	1280.9426	0
276128	1280.8785	0
276150	1280.9429	0
276183	1280.8799	0
276194	1280.8800	0
276205	1280.8801	0
276216	1280.9430	0
276227	1280.8803	0
276238	1280.8777	0
276249	1280.9431	0
276260	1280.8805	0
276271	1280.9432	0
276282	1280.8807	0
276293	1280.9433	0
276304	1280.9434	0
276337	1280.8812	0
276348	1280.8813	0
276359	1280.8814	0
276370	1280.9437	0
276381	1280.7908	0
276392	1280.8816	0
276403	1280.9438	0
276414	1280.9439	0
276425	1280.7912	0
276436	1280.7913	0
276447	1280.7914	0
276458	1280.7915	0
276480	1280.9440	1
276491	1280.7917	0
276502	1280.9441	0
276513	1280.9442	0
276524	1280.7920	0
276535	1280.9443	0
276546	1280.7922	0
276557	1280.7923	0
276568	1280.8773	0
276601	1280.9445	0
276612	1280.9446	0
276623	1280.7928	0
276634	1280.7929	0
276656	1280.9447	0
276667	1280.9448	0
276678	1280.7933	0
276689	1280.9449	0
276700	1280.7935	0
276711	1280.9692	0
276722	1280.7937	0
276733	1280.7938	1
276744	1280.7939	0
276755	1280.9451	0
276788	1280.9452	0
276799	1280.7944	0
276810	1280.9453	0
276832	1280.7946	0
276854	1280.7948	0
276865	1280.7949	0
276876	1280.7950	0
276887	1280.7951	0
276898	1280.9693	0
276909	1280.7953	0
276920	1280.9456	0
276931	1280.9457	0
276942	1280.9458	0
276953	1280.7957	0
276964	1280.9691	0
276975	1280.7959	0
276986	1280.8774	1
276997	1280.7960	0
277008	1280.7961	0
277019	1280.7962	0
277030	1280.9690	0
277041	1280.7964	0
277052	1280.7965	0
277063	1280.7966	0
277074	1280.9462	0
277085	1280.7968	0
277096	1280.7969	0
277107	1280.7970	0
277118	1280.9689	0
277129	1280.9694	0
277140	1280.7973	0
277151	1280.8786	0
277184	1280.9466	0
277195	1280.7977	0
277206	1280.9467	0
277217	1280.7980	0
277228	1280.7979	0
277239	1280.9700	0
277250	1280.9696	0
277261	1280.7983	0
277272	1280.9470	0
277283	1280.7985	1
277294	1280.7986	0
277305	1280.7987	0
277316	1280.9471	0
277327	1280.9699	0
277338	1280.7990	0
277349	1280.7991	0
277360	1280.7992	0
277371	1280.9473	0
277382	1280.7996	0
277393	1280.7994	0
277404	1280.9701	0
277415	1280.9475	0
277426	1280.7998	0
277437	1280.8779	0
277448	1280.9702	0
277459	1280.9695	0
277470	1280.8001	0
277481	1280.9697	1
277492	1280.9706	1
277503	1280.8004	1
277514	1280.9705	0
277525	1280.8819	1
277536	1280.9708	1
277547	1280.9482	1
277558	1280.8008	1
277569	1280.9707	1
277580	1280.9711	1
277602	1280.9703	1
277613	1280.9487	0
277624	1280.9709	1
277635	1280.9710	1
277646	1280.8825	1
277657	1280.8018	1
277668	1280.8827	1
277679	1280.9715	1
277690	1280.9712	0
277701	1280.8829	1
277712	1280.8830	1
277723	1280.8831	0
277734	1280.8832	0
277745	1280.9492	0
277756	1280.8833	0
277767	1280.9714	0
277778	1280.8835	0
277822	1280.8837	0
277833	1280.9718	0
277844	1280.8032	0
277866	1280.8034	0
277877	1280.9496	0
277888	1280.9713	0
277899	1280.8037	0
277910	1280.9717	0
277932	1280.8039	0
277943	1280.8040	0
277954	1280.9720	0
277965	1280.8042	0
277987	1280.8044	0
277998	1280.9719	0
278009	1280.8046	0
278020	1280.8047	0
278031	1280.9721	0
278042	1280.9723	0
278053	1280.9722	0
278064	1280.8051	0
278075	1280.8052	0
278086	1280.8772	0
278097	1280.8053	0
278108	1280.8054	0
278119	1280.8055	0
278130	1280.8056	1
278141	1280.9724	1
278152	1280.9725	1
278174	1280.8060	0
278186	1280.8633	1
278197	1280.8634	1
278208	1280.9726	1
278219	1280.9727	0
278230	1280.8635	1
278241	1280.9728	1
278252	1280.9734	1
278262	1280.9733	1
278273	1280.9729	1
278284	1280.9730	1
278295	1280.8511	1
278306	1280.8513	1
278317	1280.8509	1
278328	1280.8508	1
278339	1280.8510	1
278350	1280.9732	0
278361	1280.8722	0
278372	1280.9731	0
278383	1280.8724	0
278394	1280.8726	0
278416	1280.8727	0
278427	1280.8721	0
278449	1280.7407	0
278460	1280.7404	0
278471	1280.7405	0
278481	1280.9738	0
278503	1280.8063	0
278514	1280.9736	0
278525	1280.9739	1
278536	1280.8066	1
278547	1280.8067	0
278558	1280.9740	1
278570	1280.8734	0
278581	1280.8647	0
278592	1280.8646	0
278603	1280.8648	0
278614	1280.9741	0
278625	1280.8649	0
278636	1280.8645	0
278647	1280.8383	0
278658	1280.8384	0
278668	1280.8545	0
278678	1280.8544	0
278688	1280.8543	0
278698	1280.8542	0
278708	1280.8541	0
278718	1280.8540	0
278728	1280.8490	0
278748	1280.9742	0
278758	1280.9743	0
278768	1280.9744	1
278778	1280.9745	0
278788	1280.9746	1
278798	1280.9747	0
278808	1280.9748	0
278818	1280.9749	1
278838	1280.9751	0
278848	1280.9752	1
278858	1280.9753	1
278868	1280.9535	0
278878	1280.9754	0
278888	1280.9755	0
278898	1280.9756	0
278908	1280.8463	0
278918	1280.8462	1
278928	1280.8465	0
278938	1280.8464	0
278948	1280.8460	0
278968	1280.8459	0
278978	1280.8458	0
278988	1280.8655	0
278998	1280.8656	0
279018	1280.9757	0
279028	1280.9758	1
279038	1280.9759	0
279048	1280.9760	0
279058	1280.8658	0
279068	1280.8659	0
279078	1280.8574	0
279088	1280.9761	0
279098	1280.8572	1
279108	1280.8571	1
279128	1280.9763	0
279138	1280.9764	0
279148	1280.8575	1
279158	1280.9765	0
279178	1280.8754	0
279188	1280.9767	0
279198	1280.9768	1
279218	1280.9769	0
279228	1280.9770	0
279238	1280.8681	0
279248	1280.8586	0
279258	1280.8691	1
279268	1280.8672	0
279278	1280.8670	1
279308	1280.9771	1
279318	1280.8675	1
279328	1280.9772	0
279338	1280.9773	0
