	genome_id	resistant_phenotype
319543	1313.11405	0
319545	1313.10456	0
319547	1313.11741	1
319553	1313.12620	0
319555	1313.12391	0
319563	1313.10615	0
319565	1313.12564	1
319569	1313.11883	0
319573	1313.10736	0
319575	1313.12537	1
319577	1313.12533	1
319581	1313.11743	0
319583	1313.13062	1
319585	1313.11808	1
319593	1313.10232	1
319603	1313.11514	1
319605	1313.13056	0
319607	1313.12028	0
319609	1313.13063	1
319611	1313.12074	0
319613	1313.12624	0
319615	1313.11299	1
319617	1313.12689	0
319619	1313.12012	1
319621	1313.10345	1
319623	1313.12684	1
319625	1313.11052	0
319627	1313.12347	0
319629	1313.11112	0
319631	1313.12014	0
319633	1313.12023	1
319635	1313.11679	1
319637	1313.11751	0
319639	1313.12635	1
319641	1313.11675	0
319643	1313.12643	1
319647	1313.11955	1
319649	1313.12155	0
319651	1313.12201	1
319653	1313.12244	0
319655	1313.11466	0
319659	1313.12611	0
319661	1313.12308	1
319663	1313.12047	0
319667	1313.11221	0
319669	1313.12497	0
319671	1313.12076	1
319675	1313.12264	0
319677	1313.11695	0
319679	1313.11303	1
319681	1313.12592	1
319683	1313.12591	0
319685	1313.11346	1
319687	1313.12005	0
319689	1313.12496	0
319691	1313.12290	0
319693	1313.12126	1
319695	1313.11940	1
319697	1313.11160	0
319699	1313.11143	1
319701	1313.12204	1
319703	1313.12599	1
319707	1313.12206	1
319709	1313.11590	1
319711	1313.11363	1
319713	1313.12660	1
319715	1313.12659	0
319717	1313.11752	0
319719	1313.12648	1
319721	1313.10858	1
319723	1313.12637	0
319725	1313.11145	0
319729	1313.12180	1
319731	1313.12338	1
319733	1313.10767	0
319735	1313.12202	0
319737	1313.11570	0
319739	1313.12232	0
319741	1313.11889	0
319743	1313.12250	0
319747	1313.11578	0
319749	1313.12193	1
319751	1313.12627	0
319753	1313.11456	0
319755	1313.12495	0
319757	1313.12606	0
319759	1313.11407	1
319761	1313.12600	1
319763	1313.12603	0
319765	1313.10536	1
319767	1313.11895	0
319769	1313.12224	1
319771	1313.12113	1
319773	1313.11330	0
319775	1313.12121	0
319777	1313.11241	0
319779	1313.12654	0
319781	1313.12650	1
319783	1313.10369	0
319785	1313.11291	0
319787	1313.12196	1
319789	1313.10209	0
319791	1313.11387	1
319793	1313.12597	1
319795	1313.12602	0
319797	1313.12610	1
319799	1313.10098	0
319803	1313.11630	0
319805	1313.12040	0
319807	1313.12676	1
319809	1313.12636	0
319811	1313.12325	1
319813	1313.11287	0
319815	1313.12065	0
319819	1313.12033	0
319825	1313.10351	0
319827	1313.11155	1
319829	1313.12661	1
319831	1313.12100	0
319833	1313.12186	1
319835	1313.11550	1
319837	1313.11277	0
319841	1313.12692	1
319843	1313.10734	1
319845	1313.10472	0
319847	1313.12007	0
319849	1313.12550	0
319851	1313.12000	1
319853	1313.12560	0
319859	1313.11936	1
319861	1313.10565	0
319863	1313.11225	1
319865	1313.12228	1
319871	1313.12701	0
319875	1313.12053	0
319877	1313.11315	0
319879	1313.11929	0
319881	1313.12321	0
319883	1313.11178	1
319885	1313.12807	0
319889	1313.11597	1
319891	1313.12357	0
319893	1313.12094	0
319895	1313.10419	0
319897	1313.11258	1
319899	1313.12187	0
319901	1313.11477	1
319905	1313.12479	0
319907	1313.12324	0
319909	1313.11425	0
319911	1313.11428	0
319915	1313.12352	0
319917	1313.11737	0
319919	1313.12284	1
319921	1313.12361	1
319923	1313.11237	0
319925	1313.11915	1
319929	1313.12227	0
319933	1313.10801	0
319935	1313.12787	1
319937	1313.12796	1
319941	1313.12315	0
319943	1313.11328	0
319945	1313.12744	1
319949	1313.12365	1
319953	1313.12038	0
319955	1313.12169	1
319957	1313.12168	0
319959	1313.12085	1
319963	1313.10718	0
319965	1313.10587	0
319967	1313.12777	0
319971	1313.11380	0
319975	1313.11709	0
319977	1313.12789	0
319981	1313.12752	0
319985	1313.11242	0
319987	1313.11479	1
319989	1313.12808	0
319993	1313.11805	0
319995	1313.12128	0
319997	1313.11091	1
319999	1313.12212	1
320003	1313.12366	0
320007	1313.11523	0
320009	1313.12452	1
320011	1313.12058	0
320013	1313.11650	0
320015	1313.12828	1
320017	1313.12814	0
320019	1313.12818	0
320021	1313.12299	1
320023	1313.12115	1
320025	1313.12350	0
320027	1313.12803	1
320029	1313.10823	0
320031	1313.11235	0
320033	1313.12741	1
320035	1313.12265	0
320041	1313.11666	1
320045	1313.11947	0
320047	1313.12767	0
320049	1313.11354	0
320051	1313.11817	1
320053	1313.11076	0
320059	1313.12166	0
320061	1313.12150	0
320063	1313.12746	0
320065	1313.12374	0
320067	1313.12733	0
320071	1313.10732	1
320073	1313.11995	1
320075	1313.12348	0
320077	1313.12715	1
320081	1313.12721	0
320085	1313.12108	0
320087	1313.10837	1
320089	1313.11175	1
320093	1313.10676	1
320095	1313.12011	0
320097	1313.11595	0
320099	1313.12826	1
320101	1313.12822	0
320103	1313.12821	1
320105	1313.12805	0
320111	1313.12809	0
320113	1313.12724	1
320117	1313.12064	1
320119	1313.12142	1
320121	1313.12778	1
320125	1313.12093	0
320127	1313.11945	0
320129	1313.12827	1
320133	1313.12213	1
320135	1313.10258	0
320137	1313.10484	0
320139	1313.12735	1
320141	1313.11591	1
320145	1313.12261	1
320147	1313.11971	1
320149	1313.12109	0
320151	1313.12798	1
320155	1313.12063	0
320157	1313.11265	0
320159	1313.11969	0
320161	1313.11549	0
320163	1313.11253	0
320165	1313.12750	1
320167	1313.11207	0
320169	1313.11264	1
320171	1313.12795	1
320173	1313.11712	0
320177	1313.12443	0
320179	1313.12263	0
320181	1313.12314	0
320183	1313.11336	0
320185	1313.11342	1
320187	1313.11994	1
320189	1313.11009	1
320195	1313.10501	0
320197	1313.11104	0
320199	1313.11721	1
320201	1313.12119	1
320203	1313.10308	1
320207	1313.12214	0
320209	1313.12743	0
320211	1313.11572	0
320213	1313.12755	0
320217	1313.10781	1
320219	1313.11693	0
320221	1313.12423	0
320223	1313.12312	1
320229	1313.11415	0
320231	1313.10178	1
320235	1313.10002	1
320237	1313.12748	1
320241	1313.12737	1
320243	1313.10462	0
320245	1313.11710	0
320247	1313.12830	0
320249	1313.10229	1
320251	1313.10528	0
320253	1313.10830	0
320255	1313.10366	1
320257	1313.11657	0
320259	1313.9997	0
320261	1313.10389	1
320263	1313.10216	0
320265	1313.10452	1
320267	1313.11433	1
320269	1313.11690	1
320271	1313.12815	0
320273	1313.11413	1
320275	1313.10010	1
320279	1313.12124	0
320281	1313.11692	0
320283	1313.12804	1
320285	1313.10161	1
320287	1313.12723	1
320289	1313.11545	0
320291	1313.12722	0
320293	1313.12718	0
320295	1313.12711	0
320297	1313.11028	1
320299	1313.11202	1
320301	1313.11877	1
