	genome_id	resistant_phenotype
302198	760876.3	1
302203	760864.3	0
302208	760873.3	1
302213	760868.3	1
302218	760871.3	1
302223	760866.3	0
302228	760862.3	0
302233	760863.3	0
302239	760869.3	1
302244	760872.3	1
302250	760867.3	1
302267	760878.3	1
302277	760879.3	1
302287	760880.3	1
302297	760881.3	1
302305	1069625.3	1
302311	760742.3	1
302328	1069626.3	1
302347	760745.3	1
302359	1069624.3	1
302371	760746.3	1
302382	1069627.3	1
302394	760748.3	1
302406	760749.3	1
302418	1069623.3	1
302431	760750.3	0
302444	760754.3	1
302458	760755.3	1
302473	760756.3	0
302487	760758.3	1
302500	1069628.3	1
302515	760760.3	0
302545	760764.3	0
302560	760765.3	1
302588	760767.3	0
302618	760770.3	1
302633	760771.3	1
302708	760775.3	0
302723	760776.3	1
302736	760777.3	0
302775	760780.3	1
302831	760785.3	1
302884	760788.3	1
302897	886289.3	1
302910	760791.3	1
302923	760792.3	1
302951	760794.3	1
302996	760798.3	1
303011	760799.3	1
303027	760800.3	1
303043	760801.3	1
303059	760802.3	1
303089	760804.3	0
303104	760805.3	0
303119	760806.3	1
303167	760810.3	1
303247	760815.3	1
303263	760816.3	1
303279	760817.3	1
303295	760818.3	0
303311	760819.3	0
303327	760820.3	1
303391	760824.3	1
303407	760825.3	1
303439	760827.3	1
303455	760828.3	1
303471	760829.3	1
303487	760830.3	1
303503	760831.3	1
303535	760833.3	0
303551	760834.3	1
303567	760835.3	0
303583	760837.3	1
303598	760860.3	0
303614	760838.3	1
303646	760840.3	1
303662	760841.3	1
303678	760842.3	1
303694	760843.3	1
303710	760844.3	1
303726	760845.3	1
303742	760846.3	1
303774	760848.3	1
303790	760861.3	0
303806	760850.3	0
303822	760851.3	1
303838	760852.3	1
303870	760855.3	1
303902	760858.3	1
303918	1105115.3	1
303950	1105116.3	1
303966	1105117.3	1
303982	1105118.3	1
303998	1105121.3	1
304046	1131627.3	1
304062	1105120.3	1
304078	1131630.3	1
304094	1131629.3	1
304107	760888.3	0
304114	760887.3	1
304158	1313.6941	0
304203	1313.6947	0
304365	1313.7001	1
304382	1313.7002	1
304436	1313.7009	0
304451	1313.7010	0
304466	1313.7011	0
304481	1313.7012	0
304496	1313.7013	1
304511	1313.7015	0
304526	1313.7016	1
304556	1313.7018	1
304571	1313.7019	0
304586	1313.7020	0
304601	1313.7021	0
304661	1313.6447	1
304667	1313.6279	1
304679	1313.5613	1
304694	1313.6121	1
304706	1313.6326	1
306603	1313.8496	1
306608	1313.8378	1
306623	1313.8503	1
306628	1313.8504	0
306633	1313.8505	0
306638	1313.8594	1
306643	1313.8595	0
306648	1313.7669	1
306653	1313.8389	1
306658	1313.8231	0
306663	1313.8489	0
306668	1313.8380	1
306673	1313.8491	0
306678	1313.8492	1
306683	1313.8534	0
306688	1313.8232	0
306693	1313.8381	1
306698	1313.8233	0
306703	1313.8383	0
306708	1313.8234	1
306713	1313.8235	1
306718	1313.8384	1
306728	1313.8302	1
306733	1313.8237	1
306738	1313.8303	1
306743	1313.9228	0
306748	1313.8684	0
306753	1313.9318	1
306763	1313.9359	0
306768	1313.8703	0
306773	1313.8704	1
306778	1313.8850	1
306783	1313.8851	1
306788	1313.8918	0
306793	1313.8767	1
306798	1313.8706	0
306803	1313.9137	0
306808	1313.9048	0
306813	1313.8705	0
306818	1313.8707	0
306823	1313.9189	1
306828	1313.9160	1
306833	1313.8685	0
306838	1313.8686	0
306843	1313.9190	0
306848	1313.8938	1
306853	1313.8789	1
306858	1313.8852	1
306863	1313.9324	0
306883	1313.9049	0
306888	1313.8688	1
306893	1313.9209	0
306898	1313.9356	0
306903	1313.8823	0
306908	1313.8824	0
306913	1313.9110	0
306918	1313.8666	0
306923	1313.9302	1
306928	1313.8998	0
306933	1313.8721	0
306938	1313.9191	0
306943	1313.9429	0
306948	1313.8981	0
306953	1313.9361	0
306958	1313.8644	1
306963	1313.8793	0
306968	1313.8794	1
306973	1313.8623	1
306978	1313.8897	1
306983	1313.8962	1
306988	1313.8825	0
306993	1313.9124	0
306998	1313.9268	0
307003	1313.9269	0
307008	1313.8826	0
307013	1313.9068	1
307018	1313.9270	0
307023	1313.9125	0
307028	1313.9126	0
307033	1313.9069	0
307038	1313.9320	1
307043	1313.8999	1
307048	1313.8689	1
307053	1313.8667	0
307058	1313.8835	0
307063	1313.8722	0
307068	1313.9271	1
307073	1313.8854	0
307078	1313.8879	1
307083	1313.9345	1
307088	1313.8769	1
307093	1313.9363	0
307098	1313.9093	0
307103	1313.9094	0
307108	1313.8645	1
307113	1313.9346	1
307118	1313.8743	0
307128	1313.9095	1
307133	1313.9096	0
307138	1313.8646	1
307143	1313.9097	0
307148	1313.8885	1
307153	1313.8624	0
307158	1313.9235	0
307163	1313.8827	0
307168	1313.9079	1
307173	1313.8856	0
307178	1313.8857	0
307183	1313.9245	0
307188	1313.9304	1
307193	1313.9212	0
307198	1313.9305	0
307203	1313.9246	0
307208	1313.9213	1
307213	1313.9128	0
307218	1313.8606	0
307223	1313.8886	1
307228	1313.9303	1
307233	1313.9313	0
307238	1313.9362	0
307243	1313.8806	0
307248	1313.8807	1
307253	1313.8607	0
307258	1313.8608	0
307263	1313.9325	1
307268	1313.9326	1
307273	1313.8828	0
307278	1313.8625	1
307283	1313.9272	1
307288	1313.9193	1
307293	1313.9274	1
307298	1313.8668	0
307303	1313.9152	0
307308	1313.9080	0
307313	1313.8898	1
307318	1313.8899	0
307323	1313.9194	1
307328	1313.9021	1
307333	1313.8723	0
307338	1313.8758	0
307343	1313.9022	0
307348	1313.8919	0
307353	1313.9364	1
307358	1313.8940	1
307363	1313.9195	1
307368	1313.8626	0
307378	1313.9161	0
307383	1313.9131	1
307393	1313.9130	0
307398	1313.9214	1
307403	1313.9196	1
307408	1313.9236	0
307413	1313.8808	0
307418	1313.9297	0
307423	1313.9306	1
307436	1313.8982	1
307441	1313.8920	0
307446	1313.9197	1
307451	1313.8922	0
307456	1313.8963	0
307461	1313.8983	1
307466	1313.8725	0
307471	1313.8726	1
307476	1313.8598	1
307481	1313.9176	1
307491	1313.8810	1
307496	1313.8811	1
307501	1313.9023	1
307506	1313.9348	1
307516	1313.8770	0
307521	1313.9276	1
307531	1313.9308	0
307536	1313.9229	0
307541	1313.8964	0
307546	1313.9112	0
307551	1313.9227	1
307561	1313.8609	0
307566	1313.9215	1
307571	1313.9089	1
307576	1313.9071	1
307581	1313.9051	1
307586	1313.9177	0
307596	1313.8859	0
307601	1313.8985	1
307606	1313.9052	0
307611	1313.9113	1
307616	1313.9090	0
307621	1313.8627	1
307626	1313.8628	1
307631	1313.9024	0
307636	1313.9000	0
307641	1313.8900	0
307646	1313.9237	0
307651	1313.9034	0
307656	1313.9070	0
307661	1313.9098	1
307666	1313.9099	0
307671	1313.8629	0
307681	1313.8772	0
307686	1313.8901	1
307691	1313.8744	0
307696	1313.9140	0
307701	1313.9309	0
307706	1313.8670	1
307711	1313.8708	0
307716	1313.9144	0
307721	1313.9310	1
307726	1313.8773	0
307731	1313.9179	0
307736	1313.8599	0
307741	1313.9199	0
307746	1313.9216	0
307751	1313.9247	1
307756	1313.8610	0
307761	1313.8611	0
307766	1313.8612	0
307771	1313.8613	1
307776	1313.8709	0
307781	1313.9349	0
307786	1313.9015	0
307791	1313.8880	0
307796	1313.8630	1
307801	1313.8761	0
307806	1313.8796	1
307811	1313.9053	0
307816	1313.9072	1
307821	1313.9329	0
307826	1313.9073	1
307831	1313.9054	0
307836	1313.9370	0
307841	1313.9330	1
307846	1313.8888	1
307851	1313.8925	1
307856	1313.9001	0
307866	1313.9114	1
307871	1313.9115	1
307876	1313.9116	1
307881	1313.9163	0
307886	1313.9217	1
307891	1313.9180	0
307896	1313.8648	1
307901	1313.9166	0
307906	1313.8614	0
307911	1313.9165	1
307916	1313.9167	0
307921	1313.8860	1
307925	1313.8986	0
307930	1313.8987	1
307935	1313.9025	1
307945	1313.9168	1
307950	1313.9218	0
307955	1313.8813	1
307960	1313.9432	1
307965	1313.8868	0
307970	1313.9331	0
307975	1313.8942	0
307980	1313.9433	1
307985	1313.8941	0
307990	1313.8615	1
307995	1313.8902	0
308000	1313.9434	1
308005	1313.9046	0
308010	1313.9117	0
308015	1313.8988	0
308020	1313.8869	1
308025	1313.8989	0
308030	1313.9277	0
308035	1313.9278	1
308040	1313.8926	1
308045	1313.8870	0
308050	1313.9035	1
308055	1313.8631	1
308060	1313.9181	0
308065	1313.9322	1
308070	1313.9154	0
308075	1313.8830	0
308080	1313.9435	0
308085	1313.9219	1
308090	1313.9155	0
308100	1313.8649	1
308110	1313.9372	0
308115	1313.9431	0
308120	1313.9333	0
308125	1313.9334	0
308130	1313.9373	0
308135	1313.8889	0
308140	1313.9335	0
308145	1313.8890	1
308150	1313.9118	0
308155	1313.9036	0
308160	1313.9037	1
308165	1313.9119	0
308170	1313.9038	1
308175	1313.9336	1
308180	1313.9230	0
308185	1313.9120	0
308190	1313.8728	1
308195	1313.9200	1
308200	1313.9201	1
308205	1313.8915	0
308210	1313.9182	0
308215	1313.9002	0
308220	1313.9132	1
308225	1313.9039	0
308230	1313.9040	1
308235	1313.9220	0
308240	1313.9337	1
308245	1313.9081	1
308250	1313.9231	0
308255	1313.9323	1
308260	1313.9311	0
308270	1313.9312	0
308275	1313.8945	1
308280	1313.9260	1
308285	1313.8946	0
308290	1313.8798	0
308295	1313.8729	0
308300	1313.9017	1
308305	1313.8873	0
309837	1313.6708	1
309859	1313.5974	1
309862	1313.6676	0
309866	1313.5440	1
318742	1313.6059	1
318832	1313.6678	1
318838	1313.6700	1
318844	1313.5982	1
318847	1313.5560	1
318850	1313.5621	1
318856	1313.6704	0
325666	1313.6342	0
325701	1313.6741	0
325705	1313.6771	0
325709	1313.6105	0
325717	1313.6377	0
325721	1313.5723	1
325789	1313.5807	0
325805	1313.6002	1
325817	1313.6272	1
325824	1313.5499	1
325826	1313.5418	1
325828	1313.6729	1
325831	1313.6212	1
