	species	count
0	Mycobacterium tuberculosis	21184
1	Salmonella enterica	9334
2	Streptococcus pneumoniae	7518
3	Neisseria gonorrhoeae	6879
4	Escherichia coli	4217
5	Staphylococcus aureus	3850
6	Klebsiella pneumoniae	3532
7	Enterococcus faecium	2728
8	Acinetobacter baumannii	2320
9	Pseudomonas aeruginosa	1222
10	Shigella sonnei	850
11	Enterobacter cloacae	596
12	Campylobacter jejuni	508
13	Campylobacter coli	392
14	Streptococcus uberis	326
15	Peptoclostridium difficile	278
16	Serratia marcescens	223
17	Shigella flexneri	184
18	Streptococcus agalactiae	157
19	Enterococcus faecalis	133
20	Staphylococcus haemolyticus	128
21	Clostridioides difficile	96
22	Actinobacillus pleuropneumoniae	94
23	Corynebacterium striatum	94
24	Vibrio cholerae	92
25	Haemophilus influenzae	88
26	Klebsiella aerogenes	86
27	Staphylococcus argenteus	68
28	Enterobacter hormaechei	60
29	Klebsiella oxytoca	55
30	Helicobacter pylori	53
31	Streptococcus suis	50
32	Neisseria meningitidis	48
33	Enterobacter sp.	47
34	Acinetobacter pittii	37
35	Enterobacter aerogenes	29
36	Mycobacterium africanum	26
37	Staphylococcus epidermidis	26
38	Streptococcus dysgalactiae	25
39	Enterobacter asburiae	23
40	Arcobacter butzleri	22
41		20
42	Pseudomonas stutzeri	19
43	Shigella boydii	14
44	Citrobacter freundii	13
45	Proteus mirabilis	9
46	Acinetobacter sp.	9
47	Klebsiella quasipneumoniae	6
48	Morganella morganii	4
49	Burkholderia pyrrocinia	3
50	Citrobacter sp.	3
51	Enterobacter kobei	3
52	Serratia sp.	2
53	Serratia liquefaciens	2
54	Citrobacter koseri	2
55	Staphylococcus pettenkoferi	2
56	Enterobacter ludwigii	2
57	Listeria monocytogenes	2
58	Klebsiella variicola	2
59	Staphylococcus lugdunensis	1
60	Staphylococcus warneri	1
61	Staphylococcus saprophyticus	1
62	Pseudomonas sp.	1
63	Staphylococcus capitis	1
64	Salmonella sp.	1
65	Yersinia kristensenii	1
66	[Kluyvera] intestini	1
67	Raoultella ornithinolytica	1
68	Staphylococcus hominis	1
69	Achromobacter denitrificans	1
70	Pseudomonas oryzihabitans	1
71	Pseudomonas monteilii	1
72	Acinetobacter calcoaceticus	1
73	Acinetobacter nosocomialis	1
74	Aerococcus urinaeequi	1
75	Aeromonas salmonicida	1
76	Burkholderia contaminans	1
77	Burkholderia multivorans	1
78	Corynebacterium glutamicum	1
79	Desulfovibrio desulfuricans	1
80	Enterococcus casseliflavus	1
81	Enterococcus gallinarum	1
82	Enterococcus hirae	1
83	Enterococcus raffinosus	1
84	Hafnia alvei	1
85	Herbaspirillum sp.	1
86	Klebsiella michiganensis	1
87	Kluyvera ascorbata	1
88	Lachnoclostridium sp.	1
89	Leclercia adecarboxylata	1
90	Achromobacter sp.	1
91	Mycobacterium bovis	1
92	Mycobacterium canettii	1
93	Mycobacterium sp.	1
94	Pluralibacter gergoviae	1
95	Proteus vulgaris	1
96	Providencia rettgeri	1
97	Providencia stuartii	1
98	Pseudomonas aeruginosastrain	1
99	Lelliottia amnigena	1
