	Unnamed: 0	genome_id	resistant_phenotype
0	826	470.659	0
1	841	470.733	0
2	852	470.731	0
3	863	470.67900000000003	1
4	878	470.67800000000005	1
5	891	470.67699999999996	1
6	904	470.675	1
7	917	470.722	1
8	947	470.718	1
9	962	470.72	1
10	977	470.715	1
11	1005	470.75800000000004	0
12	1031	470.625	0
13	1047	470.7	1
14	1062	470.69599999999997	1
15	1076	470.695	1
16	1135	470.634	1
17	1180	470.651	1
18	1193	470.642	1
19	1207	470.64099999999996	1
20	1220	470.74300000000005	1
21	1231	470.74199999999996	1
22	1242	470.741	1
23	1253	470.76300000000003	1
24	1264	470.759	1
25	1275	470.75699999999995	1
26	1286	470.756	1
27	1297	470.755	1
28	1308	470.754	1
29	1319	470.74800000000005	1
30	1330	470.74699999999996	1
31	1341	470.746	1
32	1374	470.73900000000003	1
33	1396	470.685	1
34	1437	470.61800000000005	1
35	1451	470.62	1
36	1465	470.735	1
37	1476	470.73400000000004	1
38	1487	470.76099999999997	1
39	1521	470.655	0
40	1549	470.767	0
41	1565	470.765	0
42	1580	470.63800000000003	0
43	1610	470.63599999999997	1
44	1625	470.635	0
45	1640	470.63300000000004	1
46	1655	470.708	1
47	1711	470.661	0
48	1726	470.658	0
49	1785	470.73199999999997	1
50	1796	470.73	1
51	1807	470.72900000000004	1
52	1822	470.73699999999997	1
53	1846	470.647	0
54	1872	470.645	0
55	1885	470.644	0
56	1950	470.76199999999994	0
57	1961	470.76800000000003	0
58	1976	470.75199999999995	1
59	2028	470.76	1
60	2039	470.75	1
61	2050	470.749	1
62	2072	470.61199999999997	1
63	2088	470.61300000000006	1
64	2103	470.711	1
65	2118	470.71	1
66	2148	470.702	1
67	2163	470.70099999999996	1
68	2220	470.67400000000004	1
69	2234	470.673	1
70	2293	470.712	1
71	2308	470.709	1
72	2323	470.70599999999996	1
73	2338	470.705	1
74	2353	470.704	0
75	2368	470.70300000000003	0
76	2398	470.68699999999995	0
77	2414	470.686	1
78	2428	470.681	1
79	2442	470.657	1
80	2965	1398948.3	1
81	2989	1398950.3	0
82	3010	1398952.3	1
83	3021	1398953.3	1
84	3032	1398954.3	1
85	3088	1398959.3	1
86	3156	1398964.3	1
87	3168	1398965.4	1
88	3194	1398967.3	1
89	3234	1398970.3	0
90	3274	1398971.3	0
91	3296	1398972.3	0
92	3330	470.1336	0
93	3422	470.1333	1
94	3449	1398979.3	0
