	Unnamed: 0	genome_id	resistant_phenotype
0	833	470.659	1
1	870	470.67900000000003	1
2	884	470.67800000000005	1
3	897	470.67699999999996	1
4	910	470.675	1
5	925	470.722	1
6	955	470.718	1
7	985	470.715	1
8	998	470.654	1
9	1039	470.625	1
10	1055	470.7	1
11	1069	470.69599999999997	1
12	1083	470.695	1
13	1186	470.651	1
14	1200	470.642	1
15	1213	470.64099999999996	1
16	1403	470.685	1
17	1417	470.684	1
18	1430	470.676	1
19	1444	470.61800000000005	1
20	1458	470.62	1
21	1527	470.655	1
22	1541	470.64	1
23	1557	470.767	1
24	1587	470.63800000000003	1
25	1617	470.63599999999997	1
26	1632	470.635	1
27	1647	470.63300000000004	1
28	1691	470.652	1
29	1718	470.661	1
30	1732	470.658	1
31	1777	470.624	1
32	1815	470.72900000000004	1
33	1839	470.648	1
34	1852	470.647	1
35	1865	470.64599999999996	1
36	1878	470.645	1
37	1891	470.644	1
38	1930	470.653	1
39	1969	470.76800000000003	1
40	2080	470.61199999999997	1
41	2096	470.61300000000006	1
42	2111	470.711	1
43	2126	470.71	1
44	2156	470.702	1
45	2171	470.70099999999996	1
46	2227	470.67400000000004	1
47	2241	470.673	1
48	2285	470.62699999999995	1
49	2301	470.712	1
50	2316	470.709	1
51	2331	470.70599999999996	1
52	2346	470.705	1
53	2361	470.704	1
54	2376	470.70300000000003	1
55	2391	470.699	1
56	2421	470.686	1
57	2435	470.681	1
58	2448	470.657	1
59	2510	903895.3	1
60	2553	903906.3	1
61	2568	1409922.5	1
62	2590	1409924.3	1
63	2601	1409925.3	1
64	2622	1409927.3	1
65	2633	1409928.3	1
66	2648	903920.3	1
67	2664	903904.3	1
68	2680	903896.3	1
69	2712	903922.3	1
70	2728	903923.3	1
71	2744	903927.3	0
72	2759	903908.3	0
73	2774	903936.3	1
74	2789	903898.3	1
75	2811	903909.3	1
76	2859	903889.3	1
77	2891	903903.3	1
78	2907	903894.3	1
79	2941	1398943.3	1
80	3178	1398965.4	1
81	3203	1398967.3	1
82	3253	470.1334	1
83	3290	470.1341	1
84	3337	470.1336	1
85	3415	470.1335	1
86	3430	470.1333	1
87	3621	903919.3	0
88	3651	903925.3	1
89	3665	903931.3	0
90	3672	470.7338	1
91	3693	470.734	1
92	3703	470.7341	1
93	3713	470.7342	1
94	3723	470.7343	1
95	3743	470.7345	1
96	3754	470.7346	1
97	3764	470.7347	1
98	3774	470.7348	1
99	3784	470.7349	1
100	3808	470.735	1
101	3904	470.6236	1
102	3918	470.6235	1
103	3932	470.6234	1
104	3946	470.6233	1
105	3960	470.6246	1
106	4002	470.6232	1
107	4044	470.6243	1
108	4058	470.6244	1
109	4072	470.6229	1
110	4086	470.6228	1
111	4100	470.6226	1
112	4114	470.6242	1
113	4142	470.6227	1
114	4156	470.6225	1
115	4170	470.6223	1
116	4184	470.624	1
117	4198	470.6221	1
118	4212	470.6239	1
119	4226	470.6224	1
120	4240	470.622	1
121	4254	470.6238	1
122	4268	470.6222	1
123	4296	470.6219	1
124	4310	470.6215	1
125	4324	470.6237	1
126	4338	470.6217	1
127	4352	470.6216	1
128	4366	470.6214	1
129	4380	470.6212	1
130	4394	470.6196	1
131	4422	470.6213	1
132	4450	470.6206	1
133	4464	470.621	1
134	4478	470.6203	1
135	4492	470.6184	1
136	4548	470.6209	1
137	4562	470.6183	1
138	4576	470.6208	1
139	4590	470.6193	1
140	4604	470.6201	1
141	4618	470.6204	1
142	4646	470.6207	1
143	4660	470.6182	1
144	4702	470.6179	0
145	4716	470.6177	1
146	4744	470.6178	1
147	4758	470.6176	1
148	4772	470.6174	1
149	4786	470.6175	1
150	4800	470.6173	1
151	4814	470.619	1
152	4828	470.6189	1
153	4842	470.62	1
154	4856	470.6188	1
155	4870	470.6199	1
156	4884	470.6198	1
157	4898	470.6187	1
158	4912	470.6186	1
159	4926	470.6172	1
160	4940	470.6171	1
161	5124	470.2845	1
162	5142	470.2846	1
163	5160	470.2843	1
164	5178	470.2844	1
165	5196	470.2847	1
166	5295	470.4702	1
167	5345	470.4704	1
168	5370	470.4901	1
169	5445	470.4785	1
170	5655	470.2241	1
171	5690	470.2251	1
172	5715	470.2268	1
173	5764	470.2255	1
174	5782	470.227	1
175	5813	470.2257	1
176	5838	470.2259	1
177	5856	470.2271	1
178	5874	470.226	1
179	5892	470.2286	1
180	5910	470.2273	1
181	5928	470.2274	1
182	5946	470.2245	1
183	5969	470.2276	1
184	5987	470.2287	1
185	6005	470.224	1
186	6023	470.2238	1
187	6041	470.2261	1
188	6059	470.2239	1
189	6077	470.2262	1
190	6113	470.2263	1
191	6131	470.2243	1
192	6149	470.2272	1
193	6163	470.2244	1
194	6179	470.2264	1
195	6197	470.2277	1
196	6215	470.2278	1
197	6233	470.2279	1
198	6258	470.228	1
199	6285	470.2246	1
200	6301	470.2282	1
201	6321	470.2289	1
202	6339	470.229	1
203	6367	470.2285	1
204	6395	470.2292	1
205	6413	470.2293	1
206	6431	470.2247	1
207	6474	470.2296	1
208	6492	470.2297	1
209	6510	470.23	1
210	6528	470.2298	1
211	6546	470.2301	1
212	6571	470.2302	1
213	6589	470.2248	1
214	6618	470.2304	1
215	6691	470.225	1
216	6720	470.504	1
217	6851	470.7374	1
218	6870	470.7375	1
219	6889	470.7376	1
220	6908	470.7377	1
221	6965	470.738	1
222	6984	470.7381	1
223	7003	470.7382	1
224	7041	470.7384	1
225	7060	470.7385	1
226	7079	470.7386	1
227	7098	470.7387	1
228	7117	470.7388	1
229	7136	470.7389	1
230	7174	470.7391	1
231	7250	470.7395	1
232	7345	470.74	1
233	7364	470.7401	1
234	7383	470.7402	1
235	7402	470.7403	1
236	7440	470.7405	1
237	7459	470.7406	1
238	7478	470.7407	1
239	7497	470.7408	1
240	7516	470.7409	1
241	7554	470.7411	1
242	7592	470.7413	1
243	7741	470.7414	1
245	7794	470.7416	0
246	7822	470.7417	0
248	7893	470.7419	1
249	7930	470.742	1
250	7964	470.7421	1
251	8105	470.7425	1
252	8129	470.7426	1
253	8149	470.7427	0
254	8169	470.7428	1
255	8188	470.7429	0
256	8218	470.743	1
257	8243	470.7431	1
258	8262	470.7432	1
259	8283	470.7433	0
260	8303	470.7434	1
261	8333	470.7435	1
262	8428	470.7438	0
263	8457	470.7439	1
264	8482	470.744	1
265	8537	470.7442	1
266	8592	470.7444	1
267	8631	470.7446	1
268	8651	470.7447	1
269	8671	470.7448	1
270	8701	470.7449	1
271	8726	470.745	1
272	8747	470.7451	1
273	8766	470.7452	1
275	8821	470.7454	1
276	8857	470.7456	0
277	8877	470.7457	0
278	8928	470.7459	1
279	8962	470.746	1
280	9019	470.7462	1
281	9053	470.7463	1
282	9090	470.7464	1
283	9116	470.7465	1
284	9206	470.7468	1
285	9261	470.747	0
286	9281	470.7471	0
287	9300	470.7472	0
289	9355	470.7474	1
290	9375	470.7475	1
291	9394	470.7476	1
292	9414	470.7477	0
293	9444	470.7478	0
294	9470	470.7479	1
295	9489	470.748	1
296	9508	470.7481	1
297	9528	470.7482	1
298	9548	470.7483	1
301	9638	470.7486	1
302	9656	470.7487	1
303	9676	470.7488	0
304	9695	470.7489	1
305	9714	470.749	1
306	9744	470.7491	1
307	9768	470.7492	1
308	9798	470.7493	1
309	9822	470.7494	1
310	9842	470.7495	1
311	9861	470.7496	1
312	9881	470.7497	0
313	9901	470.7498	1
314	9932	470.7499	1
315	9961	470.75	1
316	9993	470.7501	1
317	10028	470.7502	1
321	10172	470.7506	1
323	10244	470.7508	0
324	10280	470.7509	0
325	10351	470.7511	1
327	10529	470.7516	0
328	10553	470.7517	0
330	10610	470.7519	0
331	10666	470.7521	1
332	10843	470.7528	0
333	10873	470.7529	1
334	10907	470.753	0
335	10932	470.7531	0
336	10952	470.7532	1
337	10983	470.7533	0
338	11019	470.7534	0
339	11043	470.7535	1
340	11073	470.7536	1
341	11097	470.7537	1
343	11162	470.7539	1
344	11186	470.754	0
345	11206	470.7541	1
347	11262	470.7543	1
348	11282	470.7544	1
349	11301	470.7545	0
350	11321	470.7546	0
351	11341	470.7547	0
352	11361	470.7548	1
354	11416	470.755	1
356	11471	470.7552	0
357	11491	470.7553	0
358	11521	470.1557	1
359	11546	470.7554	1
361	11612	470.7556	0
362	11657	470.7559	0
363	11682	470.7558	0
364	11707	470.756	0
365	11737	470.156	1
366	11773	470.1553	1
367	11842	470.1551	1
368	11878	470.1359	1
369	11913	470.1552	1
370	11947	470.155	1
372	12032	470.1549	1
373	12098	470.7564	1
374	12115	470.7565	0
375	12163	470.7567	1
376	12188	470.7568	1
377	12213	470.7569	1
378	12238	470.757	1
380	12313	470.7573	1
381	12344	470.1556	0
382	12378	470.1558	0
385	12515	470.7577	0
386	12549	470.7578	1
387	12583	470.7579	1
388	12610	470.758	1
389	12635	470.7581	1
390	12661	470.7582	1
391	12710	470.7584	1
393	12781	470.1561	1
394	12809	470.7585	1
395	12840	470.1563	1
396	12875	470.1564	1
397	12910	470.1565	1
398	12934	470.7586	1
400	12987	470.7588	1
401	13016	470.7589	1
402	13039	470.759	0
403	13057	470.7591	1
404	13075	470.7592	0
405	13093	470.7594	0
406	13121	470.1559	0
407	13145	470.7593	1
408	13176	470.7595	0
409	13198	470.7596	1
410	13233	470.7598	0
411	13267	470.76	0
412	13289	470.7601	1
413	13307	470.7602	1
414	13335	470.7603	1
415	13358	470.7604	1
416	13395	470.7606	1
417	13447	470.7609	1
418	13465	470.761	1
419	13500	470.7612	1
420	13518	470.7613	0
421	13535	470.7614	1
422	13552	470.7615	0
423	13570	470.7616	0
424	13598	470.7617	1
425	13621	470.7618	1
426	13672	470.7621	1
427	13717	470.7623	1
428	13740	470.7624	0
429	13757	470.7625	1
430	13792	470.7627	1
431	13810	470.7628	1
432	13827	470.7629	0
433	13844	470.763	1
434	13862	470.7631	1
436	13915	470.7633	0
438	13967	470.7635	0
440	14048	470.7638	1
441	14089	470.764	1
442	14107	470.7641	1
443	14124	470.7642	1
444	14186	470.7644	1
445	14209	470.7645	1
446	14226	470.7646	1
447	14243	470.7647	1
448	14260	470.7648	1
449	14277	470.7649	1
450	14315	470.7651	1
451	14332	470.7652	1
452	14385	470.7654	1
453	14402	470.7655	1
454	14430	470.7656	1
455	14453	470.7657	1
456	14471	470.7658	1
457	14489	470.7659	1
459	14542	470.7661	0
460	14559	470.7662	1
461	14593	470.7664	1
462	14639	470.7666	0
463	14663	470.7667	0
464	14697	470.7669	1
465	14714	470.767	1
466	14731	470.7671	1
467	14749	470.7672	1
468	14767	470.7673	1
469	14785	470.7674	0
471	14854	470.7677	1
472	14884	470.7678	0
473	14935	470.768	1
475	15009	470.7683	1
476	15045	470.7685	1
477	15081	470.7687	0
478	15109	470.7688	1
480	15177	470.7689	1
481	15211	470.7691	1
482	15234	470.7692	1
483	15264	470.7693	0
484	15287	470.7694	1
485	15305	470.7695	1
486	15323	470.7696	1
487	15358	470.7698	1
488	15375	470.7699	1
489	15392	470.77	1
490	15409	470.7701	0
491	15426	470.7702	1
492	15444	470.7703	0
493	15461	470.7704	1
494	15478	470.7705	1
495	15512	470.7707	1
496	15529	470.7708	1
497	15580	470.771	1
498	15597	470.7711	1
499	15614	470.7712	1
500	15631	470.7714	1
501	15648	470.7713	1
502	15665	470.7715	1
503	15699	470.7717	1
504	15750	470.7719	1
505	15801	470.7721	1
506	15835	470.7723	1
507	15864	470.7724	1
508	15887	470.7725	1
