	genome_id	resistant_phenotype
38206	1328432.3	0
38238	1328434.3	1
38253	1438684.3	1
38270	1438685.3	1
38286	1438686.3	0
38323	562.22782	0
38337	562.23244	0
38347	562.23267	0
38357	562.23563	0
38367	562.23560	0
38382	562.22824	0
38396	562.23245	0
38406	562.23869	1
38426	562.23807	0
38435	562.23135	0
38454	562.23529	0
38483	562.23536	0
38493	562.23759	0
38551	562.23786	0
38580	562.23166	0
38624	562.22687	0
38648	562.23472	0
38658	562.23510	0
38668	562.22996	0
38701	562.22639	0
38720	562.22741	0
38758	562.22792	0
38797	562.22780	0
38816	562.22582	0
38835	562.22791	0
38849	562.23064	0
38869	562.23165	0
38879	562.23808	0
38889	562.23285	0
38899	562.23603	0
38909	562.23630	0
38919	562.23773	0
38939	562.23892	0
38954	562.22599	0
38973	562.22675	0
38992	562.22743	0
39019	562.22503	1
39032	562.22854	0
39041	562.23788	0
39056	562.22757	0
39070	562.23216	0
39080	562.23641	0
39095	562.22464	0
39114	562.22562	0
39127	562.22835	0
39135	562.22847	0
39143	562.22860	0
39152	562.22933	0
39162	562.22997	0
39182	562.23800	0
39192	562.23494	1
39202	562.23470	0
39222	562.23391	1
39232	562.23717	0
39242	562.23721	0
39252	562.23897	0
39262	562.23878	0
39306	562.22809	0
39339	562.23298	0
39349	562.23290	0
39359	562.23697	0
39369	562.23774	0
39379	562.23906	0
39428	562.23431	0
39443	562.22590	0
39462	562.22699	0
39481	562.22716	0
39495	562.23825	0
39510	562.22449	0
39543	562.23904	0
39558	562.22466	0
39577	562.22480	0
39596	562.22453	0
39615	562.22807	0
39628	562.22862	0
39637	562.23004	0
39647	562.23514	0
39657	562.23582	0
39672	562.22505	0
39696	562.23643	0
39706	562.23142	0
39716	562.23439	0
39756	562.23101	0
39766	562.23607	0
39776	562.23728	0
39801	562.22487	0
39839	562.22580	0
39877	562.22654	0
39896	562.22667	0
39915	562.22678	0
39934	562.22740	0
39972	562.22823	0
39985	562.22883	0
39994	562.22945	0
40004	562.23223	0
40014	562.23263	0
40024	562.23873	0
40034	562.23318	0
40044	562.23424	0
40054	562.23824	0
40064	562.23344	0
40074	562.23360	0
40084	562.23407	0
40094	562.23557	0
40104	562.23686	0
40114	562.23665	0
40134	562.23780	0
40202	562.22925	0
40222	562.23019	0
40247	562.22589	0
40261	562.23787	0
40281	562.23364	0
40296	562.22628	0
40310	562.23576	0
40320	562.22970	0
40330	562.23368	0
40367	562.23177	0
40401	562.22765	0
40415	562.22913	0
40425	562.22918	0
40435	562.22920	0
40445	562.23928	0
40455	562.22942	0
40465	562.23140	0
40475	562.23029	0
40485	562.23078	0
40495	562.23079	0
40505	562.23098	0
40515	562.23129	0
40525	562.23171	0
40535	562.23170	0
40545	562.23387	0
40565	562.23434	0
40575	562.23553	0
40585	562.23373	0
40595	562.23535	0
40605	562.23562	0
40615	562.23507	1
40625	562.23765	0
40635	562.23645	0
40645	562.23888	0
40655	562.23345	0
40670	562.22527	0
40689	562.22583	0
40702	562.22897	0
40711	562.23233	0
40721	562.23796	0
40731	562.23117	0
40741	562.23486	0
40751	562.23462	0
40761	562.23837	0
40776	562.22652	0
40795	562.22749	0
40809	562.23150	0
40829	562.23126	0
40839	562.23279	0
40849	562.23484	0
40859	562.23828	0
40869	562.23699	0
40879	562.23747	0
40889	562.23749	0
40909	562.23920	0
40924	562.22875	0
40938	562.23383	0
40948	562.23184	0
40968	562.23288	0
40978	562.23624	0
41007	562.23286	1
41017	562.23859	0
41027	562.23452	0
41066	562.23134	0
41076	562.23047	1
41096	562.23682	0
41111	562.22436	0
41130	562.22521	0
41144	562.23178	0
41154	562.23406	0
41164	562.23670	0
41174	562.23827	0
41184	562.23675	0
41199	562.22511	0
41218	562.22445	0
41237	562.22543	1
41256	562.22612	0
41275	562.22646	0
41294	562.22685	0
41332	562.22755	0
41351	562.22876	0
41370	562.22778	0
41389	562.22814	0
41408	562.22815	0
41432	562.23025	0
41462	562.23328	0
41492	562.23907	0
41502	562.23848	0
41517	562.22524	0
41536	562.22532	0
41555	562.22570	0
41574	562.22627	0
41593	562.22872	0
41612	562.22825	0
41625	562.22831	0
41633	562.23865	0
41641	562.22848	0
41649	562.22851	0
41657	562.22888	0
41666	562.23152	1
41676	562.23030	0
41686	562.23105	0
41696	562.23175	0
41706	562.23207	0
41716	562.23861	0
41726	562.23419	0
41736	562.23547	0
41746	562.23931	0
41756	562.23882	0
41766	562.23587	0
41776	562.23635	0
41791	562.22779	0
41824	562.22887	0
41838	562.22435	0
41857	562.22461	0
41914	562.22484	0
41952	562.22515	0
41971	562.22544	0
42028	562.22602	0
42047	562.23854	0
42066	562.22619	0
42085	562.22636	0
42104	562.22672	0
42123	562.22676	0
42161	562.22693	0
42180	562.22735	0
42199	562.22772	0
42218	562.22785	0
42237	562.22786	0
42256	562.22880	0
42270	562.22929	0
42280	562.23927	0
42290	562.22989	0
42300	562.23058	0
42310	562.23060	0
42340	562.23186	0
42350	562.23246	0
42360	562.23250	0
42380	562.23264	0
42390	562.23265	0
42400	562.23278	0
42410	562.23801	0
42420	562.23420	0
