	Unnamed: 0	genome_id	resistant_phenotype
0	56886	562.42634	0
1	56901	562.7579	0
2	56918	562.773	0
3	57034	562.7737	0
4	57051	562.7759	0
5	57068	562.7769	0
6	57085	562.7719	0
7	57103	562.45845	1
8	57410	562.4263599999999	1
9	57427	562.42637	1
10	57444	562.42638	1
11	57478	562.4264	1
12	57893	562.42643	0
13	57910	562.4264400000001	1
14	57927	562.42645	1
15	57960	562.42647	1
16	57976	562.42648	1
17	58122	562.4264900000001	1
18	58139	562.4265	1
19	58206	562.42654	1
20	58294	562.42658	1
21	58311	562.42659	1
22	58344	562.42661	1
23	58361	562.4266200000001	1
24	58379	562.4266299999999	1
25	58420	562.42665	1
26	58528	562.42671	1
27	58561	562.7717	0
28	58595	562.7727	0
29	58612	562.757	0
30	58663	562.7577	0
31	58738	562.7735	0
32	58755	562.7646	0
33	58772	562.7669	0
34	58806	562.7637	0
35	58858	562.42673	1
36	58898	562.7658	0
37	58932	562.7721	0
38	58949	562.767	0
39	58966	562.7617	0
40	58983	562.7765	0
41	59000	562.7659	0
42	59034	562.77	0
43	59075	562.7781	0
44	59116	562.7636	0
45	59133	562.7645	0
46	59175	562.42676	0
47	59199	562.42677	1
48	59214	562.42678	1
49	59249	562.4268	1
50	59264	562.4268099999999	0
51	59281	562.42682	1
52	59298	562.42683	1
53	59389	562.42688	1
54	59423	562.4269	1
55	59440	562.4269099999999	0
56	61784	562.4269400000001	1
57	61800	562.42695	1
58	61851	562.42698	1
59	61867	562.42699	1
60	61885	562.427	1
61	61918	562.42702	1
62	61935	562.42703	1
63	61953	562.42704	1
64	61970	562.42705	1
65	62022	562.4270799999999	1
66	62088	562.7655	0
67	62105	562.7575	0
68	62170	562.7624	0
69	62187	562.7728	0
70	62204	562.7665	0
71	62238	562.7649	0
72	62255	562.7732	0
73	62299	562.4271	1
74	62331	562.42711	1
75	62348	562.4271200000001	1
76	62400	562.42715	1
77	62418	562.42716	1
78	62436	562.42717	1
79	62471	562.42719	1
80	62488	562.4272	1
81	62505	562.42721	1
82	62578	562.42724	1
83	62595	562.42725	1
84	62613	562.4272599999999	1
85	62631	562.42727	1
86	62700	562.4273	1
87	62756	562.42732	1
88	62774	562.42733	1
89	62804	562.7661	0
90	62838	562.7723	0
91	62889	562.775	0
92	62940	562.7673	0
93	62991	562.7792	0
94	63008	562.7684	0
95	63025	562.7581	0
96	63059	562.7697	0
97	63076	562.7571	0
98	63110	562.7584	0
99	63127	562.7752	0
100	63144	562.7565	0
101	63161	562.7644	0
102	63195	562.7672	0
103	63212	562.7743	0
104	63229	562.7664	0
105	63263	562.7778	0
106	63297	562.776	0
107	63331	562.7757	0
108	63348	562.7758	0
109	63365	562.7726	0
110	63416	562.7745	0
111	63450	562.7663	0
112	63501	562.7777	0
113	63535	562.7761	0
114	63570	562.7714	0
115	63604	562.768	0
116	63638	562.7662	0
117	63657	562.42735	1
118	63675	562.4273599999999	1
119	63693	562.42737	1
120	63711	562.42738	1
121	63754	562.4274	1
122	63826	562.42742	1
123	63879	562.42743	1
124	63940	562.42744	1
125	63986	562.42745	1
126	64018	562.42746	1
127	64068	562.42748	1
128	64121	562.42749	1
129	64145	562.4275	1
130	64327	562.7677	0
131	64344	562.7791	0
132	64361	562.7631	0
133	64412	562.7771	0
134	64446	562.7695	1
135	64488	562.7656	0
136	64538	562.7572	0
137	64555	562.7628	0
138	64606	562.7725	0
139	64623	562.7703	0
140	64657	562.7693	0
141	64674	562.7578	0
142	64691	562.7747	1
143	64749	562.7576	0
144	64800	562.7698	1
145	64817	562.7709	0
146	64834	562.7707	0
147	64851	562.7573	0
148	64868	562.771	0
149	64885	562.765	0
150	64902	562.766	0
151	64927	562.7742	0
152	64978	562.7635	0
153	65082	562.1646599999999	1
154	65114	562.42751	0
155	65131	562.764	0
156	65220	562.7788	0
157	65251	562.7713	0
158	65268	562.7666	0
159	65336	562.7652	0
160	65370	562.7691	1
161	65421	562.7623	0
162	65528	562.4275299999999	0
164	65665	562.42756	1
165	65706	562.42758	0
166	68385	562.29007	1
167	68410	562.2900599999999	1
168	68435	562.29008	1
169	68556	562.19632	1
170	68656	562.28389	0
171	68681	562.2913900000001	1
172	68731	562.34085	1
173	68756	562.3408900000001	1
174	68781	562.16327	1
175	68805	562.1762	1
176	68851	562.19823	1
177	68874	562.17721	1
178	68922	562.19821	1
179	68947	562.17621	1
180	68972	562.1963099999999	1
181	68997	562.2049900000001	1
182	69022	562.22426	1
183	69048	562.28565	0
184	69074	562.28435	1
185	69100	562.28567	1
186	69126	562.28566	1
187	69178	562.28563	1
188	69229	562.33281	1
189	69254	562.3328	1
190	69279	562.30435	1
191	69304	562.30434	1
192	69441	562.30349	1
193	69893	562.19078	1
194	69896	562.19083	1
195	69898	562.19085	1
196	69899	562.19082	1
197	69900	562.1908599999999	1
198	69911	562.45661	0
199	69937	562.45673	1
200	69963	562.45649	0
201	70015	562.4567599999999	0
202	70041	562.45675	0
203	70067	562.45663	0
204	70119	562.45677	1
205	70171	562.45656	0
206	70223	562.45662	0
207	70353	562.45657	0
208	70380	562.45668	0
209	70432	562.45645	1
210	70484	562.45633	0
211	70510	562.45637	0
212	70536	562.4563	0
213	70562	562.45646	0
214	70588	562.45615	1
215	70614	562.4565200000001	0
216	70640	562.45639	0
217	70666	562.4564	0
218	70693	562.45643	0
219	70719	562.45632	0
220	70745	562.45628	0
221	70771	562.45647	0
222	70797	562.45625	0
223	70823	562.4567	0
224	70849	562.4566599999999	0
225	70875	562.45667	0
226	70901	562.45664	0
227	70927	562.4566	0
228	70953	562.45658	0
229	70979	562.45654	0
230	71005	562.4565299999999	0
231	71031	562.4565	0
232	71057	562.45644	1
233	71083	562.45642	0
234	71109	562.45638	0
235	71135	562.45635	0
236	71161	562.45636	0
237	71187	562.4563400000001	0
238	71213	562.4563099999999	0
239	71239	562.4562900000001	0
240	71291	562.45616	0
241	71343	562.4562400000001	0
242	71395	562.4562099999999	0
243	71421	562.45618	1
244	71447	562.4562	1
245	71473	562.45623	0
246	71525	562.45612	0
247	71551	562.45613	0
248	71603	562.4558900000001	0
249	71629	562.45614	0
250	71655	562.4560799999999	0
251	71681	562.45609	0
252	71707	562.4559	0
253	71733	562.45604	0
254	71759	562.45605	1
255	71785	562.45606	0
256	71811	562.45594	0
257	71837	562.456	0
258	71863	562.45599	0
259	71889	562.45593	0
260	71915	562.4561	0
261	71941	562.45597	0
262	71967	562.4560299999999	0
263	72019	562.45602	0
264	72045	562.45591	0
265	72071	562.4560700000001	1
266	72097	562.45587	0
267	72123	562.45596	0
268	72149	562.45601	0
269	72175	562.45598	0
270	72227	562.45595	0
271	72253	562.45611	0
272	72279	562.45588	1
273	73452	562.42761	0
274	73475	562.42762	0
275	73510	562.7755	0
276	73527	562.772	0
277	73561	562.7772	0
278	73578	562.7671	0
279	73595	562.7633	0
280	73612	562.7786	0
281	73629	562.7647	0
282	73646	562.7793	0
283	73680	562.774	0
284	73697	562.7639	0
285	73714	562.7744	0
286	73731	562.7775	0
287	74249	562.31458	1
288	74299	562.3145099999999	1
289	74309	562.3144900000001	1
290	74319	562.3145	1
291	74339	562.3146	1
292	74349	562.37108	1
293	74369	562.31452	1
294	74465	562.42765	1
295	74596	562.42773	1
296	74646	562.4277599999999	1
297	74663	562.42777	1
298	74710	562.4278	1
299	74725	562.4278099999999	1
300	74759	562.42783	1
301	74792	562.42785	1
302	74808	562.42786	1
303	74824	562.42787	1
304	74840	562.42788	1
305	74872	562.4279	0
306	74888	562.42791	1
307	74904	562.42792	1
308	74920	562.42794	1
309	74936	562.42796	1
310	74968	562.42799	1
311	74984	562.428	1
312	75000	562.42801	1
313	75016	562.4280200000001	1
314	75032	562.42803	1
315	75048	562.42805	1
316	75064	562.42804	1
317	75080	562.42806	1
318	75096	562.42807	1
319	75112	562.42808	1
320	75128	562.42809	1
321	75144	562.4281	1
322	75160	562.42811	1
323	75176	562.42812	1
324	75192	562.42813	1
325	75208	562.42814	1
326	75224	562.42815	1
327	75240	562.4281599999999	1
328	75256	562.42817	1
329	75272	562.42818	1
330	75307	562.4282	1
331	75329	562.4282099999999	1
332	75351	562.42822	1
333	75373	562.42823	1
334	75395	562.4282400000001	1
335	75417	562.42825	1
336	75439	562.4282599999999	1
337	75461	562.42827	1
338	75483	562.42828	1
339	75505	562.4282900000001	1
340	75549	562.42831	1
341	75570	562.42832	1
342	75591	562.42833	1
343	75635	562.42835	1
344	75657	562.42836	0
345	75679	562.42837	0
346	75701	562.42838	0
347	75723	562.42839	0
348	75745	562.4284	1
349	75767	562.42841	1
350	75789	562.4284200000001	1
351	75811	562.4284299999999	1
352	75833	562.42844	0
353	75855	562.42845	0
354	75877	562.42846	1
355	75899	562.4284700000001	0
356	75921	562.42848	0
357	75965	562.4285	1
358	75987	562.42851	1
359	76009	562.42852	1
360	76031	562.42853	1
361	76053	562.42854	1
362	76075	562.42855	1
363	76097	562.42856	1
364	76141	562.42858	0
365	76163	562.42859	1
366	76207	562.4286099999999	1
367	76229	562.42862	1
368	76251	562.42863	1
369	76295	562.42865	1
370	76339	562.42867	1
371	76361	562.42868	1
372	76405	562.4287	1
373	76427	562.4287099999999	1
374	76449	562.42872	1
375	76471	562.42873	1
376	77708	562.28839	1
377	77738	562.28841	0
378	77758	562.7718	0
379	77775	562.7702	0
380	77810	562.7734	0
381	77827	562.7681	0
382	77897	562.7626	0
383	77931	562.28846	1
384	78432	562.4591	1
385	78445	562.45916	1
386	78472	562.45849	1
387	78488	562.45853	1
388	78562	562.4585099999999	1
389	78577	562.4585	1
