	Unnamed: 0	genome_id	resistant_phenotype
0	56893	562.42634	1
1	56910	562.7579	0
2	56927	562.773	1
3	57043	562.7737	1
4	57060	562.7759	0
5	57077	562.7769	1
6	57094	562.7719	0
7	57111	562.45845	1
8	57173	562.19151	0
9	57335	562.13671	1
10	57418	562.4263599999999	0
11	57435	562.42637	0
12	57452	562.42638	1
13	57486	562.4264	1
14	57901	562.42643	0
15	57918	562.4264400000001	1
16	57935	562.42645	1
17	57968	562.42647	1
18	57984	562.42648	0
19	58130	562.4264900000001	0
20	58147	562.4265	1
21	58214	562.42654	1
22	58301	562.42658	1
23	58318	562.42659	1
24	58352	562.42661	0
25	58369	562.4266200000001	1
26	58386	562.4266299999999	1
27	58427	562.42665	0
28	58536	562.42671	0
29	58570	562.7717	1
30	58604	562.7727	1
31	58621	562.757	1
32	58672	562.7577	1
33	58747	562.7735	1
34	58764	562.7646	0
35	58781	562.7669	1
36	58815	562.7637	1
37	58866	562.42673	1
38	58907	562.7658	0
39	58941	562.7721	1
40	58958	562.767	1
41	58975	562.7617	1
42	58992	562.7765	0
43	59009	562.7659	0
44	59043	562.77	1
45	59084	562.7781	1
46	59125	562.7636	1
47	59142	562.7645	1
48	59182	562.42676	1
49	59205	562.42677	0
50	59222	562.42678	1
51	59255	562.4268	0
52	59272	562.4268099999999	0
53	59289	562.42682	0
54	59306	562.42683	0
55	59396	562.42688	1
56	59430	562.4269	1
57	59447	562.4269099999999	1
58	61791	562.4269400000001	1
59	61808	562.42695	0
60	61858	562.42698	1
61	61875	562.42699	1
62	61892	562.427	1
63	61925	562.42702	0
64	61943	562.42703	1
65	61961	562.42704	1
66	61977	562.42705	1
67	62029	562.4270799999999	0
68	62097	562.7655	0
69	62114	562.7575	1
70	62179	562.7624	0
71	62196	562.7728	0
72	62213	562.7665	1
73	62247	562.7649	1
74	62264	562.7732	0
75	62307	562.4271	1
76	62338	562.42711	1
77	62356	562.4271200000001	1
78	62408	562.42715	1
79	62426	562.42716	1
80	62444	562.42717	1
81	62478	562.42719	1
82	62496	562.4272	0
83	62512	562.42721	1
84	62585	562.42724	0
85	62603	562.42725	1
86	62621	562.4272599999999	1
87	62639	562.42727	1
88	62708	562.4273	1
89	62764	562.42732	0
90	62782	562.42733	0
91	62813	562.7661	1
92	62847	562.7723	1
93	62898	562.775	1
94	62949	562.7673	1
95	63000	562.7792	0
96	63017	562.7684	0
97	63034	562.7581	1
98	63068	562.7697	1
99	63085	562.7571	1
100	63119	562.7584	1
101	63136	562.7752	1
102	63153	562.7565	1
103	63170	562.7644	1
104	63204	562.7672	0
105	63221	562.7743	1
106	63238	562.7664	1
107	63272	562.7778	1
108	63306	562.776	1
109	63340	562.7757	1
110	63357	562.7758	0
111	63374	562.7726	1
112	63425	562.7745	1
113	63459	562.7663	1
114	63510	562.7777	1
115	63544	562.7761	0
116	63579	562.7714	0
117	63613	562.768	0
118	63647	562.7662	0
119	63665	562.42735	1
120	63683	562.4273599999999	0
121	63701	562.42737	0
122	63719	562.42738	0
123	63762	562.4274	1
124	63780	562.42741	1
125	63834	562.42742	0
126	63887	562.42743	0
127	63947	562.42744	1
128	63994	562.42745	1
129	64026	562.42746	0
130	64076	562.42748	0
131	64128	562.42749	0
132	64153	562.4275	0
133	64336	562.7677	0
134	64353	562.7791	1
135	64370	562.7631	0
136	64421	562.7771	0
137	64455	562.7695	1
138	64497	562.7656	0
