	genome_id	resistant_phenotype
82852	1328382.3	0
82890	1328384.3	0
82906	1328385.3	0
82923	1328386.3	1
83058	1438717.3	1
83138	1438723.3	1
83154	1438724.3	1
83202	1438727.3	1
83250	1438730.3	1
83266	1438731.3	1
83332	1438735.3	1
83366	1438737.3	1
83482	1438744.3	1
83516	1438746.3	1
83567	1438749.3	1
83584	1438750.3	1
83635	1438753.3	1
83652	1438754.3	1
83668	1438755.3	1
83685	1438756.3	1
83701	1438757.3	1
83750	1438760.3	1
83782	1438762.3	1
83816	1438764.3	1
83833	1438765.3	1
83850	1438766.3	1
83867	1438767.3	1
83901	1438769.3	1
83935	1438771.3	1
83952	1438772.3	1
83969	1438773.3	1
84018	1438776.3	1
84069	1438779.3	1
84247	573.13031	0
84265	573.13032	0
84285	573.13033	1
84323	573.13035	1
84343	573.13036	0
84362	573.13037	1
84382	573.13038	0
84402	573.13039	1
84460	573.13042	1
84479	573.13043	1
84518	573.13045	0
84537	573.13046	0
84556	573.13047	0
84576	573.13048	1
84614	573.13050	0
84693	573.13054	1
84713	573.13055	1
84733	573.13056	1
84753	573.13057	0
84792	573.13059	0
84812	573.13060	0
84832	573.13061	1
84852	573.13062	1
84871	573.13063	1
84891	573.13064	1
84930	573.13066	0
84950	573.13067	1
84970	573.13068	1
85068	573.13073	1
85087	573.13074	0
85107	573.13075	1
85126	573.13076	0
85145	573.13077	0
85165	573.13079	1
85184	573.13080	0
85203	573.13081	0
85223	573.13082	1
85242	573.13083	1
85262	573.13084	1
85282	573.13085	0
85302	573.13086	0
85321	573.13087	1
85399	573.13091	0
85458	573.13094	1
85477	573.13095	1
85497	573.13096	1
85517	573.13097	1
85537	573.13098	1
85557	573.13099	0
85576	573.13100	0
85596	573.13101	1
85615	573.13102	0
85634	573.13103	0
85654	573.13104	0
85674	573.13105	1
85693	573.13106	0
85712	573.13107	0
85752	573.13109	1
85771	573.13110	1
85790	573.13111	1
85809	573.13112	1
85829	573.13113	1
85848	573.13114	1
85868	573.13115	0
85888	573.13116	0
85926	573.13118	0
85946	573.13119	0
85966	573.13120	1
85986	573.13121	1
86025	573.13123	0
86044	573.13124	0
86063	573.13125	0
86083	573.13126	0
86102	573.13127	1
86121	573.13128	1
86141	573.13129	0
86161	573.13130	0
86180	573.13131	0
86239	573.13134	0
86279	573.13136	1
86299	573.13137	0
86318	573.13138	1
86338	573.13139	1
86357	573.13140	1
86377	573.13141	1
86416	573.13143	1
86456	573.13145	1
86495	573.13147	0
86515	573.13148	0
86534	573.13149	0
86554	573.13150	0
86573	573.13151	1
86592	573.13152	0
86631	573.13156	1
86650	573.13157	0
86689	573.13159	1
86709	573.13160	1
86748	573.13162	1
86766	573.13163	1
86785	573.13164	1
86805	573.13165	1
86824	573.13166	0
86843	573.13167	1
86862	573.13168	0
86881	573.13169	1
86900	573.13170	0
86919	573.13171	0
86938	573.13172	1
86958	573.13173	1
86978	573.13174	1
87017	573.13176	1
87057	573.13178	1
87135	573.13182	1
87155	573.13183	1
87175	573.13185	1
87195	573.13186	1
87214	573.13187	1
87291	573.13192	0
87330	573.13194	1
87350	573.13195	1
87370	573.13196	1
87410	573.13198	0
87429	573.13199	0
87448	573.13200	1
87468	573.13201	1
87526	573.13204	0
87623	573.13209	1
87719	573.13214	1
87815	573.13219	1
87853	573.13221	1
87873	573.13222	1
87892	573.13223	1
87912	573.13224	1
87950	573.13226	1
87970	573.13227	1
88030	573.13230	1
88050	573.13231	0
88069	573.13232	1
88202	573.13239	1
88240	573.13241	0
88260	573.13242	1
88280	573.13243	1
88299	573.13244	0
88318	573.13245	1
88337	573.13246	0
88414	573.13250	1
88434	573.13251	1
88454	573.13252	1
88474	573.13253	0
88494	573.13254	0
88513	573.13255	1
88532	573.13256	0
88572	573.13258	0
88592	573.13259	1
88631	573.13261	1
88650	573.13262	0
88669	573.13263	1
88689	573.13264	1
88709	573.13265	1
88729	573.13266	0
88768	573.13268	1
88806	573.13270	0
88903	573.13275	0
88923	573.13276	1
88962	573.13278	1
88982	573.13279	0
89041	573.13282	0
89061	573.13283	0
89081	573.13284	0
89100	573.13285	1
89120	573.13286	0
89139	573.13287	1
89159	573.13288	1
89179	573.13289	1
89218	573.13291	1
89238	573.13292	1
