	genome_id	resistant_phenotype
79831	1304917.4	1
81810	1304920.3	1
82292	1304924.3	1
82882	1328383.3	1
82896	1328384.3	0
82912	1328385.3	0
82928	1328386.3	1
83064	1438717.3	1
83144	1438723.3	1
83160	1438724.3	1
83208	1438727.3	1
83256	1438730.3	1
83272	1438731.3	1
83338	1438735.3	1
83372	1438737.3	1
83488	1438744.3	1
83522	1438746.3	1
83573	1438749.3	1
83590	1438750.3	1
83641	1438753.3	1
83658	1438754.3	1
83674	1438755.3	1
83691	1438756.3	1
83707	1438757.3	1
83756	1438760.3	1
83788	1438762.3	1
83822	1438764.3	1
83839	1438765.3	1
83856	1438766.3	1
83873	1438767.3	1
83907	1438769.3	1
83941	1438771.3	1
83958	1438772.3	1
83975	1438773.3	1
84024	1438776.3	1
84075	1438779.3	1
84147	1284797.4	1
84253	573.13031	0
84271	573.13032	0
84291	573.13033	0
84329	573.13035	0
84349	573.13036	0
84368	573.13037	1
84388	573.13038	0
84408	573.13039	1
84447	573.13041	0
84466	573.13042	1
84485	573.13043	0
84524	573.13045	0
84543	573.13046	1
84562	573.13047	0
84582	573.13048	1
84620	573.13050	0
84699	573.13054	0
84719	573.13055	0
84739	573.13056	0
84759	573.13057	0
84798	573.13059	0
84818	573.13060	0
84838	573.13061	0
84858	573.13062	1
84877	573.13063	1
84897	573.13064	0
84936	573.13066	0
84956	573.13067	1
84976	573.13068	1
84995	573.13069	0
85015	573.13070	0
85074	573.13073	1
85093	573.13074	0
85113	573.13075	1
85132	573.13076	0
85151	573.13077	0
85171	573.13079	1
85190	573.13080	0
85209	573.13081	0
85229	573.13082	0
85248	573.13083	0
85268	573.13084	0
85288	573.13085	0
85308	573.13086	0
85327	573.13087	0
85405	573.13091	0
85444	573.13093	0
85464	573.13094	0
85483	573.13095	1
85503	573.13096	1
85523	573.13097	1
85543	573.13098	0
85563	573.13099	0
85582	573.13100	0
85602	573.13101	0
85621	573.13102	0
85640	573.13103	0
85660	573.13104	0
85680	573.13105	1
85699	573.13106	0
85718	573.13107	0
85758	573.13109	1
85777	573.13110	1
85796	573.13111	0
85815	573.13112	0
85835	573.13113	1
85854	573.13114	0
85874	573.13115	0
85894	573.13116	0
85913	573.13117	0
85932	573.13118	0
85952	573.13119	0
85972	573.13120	0
85992	573.13121	0
86031	573.13123	1
86050	573.13124	0
86069	573.13125	0
86089	573.13126	0
86108	573.13127	1
86127	573.13128	0
86147	573.13129	0
86167	573.13130	0
86186	573.13131	0
86245	573.13134	0
86265	573.13135	0
86285	573.13136	1
86305	573.13137	0
86324	573.13138	1
86344	573.13139	1
86363	573.13140	1
86383	573.13141	0
86422	573.13143	1
86442	573.13144	0
86462	573.13145	1
86501	573.13147	0
86521	573.13148	0
86540	573.13149	0
86560	573.13150	0
86579	573.13151	0
86598	573.13152	0
86637	573.13156	1
86656	573.13157	0
86695	573.13159	0
86715	573.13160	0
86772	573.13163	1
86791	573.13164	1
86811	573.13165	0
86830	573.13166	0
86849	573.13167	1
86868	573.13168	0
86887	573.13169	1
86906	573.13170	0
86925	573.13171	0
86944	573.13172	1
86964	573.13173	0
86984	573.13174	1
87023	573.13176	1
87063	573.13178	1
87141	573.13182	1
87181	573.13185	0
87201	573.13186	1
87220	573.13187	0
87297	573.13192	0
87336	573.13194	0
87356	573.13195	1
87376	573.13196	0
87416	573.13198	0
87435	573.13199	0
87454	573.13200	0
87474	573.13201	1
87532	573.13204	0
87629	573.13209	0
87725	573.13214	1
87763	573.13216	0
87821	573.13219	1
87859	573.13221	1
87898	573.13223	0
87918	573.13224	1
87956	573.13226	0
87976	573.13227	0
87996	573.13228	0
88036	573.13230	0
88056	573.13231	0
88075	573.13232	0
88208	573.13239	0
88246	573.13241	0
88266	573.13242	0
88286	573.13243	0
88305	573.13244	0
88324	573.13245	0
88343	573.13246	0
88420	573.13250	0
88440	573.13251	1
88460	573.13252	1
88480	573.13253	0
88500	573.13254	0
88519	573.13255	1
88538	573.13256	0
88578	573.13258	0
88598	573.13259	1
88617	573.13260	0
88637	573.13261	0
88656	573.13262	0
88675	573.13263	0
88695	573.13264	0
88715	573.13265	0
88735	573.13266	0
88774	573.13268	0
88793	573.13269	0
88812	573.13270	0
88909	573.13275	0
88929	573.13276	0
88968	573.13278	1
88988	573.13279	0
89047	573.13282	0
89067	573.13283	0
89087	573.13284	0
89106	573.13285	0
89126	573.13286	0
89145	573.13287	0
89165	573.13288	1
89185	573.13289	1
89224	573.13291	0
89244	573.13292	1
89284	573.13294	0
89304	573.13295	0
89323	573.13296	0
89342	573.13297	0
89361	573.13298	0
89421	573.13301	0
89441	573.13302	0
89460	573.13303	1
89480	573.13304	0
89500	573.13305	0
89520	573.13306	0
89539	573.13307	1
89559	573.13308	0
89578	573.13309	0
89597	573.13310	0
89617	573.13311	0
89637	573.13312	0
89656	573.13313	0
89675	573.13314	0
89694	573.13315	0
89714	573.13316	0
89734	573.13317	0
89754	573.13318	0
89773	573.13319	0
89792	573.13321	0
89871	573.13324	0
89890	573.13326	0
89927	573.13328	0
89947	573.13329	0
89965	573.13330	0
89984	573.13331	0
90004	573.13332	0
90024	573.13333	0
90044	573.13334	0
90064	573.13335	0
90084	573.13336	0
90103	573.13338	0
90123	573.13340	0
90142	573.13341	0
90161	573.13343	0
90181	573.13342	0
90201	573.13344	0
90318	573.13350	1
90433	573.13356	1
90452	573.13357	0
90511	573.13360	0
90627	573.13366	0
90666	573.13368	0
90705	573.13370	0
90763	573.13373	0
90783	573.13374	0
90802	573.13375	0
90821	573.13376	0
90840	573.13377	0
90994	573.13385	0
91147	573.13393	0
91303	573.13401	0
91322	573.13403	1
91341	573.13402	1
91400	573.13406	0
91516	573.13413	0
91536	573.13414	0
91556	573.13416	0
91575	573.13415	0
91674	573.13424	0
91713	573.13425	0
91885	573.13434	1
91923	573.13436	0
92001	573.13441	0
92041	573.13443	0
92256	573.13454	0
92294	573.13456	0
92313	573.13457	0
92332	573.13458	0
92351	573.13459	0
92371	573.13460	0
92410	573.13462	0
92429	573.13463	0
92449	573.13464	0
92469	573.13465	0
92489	573.13466	0
