	genome_id	resistant_phenotype
79835	1304917.4	1
81814	1304920.3	1
82296	1304924.3	1
82831	1328427.3	1
84151	1284797.4	1
84294	573.13033	0
84333	573.13035	1
84352	573.13036	1
84372	573.13037	1
84392	573.13038	0
84412	573.13039	1
84450	573.13041	1
84470	573.13042	1
84489	573.13043	1
84508	573.13044	1
84527	573.13045	1
84546	573.13046	1
84566	573.13047	0
84586	573.13048	1
84624	573.13050	0
84703	573.13054	1
84723	573.13055	1
84763	573.13057	1
84802	573.13059	1
84822	573.13060	0
84861	573.13062	1
84881	573.13063	1
84940	573.13066	0
84960	573.13067	1
84979	573.13068	1
84999	573.13069	1
85019	573.13070	0
85077	573.13073	1
85097	573.13074	0
85116	573.13075	1
85135	573.13076	1
85155	573.13077	0
85174	573.13079	1
85193	573.13080	1
85213	573.13081	0
85232	573.13082	1
85252	573.13083	1
85272	573.13084	1
85292	573.13085	0
85311	573.13086	0
85331	573.13087	1
85448	573.13093	1
85467	573.13094	1
85487	573.13095	1
85507	573.13096	1
85527	573.13097	1
85547	573.13098	1
85586	573.13100	0
85605	573.13101	1
85644	573.13103	0
85664	573.13104	0
85683	573.13105	1
85702	573.13106	1
85722	573.13107	1
85761	573.13109	1
85780	573.13110	1
85799	573.13111	1
85819	573.13112	1
85838	573.13113	1
85858	573.13114	0
85878	573.13115	0
85897	573.13116	0
85916	573.13117	1
85936	573.13118	0
85956	573.13119	1
85976	573.13120	0
85996	573.13121	1
86034	573.13123	1
86053	573.13124	1
86073	573.13125	0
86092	573.13126	1
86111	573.13127	1
86151	573.13129	0
86190	573.13131	1
86249	573.13134	0
86289	573.13136	1
86308	573.13137	1
86328	573.13138	1
86347	573.13139	1
86367	573.13140	1
86426	573.13143	1
86446	573.13144	0
86465	573.13145	1
86524	573.13148	0
86582	573.13151	1
86602	573.13152	0
86640	573.13156	1
86660	573.13157	0
86699	573.13159	1
86719	573.13160	1
86756	573.13162	1
86775	573.13163	1
86795	573.13164	1
86833	573.13166	0
86852	573.13167	1
86871	573.13168	0
86891	573.13169	1
86928	573.13171	1
86948	573.13172	1
86968	573.13173	1
86987	573.13174	1
87027	573.13176	1
87067	573.13178	1
87145	573.13182	1
87165	573.13183	1
87185	573.13185	1
87204	573.13186	1
87224	573.13187	1
87300	573.13192	1
87340	573.13194	1
87360	573.13195	1
87380	573.13196	1
87419	573.13198	1
87438	573.13199	1
87458	573.13200	1
87477	573.13201	1
87728	573.13214	1
87824	573.13219	1
87863	573.13221	1
87882	573.13222	1
87902	573.13223	1
87921	573.13224	1
87960	573.13226	1
87980	573.13227	1
88000	573.13228	0
88060	573.13231	0
88078	573.13232	1
88211	573.13239	1
88250	573.13241	1
88270	573.13242	0
88289	573.13243	0
88327	573.13245	0
88346	573.13246	1
88424	573.13250	1
88444	573.13251	1
88464	573.13252	1
88484	573.13253	1
88503	573.13254	1
88522	573.13255	1
88542	573.13256	1
88582	573.13258	1
88601	573.13259	1
88621	573.13260	0
88641	573.13261	1
88659	573.13262	1
88679	573.13263	1
88699	573.13264	1
88719	573.13265	1
88738	573.13266	1
88777	573.13268	1
88796	573.13269	1
88816	573.13270	1
88913	573.13275	0
88933	573.13276	1
88972	573.13278	1
88992	573.13279	0
89051	573.13282	0
89071	573.13283	1
89090	573.13284	0
89110	573.13285	1
89129	573.13286	0
89169	573.13288	1
89188	573.13289	1
89228	573.13291	1
89248	573.13292	1
89288	573.13294	0
89307	573.13295	0
89326	573.13296	0
89345	573.13297	0
89365	573.13298	0
89425	573.13301	0
89464	573.13303	1
89504	573.13305	1
89523	573.13306	1
89543	573.13307	1
89562	573.13308	1
89581	573.13309	0
89601	573.13310	0
89621	573.13311	1
89640	573.13312	0
89659	573.13313	1
89678	573.13314	1
89698	573.13315	1
89718	573.13316	1
89738	573.13317	0
89757	573.13318	0
89776	573.13319	0
89796	573.13321	0
89816	573.13322	1
89836	573.13323	1
89874	573.13324	1
89893	573.13326	1
89968	573.13330	0
90008	573.13332	0
90028	573.13333	1
90048	573.13334	0
90068	573.13335	0
90087	573.13336	0
90107	573.13338	1
90126	573.13340	1
90145	573.13341	1
90185	573.13342	0
90204	573.13344	1
90322	573.13350	1
90436	573.13356	1
90514	573.13360	1
90592	573.13364	1
90631	573.13366	0
90670	573.13368	0
90709	573.13370	0
90767	573.13373	1
90786	573.13374	0
90844	573.13377	1
90997	573.13385	0
91151	573.13393	1
91306	573.13401	0
91325	573.13403	1
91345	573.13402	1
91404	573.13406	1
91560	573.13416	1
91678	573.13424	0
91717	573.13425	0
91888	573.13434	1
92005	573.13441	1
92044	573.13443	0
92259	573.13454	0
92297	573.13456	1
92317	573.13457	1
92374	573.13460	0
92413	573.13462	1
92433	573.13463	1
92473	573.13465	1
92492	573.13466	1
92511	573.13467	1
92530	573.13468	0
92549	573.13469	0
92568	573.13470	1
92607	573.13472	0
92645	573.13474	1
92665	573.13475	1
92684	573.13476	1
92704	573.13477	1
92724	573.13478	1
92744	573.13479	0
92764	573.13480	1
92784	573.13481	1
92804	573.13482	1
92824	573.13483	1
92843	573.13484	0
92863	573.13485	1
92903	573.13487	0
92942	573.13489	0
92962	573.13490	1
92981	573.13491	1
93000	573.13492	0
93020	573.13493	1
93039	573.13494	0
93059	573.13495	1
93097	573.13497	1
93136	573.13499	1
93156	573.13500	0
93195	573.13502	0
93214	573.13503	1
93234	573.13504	0
93273	573.13506	1
93292	573.13507	0
93311	573.13508	1
93330	573.13509	0
93369	573.13511	1
93389	573.13512	1
93407	573.13513	1
93446	573.13515	1
93465	573.13516	1
93484	573.13517	0
93504	573.13518	1
93523	573.13519	1
93543	573.13520	1
93562	573.13521	1
93582	573.13522	1
93620	573.13524	1
93639	573.13525	1
93659	573.13526	1
93679	573.13527	0
93718	573.13529	0
93737	573.13530	1
93796	573.13533	1
93835	573.13535	1
93854	573.13537	1
93873	573.13538	1
93893	573.13539	1
93912	573.13540	1
93932	573.13541	0
93971	573.13543	1
93991	573.13544	1
94029	573.13546	1
94049	573.13547	0
94069	573.13548	1
94088	573.13549	1
94108	573.13550	1
94128	573.13551	0
94148	573.13552	1
94168	573.13553	1
94188	573.13554	0
94208	573.13555	0
94227	573.13556	1
94247	573.13557	1
94266	573.13558	1
94285	573.13559	1
94305	573.13560	1
94324	573.13561	1
94344	573.13562	1
94363	573.13563	1
94383	573.13564	1
94403	573.13565	1
94423	573.13566	1
94442	573.13567	1
94461	573.13568	1
94481	573.13569	1
94501	573.13570	0
94560	573.13573	1
94579	573.13574	1
94599	573.13575	1
94618	573.13576	1
94638	573.13577	1
94657	573.13578	1
94677	573.13579	1
94697	573.13580	1
94737	573.13582	0
94776	573.13584	1
94795	573.13585	1
94814	573.13586	1
94833	573.13587	1
94852	573.13588	1
94871	573.13589	1
94890	573.13590	1
94909	573.13591	1
94929	573.13592	1
94969	573.13594	1
94989	573.13595	1
95008	573.13596	1
95065	573.13599	1
95084	573.13600	1
95103	573.13601	1
95122	573.13602	0
95141	573.13603	1
95199	573.13606	0
95218	573.13607	0
95237	573.13608	0
95276	573.13610	0
95316	573.13612	0
95335	573.13613	1
95354	573.13614	1
95394	573.13616	1
95414	573.13617	1
95433	573.13618	0
95453	573.13619	1
95473	573.13620	1
95493	573.13621	0
95569	573.13625	1
95588	573.13626	1
95607	573.13627	0
95627	573.13628	1
95646	573.13629	1
95703	573.13632	1
95723	573.13633	0
95742	573.13634	1
95762	573.13635	1
95781	573.13636	1
95801	573.13637	1
95820	573.13638	1
95838	573.13639	1
