	genome_id	resistant_phenotype
79840	1304917.4	0
81819	1304920.3	0
82301	1304924.3	0
82829	1328424.3	1
82860	1328382.3	1
82901	1328384.3	0
82917	1328385.3	0
82932	1328386.3	0
82940	1328387.3	1
83068	1438717.3	1
83148	1438723.3	1
83164	1438724.3	1
83212	1438727.3	0
83260	1438730.3	0
83276	1438731.3	1
83343	1438735.3	1
83377	1438737.3	1
83493	1438744.3	1
83527	1438746.3	1
83578	1438749.3	1
83595	1438750.3	1
83646	1438753.3	1
83662	1438754.3	1
83679	1438755.3	1
83695	1438756.3	1
83712	1438757.3	1
83760	1438760.3	1
83793	1438762.3	1
83827	1438764.3	1
83844	1438765.3	1
83861	1438766.3	1
83878	1438767.3	1
83912	1438769.3	1
83946	1438771.3	1
83963	1438772.3	1
83979	1438773.3	1
84029	1438776.3	1
84080	1438779.3	1
84156	1284797.4	0
84259	573.13031	1
84278	573.13032	1
84297	573.13033	1
84336	573.13035	1
84355	573.13036	1
84375	573.13037	1
84395	573.13038	1
84415	573.13039	1
84453	573.13041	1
84473	573.13042	1
84492	573.13043	1
84511	573.13044	1
84530	573.13045	1
84549	573.13046	0
84569	573.13047	1
84589	573.13048	1
84627	573.13050	0
84706	573.13054	0
84726	573.13055	1
84746	573.13056	0
84766	573.13057	0
84805	573.13059	1
84825	573.13060	1
84845	573.13061	0
84864	573.13062	1
84884	573.13063	1
84904	573.13064	1
84943	573.13066	1
84963	573.13067	1
84982	573.13068	1
85002	573.13069	1
85022	573.13070	0
85080	573.13073	0
85100	573.13074	1
85119	573.13075	1
85138	573.13076	1
85158	573.13077	1
85177	573.13079	1
85196	573.13080	1
85216	573.13081	1
85235	573.13082	1
85255	573.13083	1
85275	573.13084	1
85295	573.13085	1
85314	573.13086	1
85334	573.13087	1
85411	573.13091	1
85451	573.13093	1
85470	573.13094	1
85490	573.13095	1
85510	573.13096	1
85530	573.13097	1
85550	573.13098	1
85569	573.13099	1
85589	573.13100	1
85608	573.13101	0
85627	573.13102	1
85647	573.13103	1
85667	573.13104	0
85686	573.13105	1
85705	573.13106	0
85725	573.13107	1
85764	573.13109	1
85783	573.13110	1
85802	573.13111	1
85822	573.13112	1
85841	573.13113	1
85861	573.13114	1
85881	573.13115	1
85900	573.13116	1
85919	573.13117	1
85939	573.13118	0
85959	573.13119	1
85979	573.13120	0
85999	573.13121	1
86037	573.13123	0
86056	573.13124	1
86076	573.13125	0
86095	573.13126	1
86114	573.13127	1
86134	573.13128	1
86154	573.13129	1
86173	573.13130	1
86193	573.13131	1
86252	573.13134	1
86272	573.13135	1
86292	573.13136	1
86311	573.13137	1
86331	573.13138	1
86350	573.13139	1
86370	573.13140	1
86389	573.13141	0
86429	573.13143	1
86449	573.13144	1
86468	573.13145	1
86508	573.13147	1
86527	573.13148	1
86547	573.13149	1
86566	573.13150	1
86585	573.13151	1
86605	573.13152	0
86643	573.13156	1
86663	573.13157	1
86702	573.13159	1
86722	573.13160	1
86759	573.13162	1
86778	573.13163	1
86798	573.13164	1
86817	573.13165	1
86836	573.13166	1
86855	573.13167	1
86874	573.13168	1
86894	573.13169	0
86912	573.13170	1
86931	573.13171	1
86951	573.13172	0
86971	573.13173	1
86990	573.13174	0
87030	573.13176	1
87070	573.13178	1
87148	573.13182	1
87168	573.13183	1
87188	573.13185	1
87207	573.13186	1
87227	573.13187	1
87303	573.13192	0
87343	573.13194	0
87363	573.13195	0
87383	573.13196	1
87422	573.13198	0
87441	573.13199	0
87461	573.13200	0
87480	573.13201	1
87539	573.13204	1
87636	573.13209	0
87731	573.13214	1
87769	573.13216	1
87827	573.13219	1
87866	573.13221	1
87885	573.13222	1
87905	573.13223	1
87924	573.13224	1
87963	573.13226	1
87983	573.13227	1
88003	573.13228	1
88043	573.13230	1
88063	573.13231	0
88081	573.13232	0
88214	573.13239	1
88253	573.13241	0
88273	573.13242	0
88292	573.13243	0
88311	573.13244	1
88330	573.13245	0
88349	573.13246	1
88427	573.13250	0
88447	573.13251	1
88467	573.13252	1
88487	573.13253	0
88506	573.13254	1
88525	573.13255	1
88545	573.13256	1
88585	573.13258	1
88604	573.13259	1
88624	573.13260	1
88644	573.13261	1
88662	573.13262	0
88682	573.13263	1
88702	573.13264	1
88722	573.13265	1
88741	573.13266	1
88780	573.13268	0
88799	573.13269	1
88819	573.13270	0
88916	573.13275	1
88936	573.13276	1
88975	573.13278	1
88995	573.13279	0
89054	573.13282	1
89074	573.13283	0
89093	573.13284	1
89113	573.13285	0
89132	573.13286	1
89152	573.13287	1
89172	573.13288	1
89191	573.13289	1
89231	573.13291	1
89251	573.13292	1
89291	573.13294	1
89310	573.13295	1
89329	573.13296	0
89348	573.13297	0
89368	573.13298	1
