	genome_id	resistant_phenotype
175699	1773.18373	0
175709	1773.18375	0
175719	1773.18377	0
175729	1773.18378	0
175739	1773.18383	0
175749	1773.18386	0
175759	1773.18384	0
175769	1773.18385	0
175779	1773.18379	0
175789	1773.18382	0
175799	1773.18381	1
175809	1773.18380	1
175829	1773.18388	0
175839	1773.18389	0
175849	1773.18392	0
175859	1773.18391	0
175879	1773.18398	0
175889	1773.18394	0
175899	1773.18393	0
175909	1773.18395	0
175919	1773.18397	0
175929	1773.18396	1
175939	1773.18399	0
175959	1773.18403	0
175969	1773.18401	0
175999	1773.18406	1
176019	1773.18402	0
176029	1773.18408	0
176039	1773.18410	0
176049	1773.18409	0
176059	1773.18411	0
176538	1773.18662	0
176549	1773.18659	0
176560	1773.18658	1
176571	1773.18660	0
176582	1773.18661	1
176593	1773.18656	0
176604	1773.18657	1
176673	1773.18465	0
176684	1773.18464	0
176691	1773.18459	1
176708	1773.18476	0
176715	1773.18470	1
176727	1773.18469	0
176734	1773.18467	1
176743	1773.18472	1
176750	1773.18473	1
176756	1773.18477	0
176761	1773.18471	1
176768	1773.18485	1
176777	1773.18487	1
176784	1773.18483	1
176790	1773.18484	1
176795	1773.18481	1
176804	1773.18486	1
176811	1773.18482	0
176819	1773.18480	0
176824	1773.18478	0
176831	1773.18479	1
176838	1773.18488	1
176845	1773.18498	1
176852	1773.18495	1
176866	1773.18490	0
176871	1773.18496	1
176881	1773.18493	0
176889	1773.18494	0
176893	1773.18492	1
176899	1773.18489	1
176910	1773.18499	1
176918	1773.18497	0
176929	1773.18508	0
176936	1773.18509	1
176944	1773.18510	1
176955	1773.18502	1
176966	1773.18505	1
176973	1773.18506	1
176981	1773.18501	1
176992	1773.18503	1
177000	1773.18504	1
177010	1773.18500	1
177020	1773.18507	1
177027	1773.18521	0
177039	1773.18513	1
177049	1773.18514	0
177057	1773.18515	0
177069	1773.18512	0
177081	1773.18520	1
177093	1773.18519	1
177104	1773.18518	1
