	genome_id	resistant_phenotype
128463	1733.7377	1
128467	1733.7407	1
128471	1733.7295	0
128474	1733.7167	1
128478	1733.7351	1
128481	1733.7334	1
128485	1733.7392	1
128488	1733.7366	1
128492	1733.7279	1
128495	1733.7302	1
128499	1733.7162	1
128503	1733.7408	1
128511	1733.7276	1
128515	1733.2214	1
128519	1733.1123	0
128523	1733.2223	1
128527	1733.1124	0
128531	1733.1125	0
128535	1733.1126	1
128539	1733.2232	0
128543	1733.1127	0
128547	1733.1169	1
128551	1733.972	0
128555	1733.973	1
128559	1733.974	0
128563	1733.1519	1
128567	1733.961	1
128571	1733.2242	1
128575	1733.1170	1
128579	1733.1171	0
128583	1733.975	0
128587	1733.976	1
128591	1733.1190	1
128595	1733.977	1
128599	1733.2257	1
128603	1733.978	1
128607	1733.2215	1
128611	1733.979	1
128615	1733.1191	1
128623	1733.1155	1
128627	1733.1156	1
128631	1733.1157	0
128635	1733.1158	1
128643	1733.2222	1
128647	1733.2226	1
128651	1733.2233	0
128655	1733.2238	1
128659	1733.2243	1
128663	1733.967	1
128667	1733.9974	0
128670	1733.9975	0
128676	1733.9977	0
128679	1733.9978	1
128682	1733.7229	1
128686	1733.7263	1
128690	1733.7109	1
128698	1733.7320	1
128702	1733.7168	1
128710	1733.7389	1
128714	1733.7435	1
128718	1733.7128	1
128722	1733.7118	1
128730	1733.7238	1
128734	1733.7347	1
128738	1733.7349	1
128742	1733.7122	1
128754	1733.7333	1
128758	1733.7213	1
128762	1733.7433	1
128766	1733.7348	1
128774	1733.7250	1
128778	1733.7126	1
128782	1733.7275	1
128786	1733.7400	1
128790	1733.7207	1
128802	1733.7134	1
128806	1733.7410	1
128810	1733.7171	1
128814	1733.7108	1
128818	1733.7116	1
128822	1733.7194	1
128826	1733.7294	1
128841	1733.7257	1
128845	1733.962	0
128849	1733.1192	0
128853	1733.2266	1
128857	1733.963	1
128861	1733.1193	1
128865	1733.1194	1
128869	1733.1195	1
128873	1733.1196	1
128877	1733.1197	0
128881	1733.3203	0
128885	1733.3924	0
128889	1733.1198	0
128893	1733.1199	1
128897	1733.1200	0
128901	1733.1201	0
128905	1733.1202	1
128909	1733.1520	1
128913	1733.1203	1
128925	1733.1204	1
128929	1733.1089	0
128933	1733.1053	1
128937	1733.1054	1
128945	1733.942	1
128949	1733.943	1
128953	1733.944	1
128957	1733.945	0
128961	1733.946	1
128965	1733.947	1
128969	1733.2272	1
128973	1733.1055	1
128977	1733.1056	1
128981	1733.2216	0
128985	1733.1205	0
128992	1733.9980	0
128995	1733.9981	0
128998	1733.9982	0
129001	1733.7216	0
129004	1733.7160	0
129007	1733.7234	0
129010	1733.7303	0
129013	1733.7337	0
129016	1733.7288	0
129019	1733.7379	0
129022	1733.7411	1
129026	1733.7251	1
129030	1733.7255	1
129034	1733.7375	1
129038	1733.7190	1
129042	1733.7206	1
129045	1733.7364	1
129049	1733.7298	1
129053	1733.7305	1
129057	1733.7133	1
129065	1733.7317	1
129069	1733.7314	0
129073	1733.7352	1
129077	1733.7243	1
129085	1733.7395	1
129089	1733.7406	1
129093	1733.7267	1
129097	1733.7401	1
129101	1733.7308	1
129105	1733.7232	1
129109	1733.7244	1
129117	1733.7301	1
129121	1733.7202	1
129125	1733.7137	0
129133	1733.7339	0
129137	1733.7284	0
129141	1733.7385	0
129145	1733.7140	0
129149	1733.7313	0
129153	1733.7211	0
129157	1733.7222	0
129165	1733.7290	0
129172	1733.7173	0
129175	1733.7403	0
129178	1733.7132	0
129182	1733.7215	1
129186	1733.7432	1
129190	1733.7112	1
129194	1733.7327	1
129198	1733.7166	1
129202	1733.7425	1
129206	1733.7409	1
129210	1733.7241	1
129214	1733.7221	1
129218	1733.7227	1
129226	1733.7141	1
129230	1733.7113	1
129234	1733.7145	1
129238	1733.7261	1
129246	1733.7332	1
129250	1733.7360	1
129254	1733.7155	1
129258	1733.7384	1
129262	1733.7367	1
129278	1733.7417	1
129282	1733.7383	0
129286	1733.7325	1
129290	1733.7156	1
129294	1733.7236	1
129298	1733.7439	1
129302	1733.7381	1
129306	1733.7200	1
129310	1733.7368	1
129314	1733.1206	0
129318	1733.949	1
129322	1733.948	1
129326	1733.950	0
129330	1733.1207	0
129334	1733.951	1
129338	1733.1208	0
129342	1733.1209	1
129346	1733.1210	1
129350	1733.1211	1
129354	1733.1212	0
129358	1733.1213	0
129362	1733.1214	1
129366	1733.1215	0
129370	1733.1216	0
129374	1733.1217	1
129378	1733.1218	1
129382	1733.1219	1
129386	1733.1220	1
129390	1733.2227	1
129394	1733.2234	0
129398	1733.1057	1
129402	1733.1172	0
129406	1733.1221	1
129410	1733.2239	1
129414	1733.1222	1
129418	1733.1223	0
129422	1733.9983	0
129425	1733.9984	0
129428	1733.9985	0
129431	1733.9986	0
129437	1733.9988	0
129440	1733.9989	1
129443	1733.7150	0
129447	1733.7438	0
129451	1733.7346	1
129455	1733.7159	1
129459	1733.7292	1
129463	1733.7196	1
129467	1733.7300	1
129471	1733.7198	1
129475	1733.7195	1
129479	1733.7330	1
129483	1733.7249	1
129487	1733.7180	1
129491	1733.7212	1
129495	1733.7338	1
129499	1733.7205	1
129503	1733.7233	1
129507	1733.7184	1
129511	1733.7183	1
129515	1733.7341	0
129519	1733.7191	0
129523	1733.7219	0
129527	1733.7224	0
129531	1733.7268	0
129535	1733.7154	0
129539	1733.7135	1
129543	1733.7321	1
129547	1733.7247	1
129555	1733.7322	0
129559	1733.7271	1
129563	1733.7185	0
129567	1733.7144	1
129571	1733.7318	1
129575	1733.7170	1
129579	1733.7161	1
129587	1733.7217	1
129591	1733.7370	1
129595	1733.7369	1
129599	1733.7429	1
129603	1733.7424	1
129607	1733.7230	1
129611	1733.7235	1
129615	1733.7104	1
129619	1733.1224	1
129623	1733.964	1
129627	1733.1225	1
129631	1733.968	1
129635	1733.969	1
129639	1733.1226	0
129643	1733.2244	1
129647	1733.1227	0
129651	1733.966	0
129655	1733.2258	1
129659	1733.970	1
129663	1733.952	1
129667	1733.1228	1
129671	1733.1033	1
129675	1733.1034	0
129679	1733.1035	1
129683	1733.1173	0
129687	1733.1229	0
129691	1733.1521	1
129695	1733.1230	0
129699	1733.2262	1
129703	1733.2267	0
129707	1733.1036	1
129711	1733.1231	0
129715	1733.1037	1
129719	1733.1038	1
129723	1733.1069	0
129727	1733.1070	0
129731	1733.1071	0
129735	1733.2273	1
129739	1733.1232	1
129747	1733.2217	0
129751	1733.1233	1
129755	1733.1234	1
129759	1733.980	1
129763	1733.1235	0
129767	1733.9990	0
129773	1733.9992	1
129776	1733.9993	0
129779	1733.9994	1
129785	1733.9996	0
129788	1733.7388	1
129792	1733.7281	1
129796	1733.7208	1
129800	1733.1236	1
129804	1733.1237	0
129808	1733.953	1
129812	1733.954	0
129816	1733.955	1
129820	1733.1238	1
129824	1733.1072	1
129828	1733.1073	0
129832	1733.1074	1
129836	1733.1075	1
129840	1733.2228	1
129844	1733.1059	0
129848	1733.1060	0
129852	1733.1239	1
129856	1733.1240	0
129860	1733.1241	0
129864	1733.1242	1
129868	1733.1061	0
129872	1733.982	1
129876	1733.2245	0
129880	1733.2249	1
129884	1733.981	1
129888	1733.1076	1
129892	1733.1077	1
129896	1733.1078	0
129900	1733.1243	1
129904	1733.956	1
129908	1733.983	1
129912	1733.2259	1
129916	1733.2263	1
129920	1733.984	1
129924	1733.2268	1
129928	1733.2274	0
129932	1733.2218	1
129936	1733.1079	0
129940	1733.1080	1
129944	1733.1244	1
129948	1733.2229	1
129952	1733.1245	0
129956	1733.9998	0
129959	1733.9997	0
129962	1733.9999	0
129965	1733.10000	0
129972	1733.10002	0
129975	1733.10003	0
129978	1733.10004	0
129981	1733.10005	0
129986	1733.10007	0
129989	1733.10008	0
129998	1733.10011	0
130034	1733.10023	0
130037	1733.10024	0
130046	1733.10027	0
130049	1733.1081	0
