	Unnamed: 0	genome_id	resistant_phenotype
0	133449	1438833.3	1
1	133996	1773.287	0
2	134270	1773.275	0
3	134293	1773.331	0
4	134381	1773.314	0
5	135647	1438835.3	0
6	137891	1773.296	0
7	141308	1773.344	0
8	145139	1438837.3	0
9	145146	1438838.3	0
10	152635	1438842.3	0
11	153217	1438843.3	0
12	153267	1438844.3	0
13	153278	1438845.3	1
14	153305	1438846.3	0
15	153316	1438847.3	1
16	153328	1438848.3	0
17	153335	1438849.3	0
18	153387	1438854.3	1
19	153608	1438856.3	0
20	153685	1438858.3	0
21	153692	1438859.3	0
22	153713	1438862.3	0
23	154245	1773.335	0
24	154461	1438863.3	0
25	154479	1438865.3	0
26	154675	1438868.3	1
27	154682	1438869.3	1
28	154689	1438870.3	1
29	155106	1438871.3	0
30	155193	1438872.3	1
31	155451	1773.354	0
32	155672	1438874.3	1
33	155877	1773.304	1
34	156010	1773.342	0
35	156856	1773.278	0
36	158984	1773.352	0
37	159053	1773.281	0
38	159078	1773.318	1
39	159095	1773.284	0
40	159348	1773.370	0
41	159566	1773.372	0
42	159612	1773.325	0
43	159928	1773.277	0
44	159964	1773.308	0
45	160325	1773.326	0
46	160450	1773.282	0
47	160898	1773.367	0
48	161487	1773.305	0
49	161517	1773.319	0
50	161971	1773.271	0
51	162021	1773.297	0
52	164228	1423425.3	0
53	164267	1423427.3	0
54	164290	1423443.3	0
55	164298	1423445.3	0
56	164302	1423446.3	1
57	164332	1423455.3	0
58	164372	1423468.3	0
59	164415	1423480.3	0
60	164475	1423499.3	0
61	164505	1423506.3	0
62	164582	1423527.3	0
63	164599	1423531.3	0
64	164656	1423545.3	0
65	164674	1423549.3	0
66	164726	1423563.3	0
67	164732	1423564.3	0
68	164738	1423565.3	0
69	164744	1423566.3	1
70	164750	1423567.3	0
71	164765	1423571.3	1
72	164770	1423572.3	0
73	164776	1423573.3	0
74	164782	1423574.3	0
75	164788	1423575.3	1
76	172454	83331.31	0
77	175668	1773.18703	0
78	175674	1773.18716	0
79	175680	1773.18713	0
80	175686	1773.18710	0
81	175692	1773.18711	0
82	176150	1773.18687	0
83	176156	1773.18693	0
84	176172	1773.18692	0
85	176178	1773.18695	0
86	176184	1773.18696	0
87	176190	1773.18697	0
88	176196	1773.18707	1
89	176202	1773.18706	0
90	176208	1773.18701	0
91	176213	1773.18698	0
92	176218	1773.18717	0
93	176224	1773.18699	0
94	176230	1773.18700	0
95	176676	1773.18465	0
96	176686	1773.18464	0
97	176693	1773.18459	1
98	176710	1773.18476	0
99	176717	1773.18470	0
100	176729	1773.18469	0
101	176736	1773.18467	1
102	176745	1773.18472	1
103	176752	1773.18473	1
104	176757	1773.18477	0
105	176763	1773.18471	1
106	176770	1773.18485	0
107	176779	1773.18487	0
108	176786	1773.18483	0
109	176791	1773.18484	1
110	176797	1773.18481	0
111	176806	1773.18486	0
112	176813	1773.18482	0
113	176820	1773.18480	0
114	176826	1773.18478	0
115	176833	1773.18479	0
116	176840	1773.18488	0
117	176847	1773.18498	1
118	176854	1773.18495	0
119	176867	1773.18490	0
120	176874	1773.18496	0
121	176883	1773.18493	0
122	176890	1773.18494	0
123	176894	1773.18492	0
124	176902	1773.18489	0
125	176912	1773.18499	1
126	176921	1773.18497	0
127	176931	1773.18508	0
128	176938	1773.18509	1
129	176947	1773.18510	0
130	176958	1773.18502	1
131	176968	1773.18505	0
132	176975	1773.18506	1
133	176984	1773.18501	0
