	Unnamed: 0	genome_id	resistant_phenotype
0	128465	1733.7377	1
1	128469	1733.7407	1
2	128472	1733.7295	0
3	128476	1733.7167	1
4	128479	1733.7351	1
5	128483	1733.7334	1
6	128486	1733.7392	1
7	128490	1733.7366	1
8	128493	1733.7279	1
9	128497	1733.7302	1
10	128501	1733.7162	1
11	128505	1733.7408	1
12	128513	1733.7276	1
13	128517	1733.2214	1
14	128521	1733.1123	0
15	128525	1733.2223	0
16	128529	1733.1124	0
17	128533	1733.1125	0
18	128537	1733.1126	1
19	128541	1733.2232	0
20	128545	1733.1127	0
21	128549	1733.1169	1
22	128553	1733.9720000000002	0
23	128557	1733.973	1
24	128561	1733.974	0
25	128565	1733.1519	1
26	128569	1733.961	0
27	128573	1733.2242	1
28	128577	1733.117	1
29	128581	1733.1171	0
30	128585	1733.975	0
31	128589	1733.976	1
32	128593	1733.119	0
33	128597	1733.977	1
34	128601	1733.2257	0
35	128605	1733.9779999999998	1
36	128609	1733.2215	1
37	128613	1733.979	1
38	128617	1733.1191	1
39	128625	1733.1155	1
40	128629	1733.1156	1
41	128633	1733.1157	0
42	128637	1733.1158	1
43	128645	1733.2222	1
44	128649	1733.2226	1
45	128653	1733.2233	0
46	128657	1733.2238	1
47	128661	1733.2243	1
48	128665	1733.967	1
49	128668	1733.9974	0
50	128671	1733.9975	0
51	128677	1733.9977	0
52	128680	1733.9978	1
53	128684	1733.7229	1
54	128688	1733.7263	1
55	128692	1733.7109	1
56	128700	1733.732	1
57	128704	1733.7168	1
58	128712	1733.7389	1
59	128716	1733.7435	1
60	128720	1733.7128	1
61	128724	1733.7118	1
62	128732	1733.7238	1
63	128736	1733.7347	1
64	128740	1733.7349	1
65	128744	1733.7122	1
66	128756	1733.7333	1
67	128760	1733.7213	1
68	128764	1733.7433	1
69	128768	1733.7348	1
70	128776	1733.725	1
71	128780	1733.7126	1
72	128784	1733.7275	1
73	128788	1733.74	1
74	128792	1733.7207	1
75	128804	1733.7134	1
76	128808	1733.741	1
77	128812	1733.7171	1
78	128816	1733.7108	1
79	128820	1733.7116	1
80	128824	1733.7194	1
81	128827	1733.7294	1
82	128843	1733.7257	1
83	128847	1733.9620000000002	0
84	128851	1733.1192	0
85	128855	1733.2266	1
86	128859	1733.963	0
87	128863	1733.1193	1
88	128867	1733.1194	0
89	128871	1733.1195	1
90	128875	1733.1196	1
91	128879	1733.1197	0
92	128883	1733.3203	0
93	128887	1733.3924	0
94	128891	1733.1198	0
95	128895	1733.1199	0
96	128899	1733.12	0
97	128903	1733.1201	0
98	128907	1733.1202	0
99	128911	1733.152	1
100	128915	1733.1203	0
101	128927	1733.1204	1
102	128931	1733.1089	0
103	128935	1733.1053	1
104	128939	1733.1054	0
105	128947	1733.942	1
106	128951	1733.943	1
107	128955	1733.944	1
108	128959	1733.945	0
109	128963	1733.9460000000001	1
110	128967	1733.9470000000001	0
111	128971	1733.2272	1
112	128975	1733.1055	1
113	128979	1733.1056	1
114	128983	1733.2216	0
115	128987	1733.1205	0
116	128993	1733.998	0
117	128996	1733.9981	0
118	128999	1733.9982	0
119	129002	1733.7216	0
120	129005	1733.716	0
121	129008	1733.7234	0
122	129011	1733.7303	0
123	129014	1733.7337	0
124	129017	1733.7288	0
125	129020	1733.7379	0
126	129024	1733.7411	1
127	129028	1733.7251	1
128	129032	1733.7255	1
129	129036	1733.7375	1
130	129040	1733.719	1
131	129043	1733.7206	1
132	129047	1733.7364	1
133	129051	1733.7298	1
134	129055	1733.7305	1
135	129059	1733.7133	1
136	129067	1733.7317	1
137	129071	1733.7314	0
138	129075	1733.7352	1
139	129079	1733.7243	1
140	129087	1733.7395	1
141	129091	1733.7406	1
142	129095	1733.7267	1
143	129099	1733.7401	1
144	129103	1733.7308	0
145	129107	1733.7232	1
146	129111	1733.7244	1
147	129119	1733.7301	1
148	129123	1733.7202	1
149	129127	1733.7137	0
150	129135	1733.7339	0
151	129139	1733.7284	0
152	129143	1733.7385	0
153	129147	1733.714	0
154	129151	1733.7313	0
155	129155	1733.7211	0
156	129159	1733.7222	0
157	129167	1733.729	0
158	129173	1733.7173	0
159	129176	1733.7403	0
160	129180	1733.7132	0
161	129184	1733.7215	1
162	129188	1733.7432	1
163	129192	1733.7112	1
164	129196	1733.7327	1
165	129200	1733.7166	1
166	129204	1733.7425	1
167	129208	1733.7409	1
168	129212	1733.7241	0
169	129216	1733.7221	1
170	129220	1733.7227	1
171	129228	1733.7141	1
172	129232	1733.7113	1
173	129236	1733.7145	1
174	129240	1733.7261	1
175	129248	1733.7332	1
176	129252	1733.736	1
177	129256	1733.7155	1
178	129260	1733.7384	1
179	129264	1733.7367	1
180	129280	1733.7417	1
181	129284	1733.7383	0
182	129288	1733.7325	1
183	129292	1733.7156	0
184	129296	1733.7236	1
185	129300	1733.7439	1
186	129304	1733.7381	1
187	129308	1733.72	1
188	129312	1733.7368	1
189	129316	1733.1206	0
190	129320	1733.9489999999998	1
191	129324	1733.9479999999999	1
192	129328	1733.95	0
193	129332	1733.1207	0
194	129336	1733.951	0
195	129340	1733.1208	1
196	129344	1733.1209	1
197	129348	1733.121	1
198	129352	1733.1211	1
199	129356	1733.1212	0
200	129360	1733.1213	0
201	129364	1733.1214	1
202	129368	1733.1215	0
203	129372	1733.1216	0
204	129376	1733.1217	1
205	129380	1733.1218	0
206	129384	1733.1219	1
207	129388	1733.122	1
208	129392	1733.2227	1
209	129396	1733.2234	0
210	129400	1733.1057	1
211	129404	1733.1172	0
212	129408	1733.1221	0
213	129412	1733.2239	1
214	129416	1733.1222	1
215	129420	1733.1223	0
216	129423	1733.9983	0
217	129426	1733.9984	0
218	129429	1733.9985	0
219	129432	1733.9986	0
220	129438	1733.9988	0
221	129441	1733.9989	0
222	129445	1733.715	0
223	129449	1733.7438	0
224	129453	1733.7346	0
225	129457	1733.7159	1
226	129461	1733.7292	1
227	129465	1733.7196	1
228	129469	1733.73	1
229	129473	1733.7198	1
230	129477	1733.7195	1
231	129481	1733.733	1
232	129485	1733.7249	1
233	129489	1733.718	1
234	129493	1733.7212	1
235	129497	1733.7338	1
236	129501	1733.7205	1
237	129505	1733.7233	0
238	129509	1733.7184	1
239	129513	1733.7183	1
240	129517	1733.7341	0
241	129521	1733.7191	0
242	129525	1733.7219	0
243	129529	1733.7224	0
244	129533	1733.7268	0
245	129537	1733.7154	0
246	129541	1733.7135	1
247	129545	1733.7321	1
248	129549	1733.7247	1
249	129557	1733.7322	0
250	129561	1733.7271	0
251	129565	1733.7185	0
252	129569	1733.7144	1
253	129573	1733.7318	1
254	129577	1733.717	1
255	129581	1733.7161	1
256	129589	1733.7217	1
257	129593	1733.737	1
258	129597	1733.7369	1
259	129601	1733.7429	1
260	129605	1733.7424	1
261	129609	1733.723	1
262	129613	1733.7235	1
263	129617	1733.7104	1
264	129621	1733.1224	0
265	129625	1733.964	1
266	129629	1733.1225	1
267	129633	1733.9679999999998	1
268	129637	1733.969	0
269	129641	1733.1226	0
270	129645	1733.2244	1
271	129649	1733.1227	0
272	129653	1733.9660000000001	0
273	129657	1733.2258	1
274	129661	1733.97	0
275	129665	1733.9520000000002	1
276	129669	1733.1228	1
277	129673	1733.1033	1
278	129677	1733.1034	0
279	129681	1733.1035	1
280	129685	1733.1173	0
281	129689	1733.1229	0
282	129693	1733.1521	1
283	129697	1733.123	0
284	129701	1733.2262	1
285	129705	1733.2267	0
286	129709	1733.1036	1
287	129713	1733.1231	1
288	129717	1733.1037	1
289	129721	1733.1038	1
290	129725	1733.1069	0
291	129729	1733.107	0
292	129733	1733.1071	0
293	129737	1733.2273	1
294	129741	1733.1232	1
295	129749	1733.2217	0
296	129753	1733.1233	1
297	129757	1733.1234	0
298	129761	1733.98	1
299	129765	1733.1235	0
300	129768	1733.999	0
301	129774	1733.9992	0
302	129777	1733.9993	0
303	129780	1733.9994	0
304	129786	1733.9996	0
305	129790	1733.7388	1
306	129794	1733.7281	1
307	129798	1733.7208	1
308	129802	1733.1236	1
309	129806	1733.1237	0
310	129810	1733.953	1
311	129814	1733.954	0
312	129818	1733.955	1
313	129822	1733.1238	1
314	129826	1733.1072	1
315	129830	1733.1073	0
316	129834	1733.1074	1
317	129838	1733.1075	0
318	129842	1733.2228	0
319	129846	1733.1059	0
320	129850	1733.106	0
321	129854	1733.1239	0
322	129858	1733.124	0
323	129862	1733.1241	0
324	129866	1733.1242	0
325	129870	1733.1061	0
326	129874	1733.9820000000002	1
327	129878	1733.2245	0
328	129882	1733.2249	1
329	129886	1733.981	1
330	129890	1733.1076	1
331	129894	1733.1077	1
332	129898	1733.1078	0
333	129902	1733.1243	1
334	129906	1733.9560000000001	1
335	129910	1733.983	1
336	129914	1733.2259	1
337	129918	1733.2263	1
338	129922	1733.984	1
339	129926	1733.2268	1
340	129930	1733.2274	0
341	129934	1733.2218	1
342	129938	1733.1079	0
343	129942	1733.108	1
344	129946	1733.1244	1
345	129950	1733.2229	1
346	129954	1733.1245	0
347	129957	1733.9998	0
348	129960	1733.9997	0
349	129963	1733.9999	0
350	129966	1733.1	0
351	129973	1733.1000199999999	0
