	genome_id	resistant_phenotype
226161	1402497.3	0
226179	1447529.3	0
226188	1447530.3	0
226197	1447531.3	0
226206	1447532.3	0
226215	1447533.3	0
226224	1447534.3	0
226233	1447535.3	0
226242	1447536.3	0
226260	1402485.3	0
226281	287.1248	0
226318	287.1238	1
226345	287.1231	0
226374	287.1224	1
226383	287.1222	0
226406	287.1217	0
226420	287.1214	1
226443	287.1209	1
226456	287.1206	1
226466	287.1204	1
226471	287.1203	1
226476	287.1202	1
226484	287.1200	0
226488	287.1199	0
226492	287.1198	1
226502	287.1195	0
226509	287.1193	0
226520	287.1190	0
226527	287.1188	1
226541	287.1184	1
226546	287.1183	0
226572	287.1177	0
226588	287.1172	1
226605	287.1167	0
226627	287.1162	1
226666	287.1153	1
226696	287.1147	1
226711	287.1144	1
226765	287.1133	1
226770	287.1132	1
226775	287.1131	0
226789	287.1128	0
226845	287.1116	0
226863	287.1112	0
226868	287.1111	1
226877	287.1109	1
226882	287.1108	1
226887	287.1107	0
226920	287.1100	1
226935	287.1097	1
226940	287.1096	1
226954	287.1093	0
226971	287.1089	0
226976	287.1088	1
227010	287.1080	0
227019	287.1078	1
227044	287.1072	1
227066	287.1067	1
227075	287.1065	0
227084	287.1063	0
227089	287.1062	0
227107	287.1058	0
227124	287.1054	1
227134	287.1052	0
227165	287.1045	1
227170	287.1044	0
227188	287.1040	1
227227	287.1031	0
227236	287.1029	0
227241	287.1028	0
227246	287.1027	1
227272	287.1021	0
227313	287.1011	1
227318	287.1010	1
227344	287.1004	1
227357	287.1001	1
227383	287.995	1
227392	287.993	1
227401	287.991	0
227414	287.988	0
227431	287.984	0
227448	287.980	0
227481	287.972	1
227506	287.966	0
227516	287.964	0
227556	287.955	1
227578	287.934	1
227591	287.931	1
227600	287.929	1
227605	287.928	0
227610	287.927	0
227635	287.921	0
227640	287.920	0
227649	287.918	0
227658	287.916	0
227663	287.915	0
227672	287.913	1
227677	287.912	1
227682	287.911	1
227691	287.909	1
227709	287.905	0
227718	287.903	1
227735	287.899	0
227744	287.897	0
227777	287.889	1
227786	287.887	0
227799	287.884	0
227804	287.883	1
227823	287.879	0
227857	287.871	0
227875	287.867	1
227888	287.864	1
227905	287.860	1
227910	287.859	0
227915	287.858	0
227928	287.855	0
227941	287.852	0
227946	287.851	0
227973	1402542.3	0
227982	1402543.3	0
228009	1402546.3	0
228036	1402549.3	0
228045	1402550.3	0
228054	1402551.3	0
228099	1402556.3	0
228108	1402557.3	0
228117	1402558.3	0
228126	1402559.3	0
228135	1402560.3	0
228144	1402561.3	0
228153	1402562.3	0
228162	1402563.3	0
228180	1402565.3	0
228189	1402566.3	0
228207	1447538.3	0
228216	1447539.3	0
228225	1447540.3	0
228234	1447541.3	0
228252	1447544.3	0
228261	1418235.3	0
228270	1418236.3	0
228279	1418237.3	0
228288	1418238.3	0
228297	1418239.3	0
228315	1418241.3	0
228324	1418242.3	0
228333	1418243.3	0
228342	1418244.3	0
228351	1418245.3	0
228360	1418246.3	0
228369	1402501.3	1
228378	1402502.3	0
228387	1402503.3	0
228405	1402506.3	1
228423	1402508.3	0
228432	1402509.3	0
228441	1402510.3	0
228459	1402512.3	0
228468	1402513.3	0
228495	1402516.3	0
228504	1402517.3	0
228522	1402519.3	0
228531	1402520.3	0
228540	1402521.3	0
228549	1402522.3	0
228558	1402523.3	0
228567	1402524.3	0
228576	1402525.3	0
228585	1402526.3	0
228594	1402527.3	0
228621	1402530.3	0
228630	1402531.3	0
228639	1402532.3	0
228666	1402535.3	0
228675	1402536.3	0
228693	1402538.3	0
228702	1402539.3	0
228720	1402572.3	0
228729	1402573.3	0
228738	1402574.3	0
228747	1402575.3	0
228756	1402576.3	0
228765	1402577.3	0
228792	1402489.3	0
228801	1402490.3	0
228828	1402495.3	0
228837	1402567.3	0
228846	1402568.3	0
228855	1402569.3	0
228864	1402570.3	0
228873	1402571.3	0
228882	1402487.3	0
228891	1402486.3	0
228930	1418247.3	0
228984	1402492.3	0
229081	287.8493	0
229092	287.8494	0
229103	287.8495	1
229125	287.8497	0
229155	287.4054	0
229171	287.4057	0
229179	287.4055	0
229187	287.4056	0
229195	287.4075	1
229203	287.4070	0
229211	287.8499	0
229222	287.8500	1
229233	287.4060	0
229249	287.8501	1
229268	287.8502	1
229279	287.8503	1
229312	287.8506	0
229321	287.3129	1
229327	287.3113	1
229331	287.3109	1
229335	287.3106	1
229340	287.4066	1
229356	287.4065	0
229364	287.4076	0
229382	287.8507	0
229417	287.4064	0
229444	287.4077	0
229452	287.4074	0
229460	287.4073	0
229468	287.8509	1
229524	287.5752	1
229568	287.2978	1
229621	287.2979	1
229641	287.5778	0
229660	287.2975	1
229674	287.2972	1
229688	287.2976	1
229722	287.5959	1
229794	287.5704	1
229810	287.6331	1
229842	287.5686	1
229922	287.5702	1
229938	287.5685	1
229969	287.5746	1
229984	287.5955	1
230014	287.6329	1
230059	287.6326	1
230089	287.5973	1
230104	287.5971	1
230118	287.3112	1
230122	287.3126	1
230124	287.3125	1
230126	287.3120	1
230128	287.3116	1
230130	287.3111	1
230132	287.3130	1
230143	287.5956	1
230170	287.12562	1
230174	287.12555	1
230178	287.12774	0
230186	287.12775	1
230190	287.12776	0
230194	287.12777	0
230198	287.12779	1
230202	287.12780	0
230206	287.12778	1
230214	287.12781	0
230218	287.12783	1
230226	287.12785	1
230230	287.12784	0
230238	287.12790	1
230242	287.12791	1
230246	287.12794	0
230258	287.12792	0
230262	287.12793	0
230274	287.12797	0
230278	287.12800	0
230282	287.12799	0
230286	287.12801	0
230294	287.12803	1
230298	287.12805	1
230302	287.12804	0
230306	287.12802	0
230310	287.12806	0
230314	287.12808	0
230322	287.12809	0
230326	287.12812	0
230334	287.12810	0
230338	287.12818	1
230342	287.12816	0
230346	287.12815	0
230354	287.12817	1
230358	287.12814	0
230362	287.12813	0
230366	287.12821	0
230370	287.12822	1
230374	287.12820	0
230382	287.12825	1
230386	287.12829	0
230394	287.12830	0
230398	287.12826	0
230402	287.12828	1
230406	287.12824	1
230410	287.12831	1
230418	287.12835	0
230422	287.12839	0
230426	287.12834	1
230434	287.12441	1
230442	287.12442	1
230446	287.12444	1
230450	287.12440	1
230454	287.12446	0
230458	287.12445	0
230462	287.12453	0
230470	287.12451	0
230474	287.12452	1
230478	287.12449	0
230482	287.12450	1
230486	287.12448	1
230490	287.12454	0
230494	287.12447	0
230498	287.12464	0
230502	287.12466	1
230510	287.12457	1
230514	287.12456	1
230518	287.12463	0
230522	287.12459	1
230526	287.12458	0
230530	287.12460	1
230534	287.12462	1
230538	287.12461	1
230546	287.12473	1
230550	287.12472	0
230554	287.12476	0
230558	287.12477	1
230562	287.12838	1
230566	287.12475	0
230570	287.12469	0
230574	287.12470	1
230582	287.12841	0
230590	287.12836	0
230594	287.12840	1
230598	287.12846	1
230602	287.12847	1
230606	287.12848	1
230610	287.12471	1
230614	287.12468	1
230618	287.12480	0
230626	287.12482	1
230630	287.12481	0
230638	287.12484	0
230642	287.12483	0
230646	287.12488	1
230654	287.12486	0
230658	287.12485	1
230662	287.12498	0
230674	287.12496	1
230682	287.12489	0
230690	287.12491	1
230694	287.12492	0
