	genome_id	resistant_phenotype
234043	28901.13275	0
234057	28901.13325	0
234071	28901.13333	0
234085	28901.13339	0
234099	28901.13347	0
234113	28901.13364	0
234127	28901.13303	0
234141	28901.13372	0
234155	28901.13387	0
234169	28901.13394	0
234183	28901.13276	0
234197	28901.13283	0
234211	28901.13298	0
234225	28901.13278	0
234239	28901.13297	0
234253	28901.13304	1
234267	28901.13310	0
234281	28901.13279	0
234295	28901.13287	0
234309	28901.13309	0
234337	28901.13330	0
234365	28901.13343	0
234463	28901.13318	0
234519	28901.13314	0
234533	28901.13327	0
234547	28901.13382	0
234561	28901.13317	0
234575	28901.13324	0
234589	28901.13381	0
234620	28901.13389	0
234634	28901.13388	0
234648	28901.13371	0
234662	28901.13406	0
234676	28901.13392	0
234690	28901.13367	0
234704	28901.13396	0
234725	28901.13332	0
234875	28901.13405	0
234889	28901.13338	0
234903	28901.13341	0
234917	28901.13342	1
234931	28901.13350	0
234945	28901.13351	0
234959	28901.13410	0
234973	28901.13348	0
235001	28901.13349	0
235015	28901.13280	0
235029	28901.13284	0
235043	28901.13344	0
235057	28901.13345	0
235071	28901.13365	0
235085	28901.13292	0
235099	28901.13307	0
235113	28901.13291	0
235127	28901.13352	0
235141	28901.13293	0
235155	28901.13355	0
235169	28901.13290	0
235183	28901.13346	0
235224	28901.13354	0
235238	28901.13357	0
235308	28901.13358	1
235489	28901.8200	0
235504	28901.8201	0
235518	28901.8202	0
235546	28901.8204	0
235560	28901.8205	0
235574	28901.8206	1
235602	28901.8208	0
235616	28901.8209	0
235630	28901.8210	0
235644	28901.8211	1
235658	28901.8212	0
235672	28901.8213	0
235686	28901.8214	0
235700	28901.8215	0
235714	28901.8216	0
235728	28901.8217	0
235742	28901.8218	0
235756	28901.8219	0
235770	28901.8220	0
235784	28901.8221	0
235826	28901.8224	0
235840	28901.8225	0
235854	28901.8226	0
235868	28901.8227	0
235882	28901.8228	0
235896	28901.8229	0
235910	28901.8230	0
235924	28901.8231	0
235938	28901.8232	0
235966	28901.8234	0
235980	28901.8235	0
235994	28901.8236	0
236008	28901.8237	0
236022	28901.8238	0
236050	28901.8240	0
236064	28901.8241	0
236078	28901.8242	0
236092	28901.8243	0
236106	28901.8244	1
236120	28901.8245	0
236134	28901.8246	0
236148	28901.8247	0
236162	28901.8248	0
236176	28901.8249	0
236204	28901.8251	0
236218	28901.8252	0
236232	28901.8253	0
236246	28901.8254	0
236260	28901.8255	0
236274	28901.8256	0
236288	28901.8257	0
236302	28901.8258	0
236316	28901.8259	1
236330	28901.8260	0
236344	28901.8261	0
236358	28901.8262	0
236372	28901.8263	0
236386	28901.8264	0
236400	28901.8265	1
236414	28901.8266	0
236428	28901.8267	0
236442	28901.8268	0
236456	28901.8269	0
236470	28901.8270	0
236484	28901.8271	0
236498	28901.8272	0
236512	28901.8273	0
236526	28901.8274	0
236540	28901.8275	0
236554	28901.8276	0
236582	28901.8278	0
236596	28901.8279	0
236624	28901.8281	0
236638	28901.8282	0
236652	28901.8283	0
236666	28901.8284	0
236680	28901.8285	1
236694	28901.8286	0
236722	28901.8288	0
236736	28901.8289	0
236750	28901.8290	1
236764	28901.8291	0
236778	28901.8292	0
236792	28901.8293	0
236806	28901.8294	1
236820	28901.8295	0
236834	28901.8296	0
236848	28901.8297	1
236862	28901.8298	1
236876	28901.8299	0
236890	28901.8300	0
236904	28901.8301	0
236918	28901.8302	0
236932	28901.8303	0
236946	28901.8304	0
236960	28901.8305	0
236974	28901.8306	0
237002	28901.8308	0
237030	28901.8310	0
237044	28901.8311	0
237058	28901.8312	0
237072	28901.8313	0
237086	28901.8314	0
237114	28901.8316	0
237128	28901.8317	0
237170	28901.8320	0
237184	28901.8321	0
237198	28901.8322	0
237212	28901.8323	0
237226	28901.8324	0
237240	28901.8325	0
237254	28901.8326	0
237268	28901.8327	0
237282	28901.8328	0
237296	28901.8329	0
237310	28901.8330	0
237338	28901.8332	0
237352	28901.8333	0
237366	28901.8334	1
237380	28901.8335	0
237394	28901.8336	0
237408	28901.8337	0
237422	28901.8338	0
237436	28901.8339	0
237450	28901.8340	0
237464	28901.8341	1
237478	28901.8342	0
237492	28901.8343	0
237506	28901.8344	1
237548	28901.8347	1
237562	28901.8348	0
237576	28901.8349	0
237590	28901.8350	0
237604	28901.8351	0
237618	28901.8352	1
237632	28901.8353	0
237646	28901.8354	0
237660	28901.8355	0
237674	28901.8356	0
237702	28901.8358	0
237716	28901.8359	0
237730	28901.8360	0
237744	28901.8361	0
237758	28901.8362	0
237772	28901.8363	1
237786	28901.8364	1
237800	28901.8365	0
237814	28901.8366	0
237828	28901.8367	0
237842	28901.8368	0
237856	28901.8369	0
237870	28901.8370	0
237884	28901.8371	0
237898	28901.8372	0
237912	28901.8373	0
237926	28901.8374	0
237940	28901.8375	0
237954	28901.8376	0
237968	28901.8378	0
237982	28901.8377	0
237996	28901.8379	0
238036	28901.8381	0
238050	28901.8382	0
238064	28901.8383	1
238078	28901.8384	0
238092	28901.8385	0
238106	28901.8386	0
238120	28901.8387	0
238148	28901.8389	0
238162	28901.8390	1
238204	28901.8393	1
238218	28901.8394	0
238232	28901.8395	0
238246	28901.8396	0
238260	28901.8397	0
238274	28901.8398	0
238288	28901.8399	0
238314	28901.8400	0
238328	28901.8401	0
238342	28901.8402	0
238356	28901.8403	0
238370	28901.8404	0
238384	28901.8405	1
238398	28901.8406	1
238412	28901.8407	0
238426	28901.8408	0
238440	28901.8409	0
238454	28901.8410	0
238468	28901.8411	0
238496	28901.8413	0
238524	28901.8415	0
238538	28901.8416	0
238552	28901.8417	1
238594	28901.8420	1
238608	28901.8421	0
238622	28901.8422	0
238636	28901.8423	0
238650	28901.8424	0
238664	28901.8425	0
238692	28901.8427	0
238706	28901.8428	0
238752	28901.13362	0
238766	28901.13411	0
238780	28901.3870	0
238794	28901.13397	0
238810	28901.13356	0
238841	28901.13399	0
238855	28901.13400	0
238869	28901.13320	0
238897	28901.13402	0
238911	28901.13379	0
238925	28901.13315	0
238939	28901.13378	0
238953	28901.13377	0
238967	28901.13277	0
238981	28901.13376	0
238995	28901.13374	0
239009	28901.13373	0
239040	28901.13383	0
239054	28901.13366	1
239085	28901.13288	0
239100	28901.13391	0
239114	28901.13390	0
239128	28901.13403	0
239142	28901.13408	0
239310	28901.13281	0
239324	28901.13311	0
239786	28901.1897	0
239858	28901.1851	1
240002	28901.1874	0
240038	28901.1873	0
240228	28901.793	0
240242	28901.794	0
240284	28901.761	0
240312	28901.797	0
240326	28901.798	0
240340	28901.799	0
240368	28901.763	0
240382	28901.801	0
240396	28901.802	0
240410	28901.760	0
240424	28901.764	0
240438	28901.803	0
240452	28901.765	0
240480	28901.805	0
240508	28901.806	0
240536	28901.766	0
240564	28901.809	0
240620	28901.813	0
240662	28901.815	0
240676	28901.769	0
240690	28901.816	0
240732	28901.818	0
240746	28901.819	0
240760	28901.771	0
240774	28901.820	0
240788	28901.772	0
240802	28901.773	0
240830	28901.774	0
240844	28901.775	0
240858	28901.822	1
240886	28901.776	1
240900	28901.824	0
240914	28901.825	1
240942	28901.826	0
240956	28901.827	0
240970	28901.828	0
240984	28901.829	0
240998	28901.830	0
241026	28901.859	0
241040	28901.831	0
241068	28901.832	0
241082	28901.779	0
241110	28901.833	0
241124	28901.780	0
241138	28901.834	0
241152	28901.835	0
241180	28901.855	0
241194	28901.862	0
241208	28901.837	0
241236	28901.861	1
241250	28901.782	0
241278	28901.839	1
241376	28901.842	0
241432	28901.844	0
241446	28901.845	0
241460	28901.846	0
241488	28901.847	0
241502	28901.849	0
241586	28901.850	1
241600	28901.851	0
241614	28901.863	0
241642	28901.852	0
241656	28901.853	0
241670	28901.854	0
241684	28901.8436	0
241729	28901.8439	0
241744	28901.8440	0
241759	28901.8441	0
241789	28901.8443	0
241834	28901.8446	0
241909	28901.8451	0
241924	28901.8452	1
241939	28901.8453	0
241969	28901.8455	0
241983	28901.8456	0
241998	28901.8457	0
242057	28901.8461	1
242087	28901.8463	0
242117	28901.8465	0
242132	28901.8466	0
242177	28901.8469	0
242192	28901.8470	1
242207	28901.8471	0
242252	28901.8474	0
242282	28901.8476	0
242312	28901.8478	0
242341	28901.8480	0
242356	28901.8481	0
242371	28901.8482	0
242416	28901.8485	0
242431	28901.8486	0
242446	28901.8487	0
242461	28901.8488	0
242476	28901.8489	0
242491	28901.8490	0
242535	28901.8492	0
242565	28901.8495	0
242580	28901.8496	0
242594	28901.8497	0
242609	28901.8498	0
242624	28901.8499	0
242639	28901.8500	0
242654	28901.8501	0
242669	28901.8502	0
242684	28901.8503	0
242699	28901.8504	0
242744	28901.8507	0
242759	28901.8508	0
242789	28901.8510	0
242804	28901.8511	0
242819	28901.8512	0
242849	28901.8514	0
242864	28901.8515	0
242879	28901.8516	0
242909	28901.8518	0
242923	28901.8519	0
242938	28901.8520	0
242968	28901.8522	0
242983	28901.8523	0
242998	28901.8524	0
243013	28901.8525	0
243103	28901.8531	0
243117	28901.8532	0
243132	28901.8533	0
243146	28901.8534	1
243176	28901.8536	0
243191	28901.8537	1
243236	28901.8540	0
243265	28901.8542	0
243280	28901.8543	0
243294	28901.8544	0
243324	28901.8546	0
243472	28901.8556	0
243486	28901.8557	0
243501	28901.8558	0
243516	28901.8559	0
243546	28901.8561	1
243560	28901.8562	0
243574	28901.8563	0
243589	28901.8564	0
243604	28901.8565	0
243619	28901.8566	0
243634	28901.8567	0
243649	28901.8568	0
243723	28901.8573	1
243738	28901.8574	0
243768	28901.8576	0
243797	28901.8578	0
243842	28901.8581	0
243857	28901.8582	0
243887	28901.8584	1
243901	28901.8585	0
243916	28901.8586	0
243946	28901.8588	0
243960	28901.8589	0
243990	28901.8591	0
244035	28901.8594	0
244050	28901.8595	1
244080	28901.8597	0
244110	28901.8599	0
244140	28901.8601	0
244169	28901.8603	0
244274	28901.8610	0
244289	28901.8611	1
244319	28901.8613	0
244334	28901.8614	0
244349	28901.8615	0
244364	28901.8616	0
244379	28901.8617	0
244394	28901.8618	0
244408	28901.8619	0
244422	28901.8620	0
244512	28901.8626	0
244587	28901.8631	0
244602	28901.8632	0
244617	28901.8633	0
244632	28901.8634	0
244692	28901.8638	0
244707	28901.8639	0
244722	28901.8640	0
244752	28901.8642	1
244782	28901.8644	0
244797	28901.8645	0
244827	28901.8647	0
244872	28901.8650	0
244902	28901.8652	0
244917	28901.8653	0
244947	28901.8655	0
244962	28901.8656	0
244977	28901.8657	0
245007	28901.8659	0
245022	28901.8660	0
245037	28901.8661	0
245052	28901.8662	0
245066	28901.8664	0
245080	28901.8663	0
245110	28901.8666	0
245125	28901.8667	0
245155	28901.8669	0
245170	28901.8671	0
245185	28901.8670	0
245215	28901.8673	0
245230	28901.8674	1
245245	28901.8675	0
245260	28901.8676	0
245275	28901.8677	0
245305	28901.8679	0
245320	28901.8680	1
245365	28901.8683	1
245409	28901.8686	0
245424	28901.8687	0
245454	28901.8689	0
245469	28901.8690	0
245484	28901.8691	0
245514	28901.8693	0
245529	28901.8694	0
245544	28901.8695	0
245559	28901.8696	1
245574	28901.8697	0
245589	28901.8698	0
245619	28901.8700	0
245634	28901.8701	0
245649	28901.8702	0
245664	28901.8703	0
245694	28901.8705	0
245709	28901.8706	0
245769	28901.8710	0
245829	28901.8714	0
245844	28901.8715	0
245934	28901.8721	0
245949	28901.8722	0
245964	28901.8723	0
245979	28901.8724	0
245994	28901.8725	0
246009	28901.8726	0
246039	28901.8727	0
246069	28901.8730	0
246084	28901.8731	0
246099	28901.8732	0
246114	28901.8733	0
246129	28901.8734	0
246144	28901.8735	0
246219	28901.8740	0
246294	28901.8745	0
246339	28901.8748	0
246414	28901.8753	0
246444	28901.8755	0
246474	28901.8757	0
246534	28901.8761	0
246549	28901.8762	0
246654	28901.8769	0
246684	28901.8771	0
246699	28901.8772	0
246744	28901.8775	0
246759	28901.8776	0
246774	28901.8777	0
246804	28901.8779	0
246909	28901.8786	1
246924	28901.8787	0
246998	28901.8791	0
247013	28901.8792	0
247058	28901.8795	0
247103	28901.8798	1
247118	28901.8799	0
247133	28901.8800	0
247148	28901.8801	0
247163	28901.8802	0
247193	28901.8804	0
247208	28901.8805	0
247238	28901.8807	0
247253	28901.8808	0
247283	28901.8810	0
247298	28901.8811	0
247328	28901.8813	0
247373	28901.8816	0
247508	28901.8825	1
247538	28901.8827	0
247553	28901.8828	0
247567	28901.8829	0
247582	28901.8830	0
247597	28901.8831	0
247612	28901.8832	1
247627	28901.8833	0
247642	28901.8834	0
247657	28901.8835	0
247672	28901.8836	0
247717	28901.8839	0
247777	28901.8843	0
247792	28901.8844	0
247807	28901.8845	0
247822	28901.8846	0
247852	28901.8848	0
247897	28901.8851	0
247912	28901.8852	1
247957	28901.8855	0
247972	28901.8856	1
247987	28901.8857	0
248002	28901.8858	0
248017	28901.8859	0
248032	28901.8860	0
248047	28901.8861	1
248062	28901.8862	0
248092	28901.8864	0
248107	28901.8865	0
248122	28901.8866	1
248137	28901.8867	0
248152	28901.8868	0
248212	28901.8872	0
248227	28901.8873	0
248242	28901.8874	0
248257	28901.8875	0
248287	28901.8877	0
248332	28901.8880	0
248407	28901.8885	0
248527	28901.8893	0
248542	28901.8894	0
248557	28901.8895	0
248587	28901.8897	0
248601	28901.8898	0
248616	28901.8899	0
248631	28901.8900	0
248646	28901.8901	0
248661	28901.8902	1
248721	28901.8906	0
248736	28901.8907	0
248781	28901.8910	0
248796	28901.8911	0
248811	28901.8912	0
248826	28901.8913	0
248841	28901.8914	1
248886	28901.8917	0
248976	28901.8923	0
248991	28901.8924	0
249006	28901.8925	0
249021	28901.8926	0
249036	28901.8927	0
249051	28901.8928	0
249081	28901.8930	0
249096	28901.8932	0
249186	28901.8937	0
249201	28901.8938	0
249231	28901.8940	0
249321	28901.8945	1
249336	28901.8947	0
249366	28901.8949	0
249396	28901.8954	0
249411	28901.8955	0
249426	28901.8956	0
249441	28901.8957	0
249486	28901.8960	1
249516	28901.8962	0
249531	28901.8963	0
249546	28901.8964	0
249561	28901.8965	0
249603	28901.8968	0
249617	28901.8969	0
249631	28901.8970	0
249645	28901.8971	0
249659	28901.8972	0
249687	28901.8974	0
249715	28901.8976	0
249729	28901.8977	0
249743	28901.8978	0
249757	28901.8979	0
249771	28901.8980	0
249785	28901.8981	0
249799	28901.8982	1
249813	28901.8983	0
249827	28901.8984	0
249841	28901.8985	0
249855	28901.8986	0
249869	28901.8987	0
249883	28901.8988	0
249911	28901.8990	0
249925	28901.8991	0
249953	28901.8993	1
249967	28901.8994	0
249995	28901.8996	0
250009	28901.8997	0
250023	28901.8998	0
250051	28901.9000	0
250093	28901.9003	0
250107	28901.9004	0
250121	28901.9005	0
250149	28901.9007	0
250177	28901.9009	1
250191	28901.9010	0
250205	28901.9011	0
250247	28901.9014	0
250261	28901.9015	0
250275	28901.9016	0
250289	28901.9017	0
250303	28901.9018	0
250373	28901.9023	0
250401	28901.9025	0
250415	28901.9026	0
250429	28901.9027	0
250443	28901.9028	0
250457	28901.9029	0
250471	28901.9030	0
250499	28901.9032	0
250555	28901.9036	0
250597	28901.9039	0
250611	28901.9040	0
250639	28901.9042	1
250667	28901.9044	0
250681	28901.9045	1
250709	28901.9047	0
250723	28901.9048	0
250737	28901.9049	1
250751	28901.9050	0
250765	28901.9051	0
250779	28901.9052	0
250807	28901.9054	0
250821	28901.9055	0
250835	28901.9056	0
250877	28901.9059	0
250891	28901.9060	0
250905	28901.9061	0
250919	28901.9062	0
250933	28901.9063	0
250947	28901.9064	0
250961	28901.9065	0
250989	28901.9067	0
251003	28901.9068	1
251017	28901.9069	0
251031	28901.9070	0
251045	28901.9071	1
251059	28901.9072	0
251087	28901.9074	0
251101	28901.9075	0
251115	28901.9076	0
251157	28901.9079	0
251185	28901.9081	0
251199	28901.9082	0
251213	28901.9083	0
251227	28901.9084	0
251241	28901.9085	0
251255	28901.9086	0
251269	28901.9087	1
251297	28901.9089	0
251311	28901.9090	1
251339	28901.9092	0
251381	28901.9095	0
251395	28901.9096	0
251409	28901.9097	0
251423	28901.9098	0
251437	28901.9099	0
251465	28901.9101	1
251479	28901.9102	0
251507	28901.9103	1
251535	28901.9106	0
251549	28901.9107	0
251563	28901.9108	0
251577	28901.9109	0
251591	28901.9110	0
251619	28901.9112	0
251633	28901.9113	0
251647	28901.9114	0
251661	28901.9115	0
251689	28901.9117	0
251703	28901.9118	0
251717	28901.9119	0
251731	28901.9120	0
251745	28901.9121	0
251759	28901.9122	0
251773	28901.9123	0
251815	28901.9126	0
251829	28901.9127	0
251843	28901.9128	1
251857	28901.9129	0
251885	28901.9131	0
251899	28901.9132	0
251927	28901.9134	0
251941	28901.9135	0
251955	28901.9136	0
251969	28901.9137	0
251983	28901.9138	0
251997	28901.9139	0
252039	28901.9142	0
252053	28901.9143	0
252067	28901.9144	0
252081	28901.9145	0
252095	28901.9146	0
252109	28901.9147	0
252137	28901.9149	1
252151	28901.9150	1
252193	28901.9153	0
252207	28901.9154	0
252221	28901.9155	0
252235	28901.9156	0
252249	28901.9157	0
252263	28901.9158	0
252291	28901.9160	0
252305	28901.9161	0
252319	28901.9162	0
252333	28901.9163	0
252347	28901.9164	0
252361	28901.9165	0
252375	28901.9166	0
252389	28901.9167	0
252403	28901.9168	1
252417	28901.9169	0
252431	28901.9170	0
252515	28901.9176	0
252529	28901.9177	0
252543	28901.9178	0
252599	28901.9182	0
252627	28901.9184	0
252655	28901.9186	0
252669	28901.9187	0
252683	28901.9188	0
252697	28901.9189	0
252711	28901.9190	0
252725	28901.9191	0
252753	28901.9193	0
252795	28901.9196	0
252823	28901.9198	0
252837	28901.9199	0
252851	28901.9200	1
252865	28901.9201	0
252879	28901.9202	0
252907	28901.9204	0
252935	28901.9206	0
252963	28901.9208	0
252977	28901.9209	0
252991	28901.9210	0
253005	28901.9211	0
253019	28901.9212	0
253033	28901.9213	0
253047	28901.9214	0
253061	28901.9215	0
253075	28901.9216	0
253089	28901.9217	0
253117	28901.9218	0
