	genome_id	resistant_phenotype
234044	28901.13275	0
234058	28901.13325	0
234072	28901.13333	0
234086	28901.13339	0
234100	28901.13347	0
234114	28901.13364	0
234128	28901.13303	0
234142	28901.13372	0
234156	28901.13387	0
234170	28901.13394	0
234184	28901.13276	0
234198	28901.13283	0
234212	28901.13298	0
234226	28901.13278	0
234240	28901.13297	0
234254	28901.13304	0
234268	28901.13310	0
234282	28901.13279	0
234296	28901.13287	0
234310	28901.13309	0
234338	28901.13330	0
234366	28901.13343	0
234464	28901.13318	0
234520	28901.13314	0
234534	28901.13327	0
234548	28901.13382	0
234562	28901.13317	0
234576	28901.13324	0
234590	28901.13381	0
234621	28901.13389	0
234635	28901.13388	0
234649	28901.13371	0
234663	28901.13406	0
234677	28901.13392	0
234691	28901.13367	0
234705	28901.13396	0
234726	28901.13332	0
234876	28901.13405	0
234890	28901.13338	0
234904	28901.13341	0
234918	28901.13342	0
234932	28901.13350	1
234946	28901.13351	0
234960	28901.13410	0
234974	28901.13348	0
235002	28901.13349	0
235016	28901.13280	0
235030	28901.13284	0
235044	28901.13344	0
235058	28901.13345	0
235072	28901.13365	0
235086	28901.13292	0
235100	28901.13307	0
235114	28901.13291	0
235128	28901.13352	0
235142	28901.13293	0
235156	28901.13355	0
235170	28901.13290	0
235184	28901.13346	0
235225	28901.13354	0
235239	28901.13357	0
235309	28901.13358	0
235490	28901.8200	0
235505	28901.8201	0
235519	28901.8202	0
235547	28901.8204	0
235561	28901.8205	0
235575	28901.8206	1
235603	28901.8208	0
235617	28901.8209	0
235631	28901.8210	0
235645	28901.8211	1
235659	28901.8212	0
235673	28901.8213	0
235687	28901.8214	0
235701	28901.8215	0
235715	28901.8216	0
235729	28901.8217	0
235743	28901.8218	0
235757	28901.8219	0
235771	28901.8220	0
235785	28901.8221	0
235827	28901.8224	0
235841	28901.8225	0
235855	28901.8226	0
235869	28901.8227	0
235883	28901.8228	0
235897	28901.8229	0
235911	28901.8230	0
235925	28901.8231	0
235939	28901.8232	0
235967	28901.8234	0
235981	28901.8235	0
235995	28901.8236	0
236009	28901.8237	0
236023	28901.8238	0
236051	28901.8240	0
236065	28901.8241	0
236079	28901.8242	0
236093	28901.8243	0
236107	28901.8244	1
236121	28901.8245	0
236135	28901.8246	0
236149	28901.8247	0
236163	28901.8248	0
236177	28901.8249	0
236205	28901.8251	0
236219	28901.8252	0
236233	28901.8253	0
236247	28901.8254	0
236261	28901.8255	1
236275	28901.8256	0
236289	28901.8257	0
236303	28901.8258	0
236317	28901.8259	1
