	genome_id	resistant_phenotype
234867	28901.8199	0
235491	28901.8200	0
235506	28901.8201	0
235520	28901.8202	0
235548	28901.8204	0
235562	28901.8205	0
235576	28901.8206	1
235604	28901.8208	0
235618	28901.8209	0
235632	28901.8210	0
235646	28901.8211	1
235660	28901.8212	0
235674	28901.8213	0
235688	28901.8214	0
235702	28901.8215	0
235716	28901.8216	0
235730	28901.8217	0
235744	28901.8218	0
235758	28901.8219	0
235772	28901.8220	0
235786	28901.8221	0
235828	28901.8224	0
235842	28901.8225	0
235856	28901.8226	0
235870	28901.8227	0
235884	28901.8228	0
235898	28901.8229	0
235912	28901.8230	0
235926	28901.8231	0
235940	28901.8232	0
235968	28901.8234	0
235982	28901.8235	0
235996	28901.8236	0
236010	28901.8237	0
236024	28901.8238	0
236052	28901.8240	0
236066	28901.8241	0
236080	28901.8242	0
236094	28901.8243	0
236108	28901.8244	1
236122	28901.8245	0
236136	28901.8246	0
236150	28901.8247	0
236164	28901.8248	0
236178	28901.8249	0
236206	28901.8251	0
236220	28901.8252	0
236234	28901.8253	0
236248	28901.8254	0
236262	28901.8255	1
236276	28901.8256	0
236290	28901.8257	0
236304	28901.8258	0
236318	28901.8259	1
236332	28901.8260	0
236346	28901.8261	0
236360	28901.8262	0
236374	28901.8263	0
236388	28901.8264	0
236402	28901.8265	1
236416	28901.8266	0
236430	28901.8267	0
236444	28901.8268	0
236458	28901.8269	0
236472	28901.8270	0
236486	28901.8271	0
236500	28901.8272	0
236514	28901.8273	0
236528	28901.8274	0
236542	28901.8275	0
236556	28901.8276	0
236584	28901.8278	0
236598	28901.8279	0
236626	28901.8281	0
236640	28901.8282	0
236654	28901.8283	0
236668	28901.8284	0
236682	28901.8285	1
236696	28901.8286	0
236724	28901.8288	0
236738	28901.8289	0
236752	28901.8290	1
236766	28901.8291	0
236780	28901.8292	0
236794	28901.8293	0
236808	28901.8294	1
236822	28901.8295	0
236836	28901.8296	0
236850	28901.8297	0
236864	28901.8298	1
236878	28901.8299	0
236892	28901.8300	0
236906	28901.8301	0
236920	28901.8302	0
236934	28901.8303	0
236948	28901.8304	0
236962	28901.8305	0
236976	28901.8306	0
237004	28901.8308	0
237032	28901.8310	0
237046	28901.8311	0
237060	28901.8312	0
237074	28901.8313	0
237088	28901.8314	0
237116	28901.8316	0
237130	28901.8317	0
237172	28901.8320	0
237186	28901.8321	0
237200	28901.8322	0
237214	28901.8323	0
237228	28901.8324	0
237242	28901.8325	0
237256	28901.8326	0
237270	28901.8327	0
237284	28901.8328	0
237298	28901.8329	0
237312	28901.8330	0
237340	28901.8332	0
237354	28901.8333	0
237368	28901.8334	1
237382	28901.8335	0
237396	28901.8336	0
237410	28901.8337	0
237424	28901.8338	0
237438	28901.8339	0
237452	28901.8340	0
237466	28901.8341	1
237480	28901.8342	0
237494	28901.8343	0
237508	28901.8344	1
237550	28901.8347	1
237564	28901.8348	0
237578	28901.8349	0
237592	28901.8350	0
237606	28901.8351	0
237620	28901.8352	1
237634	28901.8353	0
237648	28901.8354	0
237662	28901.8355	0
237676	28901.8356	0
237704	28901.8358	0
237718	28901.8359	0
237732	28901.8360	0
237746	28901.8361	0
237760	28901.8362	0
237774	28901.8363	1
237788	28901.8364	1
237802	28901.8365	0
237816	28901.8366	0
237830	28901.8367	0
237844	28901.8368	0
237858	28901.8369	0
237872	28901.8370	0
237886	28901.8371	0
237900	28901.8372	0
237914	28901.8373	0
237928	28901.8374	0
237942	28901.8375	0
237956	28901.8376	0
237970	28901.8378	0
237984	28901.8377	0
237998	28901.8379	0
238038	28901.8381	0
238052	28901.8382	0
238066	28901.8383	1
238080	28901.8384	0
238094	28901.8385	0
238108	28901.8386	0
238122	28901.8387	0
238150	28901.8389	0
238164	28901.8390	1
238206	28901.8393	1
238220	28901.8394	0
238234	28901.8395	0
238248	28901.8396	0
238262	28901.8397	0
238276	28901.8398	0
238290	28901.8399	0
238316	28901.8400	1
238330	28901.8401	0
238344	28901.8402	0
238358	28901.8403	0
238372	28901.8404	1
238386	28901.8405	1
238400	28901.8406	1
238414	28901.8407	0
238428	28901.8408	0
238442	28901.8409	0
238456	28901.8410	0
238470	28901.8411	0
238498	28901.8413	0
238526	28901.8415	0
238540	28901.8416	0
238554	28901.8417	1
238596	28901.8420	1
238610	28901.8421	0
238624	28901.8422	0
238638	28901.8423	0
238652	28901.8424	0
238666	28901.8425	0
238694	28901.8427	0
238708	28901.8428	0
238733	28901.8429	0
238782	28901.3870	0
239461	28901.8432	0
239788	28901.1897	0
239860	28901.1851	1
240004	28901.1874	0
240040	28901.1873	0
240230	28901.793	0
240244	28901.794	0
240286	28901.761	0
240314	28901.797	0
240328	28901.798	0
240342	28901.799	0
240370	28901.763	0
240384	28901.801	0
240398	28901.802	0
240412	28901.760	0
240426	28901.764	0
240440	28901.803	0
240454	28901.765	0
240482	28901.805	0
240510	28901.806	0
240538	28901.766	0
240566	28901.809	0
240622	28901.813	0
240664	28901.815	0
240678	28901.769	0
240692	28901.816	0
240734	28901.818	0
240748	28901.819	0
240762	28901.771	0
240776	28901.820	0
240790	28901.772	0
240804	28901.773	0
240832	28901.774	0
240846	28901.775	0
240860	28901.822	1
240888	28901.776	1
240902	28901.824	0
240916	28901.825	1
240944	28901.826	0
240958	28901.827	1
240972	28901.828	0
240986	28901.829	0
241000	28901.830	0
241028	28901.859	0
241042	28901.831	0
241070	28901.832	0
241084	28901.779	0
241112	28901.833	0
241126	28901.780	0
241140	28901.834	0
241154	28901.835	0
241182	28901.855	0
241196	28901.862	0
241210	28901.837	0
241238	28901.861	1
241252	28901.782	0
241280	28901.839	1
241378	28901.842	0
241434	28901.844	0
241448	28901.845	0
241462	28901.846	0
241490	28901.847	0
241504	28901.849	0
241588	28901.850	1
241602	28901.851	0
241616	28901.863	0
241644	28901.852	0
241658	28901.853	0
241672	28901.854	0
241686	28901.8436	0
241731	28901.8439	0
241746	28901.8440	0
241761	28901.8441	0
241791	28901.8443	0
241836	28901.8446	0
241911	28901.8451	0
241926	28901.8452	1
241941	28901.8453	0
241971	28901.8455	0
241985	28901.8456	0
242000	28901.8457	0
242015	28901.8458	0
242059	28901.8461	1
242089	28901.8463	0
242119	28901.8465	0
242134	28901.8466	0
242179	28901.8469	0
242194	28901.8470	1
242209	28901.8471	0
242254	28901.8474	0
242284	28901.8476	0
242314	28901.8478	0
242343	28901.8480	0
242358	28901.8481	0
242373	28901.8482	0
242418	28901.8485	0
242433	28901.8486	0
242448	28901.8487	0
242463	28901.8488	0
242478	28901.8489	0
242493	28901.8490	0
242508	28901.8491	0
242522	28901.8493	0
242537	28901.8492	0
242552	28901.8494	1
242567	28901.8495	0
242582	28901.8496	0
242596	28901.8497	0
242611	28901.8498	0
242626	28901.8499	0
242641	28901.8500	0
242656	28901.8501	0
242671	28901.8502	0
242686	28901.8503	0
242701	28901.8504	0
242746	28901.8507	0
242761	28901.8508	0
242791	28901.8510	0
242806	28901.8511	0
242821	28901.8512	0
242851	28901.8514	0
242866	28901.8515	0
242881	28901.8516	0
242911	28901.8518	0
242925	28901.8519	0
242940	28901.8520	0
242970	28901.8522	0
242985	28901.8523	0
243000	28901.8524	0
243015	28901.8525	0
243105	28901.8531	0
243119	28901.8532	0
243134	28901.8533	0
243148	28901.8534	1
243178	28901.8536	0
243193	28901.8537	1
243223	28901.8539	1
243238	28901.8540	0
243267	28901.8542	0
243282	28901.8543	0
243296	28901.8544	0
243326	28901.8546	0
243459	28901.8555	1
243474	28901.8556	0
243488	28901.8557	0
243503	28901.8558	0
243518	28901.8559	0
243533	28901.8560	1
243548	28901.8561	1
243562	28901.8562	0
243576	28901.8563	0
243591	28901.8564	0
243606	28901.8565	0
243621	28901.8566	0
243636	28901.8567	0
243651	28901.8568	0
243725	28901.8573	1
243740	28901.8574	0
243770	28901.8576	0
243799	28901.8578	0
243844	28901.8581	0
243859	28901.8582	0
243889	28901.8584	1
243903	28901.8585	0
243918	28901.8586	0
243948	28901.8588	0
243962	28901.8589	0
243992	28901.8591	0
244037	28901.8594	0
244052	28901.8595	1
244067	28901.8596	1
244082	28901.8597	0
244112	28901.8599	0
244142	28901.8601	0
244171	28901.8603	0
244276	28901.8610	0
244291	28901.8611	1
244321	28901.8613	0
244336	28901.8614	0
244351	28901.8615	0
244366	28901.8616	0
244381	28901.8617	0
244396	28901.8618	0
244410	28901.8619	0
244424	28901.8620	0
244514	28901.8626	0
244589	28901.8631	0
244604	28901.8632	0
244619	28901.8633	0
244634	28901.8634	0
244694	28901.8638	0
244709	28901.8639	0
244724	28901.8640	0
