	genome_id	resistant_phenotype
234050	28901.13275	1
234064	28901.13325	1
234078	28901.13333	1
234092	28901.13339	1
234106	28901.13347	1
234120	28901.13364	1
234134	28901.13303	1
234148	28901.13372	1
234162	28901.13387	0
234176	28901.13394	1
234190	28901.13276	1
234204	28901.13283	1
234218	28901.13298	1
234232	28901.13278	1
234246	28901.13297	0
234260	28901.13304	1
234274	28901.13310	1
234288	28901.13279	1
234302	28901.13287	1
234316	28901.13309	1
234344	28901.13330	1
234372	28901.13343	1
234470	28901.13318	1
234526	28901.13314	0
234540	28901.13327	0
234554	28901.13382	1
234568	28901.13317	0
234582	28901.13324	0
234596	28901.13381	1
234627	28901.13389	0
234641	28901.13388	1
234655	28901.13371	0
234669	28901.13406	0
234683	28901.13392	0
234697	28901.13367	0
234711	28901.13396	0
234732	28901.13332	0
234882	28901.13405	1
234896	28901.13338	1
234910	28901.13341	1
234924	28901.13342	1
234938	28901.13350	0
234952	28901.13351	1
234966	28901.13410	0
234980	28901.13348	1
235008	28901.13349	1
235022	28901.13280	1
235036	28901.13284	1
235050	28901.13344	1
235064	28901.13345	1
235078	28901.13365	1
235092	28901.13292	1
235106	28901.13307	0
235120	28901.13291	1
235134	28901.13352	1
235148	28901.13293	1
235162	28901.13355	1
235176	28901.13290	1
235190	28901.13346	1
235231	28901.13354	1
235245	28901.13357	1
235315	28901.13358	1
235497	28901.8200	1
235511	28901.8201	0
235525	28901.8202	0
235553	28901.8204	0
235567	28901.8205	1
235581	28901.8206	1
235609	28901.8208	0
235623	28901.8209	0
235637	28901.8210	1
235651	28901.8211	0
235665	28901.8212	0
235679	28901.8213	1
235693	28901.8214	0
235707	28901.8215	0
235721	28901.8216	1
235735	28901.8217	1
235749	28901.8218	1
235763	28901.8219	0
235777	28901.8220	1
235791	28901.8221	0
235833	28901.8224	1
235847	28901.8225	0
235861	28901.8226	1
235875	28901.8227	0
235889	28901.8228	0
235903	28901.8229	1
235917	28901.8230	1
235931	28901.8231	0
235945	28901.8232	1
235973	28901.8234	0
235987	28901.8235	1
236001	28901.8236	1
236015	28901.8237	0
236029	28901.8238	1
236057	28901.8240	1
236071	28901.8241	0
236085	28901.8242	0
236099	28901.8243	1
236113	28901.8244	1
236127	28901.8245	0
236141	28901.8246	0
236155	28901.8247	1
236169	28901.8248	1
236183	28901.8249	0
