	genome_id	resistant_phenotype
235498	28901.8200	1
235512	28901.8201	0
235526	28901.8202	0
235554	28901.8204	0
235568	28901.8205	1
235582	28901.8206	1
235610	28901.8208	0
235624	28901.8209	0
235638	28901.8210	1
235652	28901.8211	1
235666	28901.8212	0
235680	28901.8213	1
235694	28901.8214	0
235708	28901.8215	0
235722	28901.8216	1
235736	28901.8217	1
235750	28901.8218	1
235764	28901.8219	0
235778	28901.8220	1
235792	28901.8221	0
235834	28901.8224	1
235848	28901.8225	1
235862	28901.8226	1
235876	28901.8227	0
235890	28901.8228	0
235904	28901.8229	1
235918	28901.8230	1
235932	28901.8231	0
235946	28901.8232	1
235974	28901.8234	0
235988	28901.8235	1
236002	28901.8236	1
236016	28901.8237	0
236030	28901.8238	1
236058	28901.8240	1
236072	28901.8241	0
236086	28901.8242	0
236100	28901.8243	1
236114	28901.8244	1
236128	28901.8245	0
236142	28901.8246	0
236156	28901.8247	0
236170	28901.8248	1
236184	28901.8249	0
236212	28901.8251	0
236226	28901.8252	0
236240	28901.8253	1
236254	28901.8254	0
236268	28901.8255	1
236282	28901.8256	0
236296	28901.8257	0
236310	28901.8258	0
236324	28901.8259	0
236338	28901.8260	1
236352	28901.8261	0
236366	28901.8262	0
236380	28901.8263	1
236394	28901.8264	0
236408	28901.8265	0
236422	28901.8266	0
236436	28901.8267	0
236450	28901.8268	1
236464	28901.8269	1
236478	28901.8270	0
236492	28901.8271	1
236506	28901.8272	1
236520	28901.8273	1
236534	28901.8274	1
236548	28901.8275	1
236562	28901.8276	1
236590	28901.8278	0
236604	28901.8279	0
236632	28901.8281	1
236646	28901.8282	0
236660	28901.8283	0
236674	28901.8284	0
236688	28901.8285	1
236702	28901.8286	0
236730	28901.8288	1
236744	28901.8289	0
236758	28901.8290	1
236772	28901.8291	0
236786	28901.8292	0
236800	28901.8293	0
236814	28901.8294	0
236828	28901.8295	1
236842	28901.8296	1
236856	28901.8297	0
236870	28901.8298	1
236884	28901.8299	1
236898	28901.8300	1
236912	28901.8301	1
236926	28901.8302	1
236940	28901.8303	0
236954	28901.8304	0
236968	28901.8305	0
236982	28901.8306	1
237010	28901.8308	1
237038	28901.8310	0
237052	28901.8311	1
237066	28901.8312	1
237080	28901.8313	0
237094	28901.8314	0
237122	28901.8316	1
237136	28901.8317	0
237178	28901.8320	1
237192	28901.8321	0
237206	28901.8322	0
237220	28901.8323	0
237234	28901.8324	0
237248	28901.8325	0
237262	28901.8326	0
237276	28901.8327	0
237290	28901.8328	0
237304	28901.8329	1
237318	28901.8330	1
237346	28901.8332	1
237360	28901.8333	0
237374	28901.8334	1
237388	28901.8335	1
237402	28901.8336	0
237416	28901.8337	0
237430	28901.8338	1
237444	28901.8339	0
237458	28901.8340	0
237472	28901.8341	0
237486	28901.8342	0
237500	28901.8343	0
237514	28901.8344	0
237556	28901.8347	0
237570	28901.8348	0
237584	28901.8349	0
237598	28901.8350	0
237612	28901.8351	0
237626	28901.8352	1
237640	28901.8353	1
237654	28901.8354	1
237668	28901.8355	0
237682	28901.8356	0
237710	28901.8358	0
237724	28901.8359	0
237738	28901.8360	1
237752	28901.8361	1
237766	28901.8362	1
237780	28901.8363	1
237794	28901.8364	1
237808	28901.8365	0
237822	28901.8366	1
237836	28901.8367	0
237850	28901.8368	0
237864	28901.8369	1
237878	28901.8370	0
237892	28901.8371	1
237906	28901.8372	1
237920	28901.8373	1
237934	28901.8374	0
237948	28901.8375	0
237962	28901.8376	0
237976	28901.8378	0
237990	28901.8377	0
238004	28901.8379	0
238044	28901.8381	0
238058	28901.8382	0
238072	28901.8383	0
238086	28901.8384	0
238100	28901.8385	1
238114	28901.8386	1
238128	28901.8387	1
238156	28901.8389	0
238170	28901.8390	0
238212	28901.8393	1
238226	28901.8394	0
238240	28901.8395	1
238254	28901.8396	1
238268	28901.8397	1
238282	28901.8398	0
238296	28901.8399	0
238322	28901.8400	1
238336	28901.8401	1
238350	28901.8402	1
238364	28901.8403	0
238378	28901.8404	1
238392	28901.8405	1
238406	28901.8406	0
238420	28901.8407	1
238434	28901.8408	0
238448	28901.8409	0
238462	28901.8410	0
238476	28901.8411	1
238504	28901.8413	1
238532	28901.8415	0
238546	28901.8416	0
238560	28901.8417	1
238602	28901.8420	1
238616	28901.8421	1
238630	28901.8422	1
238644	28901.8423	0
238658	28901.8424	0
238672	28901.8425	0
238700	28901.8427	1
238714	28901.8428	0
238788	28901.3870	0
239793	28901.1897	1
239865	28901.1851	0
240009	28901.1874	0
240045	28901.1873	1
240236	28901.793	1
240250	28901.794	1
240292	28901.761	0
240320	28901.797	1
240334	28901.798	1
240348	28901.799	0
240376	28901.763	0
240390	28901.801	1
240404	28901.802	1
240418	28901.760	0
240432	28901.764	0
240446	28901.803	1
240460	28901.765	1
240488	28901.805	1
240516	28901.806	1
240544	28901.766	1
240572	28901.809	0
240628	28901.813	1
240670	28901.815	0
240684	28901.769	0
240698	28901.816	1
240740	28901.818	1
240754	28901.819	1
240768	28901.771	0
240782	28901.820	0
240796	28901.772	0
240810	28901.773	0
240838	28901.774	1
240852	28901.775	1
240866	28901.822	1
240894	28901.776	1
240908	28901.824	1
240922	28901.825	1
240950	28901.826	0
240964	28901.827	1
240978	28901.828	0
240992	28901.829	0
241006	28901.830	0
241034	28901.859	0
241048	28901.831	0
241076	28901.832	0
241090	28901.779	0
241118	28901.833	0
241132	28901.780	0
241146	28901.834	0
241160	28901.835	1
241188	28901.855	0
241202	28901.862	0
241216	28901.837	1
241244	28901.861	1
241258	28901.782	0
241286	28901.839	1
241384	28901.842	0
241440	28901.844	1
241454	28901.845	0
241468	28901.846	0
241496	28901.847	1
241510	28901.849	0
241594	28901.850	1
241608	28901.851	0
241622	28901.863	0
241650	28901.852	1
