	genome_id	resistant_phenotype
290926	1280.8699	1
290937	1280.8698	1
290948	1280.8701	1
290959	1280.8700	1
290970	1280.8697	1
290981	1280.9408	1
290992	1280.9409	1
291014	1280.9411	1
291025	1280.7377	1
291036	1280.7408	1
291047	1280.9412	1
291058	1280.7411	1
291069	1280.7413	1
291080	1280.8718	1
291091	1280.8736	1
291102	1280.8735	1
291113	1280.8738	1
291124	1280.8737	1
291135	1280.9413	1
291146	1280.8739	1
291157	1280.8379	1
291168	1280.9414	1
291179	1280.8456	1
291190	1280.8457	1
291201	1280.9415	1
291212	1280.9416	1
291223	1280.9417	1
291234	1280.8389	1
291245	1280.8388	1
291256	1280.9418	1
291267	1280.9419	1
291278	1280.8385	1
291289	1280.8392	1
291300	1280.9420	1
291311	1280.8569	1
291322	1280.8568	1
291333	1280.8566	1
291344	1280.8567	1
291355	1280.8564	1
291366	1280.8565	1
291377	1280.8521	1
291388	1280.8520	1
291399	1280.8522	1
291410	1280.8519	1
291421	1280.8518	1
291432	1280.8517	1
291443	1280.9421	1
291454	1280.9422	1
291465	1280.9423	1
291476	1280.8733	1
291487	1280.9424	1
291508	1280.8790	0
291519	1280.8791	0
291530	1280.9425	0
291541	1280.9427	1
291552	1280.9426	1
291574	1280.8785	1
291585	1280.8795	0
291596	1280.9429	0
291629	1280.8799	1
291640	1280.8800	0
291651	1280.8801	1
291662	1280.9430	1
291673	1280.8803	1
291684	1280.8777	1
291695	1280.9431	1
291706	1280.8805	1
291717	1280.9432	1
291728	1280.8807	1
291739	1280.9433	1
291750	1280.9434	0
291772	1280.9436	1
291783	1280.8812	1
291794	1280.8813	1
291805	1280.8814	0
291816	1280.9437	0
291827	1280.7908	0
291838	1280.8816	1
291849	1280.9438	1
291860	1280.9439	0
291871	1280.7912	1
291882	1280.7913	0
291893	1280.7914	1
291904	1280.7915	1
291926	1280.9440	1
291937	1280.7917	1
291948	1280.9441	1
291959	1280.9442	1
291970	1280.7920	1
291981	1280.9443	1
291992	1280.7922	1
292003	1280.7923	1
292014	1280.8773	1
292047	1280.9445	0
292058	1280.9446	0
292069	1280.7928	1
292080	1280.7929	1
292102	1280.9447	1
292113	1280.9448	0
292124	1280.7933	0
292135	1280.9449	1
292146	1280.7935	0
292157	1280.9692	1
292168	1280.7937	1
292179	1280.7938	1
292190	1280.7939	1
292201	1280.9451	1
292234	1280.9452	0
292245	1280.7944	1
292256	1280.9453	1
292278	1280.7946	1
292300	1280.7948	1
292311	1280.7949	1
292322	1280.7950	1
292333	1280.7951	1
292344	1280.9693	1
292355	1280.7953	1
292366	1280.9456	1
292377	1280.9457	1
292388	1280.9458	1
292399	1280.7957	1
292410	1280.9691	1
292421	1280.7959	1
292432	1280.8774	1
292443	1280.7960	1
292454	1280.7961	0
292465	1280.7962	1
292476	1280.9690	0
292487	1280.7964	0
292498	1280.7965	1
292509	1280.7966	1
292520	1280.9462	0
292531	1280.7968	1
292542	1280.7969	0
292553	1280.7970	1
292564	1280.9689	0
292575	1280.9694	1
292586	1280.7973	1
292597	1280.8786	1
292608	1280.9464	1
292619	1280.9698	1
292630	1280.9466	1
292641	1280.7977	1
292652	1280.9467	0
292663	1280.7980	1
292674	1280.7979	1
292685	1280.9700	1
292696	1280.9696	1
292707	1280.7983	1
292718	1280.9470	1
292729	1280.7985	1
292740	1280.7986	1
292751	1280.7987	0
292762	1280.9471	1
292773	1280.9699	1
292784	1280.7990	1
292795	1280.7991	1
292806	1280.7992	1
292817	1280.9473	1
292828	1280.7996	1
292839	1280.7994	1
292850	1280.9701	1
292861	1280.9475	1
292872	1280.7998	1
292883	1280.8779	1
292894	1280.9702	1
292905	1280.9695	1
292916	1280.8001	1
292927	1280.9697	1
292938	1280.9706	1
292949	1280.8004	1
292960	1280.9705	1
292971	1280.8819	1
292982	1280.9708	1
292993	1280.9482	1
293004	1280.8008	1
293015	1280.9707	1
293026	1280.9711	1
293048	1280.9703	1
293059	1280.9487	1
293070	1280.9709	1
293081	1280.9710	1
293092	1280.8825	1
293103	1280.8018	1
293114	1280.8827	1
293125	1280.9715	1
293136	1280.9712	1
293147	1280.8829	1
293158	1280.8830	1
293169	1280.8831	0
293180	1280.8832	1
293191	1280.9492	1
293202	1280.8833	1
293213	1280.9714	1
293224	1280.8835	1
293268	1280.8837	1
293279	1280.9718	1
293290	1280.8032	1
293301	1280.9495	1
293312	1280.8034	1
293323	1280.9496	1
293334	1280.9713	1
293345	1280.8037	1
293356	1280.9717	1
293367	1280.9716	1
293378	1280.8039	1
293389	1280.8040	1
293400	1280.9720	1
293411	1280.8042	1
293433	1280.8044	1
293444	1280.9719	1
293455	1280.8046	1
293466	1280.8047	1
293477	1280.9721	1
293488	1280.9723	1
293499	1280.9722	1
293510	1280.8051	1
293521	1280.8052	0
293532	1280.8772	1
293543	1280.8053	1
293554	1280.8054	1
293565	1280.8055	1
293576	1280.8056	1
293587	1280.9724	1
293598	1280.9725	1
293620	1280.8060	0
293632	1280.8633	1
293643	1280.8634	1
293654	1280.9726	1
293665	1280.9727	1
293676	1280.8635	1
293687	1280.9728	1
293698	1280.9734	1
293708	1280.9733	1
293719	1280.9729	1
293730	1280.9730	1
293741	1280.8511	1
293752	1280.8513	1
293763	1280.8509	1
293774	1280.8508	1
293785	1280.8510	1
293796	1280.9732	1
293807	1280.8722	1
293818	1280.9731	1
293829	1280.8724	1
293840	1280.8726	0
293862	1280.8727	0
293873	1280.8721	1
293895	1280.7407	1
293906	1280.7404	1
293917	1280.7405	1
293927	1280.9738	1
293949	1280.8063	1
293960	1280.9736	1
293971	1280.9739	1
293982	1280.8066	1
293993	1280.8067	1
294004	1280.9740	1
294016	1280.8734	1
294027	1280.8647	1
294038	1280.8646	1
294049	1280.8648	1
294060	1280.9741	1
294071	1280.8649	1
294082	1280.8645	1
294093	1280.8383	1
294104	1280.8384	1
294113	1280.8545	1
294123	1280.8544	1
294133	1280.8543	0
294143	1280.8542	1
294153	1280.8541	0
294163	1280.8540	1
294173	1280.8490	1
294193	1280.9742	1
294203	1280.9743	1
294213	1280.9744	1
294223	1280.9745	0
294233	1280.9746	1
294243	1280.9747	0
294253	1280.9748	0
294263	1280.9749	1
294283	1280.9751	0
294293	1280.9752	1
294303	1280.9753	1
294313	1280.9535	1
294323	1280.9754	1
294333	1280.9755	1
294343	1280.9756	1
294353	1280.8463	1
294363	1280.8462	1
294373	1280.8465	1
294383	1280.8464	0
294393	1280.8460	1
294413	1280.8459	0
294423	1280.8458	1
294433	1280.8655	1
294443	1280.8656	0
294463	1280.9757	1
294473	1280.9758	1
294483	1280.9759	1
294493	1280.9760	1
294503	1280.8658	1
294513	1280.8659	1
294523	1280.8574	1
294533	1280.9761	0
294543	1280.8572	1
294553	1280.8571	1
294573	1280.9763	1
294583	1280.9764	1
294593	1280.8575	1
294603	1280.9765	1
294623	1280.8754	1
294633	1280.9767	1
294643	1280.9768	1
294663	1280.9769	0
294673	1280.9770	0
294683	1280.8681	1
294693	1280.8586	1
294703	1280.8691	1
294713	1280.8672	1
294723	1280.8670	1
294753	1280.9771	1
294763	1280.8675	1
294773	1280.9772	1
294783	1280.9773	1
294793	1280.9775	1
294803	1280.8396	1
294813	1280.9774	0
294823	1280.9776	1
294833	1280.9777	1
294863	1280.9779	1
294873	1280.9780	0
294883	1280.8393	1
294893	1280.9781	1
294903	1280.9782	1
294913	1280.9783	1
294923	1280.7422	1
294933	1280.7424	1
294943	1280.9784	1
294953	1280.9785	1
294963	1280.9786	0
294973	1280.9787	1
294983	1280.9788	1
294993	1280.9789	1
295003	1280.8473	0
295013	1280.8471	1
295023	1280.9791	1
295033	1280.9790	1
295043	1280.8469	0
295053	1280.8466	1
295063	1280.8467	1
295073	1280.9792	1
295083	1280.9793	1
295093	1280.8423	1
295103	1280.8563	1
295113	1280.9794	1
295123	1280.8424	1
295133	1280.9795	1
295143	1280.8419	1
295153	1280.9796	0
