	genome_id	resistant_phenotype
32473	562.23267	0
32483	562.23563	1
32493	562.23560	0
32552	562.23807	0
32562	562.23135	0
32706	562.23166	1
32794	562.22996	0
32814	562.22890	0
33035	562.23630	1
33065	562.23892	1
33358	562.23717	1
33388	562.23878	1
33465	562.23298	0
33485	562.23697	1
33495	562.23774	1
33554	562.23431	1
33621	562.23825	1
33822	562.23643	1
33832	562.23142	1
33842	562.23439	0
33872	562.23138	0
34112	562.22883	0
34120	562.22945	0
34130	562.23223	1
34140	562.23263	0
34150	562.23873	0
34160	562.23318	0
34170	562.23424	0
34180	562.23824	1
34190	562.23344	1
34200	562.23360	0
34210	562.23407	0
34220	562.23557	0
34230	562.23686	0
34240	562.23665	0
34260	562.23780	0
34270	562.23035	1
34328	562.22925	1
34348	562.23019	1
34436	562.23576	1
34456	562.23368	0
34541	562.22913	0
34561	562.22920	1
34571	562.23928	1
34591	562.23140	1
34601	562.23029	1
34611	562.23078	1
34621	562.23079	1
34631	562.23098	1
34641	562.23129	0
34651	562.23171	0
34661	562.23170	0
34691	562.23434	1
34701	562.23553	0
34711	562.23373	1
34731	562.23562	0
34741	562.23507	1
34751	562.23765	1
34771	562.23888	1
34781	562.23345	1
34829	562.22897	1
34837	562.23233	1
34857	562.23117	0
35074	562.23184	1
35104	562.23624	1
35153	562.23452	1
35270	562.23178	0
35280	562.23406	1
35290	562.23670	1
35300	562.23827	0
35558	562.23025	1
35618	562.23907	1
35628	562.23848	0
35872	562.23931	1
35951	562.22887	0
36396	562.22929	1
36416	562.22989	0
36466	562.23186	1
36486	562.23250	1
36506	562.23264	1
36516	562.23265	0
36566	562.23440	1
36626	562.23390	1
36646	562.23521	1
36796	562.23626	1
36816	562.23648	1
36836	562.23723	0
36886	562.23784	0
36896	562.23014	0
36925	562.23589	0
36954	562.23613	0
37040	562.23214	0
37050	562.23227	0
37070	562.23268	0
37080	562.23875	1
37100	562.23313	1
37120	562.23498	1
37140	562.23513	1
37150	562.23924	0
37160	562.23570	0
37190	562.23761	0
37220	562.23735	0
37306	562.22915	1
37356	562.23918	1
37366	562.23627	1
37376	562.23651	0
37529	562.22917	0
37539	562.22926	0
37559	562.23015	0
37569	562.23799	0
37579	562.23220	0
37599	562.23289	1
37609	562.23324	0
37619	562.23417	0
37629	562.23552	0
37649	562.23337	0
