	genome_id	resistant_phenotype
78387	573.13031	1
78406	573.13032	1
78425	573.13033	0
78464	573.13035	1
78483	573.13036	1
78523	573.13038	1
78581	573.13041	1
78620	573.13043	1
78677	573.13046	0
78874	573.13056	0
78973	573.13061	0
78992	573.13062	0
79012	573.13063	0
79228	573.13074	1
79286	573.13077	0
79324	573.13080	1
79423	573.13085	1
79462	573.13087	0
79539	573.13091	1
79598	573.13094	1
79697	573.13099	1
79736	573.13101	1
79755	573.13102	1
79795	573.13104	0
79833	573.13106	0
79853	573.13107	1
79969	573.13113	0
80009	573.13115	1
80067	573.13118	0
80107	573.13120	0
80165	573.13123	0
80184	573.13124	1
80204	573.13125	0
80223	573.13126	1
80282	573.13129	0
80380	573.13134	0
80439	573.13137	0
80478	573.13139	1
80517	573.13141	0
80713	573.13151	1
80850	573.13160	0
80945	573.13165	1
80983	573.13167	1
81022	573.13169	1
81059	573.13171	1
81079	573.13172	0
81118	573.13174	0
81198	573.13178	0
81276	573.13182	0
81316	573.13185	0
81335	573.13186	0
81471	573.13194	1
81491	573.13195	0
81511	573.13196	0
81569	573.13199	0
81667	573.13204	1
81897	573.13216	1
82091	573.13226	1
82111	573.13227	1
82151	573.13229	0
82209	573.13232	1
82342	573.13239	1
82401	573.13242	0
82575	573.13251	1
82634	573.13254	1
82772	573.13261	1
82810	573.13263	0
82830	573.13264	0
82850	573.13265	0
82908	573.13268	0
82927	573.13269	1
83260	573.13286	0
83300	573.13288	1
83359	573.13291	1
83496	573.13298	1
83556	573.13301	1
83615	573.13304	1
83635	573.13305	0
83693	573.13308	1
83829	573.13315	0
83869	573.13317	0
83907	573.13319	1
83927	573.13321	0
84062	573.13328	0
84080	573.13329	0
84119	573.13331	1
84139	573.13332	1
84199	573.13335	1
84335	573.13344	0
84801	573.13368	0
86584	573.13464	0
86604	573.13465	1
86623	573.13466	1
86680	573.13469	0
86718	573.13471	1
86757	573.13473	1
86776	573.13474	1
86815	573.13476	1
86895	573.13480	0
86915	573.13481	1
86994	573.13485	0
87014	573.13486	1
87131	573.13492	0
87151	573.13493	0
87170	573.13494	1
87190	573.13495	1
87209	573.13496	1
87267	573.13499	1
87365	573.13504	0
87423	573.13507	1
87442	573.13508	0
87500	573.13511	0
87520	573.13512	0
87557	573.13514	1
87596	573.13516	0
87693	573.13521	1
87790	573.13526	0
87810	573.13527	1
87927	573.13533	0
88024	573.13539	0
88043	573.13540	1
88063	573.13541	1
88083	573.13542	1
88122	573.13544	0
88141	573.13545	1
88200	573.13548	0
88219	573.13549	1
88358	573.13556	1
88378	573.13557	1
88436	573.13560	1
88455	573.13561	0
88573	573.13567	1
88592	573.13568	1
88671	573.13572	1
88730	573.13575	0
88749	573.13576	0
88769	573.13577	0
88828	573.13580	1
88868	573.13582	0
88887	573.13583	0
88945	573.13586	1
89002	573.13589	1
89021	573.13590	1
89040	573.13591	0
89100	573.13594	0
89158	573.13597	0
89196	573.13599	1
89330	573.13606	0
89349	573.13607	0
89466	573.13613	1
89564	573.13618	0
89584	573.13619	0
89624	573.13621	0
89719	573.13626	0
89738	573.13627	0
89816	573.13631	1
89834	573.13632	1
89854	573.13633	1
89912	573.13636	0
89932	573.13637	0
89969	573.13639	0
89989	573.13640	0
90009	573.13641	0
90028	573.13642	0
90106	573.13646	0
90126	573.13647	0
90185	573.13650	1
90203	573.13651	0
90222	573.13652	0
90300	573.13656	0
90319	573.13657	1
90338	573.13658	0
90437	573.13663	0
90456	573.13664	0
90495	573.13666	0
90553	573.13669	1
90592	573.13671	0
90611	573.13672	1
90650	573.13674	1
90670	573.13675	1
90707	573.13677	0
90726	573.13678	1
90901	573.13687	0
90919	573.13688	0
91037	573.13694	0
91056	573.13695	0
91075	573.13696	0
91153	573.13700	0
91172	573.13701	0
91191	573.13702	0
91211	573.13703	1
91311	573.13708	1
91349	573.13710	0
91388	573.13712	0
91408	573.13713	0
91428	573.13714	1
91508	573.13718	1
91603	573.13723	0
91663	573.13726	1
91682	573.13727	0
91739	573.13730	1
91758	573.13731	0
91836	573.13735	0
91913	573.13739	0
92008	573.13744	1
92066	573.13747	1
92126	573.13750	1
92205	573.13754	0
92284	573.13758	0
92323	573.13760	1
92363	573.13762	0
92402	573.13764	0
92460	573.13767	0
92638	573.13777	0
92658	573.13778	1
92833	573.13787	0
92871	573.13789	1
92930	573.13792	1
92969	573.13794	1
93008	573.13796	1
93123	573.13802	1
93142	573.13803	1
93218	573.13807	1
93275	573.13810	0
93471	573.13820	0
93490	573.13821	1
93529	573.13823	1
93568	573.13825	1
93588	573.13826	1
93686	573.13831	0
93706	573.13832	0
93744	573.13834	0
93783	573.13836	0
93860	573.13841	1
93899	573.13843	0
93918	573.13844	0
93937	573.13845	0
93996	573.13848	1
94073	573.13851	1
94093	573.13853	0
94169	573.13857	0
