	Unnamed: 0	genome_id	resistant_phenotype
0	127539	1773.2442	0
1	127600	1773.2448	0
2	127851	1773.2465	0
3	127871	1773.2467	0
4	127903	1773.2471	1
5	127908	1773.2472	0
6	127925	1773.2473	0
7	127985	1773.2476	0
8	128000	1773.2479	0
9	128209	1773.2497	0
10	128222	1773.2498	0
11	128232	1773.25	1
12	128241	1773.2501	0
13	128255	1773.2503	0
14	128294	1773.2508	0
15	128307	1773.2509	0
16	128320	1773.251	1
17	129390	1773.2529	0
18	129411	1773.253	0
19	129425	1773.2532	0
20	129558	1773.2543	0
21	129567	1773.2544	0
22	129592	1773.2546	0
23	129607	1773.2549	1
24	129631	1773.2551	0
25	129657	1773.2555	0
26	129662	1773.2556	0
27	129712	1773.2563	0
28	129739	1773.2566	1
29	129778	1438835.3	0
30	129850	1773.2575	0
31	129855	1773.2576	0
32	129928	1773.2582	0
33	129947	1773.2585	0
34	131932	1773.2592	0
35	135387	1773.26	0
36	135565	1773.2613	1
37	135585	1773.2615	1
38	139270	1438837.3	1
39	139277	1438838.3	1
40	139286	1773.262	0
41	143255	1773.2632	0
42	143284	1773.2633	0
43	143314	1773.2635	0
44	146400	1773.2642	0
45	146463	1773.2645	0
46	146484	1773.2646	0
47	146766	1438842.3	1
48	146823	1773.265	0
49	147131	1773.2659	0
50	147161	1773.2661	0
51	147166	1773.2662	0
52	147171	1773.2663	0
53	147181	1773.2665	0
54	147186	1773.2666	0
55	147353	1773.2674	0
56	147409	1438845.3	1
57	147447	1438847.3	1
58	147452	1773.2677	0
59	147459	1438848.3	1
60	147518	1438854.3	0
61	147536	1773.2681	0
62	147641	1773.2691	0
63	147739	1438856.3	0
64	147844	1438862.3	1
65	147873	1773.2697	0
66	147920	1773.27	0
67	148110	1773.2713	0
68	148281	1773.2715	0
69	148546	1773.2738	0
70	148551	1773.2739	0
71	148592	1438863.3	0
72	148610	1438865.3	1
73	148648	1773.2742	1
74	148783	1773.2745	0
75	148806	1438868.3	1
76	148813	1438869.3	1
77	148820	1438870.3	1
78	148846	1773.2747	0
79	148916	1773.2749	0
80	148972	1773.2754	0
81	149002	1773.2755	0
82	149032	1773.2757	0
83	149074	1773.2763	0
84	149113	1773.2769	0
85	149126	1773.277	0
86	149144	1773.2772	0
87	149154	1773.2774	0
88	149237	1438871.3	1
89	149324	1438872.3	1
90	149399	1773.2804	0
91	149456	1773.2807	1
92	149481	1773.2808	0
93	149486	1773.2809	0
94	149522	1773.2813	0
95	149536	1773.2815	0
96	149603	1773.282	0
97	149608	1773.2821	0
98	149686	1773.2831	0
99	149735	1773.2838	0
100	149740	1773.2839	0
101	149756	1773.2841	0
102	149803	1438874.3	1
103	149852	1773.285	0
104	149872	1773.2854	0
105	149886	1773.2856	1
106	149901	1773.2859	0
107	149911	1773.2861	0
108	149921	1418256.3	0
109	149936	1773.2865	0
110	150015	1773.2874	0
111	150076	1773.2884	0
112	150125	1418255.3	0
113	150208	1418251.3	1
114	150357	1773.2903	0
115	150397	1773.2911	0
116	150402	1773.2912	0
117	150436	1773.2916	0
118	150467	1773.2918	0
119	150660	1773.2923	0
120	150736	1773.2929	0
121	150761	1773.2932	0
122	150787	1773.2936	1
123	150817	1773.2938	0
124	150822	1418253.3	1
125	151032	1773.296	0
126	151186	1773.2974	0
127	151224	1773.2975	0
128	151246	1773.2978	1
129	151251	1773.2979	0
130	151256	1773.298	0
131	151290	1773.2982	0
132	151314	1773.2986	0
133	151327	1773.2987	0
134	151347	1773.2991	0
135	151390	1773.2996	0
136	151405	1418252.3	1
137	151425	1773.3	0
138	151474	1773.3009	0
139	151484	1773.3011	1
140	151507	1773.3014	0
141	151637	1418254.3	1
142	151661	1773.3021	0
143	151763	1773.3027	0
144	151784	1773.303	0
145	151817	1773.3035	0
146	151838	1773.3038	0
147	151882	1773.3046	0
148	151925	1773.3051	0
149	152022	1773.3058	0
150	152052	1773.3064	0
151	152113	1773.3069	0
152	152248	1773.3077	0
153	152281	1773.308	0
154	152286	1773.3081	0
155	152291	1773.3082	0
156	152296	1773.3083	0
157	152358	1773.309	0
158	152397	1773.3093	1
159	152413	1773.3094	0
160	152427	1773.3095	0
161	152452	1773.3096	0
162	152531	1773.3099	0
163	152548	1773.31	0
164	152608	1773.3108	0
165	152656	1773.3109	0
166	152671	1773.3112	0
167	152751	1773.3123	0
168	152756	1773.3124	0
169	152791	1773.3129	1
170	152801	1773.313	0
171	152835	1773.3136	0
172	152946	1773.3148	0
173	152977	1773.3153	0
174	153026	1773.316	0
175	153055	1773.3163	0
176	153065	1773.3165	0
177	153107	1773.3171	1
178	153121	1773.3169	0
179	153131	1773.3172	1
180	153218	1773.3184	1
