	genome_id	resistant_phenotype
220404	287.1250	0
220408	287.1249	1
220421	287.1246	1
220429	287.1243	1
220433	287.1242	0
220441	287.1240	0
220445	287.1239	1
220485	287.1229	0
220501	287.1225	1
220510	287.1223	0
220519	287.1221	0
220524	287.1220	0
220547	287.1215	1
220598	287.1204	1
220611	287.1201	0
220619	287.1199	1
220623	287.1198	1
220626	287.1197	1
220629	287.1196	1
220636	287.1194	0
220640	287.1193	0
220647	287.1191	0
220651	287.1190	0
220654	287.1189	0
220658	287.1188	1
220661	287.1187	0
220664	287.1186	0
220673	287.1184	1
220678	287.1183	0
220690	287.1180	0
220709	287.1175	0
220712	287.1174	0
220722	287.1171	1
220725	287.1170	0
220732	287.1168	1
220772	287.1159	0
220958	287.1120	0
220977	287.1116	0
220986	287.1114	0
220990	287.1113	0
220995	287.1112	0
221000	287.1111	1
221004	287.1110	0
221009	287.1109	1
221014	287.1108	1
221019	287.1107	0
221028	287.1105	0
221094	287.1091	1
221103	287.1089	0
221108	287.1088	0
221129	287.1083	0
221176	287.1072	0
221247	287.1056	0
221251	287.1055	0
221266	287.1052	0
221275	287.1050	1
221283	287.1048	1
221306	287.1043	0
221315	287.1041	0
221334	287.1037	0
221359	287.1031	1
221373	287.1028	0
221378	287.1027	0
221395	287.1023	0
221399	287.1022	0
221404	287.1021	1
221408	287.1020	0
221424	287.1016	1
221428	287.1015	0
221459	287.1008	0
221463	287.1007	1
221471	287.1005	0
221476	287.1004	1
221484	287.1002	1
221498	287.999	0
221502	287.998	0
221541	287.989	0
221546	287.988	0
221550	287.987	1
221554	287.986	1
221563	287.984	1
221584	287.979	1
221588	287.978	0
221604	287.974	1
221608	287.973	0
221613	287.972	1
221621	287.970	1
221692	287.954	1
221696	287.953	0
221710	287.934	1
221718	287.932	0
221727	287.930	0
221732	287.929	1
221737	287.928	0
221742	287.927	0
221762	287.922	0
221767	287.921	0
221776	287.919	0
221785	287.917	1
221799	287.914	0
221804	287.913	0
221841	287.905	0
221858	287.901	0
221892	287.893	0
221896	287.892	0
221900	287.891	0
221909	287.889	1
221913	287.888	1
221918	287.887	0
221922	287.886	0
221931	287.884	0
221936	287.883	1
221940	287.882	0
221967	287.876	0
221980	287.873	0
221984	287.872	1
222011	287.866	0
222015	287.865	0
222024	287.863	0
222028	287.862	1
222032	287.861	0
222055	287.856	0
222082	287.850	0
223295	287.4059	0
223303	287.4057	0
223311	287.4055	0
223335	287.4070	0
223496	287.4076	0
223525	287.4072	0
223549	287.4064	1
223576	287.4077	1
223592	287.4073	0
223661	287.5752	1
223704	287.2978	1
223757	287.2979	1
223779	287.5778	1
223810	287.2972	1
223824	287.2976	1
223860	287.5959	1
223932	287.5704	1
223948	287.6331	1
224076	287.5685	1
224106	287.5746	1
224121	287.5955	1
224151	287.6329	1
224196	287.6326	1
224226	287.5973	0
224241	287.5971	1
224288	287.5956	1
224305	287.12555	1
224309	287.12774	0
224313	287.12773	1
224321	287.12776	0
224325	287.12777	1
224329	287.12779	0
224337	287.12778	1
224341	287.12782	0
224345	287.12781	1
224349	287.12783	1
224353	287.12786	1
224357	287.12785	1
224361	287.12784	1
224365	287.12787	1
224369	287.12790	1
224373	287.12791	1
224377	287.12794	1
224381	287.12795	1
224385	287.12796	1
224389	287.12792	1
224393	287.12793	0
224397	287.12788	0
224401	287.12789	1
224405	287.12797	1
224409	287.12800	1
224413	287.12799	0
224417	287.12801	1
224421	287.12798	1
224425	287.12803	1
224429	287.12805	1
224433	287.12804	1
224441	287.12806	1
224449	287.12807	0
224453	287.12809	1
224457	287.12812	1
224461	287.12811	1
224465	287.12810	0
224469	287.12818	0
224473	287.12816	1
224477	287.12815	0
224481	287.12819	0
224485	287.12817	1
224489	287.12814	1
224493	287.12813	0
224497	287.12821	0
224501	287.12822	0
224505	287.12820	1
224509	287.12823	1
224513	287.12825	1
224517	287.12829	1
224521	287.12827	1
224525	287.12830	1
224533	287.12828	0
224537	287.12824	1
224541	287.12831	0
224545	287.12833	1
224553	287.12839	0
224561	287.12832	1
224565	287.12441	0
224569	287.12443	0
224573	287.12442	0
224581	287.12440	0
224589	287.12445	1
224593	287.12453	0
224597	287.12455	0
224605	287.12452	0
224613	287.12450	1
224617	287.12448	1
224625	287.12447	0
224629	287.12464	1
224633	287.12466	0
224637	287.12465	0
224641	287.12457	1
224645	287.12456	1
224649	287.12463	0
224653	287.12459	1
224657	287.12458	1
224661	287.12460	1
224665	287.12462	1
224669	287.12461	1
224673	287.12474	1
224677	287.12473	1
224681	287.12472	1
224685	287.12476	1
224689	287.12477	1
224697	287.12475	0
224701	287.12469	0
224705	287.12470	1
224709	287.12467	1
224717	287.12837	1
224725	287.12840	0
224729	287.12846	0
224733	287.12847	1
224737	287.12848	1
224741	287.12471	0
224745	287.12468	0
224749	287.12480	0
224753	287.12479	1
224757	287.12482	1
224761	287.12481	1
224765	287.12478	1
224769	287.12484	0
224777	287.12488	1
224781	287.12487	1
224785	287.12486	1
224789	287.12485	1
224793	287.12498	1
224797	287.12495	1
