	genome_id	resistant_phenotype
274561	1280.9188	0
274573	1280.9190	0
274579	1280.9191	1
274591	1280.9193	1
274597	1280.9194	1
274603	1280.9195	1
274609	1280.9196	1
274621	1280.9198	0
274657	1280.9201	1
274669	1280.9203	1
274687	1280.9205	1
274705	1280.9208	1
274717	1280.9210	1
274735	1280.9213	1
274741	1280.9214	1
274747	1280.9215	1
274759	1280.9217	0
274771	1280.9219	1
274777	1280.9220	1
274813	1280.9227	1
274819	1280.9226	1
274825	1280.9228	1
274831	1280.9229	1
274837	1280.9230	1
274843	1280.9231	1
274861	1280.9234	0
274867	1280.9235	0
274873	1280.9236	1
274927	1280.9245	1
274964	1280.9249	1
274970	1280.9250	1
274976	1280.9251	1
274982	1280.9252	1
274989	1280.9253	1
275001	1280.9254	1
275059	1280.9263	1
275089	1280.9264	0
275116	1280.9265	1
275128	1280.7355	1
275134	1280.9267	1
275146	1280.9268	0
275178	1280.9273	1
275184	1280.9274	1
275200	1280.9276	1
275236	1280.9277	1
275291	1280.9283	1
275297	1280.9284	1
275314	1280.9287	1
275320	1280.9286	1
275326	1280.9288	1
275332	1280.9289	1
275350	1280.9292	1
275362	1280.9294	1
275386	1280.9296	0
275392	1280.9297	0
275398	1280.9298	0
275404	1280.9299	1
275477	1280.8699	1
275488	1280.8698	1
275499	1280.8701	1
275510	1280.8700	1
275521	1280.8697	1
275532	1280.9408	1
275543	1280.9409	1
275565	1280.9411	1
275576	1280.7377	1
275587	1280.7408	1
275598	1280.9412	1
275609	1280.7411	1
275620	1280.7413	1
275631	1280.8718	1
275642	1280.8736	1
275653	1280.8735	1
275664	1280.8738	1
275675	1280.8737	1
275686	1280.9413	1
275697	1280.8739	1
275708	1280.8379	1
275719	1280.9414	1
275730	1280.8456	1
275741	1280.8457	1
275752	1280.9415	1
275763	1280.9416	1
275774	1280.9417	0
275785	1280.8389	1
275796	1280.8388	1
275807	1280.9418	1
275818	1280.9419	1
275829	1280.8385	0
275840	1280.8392	1
275851	1280.9420	0
275862	1280.8569	1
275873	1280.8568	1
275884	1280.8566	1
275895	1280.8567	1
275906	1280.8564	1
275917	1280.8565	1
275928	1280.8521	1
275939	1280.8520	1
275950	1280.8522	1
275961	1280.8519	1
275972	1280.8518	1
275983	1280.8517	1
275994	1280.9421	1
276005	1280.9422	1
276016	1280.9423	1
276027	1280.8733	1
276038	1280.9424	1
276059	1280.8790	1
276070	1280.8791	0
276081	1280.9425	0
276092	1280.9427	0
276103	1280.9426	0
276125	1280.8785	0
276147	1280.9429	0
276180	1280.8799	0
276191	1280.8800	0
276202	1280.8801	0
276213	1280.9430	0
276224	1280.8803	0
276235	1280.8777	0
276246	1280.9431	0
276257	1280.8805	0
276268	1280.9432	0
276279	1280.8807	0
276290	1280.9433	0
276301	1280.9434	0
276334	1280.8812	0
276345	1280.8813	0
276356	1280.8814	0
276367	1280.9437	0
276378	1280.7908	0
276389	1280.8816	0
276400	1280.9438	0
276411	1280.9439	0
276422	1280.7912	0
276433	1280.7913	0
276444	1280.7914	0
276455	1280.7915	0
276477	1280.9440	0
276488	1280.7917	0
276499	1280.9441	0
276510	1280.9442	0
276521	1280.7920	0
276532	1280.9443	0
276543	1280.7922	0
276554	1280.7923	0
276565	1280.8773	0
276598	1280.9445	0
276609	1280.9446	0
276620	1280.7928	0
276631	1280.7929	0
276653	1280.9447	0
276664	1280.9448	0
276675	1280.7933	0
276686	1280.9449	0
276697	1280.7935	0
276708	1280.9692	0
276719	1280.7937	0
276730	1280.7938	0
276741	1280.7939	0
276752	1280.9451	0
276785	1280.9452	0
276796	1280.7944	0
276807	1280.9453	0
276829	1280.7946	0
276851	1280.7948	1
276862	1280.7949	0
276873	1280.7950	0
276884	1280.7951	0
276895	1280.9693	0
276906	1280.7953	0
276917	1280.9456	1
276928	1280.9457	0
276939	1280.9458	0
276950	1280.7957	1
276961	1280.9691	0
276972	1280.7959	0
276983	1280.8774	1
276994	1280.7960	0
277005	1280.7961	0
277016	1280.7962	0
277027	1280.9690	0
277038	1280.7964	0
277049	1280.7965	0
277060	1280.7966	0
277071	1280.9462	0
277082	1280.7968	0
277093	1280.7969	0
277104	1280.7970	0
277115	1280.9689	0
277126	1280.9694	0
