	genome_id	resistant_phenotype
274563	1280.9188	1
274575	1280.9190	0
274581	1280.9191	0
274593	1280.9193	0
274599	1280.9194	0
274605	1280.9195	0
274611	1280.9196	0
274623	1280.9198	0
274659	1280.9201	0
274671	1280.9203	0
274689	1280.9205	0
274707	1280.9208	0
274719	1280.9210	0
274737	1280.9213	1
274743	1280.9214	0
274749	1280.9215	0
274761	1280.9217	0
274773	1280.9219	0
274779	1280.9220	0
274815	1280.9227	0
274821	1280.9226	0
274827	1280.9228	0
274833	1280.9229	0
274839	1280.9230	0
274845	1280.9231	0
274863	1280.9234	0
274869	1280.9235	0
274875	1280.9236	0
274929	1280.9245	0
274966	1280.9249	0
274972	1280.9250	0
274978	1280.9251	1
274984	1280.9252	0
274991	1280.9253	0
275003	1280.9254	0
275061	1280.9263	0
275091	1280.9264	0
275118	1280.9265	0
275130	1280.7355	1
275136	1280.9267	0
275148	1280.9268	0
275180	1280.9273	1
275186	1280.9274	0
275202	1280.9276	0
275238	1280.9277	0
275293	1280.9283	1
275299	1280.9284	0
275316	1280.9287	0
275322	1280.9286	0
275328	1280.9288	0
275334	1280.9289	0
275352	1280.9292	0
275364	1280.9294	0
275388	1280.9296	0
275394	1280.9297	0
275400	1280.9298	0
275406	1280.9299	0
275484	1280.8699	0
275495	1280.8698	0
275506	1280.8701	0
275517	1280.8700	0
275528	1280.8697	0
275539	1280.9408	0
275550	1280.9409	0
275572	1280.9411	0
275583	1280.7377	0
275594	1280.7408	0
275605	1280.9412	0
275616	1280.7411	0
275627	1280.7413	0
275638	1280.8718	0
275649	1280.8736	1
275660	1280.8735	0
275671	1280.8738	0
275682	1280.8737	0
275693	1280.9413	0
275704	1280.8739	0
275715	1280.8379	0
275726	1280.9414	0
275737	1280.8456	0
275748	1280.8457	0
275759	1280.9415	0
275770	1280.9416	0
275781	1280.9417	0
275792	1280.8389	0
275803	1280.8388	0
275814	1280.9418	0
275825	1280.9419	0
275836	1280.8385	0
275847	1280.8392	0
275858	1280.9420	0
275869	1280.8569	0
275880	1280.8568	0
275891	1280.8566	0
275902	1280.8567	0
275913	1280.8564	0
275924	1280.8565	0
275935	1280.8521	0
275946	1280.8520	1
275957	1280.8522	0
275968	1280.8519	0
275979	1280.8518	0
275990	1280.8517	0
276001	1280.9421	0
276012	1280.9422	0
276023	1280.9423	0
276034	1280.8733	0
276045	1280.9424	0
276066	1280.8790	0
276077	1280.8791	0
276088	1280.9425	0
276099	1280.9427	1
276110	1280.9426	0
276132	1280.8785	0
276154	1280.9429	0
276187	1280.8799	0
276198	1280.8800	0
276209	1280.8801	0
276220	1280.9430	0
276231	1280.8803	0
276242	1280.8777	0
276253	1280.9431	0
276264	1280.8805	0
276275	1280.9432	0
276286	1280.8807	0
276297	1280.9433	0
276308	1280.9434	0
276341	1280.8812	0
276352	1280.8813	0
276363	1280.8814	0
276374	1280.9437	0
276385	1280.7908	0
276396	1280.8816	0
276407	1280.9438	0
276418	1280.9439	0
276429	1280.7912	0
276440	1280.7913	0
276451	1280.7914	0
276462	1280.7915	0
276484	1280.9440	0
276495	1280.7917	0
276506	1280.9441	0
276517	1280.9442	0
276528	1280.7920	0
276539	1280.9443	0
276550	1280.7922	0
276561	1280.7923	0
276572	1280.8773	1
276605	1280.9445	0
276616	1280.9446	0
276627	1280.7928	0
276638	1280.7929	0
276660	1280.9447	0
276671	1280.9448	0
276682	1280.7933	0
276693	1280.9449	0
276704	1280.7935	0
276715	1280.9692	0
276726	1280.7937	0
276737	1280.7938	0
276748	1280.7939	0
276759	1280.9451	0
276792	1280.9452	0
276803	1280.7944	0
276814	1280.9453	0
276836	1280.7946	0
276858	1280.7948	0
276869	1280.7949	0
