	genome_id	resistant_phenotype
720	470.775	1
773	480119.5	1
836	470.659	1
873	470.679	1
886	470.678	1
899	470.677	1
912	470.675	1
927	470.722	1
957	470.718	1
972	470.720	1
987	470.715	1
1000	470.654	1
1042	470.625	1
1057	470.700	1
1071	470.696	1
1085	470.695	1
1145	470.634	1
1188	470.651	1
1202	470.642	1
1215	470.641	1
1405	470.685	1
1419	470.684	1
1432	470.676	1
1446	470.618	1
1460	470.620	1
1529	470.655	1
1544	470.640	1
1560	470.767	1
1575	470.765	1
1590	470.638	1
1620	470.636	1
1650	470.633	1
1665	470.708	1
1693	470.652	1
1734	470.658	1
1749	470.639	0
1817	470.729	1
1841	470.648	1
1854	470.647	1
1867	470.646	1
1880	470.645	1
1893	470.644	1
1906	470.643	1
1932	470.653	1
1971	470.768	1
2083	470.612	1
2098	470.613	1
2113	470.711	1
2128	470.710	1
2158	470.702	1
2173	470.701	1
2229	470.674	1
2243	470.673	1
2288	470.627	1
2303	470.712	1
2318	470.709	1
2333	470.706	1
2348	470.705	1
2363	470.704	1
2378	470.703	1
2393	470.699	1
2409	470.687	1
2423	470.686	1
2437	470.681	1
2450	470.657	1
2489	509173.8	1
2511	903895.3	1
2542	903905.3	0
2555	903906.3	0
2569	1409922.5	1
2591	1409924.3	1
2602	1409925.3	1
2623	1409927.3	1
2634	1409928.3	1
2649	903920.3	1
2665	903904.3	1
2681	903896.3	1
2713	903922.3	1
2729	903923.3	1
2745	903927.3	0
2760	903908.3	0
2775	903936.3	1
2790	903898.3	1
2844	903902.3	1
2860	903889.3	1
2892	903903.3	1
2908	903894.3	1
2943	1398943.3	1
3180	1398965.4	1
3205	1398967.3	1
3255	470.1334	1
3340	470.1336	1
3417	470.1335	1
3432	470.1333	1
3674	470.7338	1
3695	470.7340	1
3705	470.7341	1
3715	470.7342	1
3725	470.7343	1
3746	470.7345	1
3756	470.7346	1
3766	470.7347	1
3776	470.7348	1
3786	470.7349	1
3800	470.1758	1
3810	470.7350	1
3817	470.1760	1
3833	470.1752	1
3860	470.1756	1
5128	470.2845	0
5146	470.2846	1
5164	470.2843	1
5182	470.2844	0
5200	470.2847	1
5299	470.4702	1
5349	470.4704	1
5374	470.4901	1
5449	470.4785	1
5659	470.2241	1
5719	470.2268	1
5768	470.2255	1
5786	470.2270	1
5817	470.2257	1
5842	470.2259	1
5860	470.2271	1
5878	470.2260	1
5896	470.2286	1
5914	470.2273	1
5932	470.2274	1
5973	470.2276	1
5991	470.2287	1
6009	470.2240	1
6027	470.2238	1
6045	470.2261	1
6081	470.2262	1
6099	470.2242	1
6117	470.2263	1
6135	470.2243	1
6153	470.2272	1
6183	470.2264	1
6201	470.2277	1
6219	470.2278	1
6237	470.2279	1
6289	470.2246	1
6343	470.2290	1
6371	470.2285	1
6399	470.2292	1
6417	470.2293	1
6435	470.2247	1
6460	470.2295	1
6478	470.2296	1
6496	470.2297	1
6514	470.2300	1
6532	470.2298	1
6550	470.2301	1
6575	470.2302	1
6593	470.2248	1
6622	470.2304	1
6677	470.2249	0
6695	470.2250	1
6728	470.5040	1
6786	470.1762	1
6822	470.1745	1
6838	470.1749	1
6856	470.7374	1
6875	470.7375	1
6894	470.7376	1
6913	470.7377	1
6970	470.7380	1
6989	470.7381	1
7008	470.7382	1
7046	470.7384	1
7084	470.7386	1
7103	470.7387	1
7122	470.7388	1
7141	470.7389	1
7179	470.7391	1
7255	470.7395	1
7350	470.7400	1
7369	470.7401	1
7388	470.7402	1
7407	470.7403	1
7445	470.7405	0
7464	470.7406	1
7483	470.7407	1
7502	470.7408	1
7521	470.7409	1
7559	470.7411	1
7578	470.7412	1
7597	470.7413	1
7610	470.1759	1
7622	470.1743	1
7633	470.1742	1
7644	470.1744	1
7655	470.1755	1
7743	470.7414	1
7773	470.7415	1
7796	470.7416	0
7827	470.7417	0
7862	470.7418	1
7898	470.7419	0
7933	470.7420	1
7970	470.7421	0
8039	470.7423	1
8132	470.7426	1
8152	470.7427	0
8172	470.7428	1
8191	470.7429	1
8223	470.7430	0
8246	470.7431	1
8286	470.7433	0
8306	470.7434	1
8337	470.7435	1
8431	470.7438	1
8462	470.7439	1
8485	470.7440	1
8540	470.7442	0
8595	470.7444	1
8634	470.7446	1
8654	470.7447	1
8674	470.7448	1
8706	470.7449	0
8730	470.7450	1
8750	470.7451	1
8769	470.7452	1
8802	470.7453	0
8824	470.7454	1
8841	470.7455	1
8860	470.7456	0
8880	470.7457	0
8932	470.7459	1
8967	470.7460	1
8991	470.7461	0
9022	470.7462	1
9057	470.7463	1
9096	470.7464	1
9119	470.7465	1
9150	470.7466	0
9185	470.7467	0
9209	470.7468	1
9240	470.7469	1
9241	470.7469	0
9264	470.7470	0
9284	470.7471	0
9303	470.7472	0
