	genome_id	resistant_phenotype
25225	1323652.3	1
25289	1440035.3	1
25356	1440030.3	1
25368	1440029.3	1
25402	1440028.3	1
25435	1440060.3	1
25448	1440061.3	1
25492	1323651.3	1
25503	1440063.3	1
25520	1440064.3	1
25551	197.5239	0
25566	197.5237	1
25603	197.5231	1
25616	197.5230	1
25639	197.5241	0
25652	197.5242	1
25676	197.15922	1
25685	197.15923	1
25694	197.15924	1
25703	197.15925	1
25712	197.15926	1
25730	197.15928	0
25739	197.15929	0
25748	197.15930	1
25775	197.15933	1
25784	197.15934	1
25793	197.15935	1
25802	197.15936	0
25811	197.15937	1
25820	197.15938	0
25829	197.15939	1
25838	197.15940	1
25847	197.15941	1
25856	197.15942	1
25865	197.15943	0
25874	197.15944	1
25883	197.15946	1
25892	197.15945	1
25901	197.15947	0
25910	197.15949	0
25919	197.15948	1
25928	197.15950	1
25937	197.15951	1
25946	197.15952	1
25955	197.15953	1
25973	197.15955	1
25982	197.15956	0
25991	197.15957	0
26018	197.15960	0
26027	197.15961	0
26036	197.15962	1
26045	197.15963	1
26054	197.15964	0
26063	197.15965	0
26072	197.15966	0
26081	197.15967	1
26090	197.15968	0
26099	197.15969	1
26108	197.15970	1
26117	197.15971	1
26126	197.15972	1
26171	197.15977	1
26180	197.15978	0
26189	197.15979	1
26207	197.15981	1
26216	197.15982	0
26225	197.15983	1
26234	197.15984	1
26243	197.15985	1
26252	197.15986	1
26261	197.15987	1
26270	197.15988	1
26297	197.15991	1
26324	197.15994	1
26342	197.15996	1
26360	197.15998	1
26369	197.15999	1
26378	197.16000	1
26396	197.16002	1
26423	197.16005	0
26432	197.16006	1
26441	197.16007	1
26450	197.16008	1
26468	197.16010	1
26477	197.16011	1
26486	197.16012	0
26504	197.16014	1
26522	197.16016	1
26531	197.16017	0
26558	197.16020	1
26567	197.16021	0
26576	197.16022	0
26594	197.16024	0
26612	197.16026	1
26621	197.16027	1
26648	197.16030	1
26666	197.16032	0
26675	197.16033	0
26684	197.16034	1
26693	197.16035	1
26702	197.16036	0
26711	197.16037	1
26720	197.16038	1
26738	197.16040	1
26747	197.16041	1
26756	197.16042	1
26765	197.16043	0
26774	197.16044	1
26783	197.16045	1
26792	197.16046	0
26801	197.16047	1
26819	197.16049	1
26846	197.16052	0
26855	197.16053	0
26864	197.16054	1
26873	197.16055	0
26882	197.16056	1
26891	197.16057	1
26900	197.16058	1
26909	197.16060	0
26918	197.16061	1
26927	197.16059	1
26936	197.16063	1
26945	197.16062	0
26954	197.16064	1
26963	197.16065	1
26972	197.16066	1
26990	197.16068	1
26999	197.16069	1
27008	197.16070	1
27017	197.16071	0
27026	197.16072	0
27035	197.16073	1
27044	197.16074	0
27053	197.16075	1
27062	197.16076	1
27071	197.16077	1
27080	197.16078	0
27098	197.16080	0
27107	197.16081	0
27116	197.16082	1
27125	197.16083	1
27143	197.16085	1
27152	197.16086	1
27161	197.16087	1
27170	197.16088	1
27179	197.16089	1
27188	197.16090	0
27197	197.16091	1
27206	197.16092	1
27215	197.16093	0
27224	197.16094	0
27233	197.16095	1
27242	197.16096	1
27251	197.16097	1
27260	197.16098	1
27269	197.16099	0
27278	197.16100	0
27287	197.16101	1
27305	197.16103	0
27314	197.16104	1
27323	197.16105	1
27332	197.16106	1
27341	197.16107	1
27350	197.16108	1
27359	197.16109	0
27368	197.16110	0
27377	197.16111	1
27386	197.16112	1
27395	197.16113	1
27404	197.16114	1
27422	197.16116	1
27431	197.16117	1
27440	197.16118	1
27449	197.16119	1
27467	197.16121	1
27485	197.16123	1
27503	197.16125	1
27512	197.16126	0
27521	197.16127	1
27539	197.16129	1
27548	197.16131	0
27557	197.16130	1
27566	197.16132	0
27575	197.16133	1
27584	197.16134	1
27593	197.16135	1
27602	197.16136	1
27620	197.16138	1
27629	197.16139	0
27638	197.16140	1
27647	197.16141	0
27656	197.16142	0
27665	197.16143	1
27674	197.16145	0
27683	197.16144	0
27692	197.16146	0
27701	197.16147	1
27710	197.16148	1
27719	197.16149	1
27728	197.16150	0
27737	197.16151	1
27746	197.16152	1
27809	197.16159	0
27827	197.16161	1
27872	197.16166	1
27881	197.16167	1
27890	197.16168	1
27899	197.16169	0
27908	197.16170	0
27917	197.16171	1
27926	197.16172	1
27935	197.16173	1
27944	197.16174	0
27953	197.16175	1
27962	197.16176	1
27971	197.16177	1
27980	197.16178	1
27998	197.16180	1
28016	197.16182	1
28025	197.16183	0
28034	197.16184	0
28061	197.16187	0
28070	197.16188	1
28079	197.16189	1
28088	197.16190	1
28106	197.16192	0
28115	197.16193	1
28133	197.16195	1
28142	197.16196	0
28151	197.16197	1
28160	197.16198	0
28178	197.16200	1
28187	197.16201	1
28196	197.16202	1
28214	197.16204	1
28223	197.16205	1
28232	197.16206	1
28241	197.16207	0
28250	197.16208	0
28259	197.16209	0
28286	197.16212	1
28295	197.16213	1
28304	197.16214	1
28313	197.16215	0
28322	197.16216	1
28340	197.16218	1
28349	197.16219	0
28358	197.16220	1
28376	197.16222	0
28385	197.16223	0
28403	197.16225	1
28412	197.16226	1
28421	197.16227	1
28430	197.16228	1
28448	197.16230	1
28457	197.16231	0
28466	197.16232	1
28475	197.16233	0
28484	197.16234	1
28502	197.16236	0
28511	197.16237	0
28529	197.16238	0
28538	197.16240	1
28547	197.16241	1
28574	197.16244	1
28592	197.16246	0
28601	197.16247	0
28610	197.16248	1
28619	197.16249	0
28628	197.16250	0
28637	197.16251	0
28646	197.16252	0
28655	197.16253	1
28664	197.16254	1
28682	197.16256	1
28691	197.16257	1
28700	197.16258	1
28709	197.16259	1
28718	197.16260	1
28727	197.16261	1
28736	197.16262	1
28745	197.16263	0
28754	197.16264	1
28763	197.16265	1
28772	197.16266	1
28781	197.16267	1
28790	197.16268	1
28817	197.16271	0
28826	197.16272	1
28835	197.16273	1
28844	197.16274	1
28853	197.16275	0
28862	197.16276	1
28871	197.16277	1
28880	197.16278	1
28889	197.16279	1
28898	197.16280	0
28907	197.16281	1
28916	197.16282	1
28925	197.16283	1
28934	197.16284	0
28952	197.16286	1
28970	197.16288	1
28988	197.16290	1
29006	197.16292	1
29015	197.16293	0
29033	197.16295	1
29042	197.16296	0
29051	197.16297	1
29060	197.16299	1
29069	197.16300	1
29078	197.16298	1
29096	197.16302	0
29114	197.16304	1
29123	197.16305	0
29141	197.16307	0
29159	197.16309	1
29168	197.16310	0
29177	197.16311	1
29186	197.16312	1
29195	197.16313	1
29204	197.16314	1
29213	197.16315	1
29222	197.16316	1
29231	197.16317	0
29240	197.16318	1
29249	197.16319	1
29258	197.16320	0
29267	197.16321	1
29276	197.16322	0
29285	197.16323	1
29294	197.16324	0
29303	197.16325	1
29312	197.16326	1
29330	197.16328	0
29339	197.16329	1
29348	197.16330	1
29357	197.16331	0
29366	197.16332	1
29375	197.16334	1
29393	197.16335	0
29402	197.16336	0
29411	197.16337	0
29447	197.16341	0
29456	197.16342	1
29465	197.16343	1
29474	197.16344	1
29501	197.16347	1
29510	197.16348	1
29519	197.16349	0
29528	197.16350	1
29546	197.16352	1
29555	197.16353	0
29564	197.16354	1
29573	197.16355	1
29582	197.16356	1
29591	197.16357	1
29600	197.16358	0
29609	197.16359	1
29618	197.16360	1
29627	197.16361	1
29636	197.16362	0
29645	197.16363	1
29654	197.16364	0
29663	197.16365	1
29672	197.16366	1
29681	197.16367	1
29690	197.16368	1
29699	197.16369	1
29708	197.16370	0
29717	197.16371	1
29726	197.16372	1
29735	197.16373	1
29744	197.16374	1
29753	197.16375	1
29762	197.16376	0
29771	197.16377	0
29780	197.16378	1
29798	197.16380	0
29807	197.16381	1
29816	197.16382	1
29834	197.16384	1
29843	197.16385	1
29852	197.16386	0
29861	197.16387	1
29870	197.16388	1
29879	197.16389	0
29888	197.16390	0
29897	197.16391	1
29915	197.16393	0
29924	197.16394	1
29933	197.16395	0
29942	197.16396	0
29951	197.16397	1
