	genome_id	resistant_phenotype
79821	1304917.4	1
81800	1304920.3	1
82282	1304924.3	1
84137	1284797.4	1
84244	573.13031	1
84263	573.13032	1
84282	573.13033	1
84320	573.13035	1
84340	573.13036	1
84359	573.13037	1
84379	573.13038	1
84399	573.13039	1
84457	573.13042	1
84477	573.13043	0
84496	573.13044	1
84534	573.13046	1
84573	573.13048	1
84690	573.13054	1
84710	573.13055	1
84730	573.13056	0
84750	573.13057	0
84789	573.13059	1
84809	573.13060	1
84829	573.13061	1
84849	573.13062	0
84868	573.13063	1
84888	573.13064	1
84927	573.13066	1
84947	573.13067	1
84967	573.13068	1
84986	573.13069	1
85006	573.13070	1
85065	573.13073	1
85084	573.13074	1
85104	573.13075	1
85123	573.13076	1
85142	573.13077	0
85162	573.13079	1
85181	573.13080	1
85200	573.13081	1
85220	573.13082	1
85239	573.13083	1
85259	573.13084	1
85279	573.13085	1
85299	573.13086	1
85318	573.13087	1
85397	573.13091	0
85435	573.13093	1
85455	573.13094	1
85474	573.13095	1
85494	573.13096	1
85514	573.13097	1
85534	573.13098	1
85554	573.13099	1
85573	573.13100	0
85593	573.13101	1
85612	573.13102	1
85631	573.13103	0
85651	573.13104	1
85671	573.13105	1
85690	573.13106	1
85709	573.13107	1
85749	573.13109	1
85768	573.13110	1
85787	573.13111	1
85806	573.13112	1
85826	573.13113	1
85845	573.13114	1
85865	573.13115	1
85885	573.13116	1
85904	573.13117	1
85923	573.13118	1
85943	573.13119	1
85963	573.13120	1
85983	573.13121	1
86022	573.13123	1
86041	573.13124	1
86060	573.13125	1
86080	573.13126	1
86099	573.13127	1
86118	573.13128	1
86138	573.13129	1
86158	573.13130	0
86177	573.13131	1
86236	573.13134	0
86256	573.13135	1
86276	573.13136	0
86296	573.13137	0
86315	573.13138	1
86335	573.13139	1
86354	573.13140	1
86374	573.13141	0
86413	573.13143	1
86433	573.13144	1
86453	573.13145	1
86492	573.13147	0
86512	573.13148	1
86531	573.13149	1
86551	573.13150	1
86570	573.13151	1
86589	573.13152	1
86628	573.13156	1
86647	573.13157	1
86686	573.13159	0
86706	573.13160	1
86745	573.13162	1
86763	573.13163	1
86782	573.13164	1
86802	573.13165	1
86821	573.13166	1
86840	573.13167	1
86859	573.13168	1
86878	573.13169	1
86898	573.13170	1
86935	573.13172	1
86955	573.13173	1
86975	573.13174	1
87014	573.13176	1
87054	573.13178	1
87132	573.13182	1
87152	573.13183	1
87172	573.13185	1
87192	573.13186	1
87211	573.13187	1
87288	573.13192	1
87327	573.13194	1
87347	573.13195	1
87367	573.13196	1
87407	573.13198	1
87426	573.13199	1
87445	573.13200	1
87465	573.13201	1
87523	573.13204	1
87620	573.13209	1
87716	573.13214	1
87754	573.13216	1
87812	573.13219	1
87850	573.13221	1
87870	573.13222	1
87889	573.13223	1
87909	573.13224	1
87948	573.13226	1
87967	573.13227	1
87987	573.13228	1
88027	573.13230	1
88047	573.13231	1
88067	573.13232	1
88200	573.13239	1
88237	573.13241	1
88257	573.13242	1
88277	573.13243	1
88296	573.13244	1
88315	573.13245	1
88334	573.13246	1
88411	573.13250	1
88431	573.13251	1
88451	573.13252	1
88471	573.13253	1
88491	573.13254	1
88510	573.13255	1
88529	573.13256	1
88569	573.13258	1
88589	573.13259	1
88608	573.13260	1
88628	573.13261	1
88648	573.13262	1
88666	573.13263	1
88686	573.13264	0
88706	573.13265	1
88765	573.13268	1
88784	573.13269	1
88803	573.13270	1
88900	573.13275	1
88920	573.13276	0
88959	573.13278	1
88979	573.13279	1
89038	573.13282	1
89058	573.13283	1
89078	573.13284	1
89097	573.13285	1
89117	573.13286	0
89136	573.13287	1
89156	573.13288	1
89176	573.13289	1
89215	573.13291	1
89235	573.13292	1
89275	573.13294	1
89295	573.13295	1
89314	573.13296	1
89333	573.13297	1
89352	573.13298	1
89412	573.13301	1
89432	573.13302	1
89451	573.13303	1
89471	573.13304	1
89491	573.13305	1
89511	573.13306	1
89530	573.13307	1
89550	573.13308	1
89569	573.13309	1
89588	573.13310	1
89608	573.13311	1
89628	573.13312	1
89647	573.13313	1
89666	573.13314	1
89685	573.13315	1
89705	573.13316	1
89725	573.13317	1
89745	573.13318	1
89764	573.13319	1
89783	573.13321	1
89803	573.13322	1
89823	573.13323	1
89862	573.13324	1
89881	573.13326	1
89918	573.13328	1
89938	573.13329	1
89956	573.13330	1
89975	573.13331	1
89995	573.13332	1
90015	573.13333	1
90035	573.13334	0
90055	573.13335	1
90075	573.13336	1
90094	573.13338	1
90114	573.13340	1
90133	573.13341	1
90152	573.13343	1
90172	573.13342	1
90192	573.13344	1
90309	573.13350	1
90424	573.13356	1
90443	573.13357	1
90502	573.13360	1
90579	573.13364	1
90618	573.13366	0
90657	573.13368	1
90696	573.13370	1
90754	573.13373	1
90774	573.13374	1
90793	573.13375	1
90812	573.13376	1
90832	573.13377	1
90985	573.13385	1
91138	573.13393	1
91294	573.13401	0
91313	573.13403	1
91332	573.13402	1
91391	573.13406	1
91507	573.13413	1
91527	573.13414	1
91547	573.13416	1
91567	573.13415	1
91665	573.13424	1
91704	573.13425	1
91876	573.13434	1
91914	573.13436	1
91993	573.13441	1
92032	573.13443	0
92247	573.13454	1
92285	573.13456	0
92304	573.13457	1
92342	573.13459	1
92362	573.13460	1
92401	573.13462	1
92420	573.13463	1
92440	573.13464	1
92460	573.13465	1
92480	573.13466	0
92499	573.13467	1
92518	573.13468	1
92537	573.13469	1
92556	573.13470	1
92575	573.13471	1
92594	573.13472	1
92614	573.13473	1
92633	573.13474	0
92652	573.13475	1
92672	573.13476	0
92691	573.13477	1
92711	573.13478	1
92731	573.13479	1
92751	573.13480	0
92771	573.13481	1
92791	573.13482	1
92811	573.13483	1
92831	573.13484	1
92850	573.13485	1
92870	573.13486	1
92890	573.13487	1
92910	573.13488	1
92930	573.13489	1
92949	573.13490	1
92969	573.13491	1
92988	573.13492	1
93007	573.13493	1
93027	573.13494	1
93046	573.13495	1
93066	573.13496	1
93085	573.13497	1
93123	573.13499	1
93143	573.13500	1
93182	573.13502	1
93202	573.13503	1
93221	573.13504	1
93261	573.13506	1
93280	573.13507	1
93299	573.13508	0
93318	573.13509	1
93337	573.13510	1
93356	573.13511	0
93376	573.13512	1
93396	573.13513	1
93414	573.13514	1
93433	573.13515	0
93453	573.13516	1
93472	573.13517	1
93491	573.13518	1
93511	573.13519	1
93530	573.13520	1
93550	573.13521	1
93569	573.13522	1
93608	573.13524	1
93627	573.13525	1
93646	573.13526	1
93686	573.13528	1
93705	573.13529	1
93725	573.13530	1
93763	573.13532	1
93783	573.13533	1
93803	573.13534	0
93822	573.13535	1
93842	573.13537	1
93861	573.13538	1
93880	573.13539	1
93900	573.13540	1
93919	573.13541	1
93939	573.13542	1
93959	573.13543	1
93978	573.13544	1
93998	573.13545	1
94017	573.13546	1
94036	573.13547	1
94056	573.13548	1
94076	573.13549	0
94095	573.13550	1
94115	573.13551	1
94135	573.13552	1
94155	573.13553	0
94175	573.13554	1
94195	573.13555	1
94215	573.13556	1
94234	573.13557	1
94254	573.13558	1
94273	573.13559	1
94292	573.13560	1
94312	573.13561	1
94331	573.13562	1
94351	573.13563	1
94370	573.13564	1
94390	573.13565	1
94410	573.13566	1
94430	573.13567	0
94449	573.13568	1
94468	573.13569	1
94528	573.13572	1
94547	573.13573	1
94567	573.13574	1
94586	573.13575	0
94606	573.13576	0
94625	573.13577	1
94645	573.13578	1
94664	573.13579	1
94684	573.13580	1
94704	573.13581	1
94724	573.13582	1
94763	573.13584	1
94783	573.13585	1
94802	573.13586	1
94821	573.13587	1
94840	573.13588	1
94859	573.13589	1
94878	573.13590	1
94897	573.13591	1
94916	573.13592	1
94956	573.13594	1
94976	573.13595	1
94996	573.13596	1
95053	573.13599	1
95072	573.13600	1
95091	573.13601	1
95110	573.13602	1
95129	573.13603	1
95148	573.13604	1
95187	573.13606	1
95206	573.13607	1
95225	573.13608	1
95244	573.13609	1
95264	573.13610	1
95283	573.13611	1
95303	573.13612	1
95323	573.13613	1
95342	573.13614	1
95361	573.13615	1
95381	573.13616	1
95401	573.13617	1
95421	573.13618	1
95440	573.13619	1
95460	573.13620	1
95480	573.13621	1
95556	573.13625	1
95576	573.13626	1
95595	573.13627	1
95614	573.13628	1
95634	573.13629	1
95653	573.13630	1
95672	573.13631	1
95692	573.13632	0
95710	573.13633	1
95730	573.13634	1
95749	573.13635	1
95769	573.13636	1
95788	573.13637	1
95808	573.13638	1
95827	573.13639	1
95845	573.13640	1
95865	573.13641	1
95885	573.13642	1
95943	573.13645	1
95962	573.13646	1
95982	573.13647	1
96002	573.13648	1
96042	573.13650	1
96061	573.13651	1
96079	573.13652	1
96098	573.13653	1
96157	573.13656	1
96195	573.13658	0
96214	573.13659	1
96234	573.13660	1
96253	573.13661	0
96293	573.13663	1
96313	573.13664	0
96332	573.13665	1
96351	573.13666	1
96371	573.13667	1
96390	573.13668	1
96429	573.13670	1
96448	573.13671	1
96468	573.13672	1
96487	573.13673	1
96507	573.13674	1
96526	573.13675	1
96546	573.13676	1
96565	573.13677	1
96583	573.13678	1
96602	573.13679	1
96621	573.13680	1
96640	573.13681	1
96659	573.13682	1
96679	573.13683	1
96699	573.13684	1
96719	573.13685	0
96739	573.13686	1
96777	573.13688	1
96795	573.13689	0
96815	573.13690	1
96855	573.13692	0
96875	573.13693	0
96894	573.13694	1
96913	573.13695	1
96932	573.13696	1
96971	573.13698	1
96991	573.13699	1
97010	573.13700	1
97029	573.13701	1
97048	573.13702	1
97067	573.13703	1
97147	573.13707	1
97167	573.13708	1
97187	573.13709	1
97206	573.13710	1
97245	573.13712	1
97264	573.13713	1
97284	573.13714	1
97324	573.13716	1
97344	573.13717	1
97364	573.13718	0
97384	573.13719	0
97404	573.13720	1
97423	573.13721	0
97460	573.13723	1
97539	573.13727	1
97558	573.13728	1
97577	573.13729	1
97596	573.13730	1
97615	573.13731	1
97694	573.13735	1
97712	573.13736	0
97731	573.13737	1
97749	573.13738	1
97769	573.13739	0
97789	573.13740	1
97827	573.13742	1
97847	573.13743	1
97884	573.13745	0
97903	573.13746	1
97922	573.13747	0
97942	573.13748	1
97962	573.13749	1
97982	573.13750	1
98002	573.13751	1
98021	573.13752	1
98041	573.13753	1
98061	573.13754	0
98081	573.13755	1
98101	573.13756	1
98121	573.13757	1
98140	573.13758	1
98160	573.13759	1
98179	573.13760	1
98199	573.13761	1
98219	573.13762	1
98258	573.13764	1
98278	573.13765	1
98297	573.13766	1
98316	573.13767	1
98336	573.13768	1
98356	573.13770	1
98416	573.13772	1
98435	573.13773	1
98455	573.13774	1
98495	573.13777	1
98514	573.13778	1
98534	573.13779	1
98554	573.13780	0
98574	573.13781	1
98612	573.13783	1
98631	573.13784	1
98651	573.13785	1
98690	573.13787	1
98709	573.13788	1
98728	573.13789	1
98747	573.13790	1
98786	573.13792	1
98806	573.13793	1
98826	573.13794	1
98864	573.13796	1
98942	573.13800	1
