	genome_id	resistant_phenotype
79830	1304917.4	0
81809	1304920.3	0
82813	1328415.3	1
82856	1328382.3	0
82881	1328383.3	1
82895	1328384.3	0
82911	1328385.3	0
82927	1328386.3	0
82938	1328387.3	0
83063	1438717.3	1
83207	1438727.3	0
83255	1438730.3	1
83271	1438731.3	0
83371	1438737.3	0
83487	1438744.3	1
83657	1438754.3	1
83706	1438757.3	1
83855	1438766.3	1
83872	1438767.3	0
84074	1438779.3	1
84146	1284797.4	0
84252	573.13031	1
84270	573.13032	1
84290	573.13033	1
84328	573.13035	1
84348	573.13036	1
84367	573.13037	1
84387	573.13038	1
84407	573.13039	0
84465	573.13042	0
84484	573.13043	1
84523	573.13045	0
84542	573.13046	0
84561	573.13047	0
84581	573.13048	1
84619	573.13050	0
84698	573.13054	1
84718	573.13055	1
84738	573.13056	1
84758	573.13057	0
84797	573.13059	0
84817	573.13060	1
84837	573.13061	1
84857	573.13062	1
84876	573.13063	0
84896	573.13064	0
84935	573.13066	0
84955	573.13067	0
84975	573.13068	0
84994	573.13069	1
85014	573.13070	0
85073	573.13073	1
85092	573.13074	1
85112	573.13075	1
85131	573.13076	0
85170	573.13079	0
85189	573.13080	1
85208	573.13081	0
85228	573.13082	1
85247	573.13083	0
85267	573.13084	0
85287	573.13085	0
85307	573.13086	0
85326	573.13087	1
85404	573.13091	1
85443	573.13093	0
85463	573.13094	1
85482	573.13095	1
85502	573.13096	0
85522	573.13097	0
85542	573.13098	0
85562	573.13099	0
85581	573.13100	1
85601	573.13101	0
85620	573.13102	0
85639	573.13103	1
85659	573.13104	0
85679	573.13105	0
85698	573.13106	0
85717	573.13107	1
85757	573.13109	1
85776	573.13110	0
85795	573.13111	1
85814	573.13112	0
85834	573.13113	0
85853	573.13114	0
85873	573.13115	1
85893	573.13116	0
85912	573.13117	1
85931	573.13118	0
85951	573.13119	0
85971	573.13120	0
85991	573.13121	1
86030	573.13123	0
86049	573.13124	1
86068	573.13125	0
86088	573.13126	1
86107	573.13127	0
86126	573.13128	0
86146	573.13129	0
86166	573.13130	1
86185	573.13131	1
86244	573.13134	1
86264	573.13135	1
86284	573.13136	0
86304	573.13137	0
86323	573.13138	0
86343	573.13139	1
86362	573.13140	1
86382	573.13141	0
86421	573.13143	1
86441	573.13144	0
86461	573.13145	0
86500	573.13147	0
86520	573.13148	0
86539	573.13149	0
86559	573.13150	1
86578	573.13151	1
86597	573.13152	0
86636	573.13156	0
86655	573.13157	0
86694	573.13159	1
86714	573.13160	1
86753	573.13162	1
86771	573.13163	0
86790	573.13164	1
86810	573.13165	1
86829	573.13166	0
86848	573.13167	1
86867	573.13168	0
86886	573.13169	0
86905	573.13170	0
86924	573.13171	1
86943	573.13172	0
86963	573.13173	1
86983	573.13174	0
87022	573.13176	0
87062	573.13178	1
87140	573.13182	0
87160	573.13183	1
87180	573.13185	0
87200	573.13186	0
87219	573.13187	1
87296	573.13192	1
87335	573.13194	1
87355	573.13195	1
87375	573.13196	1
87415	573.13198	0
87434	573.13199	0
87453	573.13200	1
87473	573.13201	0
87531	573.13204	1
87628	573.13209	0
87724	573.13214	1
87762	573.13216	1
87820	573.13219	0
87858	573.13221	0
87878	573.13222	1
87897	573.13223	1
87917	573.13224	0
87955	573.13226	1
87975	573.13227	1
87995	573.13228	0
88035	573.13230	0
88055	573.13231	0
88074	573.13232	0
88207	573.13239	1
88245	573.13241	0
88265	573.13242	0
88304	573.13244	0
88342	573.13246	1
88419	573.13250	1
88439	573.13251	1
88459	573.13252	1
88479	573.13253	0
88499	573.13254	1
88518	573.13255	1
88537	573.13256	1
88577	573.13258	1
88597	573.13259	1
88616	573.13260	0
88636	573.13261	0
88655	573.13262	1
88674	573.13263	1
88694	573.13264	0
88714	573.13265	1
88734	573.13266	0
88773	573.13268	1
88792	573.13269	1
88811	573.13270	1
88908	573.13275	0
88928	573.13276	1
88967	573.13278	0
88987	573.13279	1
89046	573.13282	0
89066	573.13283	1
89086	573.13284	1
89105	573.13285	1
89125	573.13286	1
89144	573.13287	1
89164	573.13288	0
89184	573.13289	0
89223	573.13291	1
89243	573.13292	0
89283	573.13294	0
89303	573.13295	1
89360	573.13298	1
89420	573.13301	1
89440	573.13302	0
89459	573.13303	1
89479	573.13304	1
89499	573.13305	1
89519	573.13306	1
89538	573.13307	1
89558	573.13308	1
89577	573.13309	0
89596	573.13310	0
89616	573.13311	1
89636	573.13312	1
89655	573.13313	1
89674	573.13314	1
89693	573.13315	1
89713	573.13316	1
89733	573.13317	0
89753	573.13318	1
89772	573.13319	1
89791	573.13321	0
89811	573.13322	0
89831	573.13323	0
89870	573.13324	0
89889	573.13326	0
89926	573.13328	1
89946	573.13329	0
89964	573.13330	0
89983	573.13331	1
90003	573.13332	1
90023	573.13333	0
90043	573.13334	0
90063	573.13335	1
90083	573.13336	0
90102	573.13338	1
90122	573.13340	1
90141	573.13341	0
90160	573.13343	0
90180	573.13342	1
90200	573.13344	0
90317	573.13350	1
90432	573.13356	1
90451	573.13357	1
90510	573.13360	1
90587	573.13364	1
90626	573.13366	1
90665	573.13368	0
90704	573.13370	0
90762	573.13373	1
90782	573.13374	1
90801	573.13375	1
90820	573.13376	0
90839	573.13377	1
90993	573.13385	1
91146	573.13393	1
91302	573.13401	0
91321	573.13403	0
91340	573.13402	0
91399	573.13406	0
91515	573.13413	1
91535	573.13414	1
91555	573.13416	1
91574	573.13415	0
91673	573.13424	0
91712	573.13425	0
91884	573.13434	1
91922	573.13436	0
92000	573.13441	1
92040	573.13443	1
92255	573.13454	0
92293	573.13456	0
92312	573.13457	0
92331	573.13458	1
92350	573.13459	1
92370	573.13460	0
92409	573.13462	1
92428	573.13463	1
92448	573.13464	0
92468	573.13465	0
92488	573.13466	1
92506	573.13467	1
92526	573.13468	0
92545	573.13469	1
92563	573.13470	0
92583	573.13471	1
92602	573.13472	1
92622	573.13473	1
92641	573.13474	1
92660	573.13475	0
92680	573.13476	1
92699	573.13477	0
92719	573.13478	0
92739	573.13479	0
92759	573.13480	0
92779	573.13481	1
92799	573.13482	1
92819	573.13483	1
92839	573.13484	0
92878	573.13486	0
92898	573.13487	0
92918	573.13488	0
92937	573.13489	0
92957	573.13490	0
92977	573.13491	0
93015	573.13493	1
93035	573.13494	0
93054	573.13495	1
93074	573.13496	1
93093	573.13497	1
93131	573.13499	1
93151	573.13500	0
93190	573.13502	0
93210	573.13503	0
93229	573.13504	0
93269	573.13506	0
93288	573.13507	0
93307	573.13508	0
93326	573.13509	0
93345	573.13510	0
93364	573.13511	0
93384	573.13512	1
93403	573.13513	1
93422	573.13514	0
93441	573.13515	1
93460	573.13516	0
93480	573.13517	1
93499	573.13518	0
93519	573.13519	1
93538	573.13520	1
93558	573.13521	0
93577	573.13522	1
93616	573.13524	0
93635	573.13525	0
93674	573.13527	1
93694	573.13528	0
93713	573.13529	0
93733	573.13530	1
93771	573.13532	1
93791	573.13533	1
93810	573.13534	0
93830	573.13535	0
93849	573.13537	1
93869	573.13538	1
93888	573.13539	1
93908	573.13540	1
93927	573.13541	0
93947	573.13542	1
93967	573.13543	0
93986	573.13544	1
94005	573.13545	1
94025	573.13546	0
94044	573.13547	0
94064	573.13548	1
94084	573.13549	1
94103	573.13550	0
94123	573.13551	0
94143	573.13552	1
94183	573.13554	1
94203	573.13555	1
94223	573.13556	1
94242	573.13557	1
94262	573.13558	1
94281	573.13559	0
94300	573.13560	1
94320	573.13561	1
94339	573.13562	1
94359	573.13563	0
94378	573.13564	1
94398	573.13565	0
94438	573.13567	1
94457	573.13568	1
94476	573.13569	1
94496	573.13570	0
94536	573.13572	1
94555	573.13573	0
94575	573.13574	1
94594	573.13575	1
94614	573.13576	0
94633	573.13577	0
94653	573.13578	0
94672	573.13579	1
94692	573.13580	0
94712	573.13581	1
94732	573.13582	1
94771	573.13584	1
94791	573.13585	0
94810	573.13586	1
94829	573.13587	0
94848	573.13588	1
94867	573.13589	1
94885	573.13590	1
94905	573.13591	0
94964	573.13594	1
94984	573.13595	0
95003	573.13596	0
95061	573.13599	1
95080	573.13600	0
95099	573.13601	0
95118	573.13602	0
95137	573.13603	0
95156	573.13604	1
95194	573.13606	0
95213	573.13607	0
95252	573.13609	1
95272	573.13610	1
95291	573.13611	1
95311	573.13612	0
95331	573.13613	1
95350	573.13614	0
95369	573.13615	1
95389	573.13616	0
95409	573.13617	0
95429	573.13618	0
95448	573.13619	0
95468	573.13620	1
95488	573.13621	1
95564	573.13625	0
95584	573.13626	0
95603	573.13627	0
95622	573.13628	0
95642	573.13629	0
95661	573.13630	0
95680	573.13631	0
95699	573.13632	0
95718	573.13633	1
95738	573.13634	0
95777	573.13636	0
95796	573.13637	0
95816	573.13638	1
95834	573.13639	0
95853	573.13640	1
95873	573.13641	0
95893	573.13642	0
95950	573.13645	0
95970	573.13646	0
95990	573.13647	0
96010	573.13648	0
96050	573.13650	1
96068	573.13651	0
96106	573.13653	0
96165	573.13656	0
96183	573.13657	0
96222	573.13659	0
