	genome_id	resistant_phenotype
79832	1304917.4	1
81811	1304920.3	1
82293	1304924.3	1
82857	1328382.3	0
82883	1328383.3	1
82897	1328384.3	0
82913	1328385.3	0
82929	1328386.3	1
82939	1328387.3	1
83065	1438717.3	1
83145	1438723.3	1
83161	1438724.3	1
83209	1438727.3	0
83257	1438730.3	1
83273	1438731.3	1
83339	1438735.3	1
83373	1438737.3	1
83489	1438744.3	1
83523	1438746.3	1
83574	1438749.3	1
83591	1438750.3	1
83642	1438753.3	1
83659	1438754.3	0
83675	1438755.3	1
83692	1438756.3	1
83708	1438757.3	1
83757	1438760.3	1
83789	1438762.3	1
83823	1438764.3	1
83840	1438765.3	1
83857	1438766.3	1
83874	1438767.3	1
83908	1438769.3	1
83942	1438771.3	1
83959	1438772.3	1
83976	1438773.3	1
84025	1438776.3	1
84076	1438779.3	1
84148	1284797.4	0
84254	573.13031	0
84272	573.13032	0
84292	573.13033	1
84330	573.13035	1
84350	573.13036	0
84369	573.13037	1
84389	573.13038	0
84409	573.13039	1
84448	573.13041	1
84467	573.13042	1
84486	573.13043	0
84506	573.13044	1
84525	573.13045	1
84544	573.13046	0
84563	573.13047	0
84583	573.13048	1
84621	573.13050	0
84700	573.13054	1
84720	573.13055	1
84740	573.13056	1
84760	573.13057	0
84799	573.13059	1
84819	573.13060	0
84839	573.13061	1
84859	573.13062	1
84878	573.13063	1
84898	573.13064	1
84937	573.13066	1
84957	573.13067	1
84977	573.13068	1
84996	573.13069	1
85016	573.13070	1
85075	573.13073	1
85094	573.13074	0
85114	573.13075	1
85133	573.13076	1
85152	573.13077	1
85172	573.13079	1
85191	573.13080	0
85210	573.13081	0
85230	573.13082	1
85249	573.13083	1
85269	573.13084	1
85289	573.13085	1
85309	573.13086	1
85328	573.13087	1
85406	573.13091	0
85445	573.13093	1
85465	573.13094	1
85484	573.13095	1
85504	573.13096	1
85524	573.13097	1
85544	573.13098	1
85564	573.13099	1
85583	573.13100	0
85603	573.13101	1
85622	573.13102	0
85641	573.13103	0
85661	573.13104	0
85681	573.13105	1
85700	573.13106	1
85719	573.13107	1
85759	573.13109	1
85778	573.13110	1
85797	573.13111	1
85816	573.13112	1
85836	573.13113	1
85855	573.13114	1
85875	573.13115	0
85895	573.13116	1
85914	573.13117	1
85933	573.13118	0
85953	573.13119	1
85973	573.13120	1
85993	573.13121	1
86032	573.13123	0
86051	573.13124	1
86070	573.13125	1
86090	573.13126	1
86109	573.13127	1
86128	573.13128	1
86148	573.13129	0
86168	573.13130	0
86187	573.13131	1
86246	573.13134	0
86266	573.13135	1
86286	573.13136	1
86306	573.13137	0
86325	573.13138	1
86345	573.13139	1
86364	573.13140	1
86384	573.13141	0
86423	573.13143	1
86443	573.13144	1
86463	573.13145	1
86502	573.13147	1
86522	573.13148	1
