	genome_id	resistant_phenotype
234052	28901.13275	1
234066	28901.13325	1
234080	28901.13333	1
234094	28901.13339	1
234108	28901.13347	1
234122	28901.13364	1
234136	28901.13303	1
234150	28901.13372	1
234164	28901.13387	1
234178	28901.13394	1
234192	28901.13276	1
234206	28901.13283	1
234220	28901.13298	1
234234	28901.13278	1
234248	28901.13297	1
234262	28901.13304	1
234276	28901.13310	1
234290	28901.13279	1
234304	28901.13287	1
234318	28901.13309	1
234346	28901.13330	1
234374	28901.13343	1
234472	28901.13318	1
234528	28901.13314	1
234542	28901.13327	1
234556	28901.13382	1
234570	28901.13317	1
234584	28901.13324	1
234598	28901.13381	1
234629	28901.13389	0
234643	28901.13388	1
234657	28901.13371	0
234671	28901.13406	0
234685	28901.13392	0
234699	28901.13367	0
234713	28901.13396	0
234734	28901.13332	1
234884	28901.13405	1
234898	28901.13338	1
234912	28901.13341	1
234926	28901.13342	1
234940	28901.13350	1
234954	28901.13351	1
234968	28901.13410	0
234982	28901.13348	1
235010	28901.13349	1
235024	28901.13280	1
235038	28901.13284	1
235052	28901.13344	1
235066	28901.13345	1
235080	28901.13365	1
235094	28901.13292	1
235108	28901.13307	1
235122	28901.13291	1
235136	28901.13352	1
235150	28901.13293	1
235164	28901.13355	1
235178	28901.13290	1
235192	28901.13346	1
235233	28901.13354	1
235247	28901.13357	1
235317	28901.13358	1
235499	28901.8200	1
235513	28901.8201	0
235527	28901.8202	0
235555	28901.8204	1
235569	28901.8205	1
235583	28901.8206	1
235611	28901.8208	0
235625	28901.8209	0
235639	28901.8210	0
235653	28901.8211	1
235667	28901.8212	0
235681	28901.8213	0
235695	28901.8214	0
235709	28901.8215	0
235723	28901.8216	1
235737	28901.8217	0
235751	28901.8218	1
235765	28901.8219	0
235779	28901.8220	1
235793	28901.8221	0
235835	28901.8224	1
235849	28901.8225	1
235863	28901.8226	1
235877	28901.8227	1
235891	28901.8228	1
235905	28901.8229	0
235919	28901.8230	1
235933	28901.8231	0
235947	28901.8232	0
235975	28901.8234	1
235989	28901.8235	1
236003	28901.8236	1
236017	28901.8237	0
236031	28901.8238	1
236059	28901.8240	1
236073	28901.8241	0
236087	28901.8242	1
236101	28901.8243	1
236115	28901.8244	1
236129	28901.8245	1
236143	28901.8246	0
236157	28901.8247	1
236171	28901.8248	0
236185	28901.8249	0
236213	28901.8251	1
236227	28901.8252	0
236241	28901.8253	1
236255	28901.8254	1
236269	28901.8255	1
236283	28901.8256	1
236297	28901.8257	1
236311	28901.8258	1
236325	28901.8259	0
236339	28901.8260	0
236353	28901.8261	0
236367	28901.8262	0
236381	28901.8263	1
236395	28901.8264	0
236409	28901.8265	0
236423	28901.8266	0
236437	28901.8267	1
236451	28901.8268	1
236465	28901.8269	1
236479	28901.8270	1
236493	28901.8271	0
236507	28901.8272	1
236521	28901.8273	1
236535	28901.8274	1
236549	28901.8275	1
236563	28901.8276	1
236591	28901.8278	0
236605	28901.8279	0
236633	28901.8281	1
236647	28901.8282	0
236661	28901.8283	0
236675	28901.8284	0
236689	28901.8285	1
236703	28901.8286	1
236731	28901.8288	1
236745	28901.8289	0
236759	28901.8290	1
236773	28901.8291	0
236787	28901.8292	0
236801	28901.8293	0
236815	28901.8294	0
236829	28901.8295	1
236843	28901.8296	1
236857	28901.8297	0
236871	28901.8298	1
236885	28901.8299	1
236899	28901.8300	1
236913	28901.8301	1
236927	28901.8302	1
236941	28901.8303	0
236955	28901.8304	0
236969	28901.8305	0
236983	28901.8306	1
237011	28901.8308	1
237039	28901.8310	0
237053	28901.8311	1
237067	28901.8312	1
237081	28901.8313	0
237095	28901.8314	0
237123	28901.8316	0
237137	28901.8317	0
237179	28901.8320	0
237193	28901.8321	0
237207	28901.8322	1
237221	28901.8323	0
237235	28901.8324	1
237249	28901.8325	0
237263	28901.8326	0
237277	28901.8327	0
237291	28901.8328	1
237305	28901.8329	1
237319	28901.8330	1
237347	28901.8332	1
237361	28901.8333	1
237375	28901.8334	1
237389	28901.8335	1
237403	28901.8336	0
237417	28901.8337	0
237431	28901.8338	1
237445	28901.8339	0
237459	28901.8340	0
237473	28901.8341	0
237487	28901.8342	0
237501	28901.8343	0
237515	28901.8344	0
237557	28901.8347	0
237571	28901.8348	1
237585	28901.8349	0
237599	28901.8350	0
237613	28901.8351	0
237627	28901.8352	1
237641	28901.8353	1
237655	28901.8354	1
237669	28901.8355	1
237683	28901.8356	1
237711	28901.8358	1
237725	28901.8359	0
237739	28901.8360	1
237753	28901.8361	1
237767	28901.8362	1
237781	28901.8363	1
237795	28901.8364	1
237809	28901.8365	0
237837	28901.8367	1
237851	28901.8368	1
237865	28901.8369	1
237879	28901.8370	0
237893	28901.8371	1
237907	28901.8372	1
237921	28901.8373	0
237935	28901.8374	0
237949	28901.8375	0
237963	28901.8376	0
237977	28901.8378	0
237991	28901.8377	0
238005	28901.8379	0
238045	28901.8381	0
238059	28901.8382	0
238073	28901.8383	0
238087	28901.8384	0
238101	28901.8385	1
238115	28901.8386	1
238129	28901.8387	1
238157	28901.8389	0
238171	28901.8390	0
238213	28901.8393	1
238227	28901.8394	0
238241	28901.8395	1
238255	28901.8396	1
238269	28901.8397	1
238283	28901.8398	1
238297	28901.8399	0
238323	28901.8400	1
238337	28901.8401	1
238351	28901.8402	1
238365	28901.8403	0
238379	28901.8404	1
238393	28901.8405	1
238407	28901.8406	0
238421	28901.8407	0
238435	28901.8408	1
238449	28901.8409	0
238463	28901.8410	0
238477	28901.8411	1
238505	28901.8413	1
238533	28901.8415	0
238547	28901.8416	1
238561	28901.8417	1
238603	28901.8420	1
238617	28901.8421	0
238631	28901.8422	1
238645	28901.8423	1
238659	28901.8424	1
238673	28901.8425	1
238701	28901.8427	1
238715	28901.8428	1
238761	28901.13362	1
238775	28901.13411	1
238789	28901.3870	0
238803	28901.13397	1
238819	28901.13356	1
238850	28901.13399	1
238864	28901.13400	0
238878	28901.13320	1
238906	28901.13402	0
238920	28901.13379	0
238934	28901.13315	1
238948	28901.13378	0
238962	28901.13377	0
238976	28901.13277	0
238990	28901.13376	1
239004	28901.13374	1
239018	28901.13373	1
239049	28901.13383	0
239063	28901.13366	1
239094	28901.13288	1
239109	28901.13391	1
239123	28901.13390	1
239137	28901.13403	1
239151	28901.13408	1
239319	28901.13281	1
239333	28901.13311	1
239794	28901.1897	1
239866	28901.1851	1
240010	28901.1874	0
240046	28901.1873	1
240237	28901.793	0
240251	28901.794	1
240293	28901.761	1
240321	28901.797	1
240335	28901.798	0
240349	28901.799	0
240377	28901.763	0
240391	28901.801	0
240405	28901.802	0
240419	28901.760	0
240433	28901.764	0
240447	28901.803	0
240461	28901.765	1
240489	28901.805	1
240517	28901.806	1
240545	28901.766	1
240573	28901.809	0
240629	28901.813	1
240671	28901.815	0
240685	28901.769	1
240699	28901.816	1
240741	28901.818	1
240755	28901.819	1
240769	28901.771	0
240783	28901.820	1
240797	28901.772	0
240811	28901.773	0
240839	28901.774	0
240853	28901.775	1
240867	28901.822	1
240895	28901.776	0
240909	28901.824	1
240923	28901.825	1
240951	28901.826	0
240965	28901.827	1
240979	28901.828	0
240993	28901.829	0
241007	28901.830	0
241035	28901.859	0
241049	28901.831	0
241077	28901.832	0
241091	28901.779	0
241119	28901.833	0
241133	28901.780	1
241147	28901.834	0
241161	28901.835	1
241189	28901.855	1
241203	28901.862	0
241217	28901.837	0
241245	28901.861	1
241259	28901.782	1
241287	28901.839	1
241385	28901.842	1
241441	28901.844	1
241455	28901.845	1
241469	28901.846	0
241497	28901.847	1
241511	28901.849	0
241595	28901.850	1
241609	28901.851	1
241623	28901.863	0
241651	28901.852	1
241665	28901.853	1
241679	28901.854	1
241694	28901.8436	0
241739	28901.8439	0
241754	28901.8440	0
241769	28901.8441	0
241799	28901.8443	0
241844	28901.8446	1
241919	28901.8451	0
241934	28901.8452	1
241949	28901.8453	1
241978	28901.8455	1
241993	28901.8456	0
242008	28901.8457	0
242022	28901.8458	0
242067	28901.8461	1
242097	28901.8463	1
242127	28901.8465	1
242142	28901.8466	1
242187	28901.8469	1
242202	28901.8470	1
242217	28901.8471	1
242262	28901.8474	1
242292	28901.8476	0
242322	28901.8478	0
242351	28901.8480	1
242366	28901.8481	0
242381	28901.8482	0
242426	28901.8485	1
242441	28901.8486	1
242456	28901.8487	1
242471	28901.8488	1
242486	28901.8489	0
242501	28901.8490	1
242515	28901.8491	0
242530	28901.8493	0
242545	28901.8492	1
242560	28901.8494	1
242575	28901.8495	1
242589	28901.8496	0
242604	28901.8497	0
242619	28901.8498	0
242634	28901.8499	1
242649	28901.8500	1
242664	28901.8501	1
242679	28901.8502	0
242694	28901.8503	0
242709	28901.8504	1
242754	28901.8507	1
242769	28901.8508	1
242799	28901.8510	1
242814	28901.8511	0
242829	28901.8512	0
242859	28901.8514	1
242874	28901.8515	0
242889	28901.8516	0
242918	28901.8518	0
242933	28901.8519	1
242948	28901.8520	1
242978	28901.8522	1
242993	28901.8523	1
243008	28901.8524	0
243023	28901.8525	0
243112	28901.8531	0
243127	28901.8532	1
243141	28901.8533	1
243156	28901.8534	1
243186	28901.8536	0
243201	28901.8537	1
243231	28901.8539	1
243246	28901.8540	1
243275	28901.8542	1
243289	28901.8543	1
243304	28901.8544	1
243333	28901.8546	1
243467	28901.8555	1
243481	28901.8556	1
243496	28901.8557	0
243511	28901.8558	1
243526	28901.8559	1
243541	28901.8560	1
243555	28901.8561	1
243569	28901.8562	0
243584	28901.8563	0
243599	28901.8564	1
243614	28901.8565	0
243629	28901.8566	0
243644	28901.8567	0
243659	28901.8568	1
243733	28901.8573	1
243748	28901.8574	0
243777	28901.8576	1
243807	28901.8578	0
243852	28901.8581	0
243867	28901.8582	1
243896	28901.8584	0
243911	28901.8585	1
243926	28901.8586	1
243955	28901.8588	1
243970	28901.8589	1
244000	28901.8591	1
244045	28901.8594	1
244060	28901.8595	1
244075	28901.8596	1
244090	28901.8597	1
244120	28901.8599	0
244150	28901.8601	0
244179	28901.8603	0
244284	28901.8610	0
244299	28901.8611	1
244329	28901.8613	0
244344	28901.8614	0
244359	28901.8615	0
244374	28901.8616	0
244389	28901.8617	1
244403	28901.8618	1
244417	28901.8619	1
244432	28901.8620	1
244522	28901.8626	1
244597	28901.8631	0
244612	28901.8632	0
244627	28901.8633	0
244642	28901.8634	0
244702	28901.8638	1
244717	28901.8639	0
244732	28901.8640	0
244762	28901.8642	0
244792	28901.8644	1
244807	28901.8645	1
244837	28901.8647	0
244882	28901.8650	0
244912	28901.8652	0
244927	28901.8653	1
244957	28901.8655	0
244972	28901.8656	0
244987	28901.8657	1
245017	28901.8659	0
245032	28901.8660	0
245047	28901.8661	0
245061	28901.8662	0
245075	28901.8664	1
245090	28901.8663	0
245120	28901.8666	1
245135	28901.8667	0
245165	28901.8669	1
245180	28901.8671	1
245195	28901.8670	1
245225	28901.8673	1
245240	28901.8674	1
245255	28901.8675	1
245270	28901.8676	1
245285	28901.8677	1
245315	28901.8679	1
245330	28901.8680	1
245374	28901.8683	1
245389	28901.8684	1
245419	28901.8686	0
245434	28901.8687	1
245464	28901.8689	0
245479	28901.8690	0
245494	28901.8691	1
245524	28901.8693	0
245539	28901.8694	1
245554	28901.8695	1
245569	28901.8696	1
245584	28901.8697	1
245599	28901.8698	1
245629	28901.8700	0
245644	28901.8701	0
245659	28901.8702	0
245674	28901.8703	1
245704	28901.8705	0
245719	28901.8706	0
245779	28901.8710	1
245839	28901.8714	0
245854	28901.8715	1
245884	28901.8717	1
245944	28901.8721	1
245959	28901.8722	1
245974	28901.8723	0
245989	28901.8724	1
246004	28901.8725	0
246019	28901.8726	0
246049	28901.8727	0
246079	28901.8730	0
246094	28901.8731	0
246109	28901.8732	0
246124	28901.8733	0
246139	28901.8734	0
246154	28901.8735	0
246229	28901.8740	0
246304	28901.8745	0
246349	28901.8748	1
246424	28901.8753	0
246454	28901.8755	0
246484	28901.8757	1
246544	28901.8761	1
246559	28901.8762	1
246619	28901.8766	1
246664	28901.8769	0
246694	28901.8771	0
246709	28901.8772	0
246754	28901.8775	0
246769	28901.8776	1
246784	28901.8777	0
246814	28901.8779	0
246919	28901.8786	1
246934	28901.8787	0
246993	28901.8790	1
247008	28901.8791	1
247023	28901.8792	0
247068	28901.8795	0
247113	28901.8798	1
247128	28901.8799	1
247143	28901.8800	1
247158	28901.8801	0
247173	28901.8802	0
247203	28901.8804	0
247218	28901.8805	0
247248	28901.8807	0
247263	28901.8808	0
247293	28901.8810	0
247308	28901.8811	0
247323	28901.8812	1
247338	28901.8813	0
247383	28901.8816	1
247473	28901.8822	1
247518	28901.8825	1
247548	28901.8827	1
247562	28901.8828	0
247577	28901.8829	1
247592	28901.8830	0
247607	28901.8831	0
247622	28901.8832	1
247637	28901.8833	1
247652	28901.8834	0
