	genome_id	resistant_phenotype
290003	1280.9188	1
290015	1280.9190	1
290021	1280.9191	1
290033	1280.9193	1
290039	1280.9194	1
290045	1280.9195	1
290051	1280.9196	1
290063	1280.9198	1
290099	1280.9201	1
290111	1280.9203	1
290129	1280.9205	1
290147	1280.9208	1
290159	1280.9210	1
290177	1280.9213	1
290183	1280.9214	1
290189	1280.9215	1
290201	1280.9217	1
290213	1280.9219	1
290219	1280.9220	1
290255	1280.9227	1
290261	1280.9226	1
290267	1280.9228	1
290273	1280.9229	1
290279	1280.9230	1
290285	1280.9231	1
290303	1280.9234	1
290309	1280.9235	1
290315	1280.9236	1
290369	1280.9245	1
290406	1280.9249	1
290412	1280.9250	1
290424	1280.9252	1
290431	1280.9253	1
290443	1280.9254	1
290501	1280.9263	1
290531	1280.9264	1
290558	1280.9265	1
290570	1280.7355	1
290576	1280.9267	1
290588	1280.9268	1
290620	1280.9273	1
290626	1280.9274	1
290642	1280.9276	1
290678	1280.9277	1
290733	1280.9283	1
290739	1280.9284	1
290756	1280.9287	1
290762	1280.9286	1
290768	1280.9288	1
290774	1280.9289	1
290792	1280.9292	1
290804	1280.9294	1
290828	1280.9296	1
290834	1280.9297	1
290840	1280.9298	1
290846	1280.9299	1
290919	1280.8699	1
290930	1280.8698	1
290941	1280.8701	1
290952	1280.8700	1
290963	1280.8697	1
290974	1280.9408	1
290985	1280.9409	1
291007	1280.9411	1
291018	1280.7377	1
291029	1280.7408	1
291040	1280.9412	1
291051	1280.7411	1
291062	1280.7413	1
291073	1280.8718	1
291084	1280.8736	1
291095	1280.8735	1
291106	1280.8738	1
291117	1280.8737	1
291128	1280.9413	1
291139	1280.8739	1
291150	1280.8379	1
291161	1280.9414	1
291172	1280.8456	1
291183	1280.8457	1
291194	1280.9415	1
291205	1280.9416	1
291216	1280.9417	1
291227	1280.8389	1
291238	1280.8388	1
291249	1280.9418	1
291260	1280.9419	1
291271	1280.8385	1
291282	1280.8392	1
291293	1280.9420	1
291304	1280.8569	1
291315	1280.8568	1
291326	1280.8566	1
291337	1280.8567	1
291348	1280.8564	1
291359	1280.8565	1
291370	1280.8521	1
291381	1280.8520	1
291392	1280.8522	1
291403	1280.8519	1
291414	1280.8518	1
291425	1280.8517	1
291436	1280.9421	1
291447	1280.9422	1
291458	1280.9423	1
291469	1280.8733	1
291480	1280.9424	1
291502	1280.8790	0
291513	1280.8791	0
291524	1280.9425	0
291535	1280.9427	0
291546	1280.9426	0
291568	1280.8785	0
291579	1280.8795	0
291590	1280.9429	0
291623	1280.8799	0
291634	1280.8800	0
291645	1280.8801	0
291656	1280.9430	0
291667	1280.8803	0
291678	1280.8777	1
291689	1280.9431	0
291700	1280.8805	0
291711	1280.9432	0
291722	1280.8807	0
291733	1280.9433	0
291744	1280.9434	0
291766	1280.9436	0
291777	1280.8812	0
291788	1280.8813	0
291799	1280.8814	0
291810	1280.9437	1
291821	1280.7908	0
291832	1280.8816	0
291843	1280.9438	0
291854	1280.9439	1
291865	1280.7912	0
291876	1280.7913	0
291887	1280.7914	0
291898	1280.7915	0
291920	1280.9440	1
291931	1280.7917	0
291942	1280.9441	0
291953	1280.9442	0
291964	1280.7920	0
291975	1280.9443	0
291986	1280.7922	1
291997	1280.7923	0
292008	1280.8773	0
292041	1280.9445	0
292052	1280.9446	0
292063	1280.7928	0
292074	1280.7929	0
292096	1280.9447	0
292107	1280.9448	0
292118	1280.7933	0
292129	1280.9449	0
292140	1280.7935	0
292151	1280.9692	0
292162	1280.7937	1
292173	1280.7938	1
292184	1280.7939	0
292195	1280.9451	0
292228	1280.9452	0
292239	1280.7944	0
292250	1280.9453	0
292272	1280.7946	0
292294	1280.7948	0
292305	1280.7949	0
292316	1280.7950	0
292327	1280.7951	0
292338	1280.9693	0
292349	1280.7953	0
292360	1280.9456	0
292371	1280.9457	0
292382	1280.9458	0
292393	1280.7957	0
292404	1280.9691	0
292415	1280.7959	0
292426	1280.8774	1
292437	1280.7960	0
292448	1280.7961	0
292459	1280.7962	0
292470	1280.9690	0
292481	1280.7964	0
292492	1280.7965	0
292503	1280.7966	0
292514	1280.9462	0
292525	1280.7968	0
292536	1280.7969	0
292547	1280.7970	0
292558	1280.9689	0
292569	1280.9694	0
292580	1280.7973	0
292591	1280.8786	0
292602	1280.9464	0
292613	1280.9698	0
292624	1280.9466	0
292635	1280.7977	0
292646	1280.9467	0
292657	1280.7980	0
292668	1280.7979	0
292679	1280.9700	0
292690	1280.9696	0
292701	1280.7983	0
292712	1280.9470	0
292723	1280.7985	1
292734	1280.7986	0
292745	1280.7987	0
292756	1280.9471	0
292767	1280.9699	0
292778	1280.7990	0
292789	1280.7991	0
292800	1280.7992	0
292811	1280.9473	0
292822	1280.7996	0
292833	1280.7994	0
292844	1280.9701	0
292855	1280.9475	0
292866	1280.7998	0
292877	1280.8779	0
292888	1280.9702	0
292899	1280.9695	0
292910	1280.8001	0
292921	1280.9697	1
292932	1280.9706	1
292943	1280.8004	1
292954	1280.9705	1
292965	1280.8819	1
292976	1280.9708	1
292987	1280.9482	1
292998	1280.8008	1
293009	1280.9707	1
293020	1280.9711	1
293042	1280.9703	1
293053	1280.9487	1
293064	1280.9709	1
293075	1280.9710	1
293086	1280.8825	1
293097	1280.8018	1
293108	1280.8827	1
293119	1280.9715	1
293130	1280.9712	1
293141	1280.8829	1
293152	1280.8830	1
293163	1280.8831	0
293174	1280.8832	0
293185	1280.9492	0
293196	1280.8833	0
293207	1280.9714	0
293218	1280.8835	0
293262	1280.8837	0
293273	1280.9718	0
293284	1280.8032	0
293295	1280.9495	0
293306	1280.8034	0
293317	1280.9496	0
293328	1280.9713	0
293339	1280.8037	0
293350	1280.9717	0
293361	1280.9716	0
293372	1280.8039	0
293383	1280.8040	0
293394	1280.9720	0
293405	1280.8042	0
293427	1280.8044	0
293438	1280.9719	0
293449	1280.8046	0
293460	1280.8047	0
293471	1280.9721	0
293482	1280.9723	0
293493	1280.9722	0
293504	1280.8051	0
293515	1280.8052	0
293526	1280.8772	0
293537	1280.8053	0
293548	1280.8054	0
293559	1280.8055	0
293570	1280.8056	1
293581	1280.9724	1
293592	1280.9725	1
293614	1280.8060	0
293625	1280.8633	1
293636	1280.8634	1
293647	1280.9726	1
293658	1280.9727	0
293669	1280.8635	1
293680	1280.9728	1
293691	1280.9734	1
293702	1280.9733	1
293712	1280.9729	1
293723	1280.9730	0
293734	1280.8511	1
293745	1280.8513	1
293756	1280.8509	1
293767	1280.8508	1
293778	1280.8510	1
293789	1280.9732	1
293800	1280.8722	0
293811	1280.9731	1
293822	1280.8724	1
293833	1280.8726	0
293855	1280.8727	0
293866	1280.8721	0
293888	1280.7407	0
293899	1280.7404	0
293910	1280.7405	0
293921	1280.9738	0
293943	1280.8063	0
293954	1280.9736	0
293965	1280.9739	1
293976	1280.8066	1
293987	1280.8067	0
293998	1280.9740	1
294009	1280.8734	0
294020	1280.8647	0
294031	1280.8646	0
294042	1280.8648	0
294053	1280.9741	0
294064	1280.8649	0
294075	1280.8645	0
294086	1280.8383	0
294097	1280.8384	0
294108	1280.8545	0
294118	1280.8544	0
294128	1280.8543	0
294138	1280.8542	1
294148	1280.8541	0
294158	1280.8540	0
294168	1280.8490	0
294188	1280.9742	0
294198	1280.9743	0
294208	1280.9744	1
294218	1280.9745	0
294228	1280.9746	1
294238	1280.9747	0
294248	1280.9748	0
294258	1280.9749	1
294278	1280.9751	0
294288	1280.9752	1
294298	1280.9753	1
294308	1280.9535	0
294318	1280.9754	0
294328	1280.9755	0
294338	1280.9756	0
294348	1280.8463	0
294358	1280.8462	1
294368	1280.8465	0
294378	1280.8464	0
294388	1280.8460	0
294408	1280.8459	0
294418	1280.8458	0
294428	1280.8655	0
294438	1280.8656	0
294458	1280.9757	0
294468	1280.9758	1
294478	1280.9759	0
294488	1280.9760	1
294498	1280.8658	0
294508	1280.8659	0
294518	1280.8574	1
294528	1280.9761	0
294538	1280.8572	1
294548	1280.8571	1
294568	1280.9763	0
294578	1280.9764	0
294588	1280.8575	1
294598	1280.9765	0
294618	1280.8754	0
294628	1280.9767	0
294638	1280.9768	1
294658	1280.9769	0
294668	1280.9770	0
294678	1280.8681	0
294688	1280.8586	0
294698	1280.8691	1
294708	1280.8672	0
294718	1280.8670	1
294748	1280.9771	1
294758	1280.8675	1
294768	1280.9772	0
294778	1280.9773	0
294788	1280.9775	0
294798	1280.8396	0
294808	1280.9774	0
294818	1280.9776	0
294828	1280.9777	0
294858	1280.9779	0
294868	1280.9780	0
294878	1280.8393	1
294888	1280.9781	0
294898	1280.9782	0
294908	1280.9783	0
294918	1280.7422	0
294928	1280.7424	1
294938	1280.9784	1
294948	1280.9785	0
294958	1280.9786	0
294968	1280.9787	0
294978	1280.9788	0
294988	1280.9789	0
294998	1280.8473	0
295008	1280.8471	1
295018	1280.9791	1
295028	1280.9790	0
295038	1280.8469	0
295048	1280.8466	0
295058	1280.8467	1
295068	1280.9792	0
295078	1280.9793	1
295088	1280.8423	0
295098	1280.8563	1
295108	1280.9794	0
295118	1280.8424	1
295128	1280.9795	0
295138	1280.8419	0
295148	1280.9796	0
295168	1280.8570	0
295178	1280.9797	0
295188	1280.7383	0
295198	1280.9798	1
295208	1280.9799	0
295218	1280.9800	0
295228	1280.9801	0
295248	1280.7384	0
295258	1280.9803	1
295268	1280.7392	0
295278	1280.8361	0
295288	1280.9804	0
295298	1280.8354	0
295308	1280.8352	0
295318	1280.9805	0
295328	1280.9806	0
295338	1280.9807	0
295348	1280.9808	1
295368	1280.8434	0
295378	1280.8433	1
295388	1280.8432	0
295398	1280.8431	1
295408	1280.9809	0
295418	1280.8437	0
295428	1280.8436	0
295438	1280.8435	0
295448	1280.8430	0
295458	1280.9810	0
295468	1280.8483	0
295478	1280.8484	0
295488	1280.8485	0
295498	1280.9811	1
295508	1280.9812	0
295518	1280.8482	0
295528	1280.9813	0
295538	1280.9814	0
295558	1280.9815	0
295568	1280.9817	1
295588	1280.8587	0
295598	1280.9819	0
295608	1280.8589	0
295618	1280.8588	1
295638	1280.8499	0
295648	1280.9821	1
295658	1280.9822	0
295678	1280.8590	0
295688	1280.9824	0
295698	1280.8534	0
295708	1280.9825	0
295718	1280.9826	0
295728	1280.9827	0
295738	1280.8551	0
295748	1280.8619	0
295758	1280.8618	0
295768	1280.8617	0
295778	1280.8616	0
295788	1280.8615	0
295798	1280.8614	0
295808	1280.8613	0
295818	1280.8612	0
295828	1280.9828	1
295838	1280.9829	1
295858	1280.9831	1
295868	1280.9832	1
295878	1280.9833	0
295888	1280.9834	0
295898	1280.8378	0
295908	1280.9835	0
295918	1280.8512	0
295938	1280.7436	0
295948	1280.7435	0
295958	1280.7438	0
295968	1280.9836	0
295978	1280.7432	1
295988	1280.9837	0
295998	1280.9838	0
296008	1280.7433	0
296018	1280.9839	0
296028	1280.7429	1
296038	1280.9840	0
296048	1280.8418	0
296058	1280.9841	0
296068	1280.9842	0
296078	1280.8415	0
296098	1280.8411	0
296108	1280.8412	0
296118	1280.7419	1
296128	1280.7420	0
296148	1280.7415	0
296158	1280.7416	0
296168	1280.9844	0
296178	1280.9845	0
296188	1280.9846	0
296198	1280.7414	0
296208	1280.8596	0
296228	1280.8405	0
296238	1280.8593	0
296248	1280.8600	0
296258	1280.8599	1
296268	1280.9847	0
296278	1280.8598	0
296288	1280.8591	0
296298	1280.8592	0
296308	1280.8539	1
296318	1280.8493	0
296328	1280.8537	0
296338	1280.8538	1
296348	1280.8535	0
296358	1280.8536	0
296368	1280.9848	0
296378	1280.8547	0
296388	1280.9849	1
296398	1280.8491	0
296408	1280.8492	1
296428	1280.8486	0
296438	1280.8489	0
296458	1280.8495	0
296468	1280.8494	1
296498	1280.8441	1
296508	1280.9850	0
296518	1280.8443	0
296528	1280.9851	0
296538	1280.9852	0
296548	1280.8445	0
296558	1280.9853	0
296568	1280.9854	0
296588	1280.8359	0
296598	1280.8360	0
296608	1280.9855	1
296618	1280.9856	0
296628	1280.8353	0
296638	1280.7456	1
296658	1280.9858	0
296668	1280.9859	1
296678	1280.7391	0
296688	1280.9860	0
296698	1280.9861	0
296708	1280.9862	0
296718	1280.9863	0
296728	1280.7406	0
296738	1280.9864	0
296748	1280.7402	0
296758	1280.7403	0
296768	1280.9865	0
296778	1280.9866	1
296788	1280.8382	0
296798	1280.8381	0
296808	1280.8709	0
296818	1280.8707	0
296828	1280.9867	0
296838	1280.9869	1
296848	1280.9868	0
296858	1280.8747	1
296868	1280.8748	1
296878	1280.9871	0
296888	1280.8742	0
296908	1280.9570	0
296918	1280.9870	0
296928	1280.8750	0
296938	1280.8751	0
296948	1280.9872	0
296958	1280.8663	0
296968	1280.9873	0
296978	1280.9874	1
296988	1280.8668	0
296998	1280.9875	0
297018	1280.9876	0
297028	1280.8671	0
297048	1280.8623	0
297058	1280.8622	0
297068	1280.9878	0
297078	1280.8627	0
297088	1280.8626	1
297108	1280.8624	1
297118	1280.9879	0
297128	1280.9880	0
297138	1280.9881	1
297148	1280.8713	1
297158	1280.9882	0
297168	1280.9884	1
297178	1280.8708	1
297188	1280.8710	0
297198	1280.8711	0
297208	1280.8716	0
297218	1280.9883	0
297228	1280.9885	0
297248	1280.9887	1
297258	1280.9888	0
297268	1280.9889	0
297289	1280.8760	0
297322	1280.8761	0
297333	1280.8764	1
297344	1280.8763	1
297355	1280.9891	0
297366	1280.8766	0
297377	1280.9892	0
297388	1280.7441	0
297399	1280.7439	0
297410	1280.7440	0
297421	1280.7445	1
297432	1280.7446	0
297443	1280.7443	0
297454	1280.7444	1
297465	1280.7447	0
297476	1280.9893	1
297487	1280.8407	0
297498	1280.8406	0
297520	1280.8404	1
297531	1280.8410	0
297542	1280.8409	1
297553	1280.8408	0
297564	1280.8394	1
297575	1280.9894	0
297586	1280.9895	0
297597	1280.9896	1
297608	1280.8685	0
297619	1280.8684	0
297630	1280.8686	1
297641	1280.8687	0
297652	1280.8682	1
297663	1280.8683	0
297674	1280.8370	0
297685	1280.8366	1
297696	1280.9897	0
297707	1280.9898	0
297718	1280.8369	0
297729	1280.9899	1
297740	1280.8368	1
297751	1280.8367	0
297762	1280.8363	0
297773	1280.8357	1
297784	1280.9900	0
297795	1280.9901	0
297817	1280.9902	0
297828	1280.9903	1
297839	1280.9904	1
297850	1280.8660	0
297861	1280.8644	0
297872	1280.9905	0
297883	1280.9600	0
297894	1280.9906	1
297905	1280.9907	0
297916	1280.9908	0
297927	1280.8641	0
297938	1280.8638	0
297949	1280.8447	0
297960	1280.9909	1
297993	1280.8692	1
298004	1280.8695	1
298015	1280.9911	0
298026	1280.8767	0
298037	1280.9913	1
298048	1280.8548	1
298059	1280.9914	1
298070	1280.9915	0
298092	1280.9916	0
298114	1280.9918	1
298125	1280.8449	0
298136	1280.9919	1
298147	1280.8560	0
298158	1280.9920	1
298169	1280.9921	0
298180	1280.9922	0
298191	1280.9923	0
298202	1280.9924	1
298213	1280.8516	0
298224	1280.8515	1
298235	1280.8514	1
298246	1280.8561	0
298257	1280.8562	1
298268	1280.9925	1
298278	1280.8070	1
298289	1280.9926	1
298299	1280.8072	1
298310	1280.8073	1
298320	1280.9927	0
298331	1280.8075	1
298341	1280.8076	0
298352	1280.8077	1
298362	1280.9928	0
298373	1280.9929	1
298384	1280.9930	0
298394	1280.9931	0
298405	1280.8081	0
298416	1280.9932	0
298427	1280.9933	0
298438	1280.8084	0
298449	1280.9934	0
298459	1280.9935	0
298481	1280.8088	1
298492	1280.8788	0
298514	1280.8090	1
298535	1280.9936	1
298546	1280.8093	0
298557	1280.8094	0
298567	1280.9938	0
298577	1280.8096	0
298587	1280.8097	0
298598	1280.8098	0
298609	1280.8099	0
298619	1280.8100	0
298629	1280.8101	0
298640	1280.9939	0
298651	1280.8103	0
298662	1280.9940	0
298673	1280.8105	0
298684	1280.8106	0
298695	1280.8107	0
298716	1280.8109	0
298727	1280.8110	0
298737	1280.9629	0
298747	1280.9941	0
298758	1280.9942	0
298769	1280.9943	0
298780	1280.9945	0
298791	1280.9944	0
298801	1280.9946	0
298811	1280.8117	0
298822	1280.8118	0
298833	1280.9947	0
298844	1280.9948	0
298855	1280.9636	0
298866	1280.9949	0
298876	1280.8122	0
298896	1280.8124	0
298906	1280.9950	0
298927	1280.8127	0
298949	1280.8129	0
298959	1280.8130	0
298969	1280.9952	0
298980	1280.9953	0
298991	1280.8133	0
299002	1280.8134	0
299013	1280.8135	0
299024	1280.8136	0
299046	1280.8138	0
299057	1280.9954	0
299068	1280.9955	0
299090	1280.9957	0
299101	1280.9958	0
299112	1280.9959	0
299123	1280.9960	0
299134	1280.9961	0
299145	1280.8146	0
299156	1280.8147	0
299166	1280.9962	0
299177	1280.8149	0
299187	1280.8150	0
299198	1280.8151	0
299209	1280.8152	0
299220	1280.9963	0
299231	1280.8154	0
299253	1280.9964	1
299263	1280.8157	0
299273	1280.8158	1
299284	1280.8159	0
299294	1280.8160	1
299304	1280.8161	0
299314	1280.8162	0
299324	1280.9965	0
299334	1280.9966	0
299344	1280.9967	0
299355	1280.8166	1
299366	1280.8167	0
299377	1280.8168	0
299388	1280.9968	0
299399	1280.9969	0
299410	1280.9970	0
299421	1280.9971	1
299431	1280.8173	1
299441	1280.9972	1
299451	1280.8175	0
299462	1280.8176	0
299473	1280.8177	0
299484	1280.8178	0
299495	1280.8179	0
299506	1280.9973	0
299517	1280.8181	0
299527	1280.9974	0
299538	1280.9975	0
299549	1280.9976	0
299560	1280.8185	0
299571	1280.8186	0
299582	1280.8187	0
299593	1280.8188	1
299603	1280.9977	0
299614	1280.8190	0
299625	1280.9978	0
299636	1280.9979	1
299647	1280.8193	0
299658	1280.9980	0
299669	1280.8195	0
299680	1280.8196	0
299691	1280.9981	0
299702	1280.8198	0
299713	1280.9982	0
299724	1280.9983	0
299734	1280.9984	1
299745	1280.8202	0
299756	1280.8203	1
299767	1280.9985	0
299778	1280.9986	0
299789	1280.8206	0
299800	1280.9987	0
299811	1280.8208	0
299822	1280.8209	0
299833	1280.8210	0
299844	1280.8211	1
299855	1280.8212	0
299866	1280.8213	0
299877	1280.9988	0
299888	1280.9990	0
299899	1280.9989	0
299910	1280.8217	0
299921	1280.9991	0
299932	1280.8219	1
299942	1280.9992	0
299953	1280.8221	0
299964	1280.8222	0
299975	1280.9993	0
299986	1280.8224	1
299997	1280.9994	0
300008	1280.9995	0
300019	1280.9996	0
300030	1280.9997	0
300041	1280.8229	0
300050	1280.8230	0
300059	1280.8231	0
300068	1280.8232	0
300078	1280.8233	0
300087	1280.8234	0
300096	1280.8235	0
300105	1280.8236	0
300114	1280.8237	0
300142	1280.9998	0
300151	1280.9999	0
300160	1280.8242	1
300169	1280.10000	1
300178	1280.10001	0
300187	1280.8245	0
300196	1280.8246	0
300205	1280.10002	0
300214	1280.10003	0
300223	1280.8249	0
300232	1280.10004	0
300241	1280.10005	0
300250	1280.10006	0
300259	1280.10007	1
300269	1280.8254	0
300278	1280.8255	0
300287	1280.8256	0
300297	1280.10008	0
300306	1280.10009	0
300315	1280.8259	1
300324	1280.8260	0
300333	1280.8261	0
300342	1280.8262	0
300351	1280.8263	0
300360	1280.8264	0
300369	1280.8265	0
300378	1280.10011	0
300387	1280.10010	0
300396	1280.10012	0
300405	1280.8269	0
300414	1280.8270	0
300423	1280.8271	0
300432	1280.10013	0
300441	1280.10014	0
300459	1280.8275	0
300468	1280.8276	0
300477	1280.10016	0
300486	1280.10017	0
300495	1280.10018	0
300504	1280.10019	0
300513	1280.8281	0
300522	1280.8282	0
300531	1280.8283	0
300540	1280.10020	1
300549	1280.8285	0
300558	1280.8286	0
300567	1280.10021	0
300576	1280.10022	0
300594	1280.8290	0
300603	1280.8291	0
300612	1280.10023	0
300621	1280.8293	0
300630	1280.8294	0
300639	1280.10024	0
300648	1280.10025	0
300657	1280.9684	0
300666	1280.8298	0
300675	1280.8299	0
300684	1280.8300	0
300693	1280.10026	0
300702	1280.10027	0
300711	1280.10028	0
300720	1280.8304	0
300729	1280.8305	0
300738	1280.8306	0
300747	1280.10029	0
300756	1280.10031	0
300765	1280.8310	0
300774	1280.8309	0
300783	1280.10030	0
300792	1280.8312	1
300801	1280.8313	0
300810	1280.8314	0
300819	1280.10032	0
300828	1280.8315	0
300837	1280.10033	0
300846	1280.10034	0
300855	1280.9687	0
300864	1280.10035	1
300873	1280.10036	0
300882	1280.8321	0
300891	1280.8322	0
300900	1280.8323	0
300909	1280.8324	1
300919	1280.10037	0
300928	1280.8326	0
300937	1280.10038	0
300946	1280.8328	0
300955	1280.8329	0
300964	1280.8330	0
300973	1280.10039	0
300982	1280.8332	0
300991	1280.10040	0
301000	1280.10041	0
301009	1280.8335	0
301018	1280.10042	0
301028	1280.10043	0
301037	1280.10044	0
301046	1280.10045	0
301055	1280.8340	0
301064	1280.8341	0
301073	1280.8342	0
301082	1280.8343	0
301091	1280.8344	0
301100	1280.10046	0
301109	1280.8346	0
301118	1280.10047	0
301127	1280.8348	0
301136	1280.10048	0
301145	1280.8350	0
301154	1280.10049	0
301229	1280.9300	1
301235	1280.9301	1
