	genome_id	resistant_phenotype
290007	1280.9188	1
290019	1280.9190	0
290025	1280.9191	0
290037	1280.9193	0
290043	1280.9194	0
290049	1280.9195	0
290055	1280.9196	0
290067	1280.9198	0
290103	1280.9201	0
290115	1280.9203	0
290133	1280.9205	0
290151	1280.9208	0
290163	1280.9210	0
290181	1280.9213	1
290187	1280.9214	0
290193	1280.9215	0
290205	1280.9217	0
290217	1280.9219	0
290223	1280.9220	0
290259	1280.9227	0
290265	1280.9226	0
290271	1280.9228	0
290277	1280.9229	0
290283	1280.9230	0
290289	1280.9231	0
290307	1280.9234	0
290313	1280.9235	0
290319	1280.9236	0
290373	1280.9245	0
290410	1280.9249	0
290416	1280.9250	0
290428	1280.9252	0
290435	1280.9253	0
290447	1280.9254	0
290505	1280.9263	0
290535	1280.9264	0
290562	1280.9265	0
290574	1280.7355	1
290580	1280.9267	0
290592	1280.9268	0
290624	1280.9273	1
290630	1280.9274	0
290646	1280.9276	0
290682	1280.9277	0
290737	1280.9283	1
290743	1280.9284	0
290760	1280.9287	0
290766	1280.9286	0
290772	1280.9288	0
290778	1280.9289	0
290796	1280.9292	0
290808	1280.9294	0
290832	1280.9296	0
290838	1280.9297	0
290844	1280.9298	0
290850	1280.9299	0
290928	1280.8699	0
290939	1280.8698	0
290950	1280.8701	0
290961	1280.8700	0
290972	1280.8697	0
290983	1280.9408	0
290994	1280.9409	0
291016	1280.9411	0
291027	1280.7377	0
291038	1280.7408	0
291049	1280.9412	0
291060	1280.7411	0
291071	1280.7413	0
291082	1280.8718	0
291093	1280.8736	1
291104	1280.8735	0
291115	1280.8738	0
291126	1280.8737	0
291137	1280.9413	0
291148	1280.8739	0
291159	1280.8379	0
291170	1280.9414	0
291181	1280.8456	0
291192	1280.8457	0
291203	1280.9415	0
291214	1280.9416	0
291225	1280.9417	0
291236	1280.8389	0
291247	1280.8388	0
291258	1280.9418	0
291269	1280.9419	0
291280	1280.8385	0
291291	1280.8392	0
291302	1280.9420	0
291313	1280.8569	0
291324	1280.8568	0
291335	1280.8566	0
291346	1280.8567	0
291357	1280.8564	0
291368	1280.8565	0
291379	1280.8521	0
291390	1280.8520	1
291401	1280.8522	0
291412	1280.8519	0
291423	1280.8518	0
291434	1280.8517	0
291445	1280.9421	0
291456	1280.9422	0
291467	1280.9423	0
291478	1280.8733	0
291489	1280.9424	0
291510	1280.8790	0
291521	1280.8791	0
291532	1280.9425	0
291543	1280.9427	1
291554	1280.9426	0
291576	1280.8785	0
291587	1280.8795	0
291598	1280.9429	0
291631	1280.8799	0
291642	1280.8800	0
291653	1280.8801	0
291664	1280.9430	0
291675	1280.8803	0
291686	1280.8777	0
291697	1280.9431	0
291708	1280.8805	0
291719	1280.9432	0
291730	1280.8807	0
291741	1280.9433	0
291752	1280.9434	0
291774	1280.9436	0
291785	1280.8812	0
291796	1280.8813	0
291807	1280.8814	0
291818	1280.9437	0
291829	1280.7908	0
291840	1280.8816	0
291851	1280.9438	0
291862	1280.9439	0
291873	1280.7912	0
291884	1280.7913	0
291895	1280.7914	0
291906	1280.7915	0
291928	1280.9440	0
291939	1280.7917	0
291950	1280.9441	0
291961	1280.9442	0
291972	1280.7920	0
291983	1280.9443	0
291994	1280.7922	0
292005	1280.7923	0
292016	1280.8773	1
292049	1280.9445	0
292060	1280.9446	0
292071	1280.7928	0
292082	1280.7929	0
292104	1280.9447	0
292115	1280.9448	0
292126	1280.7933	0
292137	1280.9449	0
292148	1280.7935	0
292159	1280.9692	0
292170	1280.7937	0
292181	1280.7938	0
292192	1280.7939	0
292203	1280.9451	0
292236	1280.9452	0
292247	1280.7944	0
292258	1280.9453	0
292280	1280.7946	0
292302	1280.7948	0
292313	1280.7949	0
292324	1280.7950	0
292335	1280.7951	1
292346	1280.9693	0
292357	1280.7953	0
292368	1280.9456	0
292379	1280.9457	0
292390	1280.9458	0
292401	1280.7957	0
292412	1280.9691	0
292423	1280.7959	0
292434	1280.8774	0
292445	1280.7960	0
292456	1280.7961	0
292467	1280.7962	0
292478	1280.9690	0
292489	1280.7964	0
292500	1280.7965	0
292511	1280.7966	0
292522	1280.9462	0
292533	1280.7968	0
292544	1280.7969	0
292555	1280.7970	0
292566	1280.9689	0
292577	1280.9694	0
292588	1280.7973	0
292599	1280.8786	0
292610	1280.9464	0
292621	1280.9698	0
292632	1280.9466	0
292643	1280.7977	0
292654	1280.9467	0
292665	1280.7980	0
292676	1280.7979	0
292687	1280.9700	0
292698	1280.9696	0
292709	1280.7983	0
292720	1280.9470	0
292731	1280.7985	0
292742	1280.7986	0
292753	1280.7987	0
292764	1280.9471	0
292775	1280.9699	0
