	genome_id	resistant_phenotype
76986	1328382.3	0
77012	1328383.3	1
77026	1328384.3	0
77042	1328385.3	0
77058	1328386.3	1
77068	1328387.3	1
77194	1438717.3	1
77274	1438723.3	1
77290	1438724.3	1
77386	1438730.3	1
77502	1438737.3	1
77652	1438746.3	1
77703	1438749.3	1
77788	1438754.3	0
77804	1438755.3	1
77821	1438756.3	1
77837	1438757.3	1
77918	1438762.3	1
77952	1438764.3	1
77969	1438765.3	1
78003	1438767.3	1
78037	1438769.3	1
78071	1438771.3	1
78088	1438772.3	1
78105	1438773.3	1
78154	1438776.3	1
78383	573.13031	0
78401	573.13032	0
78421	573.13033	1
78459	573.13035	1
78479	573.13036	0
78518	573.13038	0
78577	573.13041	1
78615	573.13043	0
78673	573.13046	0
78692	573.13047	0
78750	573.13050	0
78829	573.13054	1
78869	573.13056	1
78928	573.13059	1
78968	573.13061	1
78988	573.13062	1
79007	573.13063	1
79027	573.13064	1
79223	573.13074	0
79281	573.13077	1
79320	573.13080	0
79418	573.13085	1
79457	573.13087	1
79535	573.13091	0
79594	573.13094	1
79613	573.13095	1
79693	573.13099	1
79712	573.13100	0
79732	573.13101	1
79751	573.13102	0
79770	573.13103	0
79790	573.13104	0
79829	573.13106	1
79848	573.13107	1
79965	573.13113	1
80004	573.13115	0
80024	573.13116	1
80043	573.13117	1
80062	573.13118	0
80102	573.13120	1
80161	573.13123	0
80180	573.13124	1
80199	573.13125	1
80219	573.13126	1
80257	573.13128	1
80277	573.13129	0
80375	573.13134	0
80395	573.13135	1
80435	573.13137	0
80474	573.13139	1
80513	573.13141	0
80572	573.13144	1
80670	573.13149	1
80690	573.13150	0
80709	573.13151	1
80845	573.13160	1
80941	573.13165	0
80960	573.13166	0
80979	573.13167	1
80998	573.13168	0
81017	573.13169	1
81036	573.13170	0
81055	573.13171	1
81074	573.13172	1
81114	573.13174	1
81193	573.13178	1
81271	573.13182	1
81311	573.13185	1
81331	573.13186	1
81350	573.13187	1
81466	573.13194	1
81486	573.13195	1
81506	573.13196	1
81565	573.13199	0
81662	573.13204	1
81893	573.13216	1
82086	573.13226	1
82106	573.13227	1
82146	573.13229	0
82205	573.13232	1
82338	573.13239	1
82396	573.13242	1
82435	573.13244	1
82473	573.13246	1
82550	573.13250	1
82570	573.13251	1
82630	573.13254	1
82767	573.13261	1
82786	573.13262	1
82805	573.13263	1
82825	573.13264	1
82845	573.13265	1
82904	573.13268	1
82923	573.13269	1
82942	573.13270	1
83059	573.13276	1
83118	573.13279	0
83217	573.13284	1
83236	573.13285	1
83256	573.13286	0
83295	573.13288	1
83354	573.13291	1
83551	573.13301	0
83571	573.13302	1
83610	573.13304	0
83630	573.13305	1
83650	573.13306	1
83689	573.13308	1
83708	573.13309	1
83786	573.13313	1
83824	573.13315	1
83844	573.13316	1
83864	573.13317	1
83903	573.13319	0
84057	573.13328	1
84077	573.13329	1
84114	573.13331	0
84134	573.13332	0
84194	573.13335	0
84331	573.13344	0
84796	573.13368	1
86579	573.13464	1
86599	573.13465	1
86619	573.13466	1
86637	573.13467	1
86676	573.13469	1
86714	573.13471	0
86733	573.13472	1
86753	573.13473	1
86772	573.13474	1
86811	573.13476	1
86870	573.13479	1
86890	573.13480	0
86910	573.13481	1
86989	573.13485	1
