	genome_id	resistant_phenotype
76946	1328399.3	0
78386	573.13031	1
78405	573.13032	1
78424	573.13033	1
78463	573.13035	1
78482	573.13036	1
78522	573.13038	1
78580	573.13041	0
78619	573.13043	1
78676	573.13046	0
78696	573.13047	1
78754	573.13050	1
78833	573.13054	1
78873	573.13056	1
78932	573.13059	1
78972	573.13061	1
78991	573.13062	1
79031	573.13064	1
79227	573.13074	0
79285	573.13077	1
79323	573.13080	1
79422	573.13085	0
79461	573.13087	1
79538	573.13091	0
79597	573.13094	1
79617	573.13095	1
79696	573.13099	1
79716	573.13100	1
79754	573.13102	1
79774	573.13103	1
79794	573.13104	0
79832	573.13106	0
79852	573.13107	0
79968	573.13113	0
80008	573.13115	1
80027	573.13116	1
80046	573.13117	1
80066	573.13118	0
80106	573.13120	1
80164	573.13123	0
80203	573.13125	0
80222	573.13126	0
80261	573.13128	1
80281	573.13129	1
80379	573.13134	1
80399	573.13135	0
80438	573.13137	1
80477	573.13139	1
80516	573.13141	1
80576	573.13144	1
80674	573.13149	1
80693	573.13150	1
80712	573.13151	1
80849	573.13160	1
80886	573.13162	1
80944	573.13165	1
80963	573.13166	1
80982	573.13167	1
81001	573.13168	1
81021	573.13169	0
81039	573.13170	1
81058	573.13171	0
81078	573.13172	1
81117	573.13174	1
81197	573.13178	1
81315	573.13185	0
81334	573.13186	1
81354	573.13187	1
81470	573.13194	0
81490	573.13195	0
81510	573.13196	1
81568	573.13199	0
81666	573.13204	1
81896	573.13216	1
82090	573.13226	1
82110	573.13227	1
82150	573.13229	1
82341	573.13239	1
82400	573.13242	1
82438	573.13244	1
82476	573.13246	0
82554	573.13250	1
82633	573.13254	0
82771	573.13261	0
82809	573.13263	1
82829	573.13264	1
82849	573.13265	1
82926	573.13269	1
82946	573.13270	0
83063	573.13276	1
83122	573.13279	0
83220	573.13284	1
83240	573.13285	0
83259	573.13286	1
83299	573.13288	0
83358	573.13291	1
83437	573.13295	1
83495	573.13298	1
83555	573.13301	1
83574	573.13302	1
83614	573.13304	1
83634	573.13305	1
83653	573.13306	1
83692	573.13308	1
83711	573.13309	0
83789	573.13313	1
83808	573.13314	1
83828	573.13315	1
83848	573.13316	0
83868	573.13317	1
83906	573.13319	1
83926	573.13321	1
84061	573.13328	1
84079	573.13329	0
84118	573.13331	1
84138	573.13332	1
84198	573.13335	1
84334	573.13344	1
84800	573.13368	0
86583	573.13464	0
86603	573.13465	1
86622	573.13466	1
86641	573.13467	0
86679	573.13469	0
86717	573.13471	1
86737	573.13472	1
86756	573.13473	0
86775	573.13474	1
86814	573.13476	1
86874	573.13479	1
86894	573.13480	1
86914	573.13481	1
87013	573.13486	1
87033	573.13487	1
87053	573.13488	0
87150	573.13493	1
87169	573.13494	0
87189	573.13495	1
87208	573.13496	1
87227	573.13497	0
87266	573.13499	0
87286	573.13500	1
87364	573.13504	0
87422	573.13507	0
87441	573.13508	1
87460	573.13509	1
87499	573.13511	1
87519	573.13512	0
87537	573.13513	0
87556	573.13514	1
87595	573.13516	0
87653	573.13519	1
87692	573.13521	1
87712	573.13522	1
87789	573.13526	1
87809	573.13527	0
87926	573.13533	1
87945	573.13534	1
87984	573.13537	1
88023	573.13539	1
88042	573.13540	1
88062	573.13541	0
88082	573.13542	1
88121	573.13544	1
88140	573.13545	1
88199	573.13548	1
88218	573.13549	1
88318	573.13554	1
88357	573.13556	0
88377	573.13557	1
88396	573.13558	0
88435	573.13560	0
88454	573.13561	0
88572	573.13567	0
88591	573.13568	1
88631	573.13570	0
88670	573.13572	1
88729	573.13575	1
88748	573.13576	1
88768	573.13577	1
88807	573.13579	1
88827	573.13580	1
88867	573.13582	1
88886	573.13583	1
88944	573.13586	0
89001	573.13589	1
89020	573.13590	0
89039	573.13591	0
89099	573.13594	1
89157	573.13597	1
89195	573.13599	1
89329	573.13606	1
89348	573.13607	0
89387	573.13609	0
89406	573.13610	0
89426	573.13611	1
89465	573.13613	1
89563	573.13618	0
89583	573.13619	0
89603	573.13620	1
89699	573.13625	1
89718	573.13626	0
89737	573.13627	0
89757	573.13628	1
89795	573.13630	1
89815	573.13631	1
89833	573.13632	0
89853	573.13633	1
89911	573.13636	1
89931	573.13637	1
89950	573.13638	0
89968	573.13639	0
89988	573.13640	1
90008	573.13641	0
90027	573.13642	1
90105	573.13646	0
90125	573.13647	0
90184	573.13650	1
90202	573.13651	0
90221	573.13652	1
90318	573.13657	0
90337	573.13658	1
90436	573.13663	0
90455	573.13664	1
90494	573.13666	0
90513	573.13667	0
90552	573.13669	1
90591	573.13671	0
90610	573.13672	1
90649	573.13674	1
90669	573.13675	1
90706	573.13677	0
90725	573.13678	1
90900	573.13687	0
90918	573.13688	1
91036	573.13694	0
91171	573.13701	1
91190	573.13702	0
91210	573.13703	1
91310	573.13708	1
91387	573.13712	1
91407	573.13713	0
91427	573.13714	1
91467	573.13716	1
91487	573.13717	1
91527	573.13719	0
91546	573.13720	1
91662	573.13726	1
91681	573.13727	0
91738	573.13730	1
91757	573.13731	1
91835	573.13735	0
91912	573.13739	1
92007	573.13744	0
92026	573.13745	0
92065	573.13747	1
92125	573.13750	1
92204	573.13754	1
92263	573.13757	0
92283	573.13758	0
92362	573.13762	0
92401	573.13764	0
92439	573.13766	1
92459	573.13767	0
92558	573.13772	1
92598	573.13774	1
92637	573.13777	1
92657	573.13778	0
92677	573.13779	1
92832	573.13787	0
92929	573.13792	1
92968	573.13794	1
93103	573.13801	1
93160	573.13804	1
93179	573.13805	1
93217	573.13807	1
93372	573.13815	1
93411	573.13817	1
93430	573.13818	1
93489	573.13821	0
93528	573.13823	0
93567	573.13825	1
93587	573.13826	1
93685	573.13831	1
93705	573.13832	0
93743	573.13834	1
93782	573.13836	0
93821	573.13839	1
93859	573.13841	1
93898	573.13843	1
93917	573.13844	1
93936	573.13845	1
93995	573.13848	0
94072	573.13851	0
94092	573.13853	1
94168	573.13857	0
94188	573.13858	1
94207	573.13859	1
94286	573.13863	1
94306	573.13864	1
94325	573.13865	1
94345	573.13866	1
94422	573.13870	0
94481	573.13873	1
94499	573.13874	1
94615	573.13880	1
94653	573.13882	1
94672	573.13884	1
94731	573.13886	0
94829	573.13891	1
94926	573.13896	1
94945	573.13897	1
94984	573.13899	0
95003	573.13900	1
95023	573.13901	1
95180	573.13909	1
95237	573.13912	0
95314	573.13916	1
95352	573.13918	1
95430	573.13922	1
95506	573.13926	1
95525	573.13927	0
95544	573.13928	0
95563	573.13929	1
95582	573.13930	1
95654	573.13934	0
95672	573.13935	1
95729	573.13938	0
95748	573.13939	0
95784	573.13941	1
95843	573.13944	1
95863	573.13945	1
96036	573.13954	0
96053	573.13955	1
96071	573.13956	0
96090	573.13957	1
96128	573.13959	1
96280	573.13967	1
96318	573.13969	1
96338	573.13970	0
96358	573.13971	0
96378	573.13972	0
96455	573.13976	0
96513	573.13979	1
96533	573.13980	0
96569	573.13982	1
96588	573.13983	1
96626	573.13985	1
96764	573.13992	1
96824	573.13995	0
96942	573.14001	0
96961	573.14002	1
97059	573.14007	1
97079	573.14008	0
97098	573.14009	0
97118	573.14010	1
97137	573.14011	0
97176	573.14013	1
97216	573.14015	1
