	genome_id	resistant_phenotype
220291	1402497.3	0
220300	1447528.3	0
220318	1447530.3	0
220327	1447531.3	0
220336	1447532.3	0
220390	1402485.3	0
222103	1402542.3	0
222112	1402543.3	0
222139	1402546.3	0
222157	1402548.3	1
222175	1402550.3	0
222184	1402551.3	0
222229	1402556.3	0
222238	1402557.3	0
222247	1402558.3	1
222256	1402559.3	0
222265	1402560.3	0
222274	1402561.3	0
222283	1402562.3	0
222310	1402565.3	0
222319	1402566.3	0
222337	1447538.3	0
222346	1447539.3	0
222355	1447540.3	0
222364	1447541.3	0
222382	1447544.3	0
222391	1418235.3	1
222400	1418236.3	0
222409	1418237.3	0
222418	1418238.3	0
222427	1418239.3	1
222445	1418241.3	0
222463	1418243.3	0
222472	1418244.3	0
222481	1418245.3	0
222490	1418246.3	1
222499	1402501.3	1
222517	1402503.3	1
222526	1402504.3	0
222544	1402507.3	1
222553	1402508.3	0
222562	1402509.3	0
222571	1402510.3	0
222589	1402512.3	0
222598	1402513.3	0
222607	1402514.3	0
222616	1402515.3	0
222625	1402516.3	0
222634	1402517.3	1
222643	1402518.3	0
222652	1402519.3	0
222661	1402520.3	0
222670	1402521.3	0
222679	1402522.3	0
222688	1402523.3	0
222697	1402524.3	0
222706	1402525.3	0
222724	1402527.3	0
222751	1402530.3	0
222769	1402532.3	0
222796	1402535.3	0
222805	1402536.3	0
222823	1402538.3	0
222832	1402539.3	0
222850	1402572.3	0
222859	1402573.3	0
222868	1402574.3	0
222877	1402575.3	0
222886	1402576.3	0
222895	1402577.3	0
222922	1402489.3	0
222931	1402490.3	1
222940	1402491.3	1
222958	1402495.3	0
222967	1402567.3	0
222976	1402568.3	0
222985	1402569.3	0
222994	1402570.3	0
223003	1402571.3	0
223012	1402487.3	0
223021	1402486.3	0
223033	1418248.3	0
223060	1418247.3	0
223096	1402493.3	0
223114	1402492.3	1
223655	287.5752	1
223698	287.2978	1
223751	287.2979	1
223772	287.5778	1
223804	287.2972	1
223818	287.2976	1
223853	287.5959	1
223942	287.6331	1
223974	287.5686	1
224070	287.5685	0
224100	287.5746	1
224115	287.5955	1
224145	287.6329	1
224190	287.6326	1
224220	287.5973	0
224235	287.5971	1
224300	287.12562	0
224304	287.12555	0
224308	287.12774	1
224320	287.12776	0
224324	287.12777	1
224328	287.12779	1
224332	287.12780	1
224336	287.12778	1
224344	287.12781	0
224348	287.12783	1
224352	287.12786	1
224356	287.12785	1
224360	287.12784	1
224364	287.12787	1
224368	287.12790	0
224372	287.12791	1
224376	287.12794	1
224380	287.12795	1
224384	287.12796	1
224388	287.12792	1
224392	287.12793	1
224396	287.12788	0
224400	287.12789	0
224404	287.12797	0
224408	287.12800	1
224412	287.12799	0
224416	287.12801	1
224420	287.12798	1
224424	287.12803	1
224428	287.12805	0
224432	287.12804	0
224436	287.12802	0
224440	287.12806	0
224444	287.12808	0
224448	287.12807	1
224452	287.12809	1
224456	287.12812	0
224460	287.12811	1
224464	287.12810	0
224468	287.12818	0
224472	287.12816	0
224476	287.12815	0
224480	287.12819	0
224484	287.12817	1
224492	287.12813	0
224496	287.12821	0
224500	287.12822	1
224504	287.12820	0
224508	287.12823	1
224512	287.12825	0
224516	287.12829	0
224520	287.12827	1
224528	287.12826	0
224532	287.12828	1
224536	287.12824	1
224540	287.12831	1
224544	287.12833	1
224548	287.12835	1
224552	287.12839	0
224556	287.12834	1
224560	287.12832	0
224564	287.12441	1
224568	287.12443	0
224572	287.12442	1
224576	287.12444	1
224580	287.12440	1
224588	287.12445	0
224592	287.12453	0
224596	287.12455	0
224600	287.12451	1
224604	287.12452	1
224608	287.12449	0
224612	287.12450	1
224616	287.12448	1
224624	287.12447	0
224628	287.12464	1
224632	287.12466	0
224636	287.12465	0
224644	287.12456	0
224648	287.12463	0
224652	287.12459	1
224656	287.12458	1
224660	287.12460	0
224668	287.12461	1
224672	287.12474	1
224676	287.12473	0
224680	287.12472	1
224684	287.12476	1
224688	287.12477	1
224692	287.12838	0
224696	287.12475	0
224700	287.12469	0
224704	287.12470	0
224708	287.12467	0
224712	287.12841	1
224716	287.12837	1
224720	287.12836	1
224724	287.12840	0
224728	287.12846	1
224732	287.12847	1
224740	287.12471	1
224744	287.12468	0
224748	287.12480	0
224752	287.12479	0
224756	287.12482	0
224760	287.12481	1
224764	287.12478	0
224768	287.12484	1
224776	287.12488	0
224780	287.12487	0
224784	287.12486	1
224788	287.12485	0
224792	287.12498	1
224796	287.12495	0
224800	287.12499	1
224812	287.12489	1
224816	287.12493	1
224820	287.12491	1
224824	287.12492	0
224828	287.12490	0
224832	287.12494	1
224836	287.12509	1
224840	287.12510	1
224844	287.12508	1
224848	287.12507	1
224874	287.12658	0
224878	287.12657	0
224882	287.12673	0
224886	287.12672	0
224894	287.12686	0
224898	287.12684	0
224902	287.12685	0
224906	287.12683	0
224910	287.12681	0
224914	287.12682	0
224918	287.12679	0
224926	287.12678	0
224930	287.12676	0
224934	287.12688	0
224938	287.12687	0
224942	287.12697	0
224946	287.12691	0
224950	287.12690	0
224954	287.12689	0
224958	287.12696	0
224962	287.12695	0
224966	287.12693	0
224974	287.12692	1
224978	287.12705	1
224982	287.12706	1
224986	287.12698	0
224990	287.12716	0
224994	287.12704	1
224998	287.12703	1
225002	287.12702	1
225006	287.12701	0
225014	287.12700	0
225018	287.12699	1
225022	287.12714	0
225026	287.12715	1
225030	287.12713	1
225034	287.12707	1
225038	287.12708	1
225042	287.12719	0
225046	287.12710	1
225050	287.12718	1
225054	287.12711	1
225058	287.12709	1
225062	287.12712	0
225066	287.12720	1
225070	287.12727	1
225074	287.12722	1
225078	287.12721	0
225082	287.12724	0
225086	287.12725	1
225090	287.12723	1
225098	287.12729	1
225102	287.12730	1
225106	287.12728	1
225110	287.12733	1
225114	287.12731	1
225118	287.12559	1
225122	287.12557	1
225126	287.12556	1
225130	287.12560	1
225138	287.12572	1
225142	287.12570	1
225146	287.12569	0
225150	287.12571	1
225154	287.12582	1
225158	287.12583	1
225162	287.12584	1
225166	287.12585	1
225170	287.12567	1
225174	287.12568	1
225178	287.12566	1
225182	287.12573	0
225186	287.12574	1
225190	287.12576	1
225194	287.12578	1
225202	287.12575	1
225206	287.12587	1
225210	287.12586	1
225214	287.12581	1
225218	287.12579	1
225222	287.12580	1
225226	287.12597	0
225230	287.12598	1
225234	287.12589	1
225238	287.12591	1
225242	287.12592	1
225250	287.12588	1
225258	287.12595	1
225262	287.12593	1
225270	287.12603	1
225278	287.12604	1
225282	287.12601	1
225286	287.12608	1
225290	287.12609	1
225294	287.12600	1
225298	287.12599	1
225302	287.12605	1
225306	287.12606	1
225310	287.12607	1
225314	287.12620	1
225318	287.12616	1
225322	287.12615	1
225326	287.12618	0
225330	287.12619	1
225334	287.12617	1
225342	287.12611	1
225350	287.12612	1
225354	287.12614	1
225358	287.12630	1
225362	287.12631	1
225366	287.12628	1
225370	287.12629	1
225378	287.12622	1
225382	287.12621	1
225390	287.12625	0
225398	287.12627	1
225402	287.12650	1
225406	287.12651	1
225414	287.12636	1
225418	287.12633	1
225422	287.12635	1
225426	287.12634	1
225430	287.12649	1
225438	287.12653	1
225442	287.12648	1
225446	287.12646	0
225450	287.12641	1
225454	287.12637	1
225458	287.12638	1
225462	287.12643	1
225466	287.12642	0
225470	287.12644	1
226062	287.12640	0
226070	287.12639	0
226078	287.12667	1
226082	287.12664	1
226086	287.12666	1
226090	287.12665	1
226094	287.12671	0
226098	287.12669	0
226102	287.12670	0
226110	287.12675	0
226114	287.12654	0
226118	287.12655	1
226122	287.12660	0
226126	287.12663	0
226130	287.12661	0
226134	287.12505	0
226142	287.12506	0
226150	287.12852	0
226158	287.12845	0
226162	287.12843	0
226166	287.12500	1
226174	287.12851	0
226182	287.12503	1
226186	287.12502	1
226190	287.12850	0
226198	287.12520	0
226202	287.12521	1
226206	287.12519	1
226210	287.12518	1
226214	287.12517	0
226218	287.12511	1
226226	287.12513	1
226230	287.12516	0
226234	287.12514	0
226238	287.12515	0
226242	287.12542	0
226735	287.1482	0
227408	287.12659	0
227412	287.12662	0
227416	287.12656	0
227914	287.12753	0
227918	287.12754	1
227922	287.12755	1
227934	287.12750	1
227938	287.12751	0
227950	287.12748	0
227962	287.12745	0
