	genome_id	resistant_phenotype
232906	28901.3870	0
233913	28901.1897	0
233985	28901.1851	1
234129	28901.1874	0
234165	28901.1873	0
234354	28901.793	0
234368	28901.794	0
234410	28901.761	0
234438	28901.797	0
234452	28901.798	0
234466	28901.799	0
234494	28901.763	0
234508	28901.801	0
234522	28901.802	0
234536	28901.760	0
234550	28901.764	0
234564	28901.803	0
234578	28901.765	0
234606	28901.805	0
234634	28901.806	0
234662	28901.766	0
234690	28901.809	0
234746	28901.813	0
234788	28901.815	0
234802	28901.769	0
234816	28901.816	0
234858	28901.818	0
234872	28901.819	0
234886	28901.771	0
234900	28901.820	0
234914	28901.772	0
234928	28901.773	0
234956	28901.774	0
234970	28901.775	0
234984	28901.822	1
235012	28901.776	1
235026	28901.824	0
235040	28901.825	1
235068	28901.826	0
235082	28901.827	1
235096	28901.828	0
235110	28901.829	0
235124	28901.830	0
235152	28901.859	0
235166	28901.831	0
235194	28901.832	0
235208	28901.779	0
235236	28901.833	0
235250	28901.780	0
235264	28901.834	0
235278	28901.835	1
235306	28901.855	0
235320	28901.862	0
235334	28901.837	0
235362	28901.861	1
235376	28901.782	0
235404	28901.839	1
235502	28901.842	0
235558	28901.844	0
235572	28901.845	0
235586	28901.846	0
235614	28901.847	0
235628	28901.849	0
235712	28901.850	1
235726	28901.851	0
235740	28901.863	0
235768	28901.852	0
235782	28901.853	0
235796	28901.854	0
248108	28901.1609	0
248127	28901.2717	0
248325	58095.14	0
248339	58095.15	0
248353	58095.17	0
248381	58095.16	0
248395	58095.9	0
248409	58095.10	0
248437	211968.7	1
248451	211968.3	0
248465	211968.4	0
248493	211968.6	0
248521	58712.70	0
248535	58712.71	0
248549	58712.72	0
248563	58712.73	0
248577	58712.74	0
248591	58712.75	0
248619	58712.76	0
248633	58712.77	0
248647	58712.83	0
248675	58712.79	0
248689	58712.80	0
248717	58712.87	0
248731	58712.84	0
248759	58712.89	0
248773	58712.90	0
248787	58712.85	0
248829	58712.60	0
248857	58712.59	0
248885	58712.94	0
248899	58712.95	0
248913	58712.96	0
248927	58712.97	0
248941	58712.81	0
248997	58712.66	0
249011	58712.67	0
249025	58712.68	0
249039	58712.62	0
249053	58712.69	0
249067	58712.9	0
249081	58712.8	0
249095	58712.10	0
249109	58712.3	0
249137	58712.5	0
249151	58096.44	0
249165	28142.8	0
249179	28142.9	1
249221	58097.44	0
249235	149391.32	0
249249	149391.33	0
249263	149391.34	0
249277	149391.35	0
249291	149391.36	0
249305	149391.22	0
249319	149391.37	0
249333	149391.38	0
249347	149391.45	1
249361	149391.39	0
249375	149391.40	0
249389	149391.41	0
249403	149391.46	0
249417	149391.42	0
249431	149391.43	0
249445	149391.44	0
249487	149391.21	0
249501	149391.47	0
249515	149391.48	1
249529	149391.23	0
249543	149391.25	0
249557	149391.24	1
249571	149391.26	1
249585	149391.27	0
249599	149391.28	0
249613	149391.29	0
249627	149391.30	0
249641	149391.31	0
249669	149391.6	0
249697	149391.4	0
249711	149387.8	0
249725	149387.5	0
249739	149387.6	0
249753	149387.7	1
249781	134047.3	0
249795	1160739.3	0
249809	340188.42	0
249837	340188.40	0
249851	340188.41	0
249865	486990.7	0
249879	486990.8	0
249893	486990.9	0
249935	28144.35	0
249949	28144.36	0
249977	28144.27	0
249991	28144.24	0
250019	28144.26	0
250047	98360.48	0
250061	98360.50	1
250075	98360.49	1
250089	98360.39	1
250103	98360.40	1
250117	98360.41	1
250131	98360.42	1
250145	98360.43	1
250173	98360.98	1
250185	98360.90	1
250197	98360.91	1
250209	98360.89	1
250221	98360.93	1
250233	98360.71	1
250245	98360.92	1
250257	98360.73	1
250269	98360.72	1
250281	98360.75	1
250293	98360.74	1
250305	98360.77	1
250317	98360.79	1
250329	98360.76	1
250341	98360.78	1
250353	98360.94	1
250365	98360.97	1
250377	98360.99	1
250389	98360.95	1
250401	98360.96	1
250582	149539.389	0
250596	149539.390	0
250610	149539.388	0
250624	149539.391	0
250638	149539.341	0
250652	149539.356	0
250666	149539.342	0
250680	149539.343	0
250708	149539.347	0
250722	149539.359	0
250736	149539.358	0
250750	149539.360	0
250764	149539.349	0
250792	149539.351	0
250806	149539.352	0
250820	149539.353	0
250834	149539.354	0
250848	149539.344	0
250876	149539.357	0
250890	149539.361	0
250918	149539.345	0
250932	149539.363	0
250946	149539.364	0
250974	149539.346	0
250988	149539.366	0
251002	149539.367	0
251030	1151179.4	0
251212	149385.23	0
251226	149385.25	0
251254	149385.27	0
251282	149385.28	0
251296	149385.6	0
251310	149385.7	0
251324	149385.8	0
251338	149385.9	0
251352	149385.10	0
251366	149385.11	0
251380	149385.12	0
251408	149385.14	0
251422	149385.15	0
251436	149385.16	0
251450	149385.17	0
251464	149385.19	0
251478	149385.18	0
251492	149385.20	0
251520	611.69	0
251534	611.72	0
251562	611.74	0
251590	611.131	0
251619	611.70	0
251633	611.77	0
251647	611.78	0
251661	611.79	0
251675	611.132	0
251690	611.80	0
251718	611.133	0
251733	611.81	0
251747	611.134	0
251790	611.17	0
251804	611.16	0
251818	611.18	0
251832	611.19	0
251860	611.21	0
251874	611.22	0
251888	611.23	0
251902	611.24	0
251916	611.61	0
251930	611.25	0
251944	611.26	0
251972	611.28	0
251986	611.29	0
252000	611.60	0
252028	611.31	0
252070	611.34	0
252098	611.35	0
252112	611.38	0
252140	611.39	0
252154	611.40	0
252168	611.41	0
252182	611.42	0
252196	611.43	0
252238	611.46	0
252266	611.48	0
252322	611.51	0
252336	611.52	0
252378	611.54	0
252392	611.55	0
252406	611.56	0
252434	611.58	0
252462	1079901.3	0
252476	486994.9	0
252490	486994.10	0
252504	1697390.3	0
252532	1697390.7	0
252560	1697390.5	0
252574	1697390.6	0
252588	1697389.3	0
252616	1697389.5	0
252644	1697389.7	0
252714	595.153	0
252728	595.138	0
252742	595.143	0
252756	595.144	0
252770	595.145	0
252784	595.146	0
252798	595.147	0
252840	595.139	0
252854	595.150	0
252868	595.151	0
252882	595.154	0
252896	595.152	0
252910	595.155	0
252924	595.156	0
252938	595.137	0
252952	595.140	0
252980	595.142	0
252994	595.45	1
253036	595.29	0
253050	595.30	0
253078	595.32	0
253092	595.33	0
253106	595.34	1
253120	595.35	0
253134	595.36	0
253148	595.37	0
253162	595.38	0
253190	595.40	0
253204	595.41	0
253218	595.68	0
253232	595.116	0
253244	595.108	0
253256	595.106	0
253268	595.115	0
253280	595.105	0
253292	595.114	0
253304	595.104	0
253328	595.103	0
253340	595.102	0
253352	595.101	0
253364	595.123	0
253376	595.99	0
253388	595.100	0
253400	595.97	0
253412	595.121	0
253424	595.96	0
253436	595.112	0
253448	595.98	0
253460	595.107	0
253484	595.110	0
253496	595.124	0
253508	595.109	0
253520	595.122	0
253532	595.120	0
253544	595.118	0
253556	595.129	0
253568	595.119	0
253580	595.117	0
253592	595.125	0
253604	363569.37	0
253618	363569.42	0
253632	363569.43	0
253646	363569.44	0
253660	363569.45	0
253688	363569.39	0
253702	363569.41	0
253744	363569.38	0
253786	363569.33	0
253800	363569.3	0
255243	192955.204	0
255257	192955.202	0
255570	192955.113	0
255584	192955.114	0
255640	192955.117	0
255654	192955.118	0
255682	192955.120	0
255696	192955.128	0
255710	192955.121	0
255724	192955.122	0
255780	192955.131	0
255808	192955.123	1
255836	192955.125	1
255864	192955.127	0
255878	192955.62	0
255892	192955.60	1
255920	192955.63	1
255976	192955.67	0
255990	192955.68	0
256130	192955.77	0
256144	192955.78	0
256158	192955.79	0
256368	192955.91	0
256382	192955.92	0
256410	192955.94	0
256424	192955.95	0
256452	192955.97	1
256466	192955.107	0
256480	192955.98	0
256494	192955.99	0
256508	192955.100	0
256522	192955.101	0
256536	192955.102	0
256678	682797.9	1
256692	486998.7	0
256720	486998.3	0
256734	486998.4	0
256748	486998.6	0
256776	216804.3	0
256790	216804.4	0
256832	340189.10	0
256860	192954.46	0
256874	192954.47	0
256888	192954.26	0
256916	192954.28	0
256944	192954.22	0
256972	192954.23	0
256986	192954.24	0
257014	486999.10	0
257028	70803.17	1
257056	913079.13	0
257070	115981.55	0
257084	115981.58	0
257098	115981.59	0
257112	115981.60	0
257140	115981.57	0
257154	115981.22	0
257168	115981.23	1
