	genome_id	resistant_phenotype
232911	28901.3870	0
233917	28901.1897	0
233989	28901.1851	1
234133	28901.1874	0
234169	28901.1873	0
234359	28901.793	0
234373	28901.794	0
234415	28901.761	0
234443	28901.797	0
234457	28901.798	0
234471	28901.799	0
234499	28901.763	0
234513	28901.801	0
234527	28901.802	0
234541	28901.760	0
234555	28901.764	0
234569	28901.803	0
234583	28901.765	0
234611	28901.805	0
234639	28901.806	0
234667	28901.766	0
234695	28901.809	0
234751	28901.813	0
234793	28901.815	0
234807	28901.769	0
234821	28901.816	0
234863	28901.818	0
234877	28901.819	0
234891	28901.771	0
234905	28901.820	0
234919	28901.772	0
234933	28901.773	0
234961	28901.774	0
234975	28901.775	0
234989	28901.822	1
235017	28901.776	1
235031	28901.824	0
235045	28901.825	1
235073	28901.826	0
235087	28901.827	1
235101	28901.828	0
235115	28901.829	0
235129	28901.830	0
235157	28901.859	0
235171	28901.831	0
235199	28901.832	0
235213	28901.779	0
235241	28901.833	0
235255	28901.780	0
235269	28901.834	0
235283	28901.835	0
235311	28901.855	0
235325	28901.862	0
235339	28901.837	0
235367	28901.861	1
235381	28901.782	0
235409	28901.839	1
235507	28901.842	0
235563	28901.844	0
235577	28901.845	0
235591	28901.846	0
235619	28901.847	0
235633	28901.849	0
235717	28901.850	1
235731	28901.851	0
235745	28901.863	0
235773	28901.852	0
235787	28901.853	0
235801	28901.854	0
247581	28901.3242	1
248112	28901.1609	1
248330	58095.14	0
248344	58095.15	0
248358	58095.17	0
248386	58095.16	0
248400	58095.9	0
248414	58095.10	0
248442	211968.7	1
248456	211968.3	0
248470	211968.4	1
248498	211968.6	0
248526	58712.70	0
248540	58712.71	0
248554	58712.72	0
248568	58712.73	0
248582	58712.74	0
248596	58712.75	0
248624	58712.76	0
248638	58712.77	0
248652	58712.83	0
248680	58712.79	0
248694	58712.80	0
248722	58712.87	0
248736	58712.84	0
248764	58712.89	0
248778	58712.90	0
248792	58712.85	0
248834	58712.60	0
248862	58712.59	0
248890	58712.94	0
248904	58712.95	0
248918	58712.96	0
248932	58712.97	1
248946	58712.81	0
249002	58712.66	0
