	genome_id	resistant_phenotype
232916	28901.3870	0
233921	28901.1897	1
233993	28901.1851	0
234137	28901.1874	0
234173	28901.1873	1
234364	28901.793	1
234378	28901.794	1
234420	28901.761	0
234448	28901.797	1
234462	28901.798	0
234476	28901.799	0
234504	28901.763	0
234518	28901.801	1
234532	28901.802	1
234546	28901.760	0
234560	28901.764	0
234574	28901.803	0
234588	28901.765	1
234616	28901.805	1
234644	28901.806	0
234672	28901.766	0
234700	28901.809	0
234756	28901.813	1
234798	28901.815	0
234812	28901.769	0
234826	28901.816	0
234868	28901.818	1
234882	28901.819	1
234896	28901.771	1
234910	28901.820	0
234924	28901.772	0
234938	28901.773	0
234966	28901.774	1
234980	28901.775	1
234994	28901.822	1
235022	28901.776	1
235036	28901.824	1
235050	28901.825	1
235078	28901.826	0
235092	28901.827	1
235106	28901.828	0
235120	28901.829	0
235134	28901.830	0
235162	28901.859	0
235176	28901.831	0
235204	28901.832	0
235218	28901.779	0
235246	28901.833	0
235260	28901.780	1
235274	28901.834	0
235288	28901.835	1
235316	28901.855	0
235330	28901.862	0
235344	28901.837	1
235372	28901.861	1
235386	28901.782	1
235414	28901.839	1
235512	28901.842	0
235568	28901.844	1
235582	28901.845	0
235596	28901.846	0
235624	28901.847	0
235638	28901.849	0
235722	28901.850	1
235736	28901.851	1
235750	28901.863	0
235778	28901.852	0
235792	28901.853	1
235806	28901.854	1
247585	28901.3242	0
248116	28901.1609	0
248135	28901.2717	0
248335	58095.14	0
248349	58095.15	1
248363	58095.17	1
248391	58095.16	1
248405	58095.9	0
248419	58095.10	0
248447	211968.7	0
248461	211968.3	0
248475	211968.4	0
248503	211968.6	0
248531	58712.70	0
248545	58712.71	1
248559	58712.72	0
248573	58712.73	0
248587	58712.74	0
248601	58712.75	0
248629	58712.76	0
248643	58712.77	0
248657	58712.83	0
248685	58712.79	0
248699	58712.80	0
248727	58712.87	0
248741	58712.84	0
248769	58712.89	0
248783	58712.90	0
248797	58712.85	0
248839	58712.60	0
248867	58712.59	0
248895	58712.94	0
248909	58712.95	0
248923	58712.96	0
248937	58712.97	1
248951	58712.81	0
249007	58712.66	0
249021	58712.67	0
249035	58712.68	0
249049	58712.62	0
249063	58712.69	0
249077	58712.9	1
249091	58712.8	1
249105	58712.10	0
249119	58712.3	0
249147	58712.5	0
249161	58096.44	0
249175	28142.8	0
249189	28142.9	0
249231	58097.44	0
249245	149391.32	0
249259	149391.33	0
249273	149391.34	0
249287	149391.35	0
249301	149391.36	0
249315	149391.22	0
249329	149391.37	0
249343	149391.38	0
249357	149391.45	0
249371	149391.39	0
249385	149391.40	0
249399	149391.41	0
249413	149391.46	0
249427	149391.42	0
249441	149391.43	0
249455	149391.44	0
249497	149391.21	0
249511	149391.47	0
249525	149391.48	0
249539	149391.23	0
249553	149391.25	0
249567	149391.24	0
249581	149391.26	0
249595	149391.27	0
249609	149391.28	0
249623	149391.29	0
249637	149391.30	0
249651	149391.31	0
249679	149391.6	0
249707	149391.4	0
249721	149387.8	0
249735	149387.5	1
249749	149387.6	0
249763	149387.7	0
249791	134047.3	1
249805	1160739.3	0
249819	340188.42	0
249847	340188.40	0
249861	340188.41	0
249875	486990.7	0
249889	486990.8	0
249903	486990.9	0
249945	28144.35	0
249959	28144.36	1
249987	28144.27	1
250001	28144.24	0
250029	28144.26	0
250057	98360.48	0
250071	98360.50	1
250085	98360.49	1
250099	98360.39	1
250113	98360.40	0
250127	98360.41	1
250141	98360.42	1
250155	98360.43	1
250181	98360.98	1
250193	98360.90	1
250205	98360.91	1
250217	98360.89	1
250229	98360.93	1
250241	98360.71	1
250253	98360.92	1
250265	98360.73	0
250277	98360.72	0
250289	98360.75	0
250301	98360.74	0
250313	98360.77	0
250325	98360.79	0
250337	98360.76	1
250349	98360.78	0
250361	98360.94	1
250373	98360.97	0
250385	98360.99	0
250397	98360.95	0
250409	98360.96	1
250431	149539.893	0
250441	149539.883	1
250453	149539.894	0
250466	149539.884	1
250476	149539.885	1
250484	149539.886	1
250491	149539.887	1
250499	149539.888	0
250508	149539.895	1
250525	149539.896	1
250541	149539.889	1
250551	149539.890	1
250561	149539.891	0
250573	149539.892	0
250592	149539.389	0
250606	149539.390	0
250620	149539.388	0
250634	149539.391	1
250648	149539.341	0
250662	149539.356	0
250676	149539.342	0
250690	149539.343	0
250718	149539.347	0
250732	149539.359	0
250746	149539.358	0
250760	149539.360	0
250774	149539.349	0
250802	149539.351	0
250816	149539.352	0
250830	149539.353	0
250844	149539.354	0
250858	149539.344	0
250886	149539.357	0
250900	149539.361	0
250928	149539.345	0
250942	149539.363	0
250956	149539.364	0
250984	149539.346	0
250998	149539.366	0
251012	149539.367	0
251040	1151179.4	0
251222	149385.23	1
251236	149385.25	1
251264	149385.27	1
251292	149385.28	1
251306	149385.6	1
251320	149385.7	1
251334	149385.8	1
251348	149385.9	1
251362	149385.10	1
251376	149385.11	0
251390	149385.12	1
251418	149385.14	1
251432	149385.15	1
251446	149385.16	1
251460	149385.17	1
251474	149385.19	1
251488	149385.18	1
251502	149385.20	1
251530	611.69	0
251544	611.72	0
251572	611.74	1
251601	611.131	0
251629	611.70	0
251643	611.77	0
251657	611.78	1
251671	611.79	1
251686	611.132	0
251700	611.80	1
251729	611.133	0
251743	611.81	0
251758	611.134	0
251800	611.17	0
251814	611.16	0
251828	611.18	0
251842	611.19	1
251870	611.21	0
251884	611.22	1
251898	611.23	1
251912	611.24	1
251926	611.61	0
251940	611.25	0
251954	611.26	0
251982	611.28	1
251996	611.29	1
252010	611.60	1
252038	611.31	0
252080	611.34	1
252108	611.35	0
252122	611.38	1
252150	611.39	0
252164	611.40	0
252178	611.41	1
252192	611.42	0
252206	611.43	1
252248	611.46	0
252276	611.48	0
252332	611.51	0
252346	611.52	0
252388	611.54	0
252402	611.55	0
252416	611.56	0
252444	611.58	0
252472	1079901.3	0
252486	486994.9	0
252500	486994.10	0
252514	1697390.3	0
252542	1697390.7	0
252570	1697390.5	1
252584	1697390.6	1
252598	1697389.3	1
252626	1697389.5	1
252654	1697389.7	1
252724	595.153	0
252738	595.138	0
252752	595.143	0
252766	595.144	0
252780	595.145	0
252794	595.146	0
252808	595.147	0
252850	595.139	0
252864	595.150	0
252878	595.151	0
252892	595.154	0
252906	595.152	0
252920	595.155	0
252934	595.156	0
252948	595.137	0
252962	595.140	0
252990	595.142	0
253004	595.45	1
253046	595.29	0
253060	595.30	0
253088	595.32	0
253102	595.33	0
253116	595.34	1
253130	595.35	0
253144	595.36	0
253158	595.37	0
253172	595.38	0
253200	595.40	0
253214	595.41	0
253228	595.68	0
253240	595.116	0
253252	595.108	0
253264	595.106	0
253276	595.115	0
253288	595.105	1
253300	595.114	0
253312	595.104	0
253336	595.103	0
253348	595.102	1
253360	595.101	0
253372	595.123	1
253384	595.99	0
253396	595.100	0
253408	595.97	1
253420	595.121	1
253432	595.96	1
253444	595.112	0
253456	595.98	1
253468	595.107	0
253492	595.110	1
253504	595.124	1
253516	595.109	1
253528	595.122	0
253540	595.120	0
253552	595.118	0
253564	595.129	1
253576	595.119	1
253588	595.117	1
253600	595.125	0
253614	363569.37	0
253628	363569.42	0
253642	363569.43	0
253656	363569.44	0
253670	363569.45	0
253698	363569.39	0
253712	363569.41	0
253754	363569.38	0
253796	363569.33	0
253810	363569.3	0
255253	192955.204	0
255267	192955.202	0
255580	192955.113	1
255594	192955.114	1
255650	192955.117	1
255664	192955.118	1
255692	192955.120	1
255706	192955.128	0
255720	192955.121	1
255734	192955.122	1
255790	192955.131	0
255818	192955.123	1
255846	192955.125	1
255874	192955.127	1
255888	192955.62	0
255902	192955.60	1
255930	192955.63	0
255986	192955.67	0
256000	192955.68	1
256140	192955.77	1
256154	192955.78	1
256168	192955.79	1
256378	192955.91	0
256392	192955.92	1
256420	192955.94	1
256434	192955.95	0
256462	192955.97	1
256476	192955.107	1
256490	192955.98	0
256504	192955.99	1
256518	192955.100	1
256532	192955.101	0
256546	192955.102	1
256688	682797.9	1
256702	486998.7	0
256730	486998.3	0
256744	486998.4	0
256758	486998.6	0
256786	216804.3	0
256800	216804.4	1
256842	340189.10	0
256870	192954.46	0
256884	192954.47	0
256898	192954.26	0
256926	192954.28	0
256954	192954.22	0
256982	192954.23	0
256996	192954.24	0
257024	486999.10	0
257038	70803.17	1
257066	913079.13	0
257080	115981.55	0
257094	115981.58	0
257108	115981.59	0
257122	115981.60	0
257150	115981.57	0
257164	115981.22	1
257178	115981.23	0
257192	115981.15	0
257234	115981.19	0
257248	115981.18	0
257262	596.67	0
257276	596.68	0
257290	596.19	1
257304	596.20	1
257318	596.21	0
257332	596.3	0
257360	596.5	0
257374	596.6	0
257388	596.7	0
257402	596.8	1
257416	596.9	0
257430	596.10	0
257444	596.11	0
257486	596.13	0
257500	596.14	0
257514	596.15	0
257528	596.16	0
257542	596.17	0
257586	82689.64	0
257600	82689.62	1
257614	82689.63	0
257642	82689.3	0
257656	108619.168	0
257670	108619.155	0
257684	108619.156	0
257698	108619.157	0
257726	108619.170	0
257740	108619.159	0
257754	108619.162	0
257768	108619.163	0
257782	108619.160	1
257824	108619.171	0
257838	108619.173	0
257852	108619.175	0
257866	108619.176	0
257880	108619.177	0
257894	108619.174	0
257908	108619.178	0
257922	108619.179	0
257936	108619.172	1
257950	108619.186	0
257964	108619.181	1
257992	108619.183	0
