	genome_id	resistant_phenotype
232917	28901.3870	0
233922	28901.1897	1
233994	28901.1851	0
234138	28901.1874	0
234174	28901.1873	1
234365	28901.793	1
234379	28901.794	1
234421	28901.761	0
234449	28901.797	1
234463	28901.798	1
234477	28901.799	0
234505	28901.763	0
234519	28901.801	1
234533	28901.802	1
234547	28901.760	0
234561	28901.764	0
234575	28901.803	1
234589	28901.765	1
234617	28901.805	1
234645	28901.806	1
234673	28901.766	1
234701	28901.809	0
234757	28901.813	1
234799	28901.815	0
234813	28901.769	0
234827	28901.816	1
234869	28901.818	1
234883	28901.819	1
234897	28901.771	0
234911	28901.820	0
234925	28901.772	0
234939	28901.773	0
234967	28901.774	1
234981	28901.775	1
234995	28901.822	1
235023	28901.776	1
235037	28901.824	1
235051	28901.825	1
235079	28901.826	0
235093	28901.827	1
235107	28901.828	0
235121	28901.829	0
235135	28901.830	0
235163	28901.859	0
235177	28901.831	0
235205	28901.832	0
235219	28901.779	0
235247	28901.833	0
235261	28901.780	0
235275	28901.834	0
235289	28901.835	1
235317	28901.855	0
235331	28901.862	0
235345	28901.837	1
235373	28901.861	1
235387	28901.782	0
235415	28901.839	1
235513	28901.842	0
235569	28901.844	1
235583	28901.845	0
235597	28901.846	0
235625	28901.847	1
235639	28901.849	0
235723	28901.850	1
235737	28901.851	0
235751	28901.863	0
235779	28901.852	1
235793	28901.853	1
235807	28901.854	1
247586	28901.3242	0
248118	28901.1609	0
248336	58095.14	0
248350	58095.15	0
248364	58095.17	1
248392	58095.16	1
248406	58095.9	0
248420	58095.10	0
248448	211968.7	0
248462	211968.3	0
248476	211968.4	0
248504	211968.6	0
248532	58712.70	0
248546	58712.71	0
248560	58712.72	0
248574	58712.73	0
248588	58712.74	0
248602	58712.75	0
248630	58712.76	0
248644	58712.77	0
248658	58712.83	0
248686	58712.79	0
248700	58712.80	1
248728	58712.87	0
248742	58712.84	0
248770	58712.89	0
248784	58712.90	0
248798	58712.85	0
248840	58712.60	0
248868	58712.59	0
248896	58712.94	0
248910	58712.95	0
248924	58712.96	0
248938	58712.97	1
248952	58712.81	0
249008	58712.66	0
249022	58712.67	0
249036	58712.68	0
249050	58712.62	0
249064	58712.69	0
249078	58712.9	0
249092	58712.8	0
249106	58712.10	0
249120	58712.3	0
249148	58712.5	0
249162	58096.44	0
249176	28142.8	0
249190	28142.9	0
249232	58097.44	0
249246	149391.32	0
